date,open,high,low,close,volume
2009-03-05,34.28,34.28,33.01,33.33,3757150
2009-03-06,33.67,33.67,31.67,32.69,10978
2009-03-09,35.67,35.67,31.68,31.85,1180
2009-03-12,32.5,32.5,30.42,30.9,7204
2009-03-13,30.83,31.33,30.83,30.83,30742
2009-03-16,30.83,31.33,30.0,30.74,35512
2009-03-17,30.83,30.85,30.5,30.51,132976
2009-03-18,30.83,32.0,30.51,30.89,678688
2009-03-19,33.33,34.67,31.02,31.51,6094
2009-03-20,32.31,32.31,30.83,30.89,5890
2009-03-23,31.66,31.66,30.83,30.83,189478
2009-03-24,30.84,31.31,30.83,30.83,167056
2009-03-25,30.84,31.05,30.83,31.05,3130
2009-03-26,30.84,31.67,30.83,31.56,3400
2009-03-27,31.01,36.31,31.01,34.67,19234
2009-03-30,35.33,38.33,32.67,36.96,112186
2009-03-31,37.5,37.5,33.67,34.33,39946
2009-04-01,34.17,35.67,33.83,34.71,1684
2009-04-02,34.33,35.0,34.19,34.67,4948
2009-04-06,35.0,35.0,33.6,33.83,5692
2009-04-08,34.12,36.67,33.33,35.05,19516
2009-04-09,34.67,35.0,33.17,33.69,7858
2009-04-13,34.97,34.97,33.17,33.74,6022
2009-04-15,33.26,37.5,33.26,36.76,45250
2009-04-16,36.83,37.5,35.03,35.08,5296
2009-04-17,37.33,40.0,35.85,37.17,47710
2009-04-20,36.33,37.05,35.65,35.65,3262
2009-04-21,36.63,37.0,35.17,36.01,5734
2009-04-22,35.35,37.0,35.17,35.22,5536
2009-04-23,35.19,36.33,34.5,34.83,3724
2009-04-24,34.19,35.5,34.19,34.72,10498
2009-04-27,35.0,35.67,33.67,34.06,74272
2009-04-28,34.17,34.17,33.37,33.44,4120
2009-04-29,33.17,33.92,33.01,33.51,6718
2009-05-04,33.42,35.0,33.42,34.15,12418
2009-05-05,34.67,40.99,34.01,39.78,3627886
2009-05-06,37.71,39.08,37.0,37.45,869734
2009-05-07,38.63,38.63,36.0,36.69,46858
2009-05-08,36.67,38.0,36.67,37.22,29074
2009-05-11,36.17,37.17,35.83,36.67,31642
2009-05-12,35.85,36.92,35.85,36.69,19960
2009-05-13,37.5,37.5,36.42,36.67,12076
2009-05-14,35.83,37.46,35.83,36.9,14872
2009-05-15,36.5,37.5,36.5,37.04,16696
2009-05-19,43.33,43.33,36.67,40.17,193972
2009-05-20,39.17,43.58,39.17,41.12,705040
2009-05-21,42.33,42.5,40.85,41.35,1853410
2009-05-22,41.0,43.65,39.67,42.92,220504
2009-05-25,43.33,46.49,42.35,45.99,119260
2009-05-26,47.49,50.0,45.53,46.72,247360
2009-05-27,46.67,50.47,46.67,49.99,669358
2009-05-28,44.5,53.15,44.5,52.51,2686246
2009-05-29,52.33,57.47,50.17,55.9,341290
2009-06-01,56.33,60.0,55.85,56.76,343096
2009-06-02,51.83,57.83,51.0,54.94,1248286
2009-06-03,56.31,58.28,53.78,57.38,108064
2009-06-04,57.06,58.5,54.17,57.01,159286
2009-06-05,57.01,57.99,55.2,55.85,122158
2009-06-08,55.0,58.67,54.5,57.9,420130
2009-06-09,58.33,59.67,57.33,58.29,281128
2009-06-10,59.33,66.17,57.08,60.7,116920
2009-06-11,59.0,61.33,58.67,59.26,19276
2009-06-12,58.33,60.17,56.83,58.05,49288
2009-06-15,58.33,60.33,57.1,60.0,315442
2009-06-16,61.5,63.24,60.8,62.54,197146
2009-06-17,61.69,63.33,58.38,59.22,18922
2009-06-18,60.83,62.5,55.33,55.91,97126
2009-06-19,57.49,65.67,56.01,56.88,560890
2009-06-22,59.38,65.14,57.05,58.1,2213536
2009-06-23,57.2,58.83,55.87,57.46,290110
2009-06-24,58.09,59.97,57.83,58.16,102340
2009-06-25,58.49,58.49,55.67,56.33,56716
2009-06-26,56.58,59.67,55.67,59.13,126754
2009-06-29,51.88,61.33,51.88,60.83,170104
2009-06-30,60.5,61.5,58.33,60.83,171460
2009-07-01,61.47,62.08,58.04,58.49,58162
2009-07-02,58.5,59.74,57.67,58.15,40000
2009-07-03,56.0,60.33,53.33,58.72,311650
2009-07-06,58.33,60.33,56.0,56.62,48610
2009-07-07,58.0,58.17,54.67,57.58,57832
