date,open,high,low,close,volume
2009-03-05,38.42,39.17,37.08,37.28,19368
2009-03-06,34.67,37.92,34.67,37.03,13044
2009-03-09,38.67,38.67,34.38,35.8,22320
2009-03-12,36.67,37.33,34.75,34.92,31260
2009-03-13,36.5,36.5,34.25,34.75,79896
2009-03-16,35.75,36.58,34.75,36.4,82848
2009-03-17,35.28,39.0,35.28,37.3,28752
2009-03-18,37.08,39.83,36.78,39.35,47232
2009-03-19,38.47,39.33,38.13,39.17,21900
2009-03-20,38.78,39.4,36.92,37.9,95892
2009-03-23,37.92,41.42,36.35,40.42,182304
2009-03-24,39.92,40.83,39.92,40.42,43080
2009-03-25,39.2,39.9,37.33,37.78,65340
2009-03-26,37.25,39.0,37.25,37.95,20196
2009-03-27,37.5,39.95,37.5,39.65,37680
2009-03-30,39.83,45.0,38.45,41.88,120216
2009-03-31,42.25,43.97,40.25,43.35,69216
2009-04-01,42.6,43.75,42.6,43.38,17448
2009-04-02,42.5,47.42,42.5,46.78,115416
2009-04-06,48.33,51.65,44.75,46.28,19092
2009-04-08,46.42,48.08,43.95,47.63,86196
2009-04-09,48.33,48.33,44.17,45.65,65616
2009-04-13,47.0,54.03,46.13,50.47,189804
2009-04-15,46.8,57.08,46.8,53.03,255888
2009-04-16,52.92,54.17,46.75,49.1,114108
2009-04-17,49.58,51.67,47.78,48.22,43404
2009-04-20,44.58,51.67,44.25,49.42,68664
2009-04-21,47.92,50.42,47.92,48.7,23316
2009-04-22,49.92,49.92,45.85,47.42,35952
2009-04-23,47.5,49.5,46.83,48.83,9732
2009-04-24,49.58,50.0,48.33,48.85,30204
2009-04-27,48.75,49.17,48.33,48.58,21120
2009-04-28,48.33,49.22,47.5,47.67,224784
2009-04-29,47.92,52.92,47.6,51.13,61020
2009-05-04,50.08,53.15,47.08,51.88,114036
2009-05-05,51.28,52.42,51.25,51.9,59616
2009-05-06,50.67,51.9,49.42,50.3,32796
2009-05-07,49.67,51.22,49.58,50.17,19836
2009-05-08,49.55,51.65,48.5,48.92,24288
2009-05-11,49.75,50.0,48.33,48.55,18660
2009-05-12,48.35,48.35,47.33,47.63,11700
2009-05-13,47.17,50.0,47.17,48.13,58500
2009-05-14,48.1,49.0,47.5,48.55,30480
2009-05-15,49.33,51.75,49.17,50.13,91308
2009-05-18,54.08,58.33,54.08,56.08,2460
2009-05-19,59.25,62.08,54.17,57.5,245568
2009-05-20,58.75,67.57,57.92,64.38,194076
2009-05-21,61.8,67.25,61.42,63.58,241716
2009-05-22,63.25,64.57,59.6,62.47,230964
2009-05-25,62.83,69.13,62.83,67.45,186048
2009-05-26,67.68,69.5,63.25,63.72,72108
2009-05-27,66.68,67.9,64.7,65.22,42600
2009-05-28,65.18,66.25,62.5,63.6,70044
2009-05-29,64.75,69.35,64.75,66.93,159828
2009-06-01,67.93,69.57,65.82,66.5,137100
2009-06-02,67.5,68.57,65.82,66.53,47016
2009-06-03,66.25,71.55,66.03,69.95,356568
2009-06-04,72.07,83.93,70.82,80.9,1476492
2009-06-05,82.4,83.32,75.75,77.43,970596
2009-06-08,79.63,80.72,73.32,73.95,358248
2009-06-09,70.93,76.18,69.32,75.03,249708
2009-06-10,76.28,78.18,73.35,74.53,171456
2009-06-11,75.82,75.82,69.18,73.22,195732
2009-06-12,79.13,80.55,77.93,80.55,295284
2009-06-15,86.68,88.6,80.82,84.97,1533816
2009-06-16,85.0,87.5,82.68,86.47,384564
2009-06-17,87.25,87.25,81.68,83.07,215436
2009-06-18,82.07,83.07,75.43,77.53,275592
2009-06-19,80.75,80.75,77.5,79.22,78444
2009-06-22,80.0,80.0,76.75,77.5,26808
2009-06-23,76.25,85.25,74.6,84.63,249084
2009-06-24,86.07,88.25,82.5,83.72,650292
2009-06-25,83.43,85.0,79.5,80.18,85308
2009-06-26,80.93,83.75,80.07,81.13,205296
2009-06-29,82.43,87.82,80.43,84.75,259992
2009-06-30,85.5,92.0,85.43,87.85,1017840
2009-07-01,89.07,89.07,82.35,82.93,208320
2009-07-02,84.82,87.07,82.57,84.25,177648
2009-07-03,84.32,86.43,81.78,82.9,187452
2009-07-06,85.5,87.18,75.03,76.8,214176
2009-07-07,77.5,80.18,74.32,75.22,73140
2009-07-08,72.68,78.32,70.0,73.45,295536
2009-07-09,74.93,79.15,73.22,76.3,207072
2009-07-10,78.32,79.57,75.1,76.68,146976
2009-07-13,76.68,76.75,71.68,72.7,103596
2009-07-14,75.82,80.82,74.28,78.82,205716
2009-07-15,78.0,82.82,78.0,81.72,173172
2009-07-16,83.32,85.15,80.93,81.93,146952
2009-07-17,83.32,90.0,81.82,86.82,292200
2009-07-20,91.65,91.65,86.68,89.38,597516
2009-07-21,88.32,88.32,83.78,86.45,137952
2009-07-22,85.93,88.25,85.43,86.25,129900
2009-07-23,85.85,87.32,83.07,83.45,176544
2009-07-24,84.57,85.75,83.35,85.43,91548
2009-07-27,85.82,87.93,85.82,87.57,212172
2009-07-28,87.5,93.68,85.5,88.32,313212
2009-07-29,87.5,91.75,85.25,88.1,211932
2009-07-30,87.72,87.88,85.43,85.8,1133232
2009-07-31,86.68,88.5,86.28,87.15,136032
2009-08-03,87.07,87.4,84.68,85.15,69360
2009-08-04,85.82,89.15,85.5,86.85,227976
2009-08-05,87.32,88.32,86.18,86.82,68040
2009-08-06,88.32,89.18,85.5,88.43,243540
2009-08-07,87.93,90.0,84.57,85.43,125652
2009-08-10,83.32,87.5,83.32,86.18,89424
2009-08-11,85.88,86.32,84.75,85.38,18720
2009-08-12,83.68,85.57,83.43,84.88,27696
2009-08-13,85.0,87.5,84.2,84.6,231336
2009-08-14,84.57,86.25,83.32,83.97,132864
2009-08-17,83.43,84.25,82.57,83.35,106812
2009-08-18,82.7,84.13,82.57,83.3,42420
2009-08-19,83.75,84.18,81.68,82.55,55140
2009-08-20,83.32,84.18,83.32,83.5,30516
2009-08-21,82.68,86.57,82.68,85.65,82092
2009-08-24,86.32,87.93,85.5,85.82,148908
2009-08-25,85.93,86.38,85.5,85.93,42828
2009-08-26,83.75,92.07,83.75,90.38,469608
2009-08-27,91.57,93.57,89.57,90.0,159828
2009-08-28,89.3,91.68,87.57,88.4,139536
2009-08-31,88.32,89.57,86.93,87.55,73644
2009-09-01,86.75,90.0,85.0,86.4,97344
2009-09-02,86.93,86.93,85.0,85.2,58968
2009-09-03,85.82,86.65,82.5,83.38,90924
2009-09-04,84.0,88.32,83.75,86.8,299460
2009-09-07,89.68,91.4,88.35,88.82,97512
2009-09-08,89.57,92.07,89.18,90.93,174012
2009-09-09,89.75,91.25,84.25,90.3,135732
2009-09-10,87.07,90.4,87.07,88.2,64884
2009-09-11,89.15,89.15,85.0,85.45,92448
2009-09-14,87.25,88.25,85.0,87.0,31140
2009-09-15,87.4,87.93,85.68,86.05,60492
2009-09-16,86.25,87.2,85.43,86.03,53484
2009-09-17,89.5,89.5,85.5,87.22,48840
2009-09-18,85.68,87.93,85.68,86.63,21420
2009-09-22,87.25,97.0,87.18,94.57,656064
2009-09-23,95.75,96.93,92.07,92.88,135720
2009-09-24,91.68,100.75,87.68,96.45,841500
2009-09-25,96.45,97.68,93.5,94.82,162000
2009-09-29,97.93,99.15,96.68,97.38,185772
2009-09-30,98.68,99.03,95.68,97.93,217716
2009-10-01,99.0,99.0,96.68,97.22,58272
2009-10-05,94.6,97.25,94.55,95.97,63660
2009-10-06,96.68,97.18,92.43,93.7,103368
2009-10-07,93.93,95.68,92.93,93.18,55224
2009-10-08,94.93,98.93,94.18,95.85,241788
2009-10-09,98.25,98.32,95.82,97.63,145056
2009-10-12,97.5,99.8,96.25,98.25,130716
2009-10-14,99.07,99.57,97.5,97.72,67740
2009-10-15,98.18,99.38,97.32,98.65,62820
2009-10-16,99.18,100.0,97.53,99.18,48384
2009-10-17,99.8,101.68,99.0,99.93,50604
2009-10-20,101.68,104.18,101.25,102.47,148608
2009-10-21,102.5,103.82,100.85,102.75,112608
2009-10-22,103.32,103.32,97.18,98.5,148968
2009-10-23,100.0,101.68,97.93,100.1,131568
2009-10-26,100.68,101.68,95.93,96.75,304800
2009-10-27,97.93,101.43,95.0,95.7,138480
