date,open,high,low,close,volume
2009-03-05,33.25,34.2,33.1,33.7,34982
2009-03-06,33.2,33.9,32.75,33.45,46360
2009-03-09,32.7,33.6,31.8,32.65,31046
2009-03-12,33.0,39.2,31.8,37.7,534894
2009-03-13,38.0,39.0,35.75,36.65,421788
2009-03-16,36.0,42.25,35.0,40.6,644297
2009-03-17,40.45,40.85,37.35,38.05,354769
2009-03-18,38.4,42.4,38.35,38.85,358542
2009-03-19,39.05,39.9,37.25,37.75,97965
2009-03-20,37.8,41.5,36.8,40.15,341770
2009-03-23,41.7,41.7,39.2,39.95,382648
2009-03-24,40.8,40.95,38.25,38.6,211626
2009-03-25,38.05,38.85,37.05,37.5,355928
2009-03-26,37.8,39.0,36.35,36.6,753777
2009-03-27,37.4,38.25,36.9,37.4,750255
2009-03-30,37.9,37.9,35.5,35.75,634362
2009-03-31,36.0,36.5,34.4,35.25,897715
2009-04-01,35.8,36.4,35.05,35.6,836560
2009-04-02,36.2,38.35,36.2,37.2,1802732
2009-04-06,38.25,41.7,38.2,40.65,2733748
2009-04-08,39.8,43.9,38.65,42.85,4222856
2009-04-09,43.9,48.45,41.75,45.35,6519242
2009-04-13,46.1,47.95,45.65,46.55,2311045
2009-04-15,46.95,50.1,46.0,48.75,2715676
2009-04-16,49.5,51.65,42.45,43.45,3103545
2009-04-17,45.0,47.35,43.15,44.1,1464510
2009-04-20,45.35,47.9,44.7,45.65,1422603
2009-04-21,43.65,45.35,43.25,44.65,721225
2009-04-22,44.9,45.3,39.75,40.65,1535010
2009-04-23,40.25,43.2,38.4,42.8,2336677
2009-04-24,42.5,43.9,41.5,42.65,1357950
2009-04-27,42.7,44.5,41.7,42.05,983141
2009-04-28,42.2,42.55,39.1,39.65,886960
2009-04-29,40.25,41.85,39.9,40.55,2056785
2009-05-04,42.0,43.8,41.6,43.15,1166009
2009-05-05,43.25,44.95,42.5,43.65,910331
2009-05-06,44.7,45.9,42.3,42.75,1294260
2009-05-07,43.5,44.75,43.05,44.3,615244
2009-05-08,44.0,46.9,42.9,46.45,2411294
2009-05-11,47.0,47.25,43.15,44.0,1067580
2009-05-12,43.5,43.95,41.25,43.3,678086
2009-05-13,43.8,45.0,42.5,43.0,789612
2009-05-14,42.0,43.45,41.5,43.0,476846
2009-05-15,43.6,44.0,42.1,42.55,449200
2009-05-18,47.0,49.5,47.0,48.15,10650
2009-05-19,50.3,50.3,43.9,46.55,1681790
2009-05-20,46.6,54.0,46.0,53.45,3846980
2009-05-21,53.4,58.25,53.15,54.4,4495618
2009-05-22,54.0,58.5,54.0,58.05,2860679
2009-05-25,58.5,64.0,57.7,63.2,3530508
2009-05-26,64.8,65.6,57.5,58.55,2668654
2009-05-27,62.4,63.5,60.0,62.85,1881610
2009-05-28,64.1,65.5,61.05,62.45,2660799
2009-05-29,64.8,66.4,62.5,65.55,2642291
2009-06-01,66.5,73.9,65.6,71.95,4412479
2009-06-02,74.9,85.8,74.65,77.3,7347206
2009-06-03,79.0,79.0,72.65,74.9,2285603
2009-06-04,74.0,77.8,73.15,76.2,2078702
2009-06-05,77.4,81.15,74.6,76.05,3438813
2009-06-08,76.95,77.15,67.4,68.65,1548846
2009-06-09,67.95,73.5,65.0,72.6,1690429
2009-06-10,73.8,74.5,68.65,70.55,1321826
