date,open,high,low,close,volume
2009-03-05,36.55,37.8,34.8,35.25,137013
2009-03-06,35.5,35.75,34.5,35.05,83331
2009-03-09,34.3,37.0,34.3,36.1,247008
2009-03-12,36.4,37.75,35.0,36.0,277514
2009-03-13,36.55,37.65,36.0,37.3,64354
2009-03-16,37.4,39.7,37.15,39.15,59744
2009-03-17,39.85,40.0,38.5,39.15,52244
2009-03-18,39.3,42.25,39.3,40.65,301834
2009-03-19,40.7,41.0,39.5,39.9,235578
2009-03-20,38.5,40.0,38.3,38.55,83794
2009-03-23,39.2,42.9,38.7,40.2,769698
2009-03-24,40.95,41.9,39.2,39.6,88260
2009-03-25,39.9,40.75,38.65,40.2,210595
2009-03-26,40.05,40.85,39.5,40.5,352422
2009-03-27,40.9,41.4,39.75,40.9,216835
2009-03-30,40.8,42.2,40.25,41.1,179586
2009-03-31,41.1,41.9,40.5,41.35,1058734
2009-04-01,41.7,42.25,40.9,41.6,112034
2009-04-02,42.2,42.7,41.1,42.15,471780
2009-04-06,42.85,46.35,42.6,45.3,656139
2009-04-08,45.0,48.2,42.05,47.15,508948
2009-04-09,49.9,54.9,47.1,48.0,715712
2009-04-13,48.0,49.8,47.5,48.45,203995
2009-04-15,47.9,50.6,47.0,50.15,524233
2009-04-16,51.5,54.0,48.45,49.25,497119
2009-04-17,50.0,51.0,49.5,49.95,237708
2009-04-20,50.5,53.8,49.4,51.95,648602
2009-04-21,50.85,56.35,50.55,51.45,2184717
2009-04-22,53.45,55.0,52.1,52.7,859875
2009-04-23,52.95,54.45,52.3,54.1,274365
2009-04-24,54.65,54.65,52.55,53.0,204658
2009-04-27,53.0,57.25,52.6,53.45,1321183
2009-04-28,54.1,54.1,51.5,52.2,717930
2009-04-29,52.2,53.25,51.1,51.95,113098
2009-05-04,52.5,54.5,51.4,52.0,765298
2009-05-05,52.6,54.0,51.1,51.3,462257
2009-05-06,51.85,52.2,49.05,49.4,624103
2009-05-07,50.0,51.85,49.5,50.7,500078
2009-05-08,51.0,54.0,50.5,52.35,396561
2009-05-11,52.95,53.4,52.1,53.0,243513
2009-05-12,54.1,54.1,51.6,52.05,84623
2009-05-13,52.9,52.9,50.7,51.45,2308528
2009-05-14,51.0,51.8,50.4,51.3,57332
2009-05-15,51.75,51.75,50.0,50.35,381006
2009-05-18,55.1,58.9,55.1,56.15,1334
2009-05-19,55.0,65.0,51.1,60.15,2392732
2009-05-20,60.5,67.0,58.8,63.55,983471
2009-05-21,64.45,66.8,62.55,64.4,852397
2009-05-22,64.0,64.5,61.5,62.1,581037
2009-05-25,62.1,66.0,60.1,64.95,633625
2009-05-26,65.1,66.95,62.5,64.15,472979
2009-05-27,65.5,67.0,64.25,64.8,230908
2009-05-28,64.5,66.0,63.0,64.5,451491
2009-05-29,65.6,72.4,65.5,70.85,2098201
2009-06-01,71.95,78.3,68.05,68.7,7147483
2009-06-02,69.7,73.6,69.7,70.95,2391277
2009-06-03,72.0,77.0,72.0,73.9,2921717
2009-06-04,72.5,77.4,72.45,76.8,1772284
2009-06-05,77.5,78.75,74.4,75.05,2107077
2009-06-08,75.85,77.0,71.5,73.05,1284909
2009-06-09,71.8,72.75,66.0,69.95,1760540
2009-06-10,70.95,74.65,70.0,72.8,1725471
2009-06-11,73.0,73.5,68.25,71.3,685520
2009-06-12,72.0,72.6,68.0,68.25,500607
2009-06-15,66.2,71.95,66.2,71.0,974537
2009-06-16,70.0,70.4,68.5,69.9,471327
2009-06-17,69.3,71.95,66.25,66.95,629333
2009-06-18,66.3,67.95,63.0,63.7,551230
2009-06-19,65.0,68.45,65.0,66.5,923922
2009-06-22,67.2,67.95,66.15,66.8,245544
2009-06-23,65.1,70.95,64.25,70.3,648874
2009-06-24,71.45,72.9,70.05,71.95,651264
2009-06-25,72.95,73.4,69.5,70.2,313400
2009-06-26,71.0,72.0,68.25,70.4,335226
2009-06-29,70.8,71.3,70.05,70.35,171760
2009-06-30,71.1,71.7,68.8,69.5,478145
2009-07-01,69.2,70.2,65.9,67.15,362321
2009-07-02,67.5,73.15,67.0,70.65,987383
2009-07-03,70.45,71.0,68.0,68.45,784815
2009-07-06,68.5,69.4,63.55,63.95,473494
2009-07-07,63.75,69.8,63.75,68.75,1308132
2009-07-08,68.7,68.7,65.0,65.95,259546
2009-07-09,66.9,68.45,65.55,67.45,270475
2009-07-10,68.75,70.2,65.55,66.8,456141
2009-07-13,66.0,68.0,64.0,64.2,214315
2009-07-14,65.45,67.0,65.45,66.2,351763
2009-07-15,66.55,71.25,66.5,69.55,1097549
2009-07-16,71.5,74.5,70.0,70.35,2036498
2009-07-17,71.95,79.45,71.95,78.45,5797204
2009-07-20,81.2,81.2,76.5,77.55,1178684
2009-07-21,77.05,78.6,75.1,76.65,698663
2009-07-22,77.25,78.0,72.5,73.0,1129641
2009-07-23,74.1,76.6,73.7,74.85,1310865
2009-07-24,76.0,81.0,75.3,80.2,1878321
2009-07-27,82.0,84.0,80.55,81.7,1678172
2009-07-28,81.95,83.45,80.45,82.2,1535022
2009-07-29,81.0,85.7,79.2,85.0,1655010
2009-07-30,85.5,86.0,82.55,82.95,1064723
2009-07-31,83.1,87.45,83.1,85.85,3296423
2009-08-03,85.05,91.65,85.05,90.6,2400648
2009-08-04,91.6,93.4,86.65,87.9,1644449
2009-08-05,89.8,91.0,85.0,86.65,1019689
2009-08-06,86.9,87.75,82.5,83.7,854807
2009-08-07,82.9,84.0,78.55,81.05,655643
2009-08-10,84.1,84.1,79.5,81.95,650245
2009-08-11,81.15,83.5,81.15,82.3,235000
2009-08-12,81.2,84.45,81.1,82.8,687458
2009-08-13,84.55,88.5,84.5,86.7,584780
2009-08-14,87.7,89.9,85.25,88.35,799415
2009-08-17,86.4,86.95,82.5,83.8,1060978
2009-08-18,83.1,85.3,83.05,84.05,636248
2009-08-19,84.2,86.85,82.65,83.25,275781
2009-08-20,84.0,86.2,83.6,84.45,228924
2009-08-21,84.25,88.35,83.45,86.45,572536
2009-08-24,88.0,88.5,86.5,87.25,328920
2009-08-25,87.5,88.9,84.2,85.15,1481332
2009-08-26,86.0,86.8,85.0,86.15,893512
2009-08-27,85.5,91.25,85.15,89.85,1094293
2009-08-28,90.6,94.9,89.5,93.2,5224770
2009-08-31,92.8,97.45,90.1,95.65,1548527
2009-09-01,95.0,96.7,92.7,94.65,1420784
2009-09-02,94.0,97.0,90.1,90.8,713921
2009-09-03,91.15,93.2,89.65,90.15,651706
2009-09-04,91.0,91.95,87.25,89.35,713921
2009-09-07,90.0,91.8,89.55,91.0,558328
2009-09-08,91.5,91.85,87.1,87.7,420773
2009-09-09,88.4,89.25,86.85,88.3,696090
2009-09-10,89.25,89.9,87.1,87.75,408638
2009-09-11,87.7,88.9,87.55,88.05,312909
2009-09-14,88.0,91.0,86.25,88.75,586008
2009-09-15,89.35,91.0,89.15,90.15,470332
2009-09-16,91.0,91.5,88.3,89.65,638403
2009-09-17,90.8,94.45,89.0,91.75,2028777
2009-09-18,91.0,92.3,89.55,91.65,866211
2009-09-22,92.4,92.4,89.85,90.2,280644
2009-09-23,89.55,90.7,88.0,88.3,560844
2009-09-24,87.8,90.75,86.6,89.75,448814
2009-09-25,88.9,90.8,87.0,89.35,253951
2009-09-29,90.35,90.9,89.1,89.9,200575
2009-09-30,90.4,92.5,89.0,91.95,934836
2009-10-01,91.95,95.7,91.25,93.4,1233793
2009-10-05,91.9,92.45,88.25,89.05,490706
2009-10-06,90.45,91.7,88.4,89.75,556566
2009-10-07,90.5,93.2,90.5,91.25,579269
2009-10-08,90.25,95.65,90.25,95.0,958571
2009-10-09,97.3,101.95,96.5,100.25,4605624
2009-10-12,101.5,104.7,95.8,96.6,5230345
2009-10-14,97.4,102.9,97.05,101.6,2916814
2009-10-15,102.9,111.6,102.35,105.55,4537275
2009-10-16,106.8,106.8,103.3,105.45,979597
2009-10-17,106.0,107.85,105.6,106.45,340145
2009-10-20,106.95,110.7,106.5,108.4,1809359
2009-10-21,109.0,109.65,105.6,106.9,983947
2009-10-22,106.2,107.45,100.4,103.55,746844
2009-10-23,105.0,108.7,104.65,107.65,1147716
2009-10-26,108.0,108.0,103.05,104.05,411786
2009-10-27,103.85,104.0,97.1,100.25,508189
2009-10-28,100.0,102.0,96.1,100.4,408936
2009-10-29,99.0,101.9,97.0,99.9,387540
2009-10-30,101.45,108.8,98.05,98.5,505680
2009-11-03,97.0,103.2,96.5,101.05,1179221
2009-11-04,102.95,104.7,100.3,101.65,388136
2009-11-05,102.8,102.9,100.55,101.9,203179
2009-11-06,103.0,104.4,101.7,102.95,917343
2009-11-09,103.0,104.5,102.5,103.75,438356
2009-11-10,104.95,117.3,104.05,112.3,2395119
2009-11-11,111.05,118.4,110.1,114.4,1985160
2009-11-12,115.15,115.15,108.05,109.4,467296
2009-11-13,108.0,121.2,108.0,119.3,2468746
2009-11-16,122.0,124.6,119.7,120.6,2402167
2009-11-17,121.05,122.3,117.6,119.85,1584562
2009-11-18,120.25,123.4,112.55,113.75,2044500
2009-11-19,115.0,115.5,105.0,106.7,2168472
2009-11-20,107.5,111.8,105.4,109.1,2033140
2009-11-23,112.4,115.0,110.0,113.3,1534388
2009-11-24,114.0,114.3,106.0,106.15,4948147
2009-11-25,108.8,109.9,107.0,107.85,820153
2009-11-26,108.6,109.8,105.5,106.35,549258
2009-11-27,103.5,107.8,100.2,106.4,718892
2009-11-30,108.0,110.8,107.5,108.35,398919
2009-12-01,109.0,113.0,108.65,110.0,1480885
2009-12-02,111.8,114.5,110.5,113.95,993450
2009-12-03,111.05,119.8,110.15,118.85,1394843
2009-12-04,118.0,118.6,113.5,114.4,940996
2009-12-07,115.0,117.9,112.4,113.35,529590
2009-12-08,113.2,115.5,111.7,112.95,467175
2009-12-09,112.0,116.7,112.0,114.5,1610597
2009-12-10,114.6,114.9,112.2,112.85,420792
2009-12-11,114.0,114.75,113.0,113.35,592177
2009-12-14,113.35,114.5,112.15,113.65,560279
2009-12-15,113.65,114.45,112.0,113.1,280716
2009-12-16,113.1,113.9,110.3,111.75,254563
2009-12-17,111.75,115.75,111.0,115.05,714197
2009-12-18,114.25,115.0,112.3,112.75,299401
2009-12-21,112.75,116.5,112.35,113.1,1041866
2009-12-22,113.5,115.35,110.8,111.6,686742
2009-12-23,112.7,113.25,112.0,112.85,312335
2009-12-24,113.0,115.1,111.35,112.0,414197
2009-12-29,113.0,113.0,110.9,111.55,385003
2009-12-30,111.05,114.25,111.05,113.2,581365
2009-12-31,114.0,117.9,114.0,115.3,1359790
2010-01-04,115.9,119.5,115.5,118.75,1050464
2010-01-05,119.0,124.85,119.0,122.25,1522955
2010-01-06,123.4,124.1,119.55,121.1,3714410
2010-01-07,121.8,124.25,116.7,118.15,2023440
2010-01-08,118.7,122.9,114.9,115.9,2464692
2010-01-11,116.95,122.4,116.95,121.35,2862769
2010-01-12,120.05,128.15,120.05,122.05,3773665
2010-01-13,120.7,122.1,119.95,121.55,700097
2010-01-14,122.95,124.5,118.2,119.05,1263622
2010-01-15,120.6,121.05,116.0,117.25,937769
2010-01-18,118.2,120.45,117.0,119.3,513988
2010-01-19,120.9,124.4,119.1,119.65,1108883
2010-01-20,120.0,123.3,118.1,119.55,1750554
2010-01-21,119.3,119.95,116.2,118.0,620531
2010-01-22,117.6,122.95,112.5,120.05,1584993
2010-01-25,119.5,120.45,115.15,115.65,654141
2010-01-27,116.0,116.7,108.5,110.0,1474980
2010-01-28,110.9,112.9,108.0,108.75,1052632
