date,open,high,low,close,volume
2009-03-05,12.1,12.39,11.81,11.94,1910830
2009-03-06,11.6,12.06,11.5,11.93,1481740
2009-03-09,11.93,12.4,11.63,12.33,9296560
2009-03-12,12.6,12.69,11.66,11.8,2826860
2009-03-13,12.1,12.1,11.81,11.98,2053490
2009-03-16,12.01,12.19,11.77,11.97,2206140
2009-03-17,12.1,12.4,11.66,11.98,5033070
2009-03-18,12.0,13.25,11.96,13.1,14128340
2009-03-19,13.1,13.89,12.82,13.0,6706040
2009-03-20,13.0,13.4,12.72,13.27,1296450
2009-03-23,13.3,13.69,13.3,13.58,1057220
2009-03-24,13.7,14.16,13.03,13.16,3587970
2009-03-25,13.39,13.49,13.21,13.3,4080930
2009-03-26,13.48,13.59,13.23,13.42,2579340
2009-03-27,13.5,15.0,13.26,14.69,11012070
2009-03-30,14.5,14.5,13.53,13.63,1331620
2009-03-31,13.7,14.3,12.9,13.79,4389500
2009-04-01,13.9,14.49,13.76,14.27,2922020
2009-04-02,14.5,14.98,14.41,14.93,2622620
2009-04-06,15.29,15.99,15.02,15.85,2218800
2009-04-08,15.3,16.07,14.9,15.7,1863350
2009-04-09,15.94,16.99,15.52,16.75,5809980
2009-04-13,17.0,17.8,16.75,17.54,2824150
2009-04-15,17.02,17.7,16.9,17.52,4297160
2009-04-16,17.75,18.2,15.91,16.28,2645010
2009-04-17,16.79,18.19,16.5,17.3,12518690
2009-04-20,17.7,18.5,17.6,17.95,5717430
2009-04-21,17.3,18.1,17.3,17.89,4023430
2009-04-22,18.0,18.1,16.9,17.02,2063370
2009-04-23,17.36,17.65,16.8,17.35,1754180
2009-04-24,17.6,18.1,17.34,17.81,3126970
2009-04-27,18.19,19.43,18.19,18.84,9288680
2009-04-28,19.2,19.74,17.33,17.68,7972980
2009-04-29,18.0,19.0,17.73,18.73,4240410
2009-05-04,19.25,19.8,18.85,19.06,1294180
2009-05-05,19.0,19.25,18.21,18.31,2151670
2009-05-06,18.43,18.69,17.15,17.4,2042810
2009-05-07,18.09,18.18,17.0,17.13,4541930
2009-05-08,17.4,18.0,17.15,17.2,3448990
2009-05-11,17.65,17.65,16.64,17.1,4954400
2009-05-12,17.0,17.79,16.8,17.65,3281480
2009-05-13,17.8,19.14,17.4,18.58,5422230
2009-05-14,18.1,18.7,18.0,18.57,1485340
2009-05-15,18.6,19.53,18.6,19.3,3991680
2009-05-18,22.5,22.5,22.0,22.17,20610
2009-05-19,22.25,25.97,21.9,23.24,16772780
2009-05-20,22.71,24.5,22.4,23.86,13905760
2009-05-21,23.5,25.6,23.3,24.93,24304460
2009-05-22,25.3,26.2,22.6,22.86,36060528
2009-05-25,23.36,23.88,22.6,23.77,12594380
2009-05-26,23.8,24.7,23.7,24.0,11109130
2009-05-27,24.5,25.1,24.33,25.0,7768490
2009-05-28,25.0,25.2,24.51,24.97,5609040
2009-05-29,25.19,25.2,24.28,24.84,3777090
2009-06-01,25.0,25.39,24.3,24.43,1443550
2009-06-02,24.7,25.1,24.4,24.66,7410050
2009-06-03,25.0,25.2,24.5,24.91,7796150
2009-06-04,24.9,25.8,24.5,25.35,5319700
2009-06-05,25.5,26.0,24.9,25.23,6465380
2009-06-08,25.0,25.23,24.05,24.39,9050530
2009-06-09,24.8,24.9,23.95,24.17,3827070
2009-06-10,24.7,25.44,24.3,25.17,5037490
2009-06-11,25.31,25.4,24.85,25.22,4507300
2009-06-12,25.24,25.4,24.5,24.59,1387270
2009-06-15,24.46,25.5,24.25,25.01,3340890
2009-06-16,24.7,25.48,24.7,25.11,2579710
2009-06-17,25.5,26.89,24.65,24.98,16633810
2009-06-18,25.1,25.27,23.7,24.18,4886530
2009-06-19,24.2,24.78,24.0,24.3,1353400
2009-06-22,24.63,24.7,24.1,24.22,1664210
2009-06-23,24.0,24.45,23.74,24.28,1398480
2009-06-24,24.3,24.75,24.3,24.66,1073740
2009-06-25,24.66,24.88,24.1,24.18,2825060
2009-06-26,24.49,24.82,24.34,24.57,2085560
2009-06-29,24.8,25.94,24.6,25.48,3677170
2009-06-30,26.29,26.57,24.9,25.1,3401650
2009-07-01,25.21,25.21,24.65,24.94,4071810
2009-07-02,25.0,25.39,24.8,24.85,991130
2009-07-03,24.65,25.0,24.61,24.79,684960
2009-07-06,24.9,25.28,23.13,23.47,2202800
2009-07-07,23.51,24.28,22.41,22.8,1807900
2009-07-08,22.6,22.8,21.8,22.5,3993500
2009-07-09,22.65,22.95,21.73,22.21,1530380
2009-07-10,22.26,22.67,22.02,22.08,1012970
2009-07-13,22.0,22.2,21.33,21.5,983960
2009-07-14,22.2,22.4,21.6,22.14,4651690
2009-07-15,22.27,22.79,22.27,22.53,1884070
2009-07-16,22.82,23.28,22.82,23.0,3208370
2009-07-17,23.2,23.45,23.0,23.15,1614270
2009-07-20,23.57,24.29,23.4,24.12,1573200
2009-07-21,24.01,24.4,23.7,23.82,633440
2009-07-22,24.47,24.47,23.9,24.07,1200020
2009-07-23,24.2,24.8,23.5,24.61,4041070
2009-07-24,25.0,25.19,24.3,24.61,927940
2009-07-27,24.8,24.98,24.5,24.63,791850
2009-07-28,24.8,24.92,24.25,24.66,1457170
2009-07-29,24.6,24.74,23.8,23.9,2486790
2009-07-30,23.5,23.9,23.33,23.78,1972570
2009-07-31,24.0,24.88,23.9,24.02,6239030
2009-08-03,24.17,24.4,24.0,24.19,2723000
2009-08-04,24.26,24.37,23.76,23.91,5242810
2009-08-05,23.9,24.09,23.3,23.59,3001970
2009-08-06,23.1,23.5,22.56,22.83,11688890
2009-08-07,22.8,22.95,22.1,22.5,9541890
2009-08-10,23.2,23.2,21.9,22.13,6707960
2009-08-11,21.88,22.0,21.51,21.67,10834180
2009-08-12,21.37,21.86,21.37,21.74,1201380
2009-08-13,21.9,22.48,21.9,22.22,3691680
2009-08-14,22.4,22.84,22.3,22.69,1913760
2009-08-17,21.75,22.94,21.45,21.7,5488730
2009-08-18,21.45,22.4,21.45,22.13,3036750
2009-08-19,22.42,22.42,21.4,21.44,2270670
2009-08-20,21.72,22.05,21.55,21.75,1436070
2009-08-21,21.31,21.87,21.31,21.77,2595340
2009-08-24,22.2,22.29,21.9,22.0,2090440
2009-08-25,21.95,22.04,21.4,21.84,4285370
2009-08-26,21.9,22.07,21.66,21.75,3971840
2009-08-27,21.65,22.0,21.65,21.84,6466710
2009-08-28,22.09,22.26,21.37,21.49,14412230
2009-08-31,21.49,22.08,21.35,21.9,5607980
2009-09-01,22.19,22.7,22.0,22.2,12436060
2009-09-02,22.19,22.79,21.8,21.94,7650980
2009-09-03,22.21,22.53,22.02,22.25,5459230
2009-09-04,22.39,23.24,22.25,22.77,8925700
2009-09-07,23.0,24.0,22.75,23.47,8856320
2009-09-08,23.95,24.18,23.02,23.33,8266480
2009-09-09,23.67,23.67,22.75,22.85,6441830
2009-09-10,23.29,23.49,22.5,22.66,5647990
2009-09-11,23.0,23.65,22.51,23.29,7871380
2009-09-14,23.29,23.69,23.2,23.56,4750220
2009-09-15,23.7,24.97,23.62,24.47,11567660
2009-09-16,24.91,25.25,24.63,25.06,8946190
2009-09-17,25.4,25.4,24.11,24.71,3777430
2009-09-18,24.75,24.9,24.42,24.58,2371960
2009-09-22,24.87,25.15,24.51,24.6,4309440
2009-09-23,24.85,25.91,24.69,25.4,10848260
2009-09-24,25.2,25.81,24.51,24.77,14659760
2009-09-25,24.65,25.5,24.65,25.03,4866410
2009-09-29,25.48,25.6,24.52,24.65,3808120
2009-09-30,24.9,25.29,24.53,25.18,4858640
2009-10-01,25.41,25.59,24.75,24.85,5669320
2009-10-05,25.0,25.0,23.61,23.69,4938710
2009-10-06,24.0,24.3,23.12,23.58,6047960
2009-10-07,23.8,23.98,23.07,23.18,9880310
2009-10-08,23.21,23.55,22.8,23.22,14145100
2009-10-09,23.35,23.4,22.23,22.38,14621500
2009-10-12,22.5,22.68,21.85,22.29,16046520
2009-10-14,22.61,23.65,22.56,23.5,16724150
2009-10-15,23.7,24.48,23.53,24.27,8510910
2009-10-16,24.5,25.38,23.5,25.19,11703110
2009-10-17,25.44,25.84,25.31,25.64,5397620
2009-10-20,26.04,27.0,25.73,26.59,14633010
2009-10-21,26.8,26.8,25.56,25.86,5453900
2009-10-22,25.6,26.0,25.14,25.39,7277000
2009-10-23,25.31,26.5,25.31,26.08,6728640
2009-10-26,26.2,26.28,25.22,25.69,8302310
2009-10-27,25.1,25.6,24.1,24.5,7292790
2009-10-28,24.0,24.77,23.7,24.31,5079700
