date,open,high,low,close,volume
2009-03-05,17.95,18.4,17.5,17.6,20004
2009-03-06,17.6,17.9,17.0,17.25,31879
2009-03-09,17.5,17.7,17.15,17.35,21407
2009-03-12,17.4,17.9,17.05,17.2,21904
2009-03-13,17.25,17.85,17.25,17.8,34944
2009-03-16,18.0,18.4,17.6,17.95,45768
2009-03-17,17.8,18.8,17.8,18.05,38294
2009-03-18,18.45,18.8,18.2,18.45,21688
2009-03-19,18.1,18.95,18.1,18.75,22487
2009-03-20,19.2,19.25,18.6,18.9,25661
2009-03-23,19.0,19.5,18.75,19.1,44975
2009-03-24,19.5,19.7,19.0,19.1,32144
2009-03-25,18.75,19.3,18.75,18.95,37596
2009-03-26,18.75,19.95,18.0,18.65,86546
2009-03-27,19.0,20.0,18.8,19.6,61146
2009-03-30,19.7,19.7,18.8,19.05,35431
2009-03-31,19.0,19.6,19.0,19.3,17041
2009-04-01,19.9,20.95,19.05,20.35,48145
2009-04-02,20.95,24.3,20.55,22.55,431912
2009-04-06,23.9,23.9,22.6,23.2,153805
2009-04-08,23.0,24.95,21.2,24.3,238949
2009-04-09,24.5,25.55,24.4,25.0,155976
2009-04-13,25.0,26.25,25.0,25.95,153997
2009-04-15,26.0,27.35,25.0,27.0,221511
2009-04-16,27.0,28.35,25.35,25.5,138678
2009-04-17,26.0,26.65,25.0,25.4,72398
2009-04-20,25.1,26.2,24.75,25.0,92378
2009-04-21,24.75,25.1,24.05,24.65,37040
2009-04-22,25.1,25.1,23.4,23.8,67834
2009-04-23,23.8,27.4,23.5,24.7,35868
2009-04-24,24.7,25.1,24.25,24.45,33973
2009-04-27,24.95,25.1,24.25,24.55,23562
2009-04-28,24.1,24.95,23.5,23.7,24438
2009-04-29,23.25,24.0,23.25,23.75,21992
2009-05-04,24.75,25.1,24.1,24.3,47362
2009-05-05,24.2,25.0,24.2,24.6,44422
2009-05-06,25.0,26.0,24.2,24.55,89972
2009-05-07,25.1,25.7,24.7,25.3,48835
2009-05-08,25.6,26.0,24.6,25.0,60156
2009-05-11,25.0,25.7,24.15,24.4,25473
2009-05-12,24.0,24.5,23.75,24.3,26344
2009-05-13,24.35,25.45,24.3,24.75,36134
2009-05-14,24.35,25.0,24.1,24.85,20914
2009-05-15,25.0,25.5,24.65,24.85,50949
2009-05-18,26.5,26.5,26.5,26.5,2
2009-05-19,28.15,28.95,26.6,27.7,263626
2009-05-20,27.4,33.25,27.0,33.05,390014
2009-05-21,34.0,39.1,33.55,36.2,410030
2009-05-22,35.0,38.1,35.0,36.35,187639
2009-05-25,36.3,39.5,36.3,38.7,186942
2009-05-26,39.0,41.0,35.05,35.9,272398
2009-05-27,37.35,38.5,36.2,37.8,155024
2009-05-28,37.7,40.95,37.7,39.75,285130
2009-05-29,40.0,41.65,39.5,40.05,195974
2009-06-01,41.0,42.0,40.0,40.7,186840
2009-06-02,41.7,43.0,41.0,42.15,224705
2009-06-03,43.0,44.4,41.55,42.25,243393
2009-06-04,42.5,42.5,41.0,42.2,133332
2009-06-05,42.5,43.55,40.9,41.3,192410
2009-06-08,42.0,42.0,38.0,38.3,145853
2009-06-09,38.25,38.4,36.2,37.9,90662
2009-06-10,38.65,39.7,37.0,37.55,162732
2009-06-11,38.05,39.5,36.5,37.0,155097
2009-06-12,37.25,37.7,35.75,36.15,93439
2009-06-15,35.5,36.4,34.6,34.9,76137
2009-06-16,34.0,34.4,33.5,33.75,111333
2009-06-17,34.1,34.65,32.0,32.65,125415
2009-06-18,32.8,33.5,31.25,31.55,120975
2009-06-19,32.2,33.0,31.0,31.45,86205
2009-06-22,32.45,32.8,31.3,31.45,62138
2009-06-23,31.0,31.7,30.05,30.85,57676
2009-06-24,31.25,31.5,30.55,30.85,85767
2009-06-25,31.0,31.85,31.0,31.5,90607
2009-06-26,32.0,33.4,31.9,32.6,72243
2009-06-29,33.3,34.7,32.55,33.8,139838
2009-06-30,34.9,34.9,31.85,32.15,104537
2009-07-01,32.75,33.0,31.65,32.2,30867
2009-07-02,32.2,33.45,32.05,32.5,75536
2009-07-03,32.3,34.45,31.75,32.5,244103
2009-07-06,32.95,33.5,31.0,31.25,98977
2009-07-07,31.8,32.3,30.25,30.6,44465
2009-07-08,30.0,30.6,28.25,28.85,82757
2009-07-09,29.0,30.0,28.3,28.95,52981
2009-07-10,28.2,30.1,28.0,28.6,63688
2009-07-13,28.2,28.5,26.55,27.2,85350
2009-07-14,27.6,32.5,27.6,28.55,82343
2009-07-15,29.0,30.85,28.3,30.15,77751
2009-07-16,31.05,32.0,29.8,30.25,69269
2009-07-17,31.85,31.85,30.8,31.3,82606
2009-07-20,31.5,34.0,31.5,33.35,180892
2009-07-21,34.0,35.2,33.5,34.15,248651
2009-07-22,34.5,35.5,32.65,34.6,726621
2009-07-23,36.4,37.5,34.3,34.7,1101261
2009-07-24,35.0,35.8,34.55,35.5,297301
2009-07-27,35.7,36.9,35.05,36.55,368607
2009-07-28,37.05,37.05,36.25,36.4,153042
2009-07-29,36.45,36.85,32.3,35.9,215299
2009-07-30,36.0,41.7,35.5,41.1,1744757
2009-07-31,42.05,42.4,39.1,39.55,791767
2009-08-03,39.75,40.95,38.7,39.7,434411
2009-08-04,40.05,41.65,39.2,40.0,523474
2009-08-05,40.3,41.25,40.2,40.35,222184
2009-08-06,40.5,42.15,39.5,39.8,647973
2009-08-07,39.8,39.85,38.4,38.65,165100
2009-08-10,39.5,39.95,37.55,38.05,123821
2009-08-11,38.0,38.2,36.6,37.0,129864
2009-08-12,36.7,37.85,35.55,37.65,129107
2009-08-13,38.2,40.8,38.2,39.85,233050
2009-08-14,40.4,41.5,39.0,40.1,312398
