date,open,high,low,close,volume
2009-03-05,5.3,5.37,5.16,5.21,73495
2009-03-06,5.35,5.35,5.0,5.08,156450
2009-03-09,5.55,5.55,5.05,5.14,72920
2009-03-12,5.2,5.28,5.05,5.09,37060
2009-03-13,5.56,5.56,5.1,5.21,52210
2009-03-16,5.2,5.35,5.16,5.32,76085
2009-03-17,5.23,5.46,5.23,5.38,97795
2009-03-18,5.46,5.52,5.4,5.46,69745
2009-03-19,5.52,5.52,5.4,5.45,90350
2009-03-20,5.43,5.59,5.41,5.56,83495
2009-03-23,5.53,5.69,5.4,5.63,157455
2009-03-24,5.61,5.75,5.59,5.63,127080
2009-03-25,5.55,5.7,5.54,5.59,58420
2009-03-26,5.58,5.66,5.55,5.6,62815
2009-03-27,5.87,5.87,5.52,5.61,139735
2009-03-30,5.61,5.63,5.44,5.5,92170
2009-03-31,5.53,5.66,5.53,5.65,32130
2009-04-01,5.65,5.78,5.6,5.72,104595
2009-04-02,5.8,6.13,5.78,5.93,464645
2009-04-06,6.05,6.17,6.02,6.13,155800
2009-04-08,6.0,6.42,5.9,6.31,372145
2009-04-09,6.4,6.6,6.3,6.49,402315
2009-04-13,6.56,7.05,6.5,6.91,525970
2009-04-15,6.8,7.3,6.8,7.15,587820
2009-04-16,7.06,7.3,6.62,6.76,397370
2009-04-17,6.97,6.98,6.71,6.78,201215
2009-04-20,6.84,6.85,6.6,6.64,210640
2009-04-21,6.64,6.69,6.46,6.65,69515
2009-04-22,6.6,6.86,6.4,6.48,145790
2009-04-23,6.44,6.64,6.41,6.49,194385
2009-04-24,6.5,6.56,6.16,6.39,243695
2009-04-27,6.35,6.64,6.3,6.33,277330
2009-04-28,6.31,6.4,6.22,6.25,72145
2009-04-29,6.39,6.39,6.22,6.26,84505
2009-05-04,6.4,6.49,6.36,6.44,128785
2009-05-05,6.42,6.6,6.4,6.49,243280
2009-05-06,6.42,6.76,6.4,6.43,336250
2009-05-07,6.45,6.6,6.45,6.5,139720
2009-05-08,6.4,6.89,6.4,6.54,737760
2009-05-11,6.7,6.76,6.35,6.43,307820
2009-05-12,6.45,6.5,6.32,6.47,103335
2009-05-13,6.42,6.6,6.34,6.36,248385
2009-05-14,6.34,6.44,6.28,6.41,78870
2009-05-15,6.42,6.51,6.36,6.39,362180
2009-05-19,6.8,7.49,6.52,7.09,1126580
