date,open,high,low,close,volume
2009-03-05,66.0,66.0,60.25,64.5,103174
2009-03-06,64.1,65.3,63.5,64.65,80550
2009-03-09,65.5,65.5,63.7,64.35,65107
2009-03-12,65.0,66.25,64.3,65.2,123701
2009-03-13,65.95,65.95,64.7,65.1,29298
2009-03-16,64.15,65.75,62.15,65.05,42091
2009-03-17,65.5,66.0,64.2,64.4,46627
2009-03-18,73.6,73.6,64.6,65.05,99656
2009-03-19,65.5,66.9,64.25,64.45,144096
2009-03-20,64.95,66.25,64.25,64.8,181618
2009-03-23,65.5,67.0,65.5,65.95,127196
2009-03-24,66.1,66.4,65.0,65.25,72131
2009-03-25,65.0,67.7,65.0,66.0,113421
2009-03-26,67.0,67.0,65.45,65.7,47719
2009-03-27,66.35,67.9,65.8,66.3,86544
2009-03-30,66.0,67.0,65.3,65.95,59030
2009-03-31,70.0,70.7,67.0,67.6,793863
2009-04-01,68.8,68.9,67.0,67.2,153441
2009-04-02,68.1,69.35,67.1,67.45,320490
2009-04-06,68.7,68.7,65.7,66.35,279140
2009-04-08,65.1,69.0,65.1,68.25,216561
2009-04-09,68.5,69.7,68.0,68.55,182111
2009-04-13,69.2,69.6,67.55,68.95,128544
2009-04-15,70.0,74.9,68.25,73.15,660700
2009-04-16,73.5,74.5,69.0,69.4,214954
2009-04-17,70.7,71.0,68.05,68.55,122487
2009-04-20,69.9,70.5,68.0,68.5,68111
2009-04-21,66.9,70.2,66.9,68.85,104990
2009-04-22,69.0,69.9,66.6,67.2,117196
2009-04-23,68.0,68.45,67.0,67.45,63379
2009-04-24,68.0,68.75,66.95,67.25,116087
2009-04-27,68.1,68.1,66.75,66.9,58988
2009-04-28,66.85,67.4,66.1,66.3,49887
2009-04-29,66.9,69.2,66.55,68.15,115571
2009-05-04,68.95,69.35,67.45,67.9,91735
2009-05-05,68.05,69.0,67.7,68.05,67253
2009-05-06,68.15,73.25,67.65,69.75,407287
2009-05-07,70.5,73.0,70.2,71.9,257333
2009-05-08,71.0,73.5,70.5,72.4,213606
2009-05-11,72.85,74.4,71.0,72.65,417454
2009-05-12,72.6,79.2,71.6,76.3,1180736
2009-05-13,76.5,78.45,73.2,73.55,491059
2009-05-14,72.5,75.0,71.65,73.65,264273
2009-05-15,73.95,77.25,73.05,76.0,420336
2009-05-18,83.0,91.2,83.0,89.8,47302
2009-05-19,86.5,92.4,72.55,78.85,613689
2009-05-20,79.9,84.9,78.0,84.45,788593
2009-05-21,78.0,89.9,75.9,85.1,792334
2009-05-22,86.0,99.0,82.75,95.2,1786248
2009-05-25,102.0,109.75,98.1,104.7,3123376
2009-05-26,106.0,106.75,95.1,97.3,985319
2009-05-27,98.9,103.95,98.4,102.45,1184446
2009-05-28,102.0,104.3,99.05,99.95,423180
2009-05-29,101.0,103.0,98.0,99.15,527715
2009-06-01,100.5,111.8,100.5,109.8,1789551
2009-06-02,112.0,113.0,105.5,108.35,1055545
2009-06-03,108.95,112.8,106.7,108.5,1180840
2009-06-04,105.2,118.4,105.2,115.6,1965003
2009-06-05,116.0,126.0,110.8,113.6,4408655
2009-06-08,115.9,117.8,103.2,105.25,988043
2009-06-09,105.5,116.9,100.0,114.3,1189217
2009-06-10,117.0,122.0,112.0,113.7,1344325
2009-06-11,114.0,119.35,108.7,114.9,1781998
2009-06-12,115.0,115.85,102.5,105.75,1603844
2009-06-15,97.25,108.8,97.25,103.15,534125
2009-06-16,102.0,108.0,101.05,104.25,840109
2009-06-17,104.5,107.5,100.0,100.4,772581
2009-06-18,105.8,105.8,98.15,99.85,784060
2009-06-19,100.1,104.7,99.1,101.75,584830
2009-06-22,101.75,102.9,98.55,100.0,408262
2009-06-23,98.5,99.9,97.25,99.0,360869
2009-06-24,94.25,101.75,94.25,98.9,224854
2009-06-25,98.65,105.5,98.5,99.95,898449
2009-06-26,101.5,102.75,100.0,101.1,382087
2009-06-29,94.25,102.9,94.25,100.45,297789
2009-06-30,101.25,102.0,94.65,95.85,1179223
2009-07-01,93.25,97.0,90.0,91.05,842512
2009-07-02,91.0,94.8,91.0,93.35,821184
2009-07-03,91.1,94.65,90.1,93.65,492259
2009-07-06,94.0,98.75,90.15,91.3,1199279
2009-07-07,91.3,92.5,88.0,89.05,310481
2009-07-08,88.1,88.1,84.45,85.4,329264
2009-07-09,85.9,86.45,81.5,82.45,344807
2009-07-10,85.7,85.7,79.15,80.7,504946
2009-07-13,80.0,80.0,76.0,76.95,351718
2009-07-14,79.9,81.45,78.75,80.85,322751
2009-07-15,81.5,85.2,81.25,84.25,685222
2009-07-16,86.1,88.3,84.1,84.4,328398
2009-07-17,85.7,94.0,84.4,92.65,837493
2009-07-20,93.9,94.0,90.0,91.2,387300
2009-07-21,91.4,94.9,90.3,93.3,557527
2009-07-22,90.55,96.4,89.5,90.4,401456
2009-07-23,91.9,94.4,91.5,93.65,250913
2009-07-24,95.0,98.25,93.3,94.6,1144416
