date,open,high,low,close,volume
2009-03-05,157.25,160.7,156.0,156.85,574797
2009-03-06,155.0,156.8,151.0,152.5,645207
2009-03-09,151.0,153.9,144.25,146.35,474567
2009-03-12,147.15,154.9,142.5,153.25,476792
2009-03-13,157.85,165.0,155.45,163.4,255187
2009-03-16,154.9,179.0,154.9,171.0,255608
2009-03-17,168.0,174.1,163.0,164.65,243696
2009-03-18,166.9,173.9,165.15,171.0,269370
2009-03-19,171.0,176.0,168.15,170.4,175287
2009-03-20,170.0,173.7,167.15,168.9,387672
2009-03-23,172.55,179.95,170.55,178.2,215617
2009-03-24,180.0,186.0,162.7,172.5,327420
2009-03-25,174.0,174.85,168.25,170.9,364259
2009-03-26,173.0,177.9,166.1,170.05,839635
2009-03-27,172.9,187.0,170.0,184.0,564415
2009-03-30,180.25,186.8,176.25,181.2,728786
2009-03-31,182.0,191.0,180.0,189.75,733881
2009-04-01,193.65,194.4,188.0,189.25,528915
2009-04-02,192.0,200.3,192.0,197.95,717906
2009-04-06,202.0,204.85,186.6,188.4,611042
2009-04-08,182.0,193.25,181.0,191.35,762306
2009-04-09,192.4,204.9,190.3,201.55,1122159
2009-04-13,205.0,217.4,205.0,212.85,1135560
2009-04-15,209.8,224.7,207.2,219.2,894269
2009-04-16,222.0,224.5,195.5,198.65,514587
2009-04-17,199.1,210.5,199.1,202.95,801372
2009-04-20,203.0,208.5,194.3,197.9,505740
2009-04-21,195.0,207.4,192.5,203.9,457017
2009-04-22,205.0,212.5,202.3,206.05,336775
2009-04-23,208.0,210.4,202.55,208.45,180499
2009-04-24,208.0,216.6,208.0,209.85,354438
2009-04-27,210.0,220.5,209.2,215.85,579743
2009-04-28,223.5,223.5,204.3,206.15,533846
2009-04-29,207.5,209.0,200.1,205.05,878620
2009-05-04,206.0,225.5,206.0,223.25,882513
2009-05-05,228.15,243.5,223.15,239.05,867576
2009-05-06,240.0,247.5,227.4,229.75,625341
2009-05-07,232.0,242.9,232.0,240.6,714328
2009-05-08,241.9,251.0,225.1,238.6,1471363
2009-05-11,240.0,244.9,226.1,228.0,653675
2009-05-12,227.0,233.95,219.0,232.15,1184952
2009-05-13,232.1,237.7,227.4,231.2,461907
2009-05-14,224.05,249.5,223.2,244.7,1088997
2009-05-15,246.0,269.3,235.0,242.1,2276422
2009-05-18,255.0,275.0,254.65,269.6,1030
2009-05-19,260.0,279.9,230.0,246.25,1265364
2009-05-20,255.0,268.85,247.0,263.25,2603299
2009-05-21,265.0,271.4,252.5,254.95,1241602
2009-05-22,253.0,261.5,247.45,257.2,1209499
2009-05-25,259.0,269.4,258.0,262.15,599953
2009-05-26,265.0,265.0,244.0,246.25,476548
2009-05-27,251.0,263.8,251.0,262.9,795915
2009-05-28,261.25,283.8,261.25,279.6,1902019
2009-05-29,286.0,292.8,278.25,283.15,1774610
2009-06-01,290.0,302.0,288.4,293.95,1635346
2009-06-02,300.0,300.0,277.1,286.8,1209454
2009-06-03,295.0,316.45,289.6,307.9,1598139
2009-06-04,299.8,314.95,296.15,300.35,1645411
2009-06-05,302.0,310.9,299.25,305.0,802514
2009-06-08,307.0,307.0,271.0,279.25,685577
2009-06-09,271.15,276.0,258.5,273.25,1399721
2009-06-10,279.75,282.0,264.9,276.1,710994
2009-06-11,270.4,285.6,265.3,269.75,1524391
2009-06-12,271.15,279.5,263.0,265.85,1040554
2009-06-15,265.85,274.5,261.2,265.75,467742
2009-06-16,261.0,269.95,259.05,264.95,721318
2009-06-17,266.05,269.0,243.15,246.25,1137739
2009-06-18,245.0,245.2,230.05,236.8,1158020
2009-06-19,239.0,244.7,232.5,239.1,663474
2009-06-22,241.5,249.9,238.15,242.65,787138
2009-06-23,234.0,242.25,231.2,235.8,752399
2009-06-24,238.0,240.9,234.6,238.7,535497
2009-06-25,240.1,245.4,239.0,240.65,988773
2009-06-26,242.0,245.75,239.0,242.5,260394
2009-06-29,244.0,262.2,241.3,258.55,1048388
2009-06-30,261.0,267.5,248.25,250.95,988902
2009-07-01,251.5,260.6,245.75,256.65,961214
2009-07-02,260.0,260.6,250.25,254.4,374064
2009-07-03,252.0,258.0,249.5,256.65,371176
2009-07-06,256.15,257.9,232.0,235.45,376103
2009-07-07,236.1,239.9,224.0,236.1,542870
2009-07-08,234.0,234.7,220.0,226.7,417109
2009-07-09,225.0,226.5,218.15,221.2,277611
2009-07-10,223.0,234.9,220.2,227.55,684566
2009-07-13,227.0,227.0,211.3,214.75,440264
2009-07-14,219.4,227.15,217.3,225.15,259878
2009-07-15,227.0,252.6,227.0,247.85,800378
2009-07-16,255.0,256.05,239.0,246.7,820003
2009-07-17,249.7,253.9,245.2,250.0,344170
2009-07-20,252.0,259.0,245.4,249.0,476230
2009-07-21,249.9,249.9,240.35,241.95,295987
2009-07-22,243.0,250.7,236.4,238.65,479763
2009-07-23,240.2,245.7,238.65,243.95,301407
2009-07-24,247.0,258.5,244.5,254.8,1060666
2009-07-27,257.0,261.0,254.2,255.05,591248
2009-07-28,257.0,264.9,256.0,259.7,532473
2009-07-29,260.0,260.0,243.0,252.0,513121
2009-07-30,251.0,257.75,246.0,252.15,437432
2009-07-31,254.05,266.4,252.65,258.0,924890
2009-08-03,257.5,263.95,255.1,260.9,403222
2009-08-04,261.0,276.9,261.0,273.85,1262974
2009-08-05,276.0,281.5,269.0,276.2,830497
2009-08-06,276.0,286.35,269.05,272.0,767982
2009-08-07,270.0,270.0,257.25,260.75,468294
2009-08-10,261.1,264.0,247.1,248.4,487499
2009-08-11,254.0,257.5,249.0,253.5,492263
2009-08-12,255.0,266.0,245.5,256.4,486934
2009-08-13,264.1,269.9,257.65,262.45,694833
2009-08-14,263.0,264.6,258.15,259.35,170466
2009-08-17,255.2,255.2,246.45,247.9,503172
2009-08-18,247.9,260.5,244.8,258.3,392301
2009-08-19,259.1,265.4,250.0,254.2,401436
2009-08-20,257.95,262.95,255.2,259.6,432984
2009-08-21,260.0,260.0,251.5,254.0,395207
2009-08-24,255.0,263.5,255.0,262.55,510018
2009-08-25,262.05,264.0,257.0,259.75,369725
2009-08-26,260.4,279.9,260.4,277.7,955884
2009-08-27,280.0,297.5,272.15,291.35,2125405
2009-08-28,289.95,302.0,289.9,294.8,1530947
2009-08-31,294.8,294.8,281.5,283.5,536233
2009-09-01,285.0,285.0,268.6,270.15,994516
2009-09-02,270.0,273.0,265.0,265.8,751382
2009-09-03,267.0,272.45,265.0,266.35,669698
2009-09-04,269.0,274.9,266.4,272.95,706953
2009-09-07,275.0,276.0,269.0,270.05,543996
2009-09-08,272.0,273.1,267.5,268.5,1073138
2009-09-09,268.0,270.8,261.2,264.25,625305
2009-09-10,300.0,300.0,259.8,262.55,416459
2009-09-11,264.4,274.25,258.1,272.5,849889
2009-09-14,272.5,274.0,262.5,264.3,640184
2009-09-15,265.95,271.9,265.95,270.65,885295
2009-09-16,273.7,277.3,270.55,271.45,727920
2009-09-17,274.0,274.7,267.25,269.3,298044
2009-09-18,269.0,288.3,268.05,284.6,1804877
2009-09-22,287.05,289.0,279.25,281.5,1114901
2009-09-23,282.0,283.4,268.1,270.7,938948
2009-09-24,268.0,268.8,262.0,266.75,1217718
2009-09-25,265.0,271.7,262.0,268.0,789881
2009-09-29,270.0,274.0,266.2,272.0,536632
2009-09-30,272.0,279.45,272.0,275.25,757663
2009-10-01,275.0,276.0,270.15,273.95,915792
2009-10-05,272.05,272.2,260.65,261.9,523378
