date,open,high,low,close,volume
2017-10-25,425.0,449.5,390.0,437.15,55112440
2017-10-26,439.75,439.75,422.5,426.08,4091966
2017-10-27,425.0,429.0,415.0,417.42,1122542
2017-10-30,417.42,430.02,413.13,427.73,1789218
2017-10-31,425.0,437.5,422.02,430.98,2761144
2017-11-01,432.5,434.0,422.27,424.0,537174
2017-11-02,422.5,426.25,417.5,418.9,331792
2017-11-03,416.0,421.0,413.75,415.02,344454
2017-11-06,414.0,415.98,407.5,408.9,399778
2017-11-07,408.9,415.0,401.27,403.38,478258
2017-11-08,403.0,405.52,399.52,400.02,315496
2017-11-09,400.5,405.0,395.0,395.7,536126
2017-11-10,395.05,415.0,395.05,411.02,921576
2017-11-13,412.52,424.5,403.75,405.92,1253674
2017-11-14,411.75,416.92,408.02,412.42,476390
2017-11-15,412.5,412.5,398.05,399.98,202598
2017-11-16,400.3,406.5,400.0,401.33,178418
2017-11-17,401.88,405.05,396.0,396.88,408048
2017-11-20,397.5,401.15,396.02,399.92,563648
2017-11-21,398.08,410.4,396.5,398.25,702934
2017-11-22,400.0,404.4,398.5,399.25,226054
2017-11-23,398.58,402.35,395.83,397.1,233138
2017-11-24,399.9,399.9,396.33,397.9,163774
2017-11-27,398.0,398.7,392.5,393.6,395582
2017-11-28,393.0,400.0,393.0,399.05,312258
2017-11-29,398.75,402.95,397.25,400.73,255894
2017-11-30,401.5,406.0,397.55,401.63,290020
2017-12-01,403.2,403.2,397.5,398.48,193472
2017-12-04,398.5,399.98,393.05,397.92,148108
2017-12-05,397.9,399.0,395.02,396.65,122772
2017-12-06,397.5,400.88,393.0,400.4,218438
2017-12-07,397.77,403.0,397.77,401.33,184990
2017-12-08,399.5,402.3,397.75,400.7,129144
2017-12-11,400.95,401.52,395.0,395.88,254740
2017-12-12,395.0,399.0,395.0,395.17,114574
2017-12-13,394.13,397.3,392.5,393.48,88286
2017-12-14,392.67,394.17,388.5,389.45,123936
2017-12-15,391.15,393.0,387.5,390.2,150466
2017-12-18,390.0,392.42,383.5,391.0,150074
2017-12-19,391.27,394.75,388.77,391.2,252756
2017-12-20,389.52,395.0,389.52,392.55,124918
2017-12-21,393.5,395.0,390.0,390.3,155136
2017-12-22,389.0,391.1,386.55,386.9,200818
2017-12-26,387.5,390.9,385.5,389.77,264862
2017-12-27,390.0,390.0,381.75,382.67,487776
2017-12-28,382.67,386.6,380.3,380.7,162124
2017-12-29,381.0,381.3,376.25,376.85,220274
2018-01-01,376.5,383.52,376.15,382.38,198018
2018-01-02,382.38,385.0,380.0,381.38,126604
2018-01-03,381.45,384.88,381.4,382.92,116316
2018-01-04,382.5,388.92,381.0,383.9,183290
2018-01-05,384.0,387.0,382.0,382.17,127556
2018-01-08,382.23,387.48,382.23,386.05,524388
2018-01-09,387.0,387.45,384.98,386.1,163538
2018-01-10,385.0,386.95,384.52,385.45,205710
2018-01-11,384.0,386.0,384.0,385.23,90392
2018-01-12,385.0,402.38,385.0,400.92,738232
2018-01-15,403.0,404.75,398.75,400.0,424768
2018-01-16,396.83,403.52,388.5,399.98,499274
2018-01-17,401.0,403.5,395.0,397.52,167964
2018-01-18,401.5,401.9,392.75,396.4,194546
2018-01-19,396.5,399.25,388.5,391.38,151962
2018-01-22,390.15,396.05,388.65,392.4,122916
2018-01-23,392.08,393.95,389.05,390.0,180696
2018-01-24,390.0,390.42,386.23,387.58,133976
2018-01-25,388.08,394.52,384.98,386.0,320048
2018-01-29,384.58,386.92,382.5,383.38,1317230
2018-01-30,382.58,389.38,379.5,381.0,3033498
2018-01-31,381.08,383.7,377.5,378.33,80236
2018-02-01,382.92,387.98,375.0,376.63,429272
2018-02-02,375.08,379.5,363.88,364.67,217726
2018-02-05,363.27,382.95,359.17,377.42,337050
2018-02-06,365.5,380.0,360.5,377.08,297852
2018-02-07,380.75,383.7,376.5,382.48,138634
2018-02-08,382.5,384.38,375.25,376.83,73224
2018-02-09,371.9,379.1,369.08,372.6,694072
2018-02-12,375.0,381.0,367.1,373.42,213278
2018-02-14,379.98,392.5,377.5,390.3,363696
2018-02-15,389.25,396.83,387.5,392.15,197608
2018-02-16,392.0,394.73,382.5,385.23,86532
2018-02-19,384.1,386.98,375.4,384.2,163860
2018-02-20,382.5,384.0,377.5,378.0,37990
