date,open,high,low,close,volume
2009-03-05,42.7,44.1,42.7,43.1,2175
2009-03-06,44.3,44.5,44.3,44.3,345
2009-03-09,40.8,45.9,40.8,42.8,16290
2009-03-12,44.3,44.7,42.2,43.4,1260
2009-03-13,43.5,44.6,43.1,43.3,8610
2009-03-16,43.3,44.0,43.0,43.2,2310
2009-03-17,43.9,44.3,40.7,42.2,22185
2009-03-18,43.0,44.0,43.0,43.6,2370
2009-03-19,43.1,45.6,43.1,43.6,9675
2009-03-20,43.4,43.9,42.0,42.7,2235
2009-03-23,44.4,44.4,43.0,43.1,3600
2009-03-24,44.7,45.2,44.0,44.0,4095
2009-03-25,45.9,48.3,43.3,43.7,3750
2009-03-26,45.3,45.3,43.7,43.7,4005
2009-03-27,45.0,49.3,44.1,48.3,22665
2009-03-30,50.0,50.0,46.8,48.9,8670
2009-03-31,47.5,49.0,46.8,48.6,8775
2009-04-01,47.3,49.1,47.3,48.4,2070
2009-04-02,49.3,51.7,49.3,49.4,9015
2009-04-06,48.7,53.3,48.7,53.0,28695
2009-04-08,47.2,52.3,47.2,51.5,3165
2009-04-09,53.1,55.3,52.5,54.1,14565
2009-04-13,54.7,54.7,50.1,54.0,7905
2009-04-15,54.0,57.3,53.5,56.0,7920
2009-04-16,53.6,57.3,53.3,55.3,3255
2009-04-17,55.9,57.3,55.7,57.2,16455
2009-04-20,57.3,57.3,54.7,55.8,4050
2009-04-21,54.1,55.3,54.0,54.5,1575
2009-04-22,54.3,54.7,54.0,54.0,645
2009-04-23,54.7,54.7,53.7,54.0,1140
2009-04-24,54.9,56.1,54.7,55.6,5340
2009-04-27,58.7,66.7,54.7,66.7,77595
2009-04-28,68.7,70.0,60.2,61.7,114765
2009-04-29,61.7,63.3,60.4,62.4,41085
2009-05-04,61.5,64.8,60.4,61.7,110460
2009-05-05,62.0,62.7,60.6,62.1,10425
2009-05-06,63.2,63.2,60.1,61.1,6090
2009-05-07,60.1,63.3,60.1,62.8,19605
2009-05-08,62.8,63.3,58.0,62.3,9825
2009-05-11,62.0,63.0,59.1,61.5,4350
2009-05-12,59.7,61.9,59.1,61.8,3405
2009-05-13,60.0,63.3,60.0,62.0,5805
2009-05-14,62.7,62.7,59.8,61.3,3705
2009-05-15,60.4,62.7,60.4,61.0,6315
2009-05-19,63.3,68.9,62.1,66.4,329985
2009-05-20,67.7,71.3,64.3,70.1,994785
2009-05-21,83.3,83.3,71.3,74.1,110295
2009-05-22,76.7,76.7,70.7,74.6,130890
2009-05-25,80.0,89.5,78.7,89.5,310275
2009-05-26,96.3,96.3,80.6,80.6,155460
2009-05-27,80.1,82.3,72.7,73.6,77535
2009-05-28,73.7,76.7,67.7,69.0,159120
2009-05-29,73.3,73.7,69.3,70.2,65760
2009-06-01,72.6,72.6,68.5,68.9,33450
2009-06-02,69.5,74.0,69.0,72.3,193320
2009-06-03,72.7,74.2,70.4,70.7,27615
2009-06-04,70.0,73.3,70.0,71.2,54630
2009-06-05,70.7,77.3,70.0,74.6,155730
2009-06-08,73.4,74.8,71.7,71.7,39990
2009-06-09,66.7,74.7,66.7,71.4,78915
2009-06-10,78.6,78.6,76.0,78.6,147000
2009-06-11,86.4,86.4,73.4,80.5,446760
2009-06-12,81.3,82.0,78.2,80.7,131865
2009-06-15,80.1,86.7,76.7,82.0,164760
2009-06-16,80.0,82.0,80.0,81.4,13980
2009-06-17,80.5,83.3,76.0,77.1,19635
2009-06-18,73.6,77.3,73.6,76.7,19200
2009-06-19,79.0,79.0,77.7,78.2,70305
2009-06-22,78.7,78.7,76.7,76.8,1755
2009-06-23,75.1,78.0,75.0,76.7,120240
2009-06-24,74.7,78.0,74.7,76.8,3915
2009-06-25,75.3,78.6,73.4,76.7,10560
2009-06-26,77.7,79.3,76.3,78.6,6495
2009-06-29,76.7,81.5,76.7,79.7,45825
2009-06-30,80.0,82.3,80.0,81.9,247005
2009-07-01,80.7,81.9,80.0,81.3,42930
2009-07-02,80.7,82.9,80.7,81.4,23460
2009-07-03,81.0,83.1,81.0,81.7,12075
2009-07-06,81.4,84.0,80.4,82.9,96195
2009-07-07,82.3,85.9,80.7,85.4,77745
2009-07-08,85.3,85.9,84.0,85.3,59715
2009-07-09,83.7,88.0,83.7,85.2,62670
2009-07-10,85.5,86.7,84.3,84.5,18855
2009-07-13,84.0,85.9,84.0,85.2,68490
2009-07-14,84.5,86.7,84.5,86.6,14175
2009-07-15,86.3,88.9,86.3,88.2,22560
2009-07-16,86.1,89.9,86.1,88.8,18120
2009-07-17,87.4,92.7,86.8,91.6,72705
2009-07-20,89.7,92.0,89.5,91.7,10680
2009-07-21,91.9,94.0,90.0,90.3,7650
2009-07-22,92.7,92.7,90.0,90.8,10755
2009-07-23,90.1,94.0,90.1,93.4,29550
2009-07-24,93.3,96.2,93.3,95.2,22290
2009-07-27,96.5,97.1,93.3,93.5,6540
2009-07-28,96.7,112.0,92.3,111.4,179745
2009-07-29,111.4,111.6,99.9,107.3,37365
2009-07-30,106.7,106.7,102.7,105.2,8370
2009-07-31,110.0,121.7,110.0,117.9,202845
2009-08-03,125.7,125.7,111.3,117.7,68790
2009-08-04,117.7,120.0,117.7,118.4,9855
2009-08-05,119.7,120.0,116.7,118.3,9960
2009-08-06,116.7,119.7,114.8,116.2,12675
2009-08-07,116.7,116.7,113.0,113.3,16680
2009-08-10,113.4,113.4,107.1,108.9,18285
2009-08-11,106.1,109.3,106.1,107.9,13410
2009-08-12,103.8,109.3,103.8,108.2,14595
2009-08-13,114.6,114.6,108.0,111.6,28995
2009-08-14,108.5,111.7,108.5,110.7,8490
2009-08-17,106.7,108.5,106.7,107.1,19815
