date,open,high,low,close,volume
2017-10-16,615.6,630.0,563.4,595.65,24000048
2017-10-17,596.2,599.95,582.8,587.8,2285512
2017-10-18,584.5,605.8,580.0,600.15,2299835
2017-10-19,600.0,601.7,588.1,592.6,321920
2017-10-23,594.35,596.9,580.0,581.75,504465
2017-10-24,581.2,587.0,575.0,577.6,443099
2017-10-25,577.8,582.0,555.0,558.15,688096
2017-10-26,562.95,562.95,542.9,545.25,466716
2017-10-27,548.0,572.0,548.0,560.35,554111
2017-10-30,566.8,575.0,561.25,571.3,407389
2017-10-31,572.9,582.0,571.0,575.2,249070
2017-11-01,576.05,582.8,571.05,572.95,306144
2017-11-02,572.95,578.0,562.75,567.55,251514
2017-11-03,570.0,575.8,565.4,569.45,235204
2017-11-06,546.0,560.0,546.0,549.1,438116
2017-11-07,551.0,555.0,541.0,545.1,280595
2017-11-08,545.9,554.8,538.1,547.5,254410
2017-11-09,550.0,554.0,542.4,545.95,128730
2017-11-10,543.0,552.0,542.0,548.75,179443
2017-11-13,549.95,550.0,535.0,538.45,409381
2017-11-14,536.5,540.95,522.15,528.8,461424
2017-11-15,530.8,535.0,527.15,529.65,192711
2017-11-16,530.0,535.0,522.35,531.65,131780
2017-11-17,534.9,540.0,530.2,538.4,270076
2017-11-20,542.0,550.6,538.1,546.0,374190
2017-11-21,550.7,565.0,550.7,558.1,205973
2017-11-22,562.25,565.0,554.45,556.7,136575
2017-11-23,563.6,563.6,547.6,548.9,73355
2017-11-24,549.0,553.4,545.05,549.7,70294
2017-11-27,551.0,551.5,542.0,544.05,124151
2017-11-28,546.0,546.0,540.0,542.55,151912
2017-11-29,544.0,544.85,537.5,538.4,68265
2017-11-30,537.8,564.5,535.25,552.8,249099
2017-12-01,554.95,559.65,553.0,555.05,145409
2017-12-04,560.0,560.0,546.55,554.55,90786
2017-12-05,553.7,555.0,544.15,546.35,985008
2017-12-06,546.3,548.35,538.7,542.95,175935
2017-12-07,544.85,549.4,540.0,542.0,163361
2017-12-08,546.9,549.0,543.0,547.5,178547
2017-12-11,554.0,554.0,544.0,546.65,102085
2017-12-12,548.95,554.9,545.35,553.0,173152
2017-12-13,550.05,554.75,547.0,548.6,69029
2017-12-14,553.9,553.9,543.55,546.4,84189
2017-12-15,551.0,553.0,549.1,550.85,84291
2017-12-18,553.0,558.0,545.0,555.2,120514
2017-12-19,556.0,563.25,554.6,558.9,114684
2017-12-20,563.95,567.0,559.05,564.45,296757
2017-12-21,565.05,578.1,564.0,574.15,252281
2017-12-22,578.95,579.9,566.0,568.05,119931
2017-12-26,573.0,575.0,563.1,568.75,84277
2017-12-27,569.0,572.8,559.0,559.9,95850
2017-12-28,560.3,566.8,560.0,560.75,134793
2017-12-29,562.0,589.0,560.0,579.25,323392
2018-01-01,581.45,596.7,581.0,591.25,310670
2018-01-02,592.75,605.0,591.95,600.0,368426
2018-01-03,605.0,615.65,602.0,610.15,423166
2018-01-04,615.4,621.9,607.15,613.95,237303
2018-01-05,618.9,621.0,607.6,609.85,200669
2018-01-08,621.0,625.0,614.0,616.1,306683
2018-01-09,620.5,620.5,610.0,611.15,152094
2018-01-10,615.0,636.0,605.25,621.35,403981
2018-01-11,624.9,629.9,615.0,618.05,244339
2018-01-12,622.7,625.7,611.0,620.75,171433
2018-01-15,624.9,627.0,618.5,624.05,192754
2018-01-16,625.05,625.55,609.15,610.9,146184
2018-01-17,610.0,612.75,590.45,606.0,165663
2018-01-18,612.0,624.8,595.0,598.9,154080
2018-01-19,605.0,607.95,588.5,592.5,227221
2018-01-22,588.5,607.8,588.5,599.75,83897
2018-01-23,601.55,606.8,591.0,596.25,114881
2018-01-24,596.95,596.95,580.0,588.3,128389
2018-01-25,591.75,591.75,580.0,582.7,77250
2018-01-29,589.8,592.6,579.5,582.25,94436
2018-01-30,585.95,585.95,570.0,571.3,221958
2018-01-31,572.0,579.0,562.1,570.4,104169
2018-02-01,575.0,609.7,567.7,584.8,691894
2018-02-02,584.8,599.0,575.75,585.5,540626
2018-02-05,585.0,594.0,575.0,584.45,328343
2018-02-06,570.0,579.0,561.0,563.9,567764
2018-02-07,578.0,590.0,569.25,587.1,270895
2018-02-08,580.0,594.9,570.0,589.75,419751
2018-02-09,576.0,591.0,575.0,588.2,148076
2018-02-12,588.0,597.9,585.0,591.05,83079
2018-02-14,592.05,595.0,586.15,589.95,131734
2018-02-15,594.6,594.6,585.15,587.05,70050
2018-02-16,583.1,588.95,573.0,576.7,101319
2018-02-19,584.4,584.4,566.0,580.5,357747
2018-02-20,584.35,584.35,567.5,568.6,107744
2018-02-21,571.05,590.9,566.4,588.0,348230
2018-02-22,582.0,594.0,575.95,580.25,225211
2018-02-23,581.0,589.95,581.0,585.05,73815
2018-02-26,587.0,609.5,582.0,603.7,171300
2018-02-27,609.0,610.0,593.15,605.1,131078
2018-02-28,600.35,608.0,595.0,605.2,220547
2018-03-01,606.0,670.4,606.0,654.7,2535520
2018-03-05,648.5,677.0,643.85,668.0,1177604
2018-03-06,670.0,687.85,664.05,669.1,926270
2018-03-07,667.9,674.9,648.0,653.5,406320
2018-03-08,660.0,669.4,641.25,649.05,274463
2018-03-09,654.0,663.5,641.95,657.9,305128
2018-03-12,662.0,666.6,642.0,647.9,202011
2018-03-13,650.5,684.9,648.3,674.55,615463
2018-03-14,675.0,701.9,668.35,696.95,866265
2018-03-15,700.2,707.05,685.2,687.85,363416
2018-03-16,690.0,698.0,661.0,667.4,267603
2018-03-19,673.7,673.7,628.4,632.95,319227
2018-03-20,630.0,644.0,615.9,633.55,270650
2018-03-21,639.55,655.55,637.75,643.45,177799
2018-03-22,647.4,653.4,635.45,643.55,138354
2018-03-23,618.1,649.8,618.1,642.95,201320
2018-03-26,646.5,651.0,633.0,643.45,192843
2018-03-27,648.25,660.0,643.0,650.75,210095
2018-03-28,646.3,650.95,636.0,637.8,103402
2018-04-02,642.45,646.95,637.8,639.35,155500
2018-04-03,639.0,657.0,638.55,651.6,217139
2018-04-04,654.6,670.0,650.25,656.7,355226
2018-04-05,663.0,675.0,661.6,665.6,165523
2018-04-06,661.1,669.7,661.1,666.45,113730
2018-04-09,665.3,722.7,654.0,713.85,1454796
2018-04-10,718.4,731.8,693.0,696.05,933953
2018-04-11,696.8,703.7,685.25,691.35,652753
2018-04-12,691.8,706.35,688.0,702.65,322274
2018-04-13,705.0,706.85,692.0,695.0,176524
2018-04-16,692.35,702.35,687.9,698.95,155250
2018-04-17,701.0,704.0,691.0,693.95,205139
2018-04-18,695.55,699.8,690.1,694.1,129338
2018-04-19,695.0,709.95,692.0,698.7,179361
2018-04-20,698.0,726.85,693.1,717.25,543871
2018-04-23,719.1,738.0,712.0,716.3,407389
2018-04-24,716.0,735.0,714.05,725.95,313125
2018-04-25,725.0,731.55,705.3,710.1,207260
2018-04-26,711.1,714.0,700.05,702.7,142583
2018-04-27,705.0,719.9,700.05,703.25,157477
2018-04-30,706.0,708.6,698.5,704.5,109956
2018-05-02,706.55,707.65,697.95,700.75,136721
2018-05-03,700.0,710.0,696.5,705.3,200045
2018-05-04,705.3,714.7,702.0,708.4,132061
2018-05-07,712.8,715.0,705.0,707.3,106048
2018-05-08,710.0,710.35,697.1,699.2,282983
2018-05-09,702.7,702.7,678.15,679.95,370806
2018-05-10,681.55,684.8,673.1,677.25,168605
2018-05-11,679.55,691.8,670.05,684.3,163407
2018-05-14,688.4,694.05,670.0,676.8,178080
2018-05-15,665.0,665.0,645.0,648.4,451861
2018-05-16,639.25,649.95,636.15,639.0,233761
2018-05-17,639.0,645.0,609.9,629.15,402540
2018-05-18,632.0,637.15,613.0,617.95,333569
2018-05-21,614.8,615.45,586.6,602.35,303391
2018-05-22,603.8,619.0,603.0,614.75,204053
2018-05-23,618.0,632.0,611.55,625.65,125046
2018-05-24,628.0,644.0,620.35,638.7,168778
2018-05-25,641.8,658.5,633.75,653.75,156612
2018-05-28,653.8,658.7,639.0,650.0,98772
2018-05-29,650.0,652.8,640.05,644.0,67253
2018-05-30,641.0,650.0,630.15,646.5,64504
2018-05-31,646.75,648.0,631.1,633.75,91517
2018-06-01,635.0,651.5,632.25,639.9,139671
2018-06-04,647.0,648.9,640.0,645.65,175609
2018-06-05,646.0,646.0,617.95,620.6,108407
2018-06-06,626.2,648.0,615.2,645.25,152473
2018-06-07,650.0,662.0,645.05,655.35,192991
2018-06-08,657.9,667.0,652.0,656.4,150769
2018-06-11,656.0,665.25,653.55,662.3,127512
2018-06-12,662.0,665.65,656.0,660.6,159585
2018-06-13,662.0,662.95,651.0,657.65,138672
2018-06-14,654.95,661.05,646.2,655.7,178276
2018-06-15,664.55,679.85,651.3,656.25,336839
2018-06-18,653.0,665.45,651.35,663.3,274211
2018-06-19,663.0,663.0,646.1,653.2,81461
2018-06-20,655.1,662.0,643.2,647.7,96521
2018-06-21,646.0,647.65,637.0,643.4,70319
2018-06-22,643.35,646.0,633.0,643.1,90448
2018-06-25,643.25,645.0,630.0,635.0,45592
2018-06-26,631.0,637.8,625.0,627.55,56696
2018-06-27,625.55,627.6,607.0,610.3,89003
2018-06-28,612.0,616.0,603.7,612.6,55193
2018-06-29,620.0,625.0,615.05,619.35,54190
2018-07-02,625.0,628.0,612.0,623.9,61574
2018-07-03,621.0,625.5,615.0,617.85,42037
2018-07-04,615.0,619.8,608.15,610.5,77442
2018-07-05,614.8,616.95,605.0,608.9,45063
2018-07-06,610.0,613.45,606.7,609.35,73953
2018-07-09,616.0,617.85,607.0,614.6,104757
2018-07-10,618.0,618.2,613.0,616.5,75020
2018-07-11,616.5,621.0,610.0,612.45,105704
2018-07-12,614.9,618.25,612.0,615.75,103756
2018-07-13,612.5,616.45,606.15,610.2,41846
2018-07-16,606.3,610.0,602.25,606.05,66712
2018-07-17,602.0,610.9,602.0,607.15,44464
2018-07-18,607.3,610.0,601.95,604.6,41061
2018-07-19,603.25,606.9,585.1,590.75,76155
2018-07-20,592.95,602.95,582.05,595.6,74178
2018-07-23,592.0,614.95,592.0,610.8,87706
2018-07-24,612.5,644.4,606.05,640.9,147901
2018-07-25,640.9,654.0,640.9,647.45,104394
2018-07-26,646.0,657.9,635.3,655.1,77344
2018-07-27,652.0,660.0,644.0,647.5,39547
2018-07-30,650.0,651.45,630.0,636.4,59087
2018-07-31,631.0,635.0,624.2,627.55,50329
2018-08-01,623.15,643.5,623.15,630.95,109675
2018-08-02,628.0,644.5,627.15,637.4,57679
2018-08-03,642.0,659.0,639.65,656.8,122533
2018-08-06,652.0,659.85,647.0,657.2,75767
2018-08-07,652.3,657.55,635.15,645.5,73038
2018-08-08,650.75,652.65,638.3,649.85,59014
2018-08-09,645.45,657.0,621.1,639.85,62841
2018-08-10,645.0,648.15,621.2,625.15,72017
2018-08-13,623.0,625.0,604.0,606.65,131465
2018-08-14,607.3,615.0,602.55,605.25,63323
2018-08-16,611.9,611.9,602.0,605.0,58333
2018-08-17,610.0,611.35,602.0,603.85,126735
2018-08-20,604.0,608.5,596.0,601.25,135028
2018-08-21,601.7,606.0,592.1,595.3,153667
2018-08-23,595.3,602.0,590.55,595.35,93378
2018-08-24,598.0,607.0,595.0,598.5,106445
2018-08-27,602.8,604.5,592.1,595.4,75568
2018-08-28,599.4,599.9,588.1,590.3,112953
2018-08-29,597.9,597.9,585.0,588.35,106513
2018-08-30,588.35,591.8,582.0,583.15,87479
2018-08-31,581.0,592.0,581.0,582.85,77494
2018-09-03,584.0,591.0,575.1,577.1,90607
2018-09-04,577.2,580.0,549.6,552.2,357582
2018-09-05,552.1,560.0,545.5,552.45,81975
2018-09-06,558.85,578.0,554.7,571.35,133653
2018-09-07,569.0,578.0,565.0,576.1,69443
2018-09-10,576.0,580.65,569.05,574.35,59785
2018-09-11,574.0,578.2,568.25,577.7,134679
2018-09-12,587.95,594.35,573.1,576.25,191108
2018-09-14,577.9,591.95,575.05,585.3,239449
2018-09-17,580.0,583.55,565.0,576.55,84400
2018-09-18,577.0,578.6,557.1,562.85,66118
2018-09-19,563.3,570.3,546.05,550.2,65745
2018-09-21,559.95,559.95,522.0,529.8,123558
2018-09-24,532.8,539.95,518.9,522.8,108817
2018-09-25,526.5,529.9,514.1,518.35,102799
2018-09-26,526.8,527.9,515.65,519.45,131775
2018-09-27,524.0,524.6,515.0,517.2,73903
2018-09-28,524.6,524.95,508.0,514.1,81957
2018-10-01,517.1,521.5,492.55,517.45,282211
2018-10-03,521.6,552.0,517.45,532.1,85514
2018-10-04,526.0,539.9,518.7,526.05,70054
2018-10-05,525.0,530.95,513.2,515.55,52526
2018-10-08,515.0,517.55,502.75,510.25,60059
2018-10-09,512.95,517.95,490.1,505.3,71538
2018-10-10,506.0,526.85,506.0,521.85,44853
2018-10-11,509.0,525.0,492.3,516.1,62797
2018-10-12,516.75,533.0,510.55,516.45,78162
2018-10-15,520.0,526.0,511.25,522.0,77270
2018-10-16,530.1,545.0,530.1,536.65,58601
2018-10-17,543.8,543.8,529.85,533.65,49574
2018-10-19,527.0,539.35,518.2,520.95,39897
2018-10-22,523.8,525.6,510.0,512.85,81022
2018-10-23,512.85,524.35,501.05,504.35,77090
2018-10-24,507.2,519.1,503.3,510.45,48752
2018-10-25,508.1,513.85,505.0,510.25,30774
2018-10-26,508.0,518.9,505.2,512.4,37777
2018-10-29,519.3,529.0,511.2,520.9,415241
2018-10-30,521.1,531.1,519.15,522.25,39842
2018-10-31,521.2,527.65,518.05,524.95,44748
2018-11-01,528.95,529.95,520.0,522.55,43215
2018-11-02,528.0,529.85,521.0,522.2,87778
2018-11-05,523.5,536.4,523.15,530.45,98593
2018-11-06,531.0,539.9,522.3,524.0,80473
2018-11-07,529.0,532.9,526.05,529.55,18662
2018-11-09,529.2,529.2,518.7,523.8,45477
2018-11-12,526.95,534.4,521.75,527.75,66902
2018-11-13,528.0,529.0,522.0,523.6,29309
2018-11-14,526.65,527.75,518.0,522.15,26811
2018-11-15,522.0,525.2,516.1,517.85,30272
2018-11-16,523.05,533.95,511.0,514.75,169305
2018-11-19,514.15,518.45,513.05,514.55,34500
2018-11-20,515.85,515.85,509.05,510.15,39252
2018-11-21,513.6,513.6,505.0,508.3,38302
2018-11-22,506.35,512.95,504.25,506.15,28417
2018-11-26,505.55,514.9,494.3,510.5,65890
2018-11-27,512.25,516.6,503.85,508.25,39652
2018-11-28,511.8,511.8,498.65,500.8,71045
2018-11-29,502.0,504.4,497.2,499.95,57903
2018-11-30,499.55,503.85,494.35,495.85,121804
