date,open,high,low,close,volume
2009-03-05,42.33,42.33,41.33,41.52,24401
2009-03-06,41.33,41.52,41.03,41.33,16646
2009-03-09,41.02,42.0,41.0,41.77,32462
2009-03-12,41.67,41.67,40.67,41.05,32456
2009-03-13,41.0,41.11,39.69,40.09,1645550
2009-03-16,40.0,41.0,39.67,39.92,234095
2009-03-17,39.92,39.92,38.37,38.65,154877
2009-03-18,38.33,38.33,37.0,37.48,733385
2009-03-19,37.5,41.98,37.5,40.59,1547666
2009-03-20,41.27,43.23,38.73,39.43,251732
2009-03-23,40.05,40.67,39.69,40.33,226607
2009-03-24,40.31,41.0,39.78,40.17,145232
2009-03-25,40.0,40.31,39.35,39.72,169022
2009-03-26,40.0,40.67,40.0,40.3,289985
2009-03-27,40.67,41.19,40.19,40.45,200507
2009-03-30,40.67,42.67,40.17,42.3,234620
2009-03-31,42.67,44.98,41.77,44.47,491855
2009-04-01,44.67,44.9,41.85,42.59,63272
2009-04-02,43.13,43.13,42.0,42.42,1012241
2009-04-06,42.97,43.1,41.83,42.88,107618
2009-04-08,42.83,43.33,42.0,42.95,169112
2009-04-09,43.33,45.0,42.67,43.45,2207021
2009-04-13,44.33,45.0,43.73,44.23,262334
2009-04-15,43.33,44.98,43.0,44.27,86639
2009-04-16,44.33,44.57,43.65,44.02,267716
2009-04-17,43.7,46.67,43.67,45.63,503096
2009-04-20,45.5,47.0,44.21,45.17,91904
2009-04-21,45.17,45.33,44.17,44.21,35171
2009-04-22,44.67,44.97,44.0,44.19,32312
2009-04-23,44.02,44.67,44.02,44.38,29657
2009-04-24,45.3,45.3,44.0,44.37,27608
2009-04-27,44.33,45.3,44.21,45.0,143123
2009-04-28,45.0,48.33,45.0,47.29,355271
2009-04-29,51.67,51.67,46.67,46.69,1281236
2009-05-04,48.37,49.33,47.35,47.8,306215
2009-05-05,47.4,48.43,46.33,47.75,212621
2009-05-06,47.93,49.33,47.42,48.19,148709
2009-05-07,49.97,50.0,46.73,47.65,516317
2009-05-08,48.33,48.93,46.93,47.97,182768
2009-05-11,48.63,49.0,46.73,47.47,83486
2009-05-12,46.98,48.0,46.37,47.13,318974
2009-05-13,47.33,47.67,46.88,47.37,94031
2009-05-14,47.0,50.0,46.67,49.73,221300
2009-05-15,49.33,53.67,49.07,52.57,1060865
2009-05-18,53.33,53.33,53.33,53.33,104
2009-05-19,55.0,55.67,50.0,53.42,1484237
2009-05-20,53.33,54.0,51.03,51.69,1098914
2009-05-21,52.67,54.33,52.02,53.92,446951
2009-05-22,54.0,55.13,53.0,53.67,113723
2009-05-25,53.67,57.67,53.33,55.48,1351013
2009-05-26,56.63,58.33,52.37,54.92,1634825
2009-05-27,56.98,57.33,54.2,55.03,87356
2009-05-28,56.65,60.0,56.45,58.63,502094
2009-05-29,58.33,62.3,58.33,61.02,1171730
2009-06-01,62.67,63.33,60.12,61.55,2196602
2009-06-02,61.83,62.77,59.73,60.62,283646
2009-06-03,61.65,62.48,59.05,62.09,669848
2009-06-04,62.0,62.67,60.02,61.21,158525
2009-06-05,60.67,61.67,59.0,60.95,206534
2009-06-08,61.47,61.47,59.0,59.67,238916
2009-06-09,59.0,60.98,58.33,60.2,161768
2009-06-10,61.5,61.67,60.0,60.3,190199
2009-06-11,60.67,60.67,58.1,59.19,193343
2009-06-12,58.67,59.83,58.67,59.09,189746
2009-06-15,58.33,59.55,58.17,58.37,29513
2009-06-16,57.33,58.27,56.0,57.17,155579
2009-06-17,59.31,66.2,55.0,55.57,415358
2009-06-18,56.67,56.67,52.35,53.65,129302
2009-06-19,51.67,56.0,50.73,55.19,65486
2009-06-22,54.02,55.67,53.37,54.03,32411
2009-06-23,53.67,63.33,53.33,59.98,590822
2009-06-24,60.33,60.63,56.77,58.8,449774
2009-06-25,58.43,59.83,57.35,58.25,207776
2009-06-26,57.67,59.33,57.43,58.5,118082
2009-06-29,58.33,58.9,54.65,55.9,238118
2009-06-30,57.33,57.33,54.7,55.05,69959
2009-07-01,56.67,57.0,54.05,55.19,318308
2009-07-02,55.21,56.59,55.0,55.97,208160
2009-07-03,55.17,56.33,54.37,54.83,125849
2009-07-06,55.67,56.67,53.5,55.19,143069
2009-07-07,55.97,57.17,54.35,56.07,1397135
2009-07-08,55.67,55.67,53.7,53.87,1427303
2009-07-09,61.69,61.69,53.33,56.03,696206
2009-07-10,56.67,58.62,55.33,57.09,1309640
2009-07-13,58.33,59.0,55.05,55.69,171317
