date,open,high,low,close,volume
2009-03-05,21.35,21.55,20.85,21.05,41902
2009-03-06,21.0,21.9,20.05,21.65,41910
2009-03-09,20.7,22.0,20.7,21.55,26306
2009-03-12,22.05,22.7,21.05,21.7,17725
2009-03-13,21.8,22.4,21.8,21.9,24364
2009-03-16,22.0,22.2,21.5,21.7,72643
2009-03-17,22.25,22.25,21.15,21.25,134299
2009-03-18,21.95,21.95,20.6,20.7,277341
2009-03-19,21.3,22.65,20.55,22.3,1670995
2009-03-20,22.65,23.9,22.05,23.15,700851
2009-03-23,24.2,24.7,23.5,23.85,495603
2009-03-24,24.7,24.7,23.1,23.4,255433
2009-03-25,23.65,24.15,22.3,23.5,166055
2009-03-26,23.8,24.85,23.65,24.5,229797
2009-03-27,24.7,25.9,24.3,25.35,354616
2009-03-30,25.0,25.9,24.35,24.6,179541
2009-03-31,25.45,25.75,24.3,24.9,84169
2009-04-01,24.6,25.75,24.55,25.45,183375
2009-04-02,26.5,26.9,25.6,26.1,227562
2009-04-06,26.9,28.5,26.7,27.25,183807
2009-04-08,27.25,28.4,26.05,28.15,211842
2009-04-09,28.4,29.0,27.4,27.65,291480
2009-04-13,28.0,32.0,28.0,31.6,551594
2009-04-15,31.5,34.4,30.2,33.9,508113
2009-04-16,36.0,36.0,31.1,31.45,324076
2009-04-17,33.0,33.6,30.55,31.05,122665
2009-04-20,32.0,32.5,31.05,31.9,198137
2009-04-21,30.75,31.9,30.75,31.35,200788
2009-04-22,32.0,32.8,31.05,31.55,110159
2009-04-23,31.65,31.9,30.75,31.2,142915
2009-04-24,31.65,32.45,31.1,32.1,101206
2009-04-27,32.1,33.0,31.25,31.65,105902
2009-04-28,31.7,33.5,31.0,31.25,163045
2009-04-29,31.95,32.0,31.15,31.3,64848
2009-05-04,32.5,34.0,31.6,32.1,126495
2009-05-05,32.7,38.55,31.6,38.5,1197233
2009-05-06,38.9,43.5,34.05,41.05,1348133
2009-05-07,42.5,48.25,41.25,45.75,1246891
2009-05-08,45.7,48.0,42.25,44.5,828142
2009-05-11,44.5,44.9,40.05,40.05,250950
2009-05-12,40.05,41.5,37.0,41.05,374197
2009-05-13,41.75,42.45,38.8,39.8,170083
2009-05-14,38.2,43.2,38.0,41.45,1341739
2009-05-15,41.45,43.5,40.05,40.6,140475
2009-05-18,43.0,44.7,42.5,44.5,954
2009-05-19,47.0,47.0,41.55,43.2,210296
2009-05-20,43.2,45.7,43.2,44.65,311857
2009-05-21,45.0,47.25,43.5,44.3,365007
2009-05-22,44.0,46.1,43.0,44.35,174202
2009-05-25,44.0,48.8,44.0,48.15,324292
2009-05-26,49.0,50.0,44.9,45.15,155927
2009-05-27,46.45,47.5,45.5,45.75,96999
2009-05-28,46.1,47.65,45.4,46.15,124645
2009-05-29,46.95,49.3,46.55,47.9,255692
2009-06-01,49.45,52.4,48.15,50.2,648432
2009-06-02,51.0,52.0,48.8,50.35,662892
2009-06-03,52.0,52.0,48.8,49.85,366836
2009-06-04,49.75,50.75,48.05,48.9,421753
2009-06-05,49.9,50.0,48.0,48.2,164486
2009-06-08,48.8,49.8,43.6,44.55,179842
2009-06-09,42.1,45.4,41.7,44.4,147010
2009-06-10,44.95,46.85,44.85,45.6,118861
2009-06-11,45.9,45.9,43.7,44.5,64778
2009-06-12,44.5,45.4,42.8,43.3,107706
2009-06-15,43.8,44.8,41.85,42.15,84398
2009-06-16,42.0,43.75,41.35,43.4,66283
2009-06-17,43.7,43.95,41.5,41.75,60715
2009-06-18,41.05,41.85,39.8,40.0,86210
2009-06-19,40.75,42.0,39.55,40.65,61338
2009-06-22,40.65,41.0,38.1,40.05,44364
2009-06-23,40.0,41.0,39.05,40.75,55406
2009-06-24,41.25,42.5,40.4,41.25,76793
2009-06-25,41.3,43.0,41.3,42.4,61413
2009-06-26,42.6,43.75,42.0,43.0,32111
2009-06-29,43.6,44.0,43.1,43.55,39270
2009-06-30,43.85,47.1,43.4,46.15,401186
2009-07-01,47.8,50.0,47.45,48.0,1004292
2009-07-02,48.5,51.7,47.5,50.95,739817
2009-07-03,51.0,52.25,50.05,51.4,308600
2009-07-06,52.2,55.0,48.25,49.1,313736
2009-07-07,49.25,50.6,48.55,50.15,128704
2009-07-08,49.0,51.75,48.15,49.7,234428
2009-07-09,50.1,51.25,49.0,49.75,83272
2009-07-10,49.5,50.65,48.6,49.2,98393
2009-07-13,49.05,49.55,47.05,47.8,136931
2009-07-14,49.45,49.6,48.05,48.4,170938
2009-07-15,49.75,51.0,48.3,50.25,338273
2009-07-16,51.0,53.9,50.2,52.1,546449
2009-07-17,54.0,54.0,52.55,53.15,223368
2009-07-20,53.95,55.95,52.95,55.5,497682
2009-07-21,53.1,53.1,50.8,51.65,365317
2009-07-22,52.35,52.7,47.0,49.5,220774
2009-07-23,50.8,51.25,49.65,50.8,105386
2009-07-24,51.5,51.5,50.15,50.9,111631
2009-07-27,51.15,52.4,50.25,51.15,136162
2009-07-28,51.6,51.85,50.05,51.2,121695
2009-07-29,51.0,51.8,49.75,49.95,106006
2009-07-30,50.05,50.35,49.05,49.6,60557
2009-07-31,50.6,51.5,50.0,50.95,221428
2009-08-03,51.45,52.0,49.1,50.4,154220
2009-08-04,50.4,52.0,50.1,50.9,137305
2009-08-05,50.8,51.5,50.5,50.9,48901
2009-08-06,51.0,54.4,50.6,51.25,387924
2009-08-07,50.9,52.8,49.5,50.05,120329
2009-08-10,50.15,51.2,48.2,49.15,89247
2009-08-11,49.5,49.5,48.15,49.15,61341
2009-08-12,48.7,49.05,48.0,48.4,81804
2009-08-13,49.85,51.7,48.5,50.95,157316
2009-08-14,51.75,53.0,51.4,51.9,276218
2009-08-17,50.5,53.0,50.5,51.75,167525
2009-08-18,52.4,52.7,51.25,51.5,70713
2009-08-19,50.95,52.7,50.95,51.35,98519
2009-08-20,51.55,52.45,50.8,51.95,118527
2009-08-21,51.0,52.0,50.3,51.85,158005
2009-08-24,53.0,54.0,52.45,53.0,558181
2009-08-25,53.55,54.25,52.7,53.5,361179
2009-08-26,54.5,54.9,53.55,54.0,406061
2009-08-27,54.0,59.4,54.0,58.2,1215151
2009-08-28,59.25,60.9,57.15,58.7,539714
2009-08-31,58.5,60.4,55.0,59.1,191468
2009-09-01,59.0,62.35,58.5,59.2,302012
2009-09-02,58.15,60.5,58.0,59.8,159483
2009-09-03,60.95,61.2,59.0,59.5,145484
2009-09-04,59.4,60.4,59.2,59.7,76699
2009-09-07,60.5,61.8,60.0,60.45,133499
2009-09-08,61.4,68.35,60.15,64.5,1009408
2009-09-09,64.4,67.4,63.3,64.2,409478
2009-09-10,65.75,67.6,63.6,64.2,390970
2009-09-11,64.85,65.35,61.0,61.65,181319
2009-09-14,61.9,64.2,61.25,62.7,258469
2009-09-15,63.3,63.9,62.25,62.65,72973
2009-09-16,63.05,64.15,61.1,62.05,128494
2009-09-17,63.0,63.25,61.0,61.8,89014
2009-09-18,61.8,62.7,61.05,61.3,62709
2009-09-22,61.3,63.25,61.0,62.0,146673
2009-09-23,61.7,62.9,60.3,60.8,77517
2009-09-24,59.8,61.0,59.0,60.35,68974
2009-09-25,59.95,60.7,58.5,59.95,49837
2009-09-29,60.0,62.9,60.0,62.0,160223
2009-09-30,62.7,62.7,61.55,61.8,52647
2009-10-01,61.95,64.9,61.0,63.5,257555
2009-10-05,62.25,62.95,60.1,60.65,88209
2009-10-06,58.0,62.4,57.9,59.8,117870
2009-10-07,59.1,61.0,59.1,59.55,95265
2009-10-08,59.5,60.6,59.0,59.45,95679
2009-10-09,60.0,60.3,58.1,58.45,74772
2009-10-12,59.75,59.8,58.25,58.75,63412
2009-10-14,58.75,61.6,58.75,60.45,162866
2009-10-15,61.4,64.45,60.5,63.8,320407
2009-10-16,63.95,67.5,63.65,66.3,471937
2009-10-17,66.7,68.8,66.7,67.35,155091
2009-10-20,67.5,70.5,67.15,67.7,389365
2009-10-21,66.0,68.0,66.0,67.2,115980
2009-10-22,66.0,67.35,64.1,64.9,74139
2009-10-23,65.7,70.3,65.0,67.55,604488
2009-10-26,68.0,69.5,66.0,66.6,248988
2009-10-27,66.25,66.45,60.0,62.0,209457
2009-10-28,62.95,63.25,61.5,62.35,166719
2009-10-29,61.75,63.5,60.0,62.6,106980
2009-10-30,63.9,64.8,62.7,63.05,129641
2009-11-03,62.55,63.5,61.8,62.45,115898
2009-11-04,62.5,63.85,62.25,63.55,92077
2009-11-05,64.0,64.95,62.65,63.65,152850
2009-11-06,64.25,66.5,64.0,65.95,124006
2009-11-09,66.55,67.65,65.8,66.6,79590
2009-11-10,67.8,67.8,65.85,66.55,50021
2009-11-11,66.05,66.7,65.6,66.05,33945
2009-11-12,65.6,67.7,63.6,66.6,36707
2009-11-13,67.0,68.0,63.5,66.55,50197
2009-11-16,66.5,66.8,65.75,66.2,41800
2009-11-17,66.0,67.9,65.7,66.8,101353
2009-11-18,67.0,67.0,66.0,66.6,45677
2009-11-19,64.1,66.0,59.0,65.05,77193
2009-11-20,65.9,65.9,62.6,64.0,42354
2009-11-23,64.0,68.3,64.0,65.95,208522
2009-11-24,65.75,69.0,65.75,68.4,313077
2009-11-25,69.9,70.5,66.9,67.3,723984
2009-11-26,67.9,72.85,67.5,70.45,1410849
2009-11-27,69.9,69.9,66.5,68.9,417527
2009-11-30,70.0,72.5,70.0,71.3,344391
2009-12-01,72.3,73.45,70.9,71.4,305677
2009-12-02,72.0,72.7,69.25,70.6,265442
2009-12-03,70.95,71.2,69.55,70.05,118482
2009-12-04,69.9,70.5,69.0,69.85,113571
2009-12-07,70.0,71.5,69.9,70.25,160509
2009-12-08,70.0,71.45,70.0,70.9,184756
2009-12-09,70.9,70.95,69.85,70.05,118902
2009-12-10,71.0,74.45,70.5,73.55,577672
2009-12-11,74.5,75.4,72.45,72.9,452513
2009-12-14,73.5,75.5,73.5,74.5,340789
2009-12-15,75.0,78.8,74.0,76.2,953105
2009-12-16,75.3,76.85,74.0,74.65,103613
2009-12-17,75.0,76.5,74.5,75.35,104878
2009-12-18,75.25,77.9,74.25,74.55,299632
2009-12-21,75.6,77.75,74.75,75.55,224869
2009-12-22,76.0,77.85,76.0,77.1,229351
2009-12-23,77.9,79.9,77.3,77.65,271076
2009-12-24,78.0,79.45,77.1,78.0,313255
2009-12-29,80.0,80.25,78.0,79.1,198289
2009-12-30,79.85,82.1,79.4,80.55,430221
2009-12-31,82.0,85.3,80.0,82.75,564634
2010-01-04,84.0,84.0,80.5,81.0,185400
2010-01-05,82.0,82.2,80.1,80.85,152874
2010-01-06,81.0,85.9,80.0,84.25,689623
2010-01-07,84.8,85.8,83.05,83.75,256721
2010-01-08,84.45,85.4,82.25,82.6,179172
2010-01-11,86.0,86.0,82.3,82.65,125845
2010-01-12,82.55,86.85,82.55,85.1,625484
2010-01-13,82.6,90.45,82.6,88.05,1028367
2010-01-14,90.0,95.05,87.05,91.95,866877
2010-01-15,92.8,94.5,92.0,92.2,338936
