date,open,high,low,close,volume
2009-03-05,33.85,34.25,32.35,32.45,465518
2009-03-06,32.0,32.75,31.5,32.4,310482
2009-03-09,32.4,33.3,31.65,32.9,330058
2009-03-12,33.45,34.9,32.4,34.15,838843
2009-03-13,34.9,36.7,34.3,36.4,919711
2009-03-16,36.5,37.1,35.35,36.45,2025570
2009-03-17,36.55,36.75,34.7,35.05,385587
2009-03-18,35.95,39.6,35.85,38.8,3210808
2009-03-19,39.5,39.8,36.75,38.25,1451245
2009-03-20,38.0,39.35,37.1,38.45,642160
2009-03-23,39.4,39.6,36.75,37.3,782269
2009-03-24,37.6,38.75,34.5,37.8,1805497
2009-03-25,37.8,38.5,36.6,37.1,1052708
2009-03-26,38.0,38.7,36.1,36.35,858601
2009-03-27,37.45,39.35,35.1,37.4,442385
2009-03-30,37.3,37.85,36.45,37.0,474985
2009-03-31,36.4,39.1,36.4,38.35,3654105
2009-04-01,39.0,39.95,38.5,39.2,4827401
2009-04-02,40.0,43.15,39.75,42.55,5698049
2009-04-06,43.0,43.7,40.8,42.2,3347490
2009-04-08,42.2,43.25,40.5,42.6,3058426
2009-04-09,42.95,44.0,40.0,40.95,1781981
2009-04-13,41.1,45.0,40.55,44.05,3185943
2009-04-15,44.1,47.85,44.1,45.6,5061487
2009-04-16,45.9,46.7,39.15,40.0,3695309
2009-04-17,41.4,42.4,39.6,40.35,4785873
2009-04-20,41.0,42.25,39.9,40.75,1684331
2009-04-21,40.5,40.7,39.0,39.8,1416884
2009-04-22,40.3,41.5,38.45,39.0,1285422
2009-04-23,39.5,40.8,38.5,40.3,1088339
2009-04-24,40.05,41.95,39.8,41.35,1537771
2009-04-27,41.5,42.6,40.6,41.25,1223979
2009-04-28,41.2,41.35,39.6,39.75,1511715
2009-04-29,40.0,40.7,39.35,39.75,1394529
2009-05-04,40.3,42.4,40.3,42.1,1520449
2009-05-05,42.1,43.25,41.5,42.75,1362394
2009-05-06,43.95,48.15,42.8,46.9,5934785
2009-05-07,48.25,52.0,47.2,48.55,12639507
2009-05-08,47.5,49.0,45.55,47.95,1807848
2009-05-11,49.0,49.0,45.3,45.65,976431
2009-05-12,46.1,48.4,44.5,48.1,2330261
2009-05-13,48.8,49.3,47.0,47.75,1494174
