date,open,high,low,close,volume
2015-09-15,136.0,136.0,129.2,129.2,48555
2015-09-16,122.74,122.74,122.74,122.74,22865
2015-09-18,116.61,116.61,116.61,116.61,17750
2015-09-21,113.2,116.61,110.78,110.78,195240
2015-09-22,105.25,108.48,105.25,106.54,396950
2015-09-23,106.6,111.86,102.44,111.74,225165
2015-09-24,112.0,113.59,106.2,106.71,130095
2015-09-28,108.0,108.0,101.84,103.51,505800
2015-09-29,103.0,103.0,98.43,101.01,263845
2015-09-30,101.01,105.99,99.8,103.72,646235
2015-10-01,106.0,107.3,96.04,97.3,2578215
2015-10-05,98.65,98.65,90.64,93.09,2667835
2015-10-06,93.6,96.72,92.06,92.71,807825
2015-10-07,92.99,95.67,91.99,94.93,1420820
2015-10-08,94.2,101.88,94.2,98.07,2149560
2015-10-09,99.18,100.0,95.72,97.15,522350
2015-10-12,97.8,98.76,95.7,96.05,246120
2015-10-13,95.97,98.6,94.12,97.53,468945
2015-10-14,98.2,100.76,97.39,98.45,585620
2015-10-15,99.53,100.37,97.41,97.79,267885
2015-10-16,97.6,98.36,96.06,97.11,220085
2015-10-19,97.22,98.41,96.8,97.49,334460
2015-10-20,97.85,100.13,96.81,98.82,499995
2015-10-21,99.2,106.17,98.52,104.32,1536750
2015-10-23,104.96,108.78,104.2,105.28,896310
2015-10-26,105.24,106.13,104.21,105.31,439895
2015-10-27,105.2,106.96,104.0,104.83,373695
2015-10-28,104.8,106.84,104.04,106.24,357865
2015-10-29,106.6,111.6,106.43,111.13,704545
2015-10-30,112.0,112.8,108.63,111.04,486820
2015-11-02,110.82,112.14,107.63,108.15,249455
2015-11-03,109.12,109.38,106.39,106.94,231965
2015-11-04,108.0,111.11,107.14,110.28,324130
2015-11-05,111.49,112.36,108.99,111.28,282470
2015-11-06,106.33,108.8,103.0,106.54,520580
2015-11-09,106.0,106.0,102.93,103.94,291095
2015-11-10,103.8,104.63,102.72,103.54,126590
2015-11-11,104.04,104.69,100.8,103.74,18940
2015-11-13,101.5,107.1,101.4,102.86,235430
2015-11-16,99.26,101.36,99.26,100.59,115320
2015-11-17,101.89,102.8,98.32,98.61,1154305
2015-11-18,99.59,100.4,94.79,96.37,135030
2015-11-19,97.38,98.4,96.5,97.14,101720
2015-11-20,98.2,114.0,98.2,102.48,3270215
2015-11-23,102.98,110.77,102.64,108.84,1225760
2015-11-24,109.5,110.99,107.2,109.89,604975
2015-11-26,110.6,112.4,108.79,111.28,393155
2015-11-27,112.4,112.58,109.6,111.62,282820
2015-11-30,111.7,116.4,110.2,115.01,574580
2015-12-01,116.05,116.8,114.0,115.82,435095
2015-12-02,116.39,116.39,113.0,113.49,88375
2015-12-03,114.14,114.16,109.22,110.37,207685
2015-12-04,109.79,114.3,108.48,111.05,228295
2015-12-07,112.0,113.9,109.6,110.68,149665
2015-12-08,110.6,113.16,109.0,109.96,283260
2015-12-09,110.47,110.86,106.62,107.11,107750
2015-12-10,107.0,110.0,107.0,109.15,252585
2015-12-11,109.8,111.0,107.4,109.82,274550
2015-12-14,109.0,111.4,109.0,110.98,81985
2015-12-15,109.24,114.8,108.75,114.23,435980
2015-12-16,115.01,125.56,114.73,120.13,4090640
2015-12-17,121.46,123.57,117.6,120.79,632290
2015-12-18,121.61,121.89,117.63,118.1,294975
2015-12-21,118.67,120.8,116.6,117.51,260245
2015-12-22,117.6,121.35,117.6,119.68,430940
2015-12-23,120.0,122.4,119.77,120.87,296540
2015-12-24,121.23,121.94,119.56,120.06,222860
2015-12-28,120.95,122.78,118.21,120.33,205695
2015-12-29,121.6,125.0,120.6,123.53,430075
2015-12-30,123.4,128.18,122.05,123.6,666105
2015-12-31,123.78,128.88,123.19,124.93,729335
2016-01-01,125.76,128.25,124.99,125.74,297295
2016-01-04,126.2,127.0,122.82,123.71,296270
2016-01-05,124.57,134.4,123.9,131.02,965990
2016-01-06,131.98,133.74,127.62,128.27,767665
2016-01-07,125.8,129.6,124.2,127.24,566730
2016-01-08,128.8,135.4,128.03,128.83,1386415
2016-01-11,125.1,132.36,125.1,128.71,620505
2016-01-12,129.49,130.29,126.0,126.82,271045
2016-01-13,127.88,128.14,116.53,121.52,437710
2016-01-14,119.95,121.01,118.02,118.52,420015
2016-01-15,119.71,120.99,111.67,112.41,313805
2016-01-18,108.4,113.99,105.2,106.24,309975
2016-01-19,108.99,109.89,106.4,108.41,259575
2016-01-20,105.41,108.46,105.2,107.18,384535
2016-01-21,108.01,109.68,106.2,108.14,151290
2016-01-22,109.4,112.5,108.02,110.52,194210
2016-01-25,110.02,114.8,110.02,113.23,176490
2016-01-27,112.0,119.8,112.0,117.67,306705
2016-01-28,118.36,118.39,114.46,115.05,134580
2016-01-29,115.0,116.04,113.2,114.46,1303935
2016-02-01,114.97,115.2,110.0,110.39,541160
2016-02-02,111.0,111.6,107.22,108.18,379960
2016-02-03,105.6,107.3,98.81,101.73,298855
2016-02-04,102.99,112.2,102.99,106.08,527890
2016-02-05,106.41,109.48,106.41,107.92,155000
2016-02-08,108.69,110.4,107.2,108.86,504905
2016-02-09,103.8,109.37,100.33,106.63,526035
2016-02-10,105.99,108.78,105.99,106.71,142950
2016-02-11,106.02,108.0,100.4,101.59,143720
2016-02-12,101.6,103.2,97.2,99.4,473100
2016-02-15,100.0,106.0,100.0,104.32,128230
2016-02-16,105.0,105.98,101.94,102.18,73670
2016-02-17,102.0,105.72,101.8,105.0,113350
2016-02-18,105.4,108.6,105.4,107.3,181305
2016-02-19,107.8,107.8,104.35,106.56,45135
2016-02-22,106.4,107.98,105.0,105.62,70075
2016-02-23,108.02,108.34,104.0,105.98,156360
2016-02-24,105.8,106.43,102.2,103.7,66890
2016-02-25,103.6,105.39,98.5,100.02,154775
2016-02-26,102.2,102.2,98.0,98.36,52080
2016-02-29,98.4,99.64,95.6,96.23,104465
2016-03-01,96.23,101.0,96.23,98.62,360590
2016-03-02,99.23,101.47,97.2,97.89,195560
2016-03-03,97.8,101.4,97.8,99.64,529060
2016-03-04,100.0,101.79,99.7,100.13,322650
2016-03-08,100.0,106.16,99.42,101.23,318290
2016-03-09,100.04,101.96,99.75,100.9,127880
2016-03-10,102.4,102.4,100.4,101.4,356155
2016-03-11,102.0,103.0,100.46,101.74,264510
2016-03-14,102.14,102.4,100.0,100.25,140790
2016-03-15,100.4,102.0,99.97,100.11,243115
2016-03-16,100.02,101.36,100.0,100.59,86655
2016-03-17,101.0,113.8,101.0,105.22,1411830
2016-03-18,105.2,107.1,100.61,104.04,311480
2016-03-21,104.0,107.8,104.0,105.54,166250
2016-03-22,103.61,109.9,103.61,108.98,424165
2016-03-23,109.84,109.84,104.61,105.62,169800
2016-03-28,106.32,106.72,102.58,104.65,93385
2016-03-29,104.65,107.76,104.1,106.97,142345
2016-03-30,106.8,108.6,106.13,106.85,74880
2016-03-31,107.2,113.0,107.2,110.51,1204140
2016-04-01,109.39,111.24,107.27,108.07,221195
2016-04-04,108.8,108.81,106.6,107.99,31550
2016-04-05,107.0,110.3,106.62,107.75,101670
2016-04-06,107.99,109.6,106.2,108.05,224310
2016-04-07,109.0,109.4,106.08,106.63,65310
2016-04-08,107.4,108.24,106.12,106.88,43365
2016-04-11,107.43,109.0,106.4,107.08,52735
2016-04-12,107.2,110.34,106.6,108.11,144700
2016-04-13,109.18,112.0,108.44,110.0,282660
2016-04-18,109.0,111.41,108.44,109.91,161975
2016-04-20,109.8,110.0,108.06,108.46,84490
2016-04-21,108.42,110.0,106.9,107.59,49760
2016-04-22,107.6,109.0,106.48,106.77,104205
2016-04-25,106.87,108.54,105.2,105.68,58715
2016-04-26,106.73,107.8,104.4,104.83,121030
2016-04-27,105.39,108.2,105.33,106.98,160860
2016-04-28,107.9,107.9,106.21,107.04,78040
2016-04-29,107.8,107.8,105.06,107.16,128410
2016-05-02,107.0,107.8,106.4,107.41,59000
2016-05-03,106.46,110.0,106.46,107.7,101855
2016-05-04,108.39,108.59,106.37,107.92,293930
2016-05-05,108.66,108.68,106.6,108.01,106120
2016-05-06,108.0,108.01,103.57,104.76,97775
2016-05-09,105.6,106.08,103.0,103.61,99205
2016-05-10,103.6,105.98,103.0,103.92,78040
2016-05-11,103.4,105.76,103.05,103.95,58605
2016-05-12,103.98,104.97,103.4,104.69,163095
2016-05-13,106.05,108.8,103.03,103.98,430215
2016-05-16,104.2,104.88,103.45,104.18,90855
2016-05-17,104.75,105.2,101.14,103.6,279560
2016-05-18,105.59,107.38,103.3,103.89,658485
2016-05-19,104.54,105.01,101.02,101.9,123925
2016-05-20,102.18,102.76,99.2,100.31,162745
2016-05-23,100.54,101.6,98.01,99.01,125070
2016-05-24,99.0,101.6,98.64,100.99,193240
2016-05-25,102.0,102.0,98.6,100.5,69305
2016-05-26,100.99,102.54,100.39,102.0,128360
2016-05-27,102.06,103.6,102.0,103.04,90665
2016-05-30,103.0,105.0,102.6,103.02,101250
2016-05-31,102.36,105.12,102.0,104.25,144925
2016-06-01,104.27,104.94,102.28,103.41,57735
2016-06-02,103.88,104.4,102.4,102.75,42525
2016-06-03,103.03,107.38,102.6,105.58,2804140
2016-06-06,106.0,108.44,106.0,107.58,392875
2016-06-07,107.2,107.59,104.2,104.85,94420
2016-06-08,105.02,105.56,103.41,104.01,41765
2016-06-09,104.31,105.49,102.8,103.36,60205
2016-06-10,105.03,106.4,103.2,103.64,248305
2016-06-13,103.6,103.6,101.68,102.19,57925
2016-06-14,104.58,105.95,102.8,103.41,477965
2016-06-15,104.4,104.68,103.26,103.46,115235
2016-06-16,103.4,104.0,102.17,103.1,185485
2016-06-17,103.02,104.33,102.9,103.49,442305
2016-06-20,103.4,106.3,103.02,103.93,279685
2016-06-21,104.68,105.72,103.4,104.05,204325
2016-06-22,104.19,106.58,103.8,104.32,348595
2016-06-23,104.5,105.29,103.38,104.84,964840
2016-06-24,100.2,104.0,99.72,103.54,832130
