date,open,high,low,close,volume
2018-03-28,576.0,592.47,560.5,566.42,3384286
2018-04-02,563.85,577.5,559.0,574.63,352730
2018-04-03,570.5,573.5,563.17,564.3,115130
2018-04-04,565.0,570.0,557.5,557.95,163364
2018-04-05,561.0,565.63,554.75,556.97,149988
2018-04-06,551.75,559.42,550.03,551.42,146026
2018-04-09,550.25,556.0,550.25,552.22,119028
2018-04-10,554.9,555.0,546.03,551.15,107306
2018-04-11,551.0,553.0,547.5,548.65,79912
2018-04-12,548.0,549.03,540.05,543.08,109438
2018-04-13,557.5,575.0,552.55,561.53,289764
2018-04-16,562.5,579.95,562.0,573.95,270532
2018-04-17,578.5,582.0,571.0,573.2,123586
2018-04-18,577.0,577.5,562.5,565.0,83918
2018-04-19,569.0,576.7,564.55,570.53,101248
2018-04-20,570.6,572.95,559.0,562.78,69878
2018-04-23,566.0,574.5,561.17,565.65,79814
2018-04-24,568.97,572.25,565.0,565.4,60078
2018-04-25,565.5,572.95,561.42,562.72,69828
2018-04-26,563.5,569.0,562.5,565.22,32780
2018-04-27,566.33,567.47,561.0,562.9,33144
2018-04-30,567.2,567.2,559.5,562.17,37230
2018-05-02,559.5,565.97,555.63,557.13,37722
2018-05-03,557.03,557.5,544.6,547.5,38088
2018-05-04,552.5,552.5,545.0,546.78,24564
2018-05-07,545.25,561.03,541.03,554.08,42232
2018-05-08,552.6,559.45,549.5,552.17,25240
2018-05-09,550.0,551.97,545.0,546.72,19522
2018-05-10,545.0,545.92,542.0,542.78,25424
2018-05-11,543.75,545.5,535.58,541.6,32238
2018-05-14,541.0,543.97,532.0,533.22,35344
2018-05-15,537.5,541.83,525.75,527.67,30794
2018-05-16,527.25,528.95,521.5,522.15,206278
2018-05-17,523.0,525.33,516.47,519.88,19002
2018-05-18,522.0,522.0,515.03,516.42,23104
2018-05-21,515.97,515.97,504.5,510.67,51328
2018-05-22,512.5,514.5,505.63,510.98,21616
2018-05-23,510.0,512.0,503.0,507.83,23970
2018-05-24,507.5,507.58,502.52,504.38,20556
2018-05-25,504.0,512.5,502.77,511.38,27830
2018-05-28,510.0,527.5,510.0,521.17,45700
2018-05-29,517.5,525.5,517.5,524.35,17038
2018-05-30,521.5,549.0,505.5,540.67,169116
2018-05-31,542.5,549.47,523.25,528.55,684704
2018-06-01,525.0,525.03,513.78,514.92,31148
2018-06-04,520.0,520.03,507.5,509.27,20846
2018-06-05,509.5,509.52,494.98,496.88,42304
2018-06-06,495.0,502.17,494.5,498.45,18688
2018-06-07,498.0,505.0,498.0,499.77,21514
2018-06-08,497.77,499.48,493.75,495.23,27042
2018-06-11,495.27,497.35,492.0,493.55,29734
2018-06-12,493.75,496.0,484.35,486.88,46224
2018-06-13,484.0,489.98,481.75,482.23,38652
2018-06-14,480.0,504.0,474.52,486.55,412558
2018-06-15,485.02,487.5,480.0,484.25,27064
2018-06-18,483.0,484.25,472.83,474.42,32204
2018-06-19,473.52,475.48,464.42,465.1,35686
2018-06-20,465.5,467.98,461.5,462.55,30550
2018-06-21,462.55,463.5,455.5,456.0,35406
2018-06-22,455.55,460.48,448.0,457.2,55906
2018-06-25,455.0,456.98,449.0,450.5,20008
2018-06-26,448.0,448.5,442.52,443.52,36168
2018-06-27,440.0,442.7,430.0,432.65,54490
2018-06-28,430.02,430.02,420.0,421.95,45704
2018-06-29,421.98,425.0,421.5,422.2,26608
2018-07-02,422.1,439.48,416.58,429.25,38980
2018-07-03,428.5,429.25,421.02,422.17,18650
2018-07-04,420.55,423.38,417.5,418.38,21490
2018-07-05,417.5,419.92,413.0,414.0,16684
2018-07-06,412.5,417.9,412.0,414.38,27932
2018-07-09,415.0,416.3,410.02,411.27,19422
2018-07-10,410.0,427.95,410.0,424.05,43264
2018-07-11,423.63,424.98,417.77,419.67,18542
2018-07-12,419.67,424.48,414.0,415.8,15372
2018-07-13,413.52,420.42,409.02,413.38,26036
2018-07-16,409.6,411.9,406.0,406.8,18462
2018-07-17,405.5,411.33,404.0,408.13,39086
2018-07-18,406.45,407.45,400.77,402.08,19868
2018-07-19,402.0,404.5,395.77,396.73,25722
2018-07-20,396.98,396.98,390.0,392.52,36970
2018-07-23,390.02,392.42,385.02,386.6,29158
2018-07-24,387.0,393.8,386.0,391.1,24700
2018-07-25,391.5,399.05,391.5,392.98,22476
2018-07-26,391.0,397.5,387.5,391.02,27854
2018-07-27,389.5,398.08,389.5,394.65,25988
2018-07-30,395.5,451.9,395.5,445.1,277582
2018-07-31,449.5,488.45,448.5,484.3,603636
