date,open,high,low,close,volume
2009-03-05,10.8,11.0,10.63,10.72,79720
2009-03-06,10.0,10.75,10.0,10.64,189360
2009-03-09,10.33,10.8,10.33,10.71,109860
2009-03-12,11.05,11.1,10.6,10.98,50330
2009-03-13,11.65,11.65,11.12,11.34,112880
2009-03-16,11.7,11.9,11.51,11.78,108410
2009-03-17,11.5,12.1,11.43,11.63,884560
2009-03-18,11.5,12.8,11.25,12.58,1020470
2009-03-19,12.87,13.6,12.8,12.96,805690
2009-03-20,12.9,13.45,12.55,12.82,297940
2009-03-23,12.58,13.3,12.55,12.84,541130
2009-03-24,13.1,13.28,12.51,12.63,438640
2009-03-25,12.56,13.09,12.55,12.77,492870
2009-03-26,13.0,15.75,13.0,14.94,8058650
2009-03-27,15.24,16.0,15.1,15.53,3839840
2009-03-30,15.27,15.27,14.01,14.16,573090
2009-03-31,14.26,14.5,14.1,14.44,293150
2009-04-01,14.38,15.27,14.12,14.77,609160
2009-04-02,15.27,15.79,14.8,15.51,832720
2009-04-06,15.8,15.96,14.8,15.31,302780
2009-04-08,15.2,16.53,14.76,16.39,1100350
2009-04-09,16.77,17.2,16.25,16.43,641380
2009-04-13,15.8,16.79,15.8,16.63,298780
2009-04-15,16.2,17.84,16.2,16.89,827080
2009-04-16,17.19,17.69,16.07,16.39,366690
2009-04-17,16.4,16.8,15.7,15.93,180740
2009-04-20,16.5,16.56,15.74,15.94,163150
2009-04-21,16.5,16.5,15.4,15.49,235250
2009-04-22,15.7,15.94,14.23,14.97,391860
2009-04-23,15.1,15.3,14.7,14.92,171920
2009-04-24,14.7,15.4,14.7,15.28,262800
2009-04-27,15.5,16.69,15.2,15.58,866430
2009-04-28,15.8,16.68,14.5,14.79,394060
2009-04-29,12.13,15.29,12.13,15.19,372980
2009-05-04,15.99,16.3,15.53,15.89,380300
2009-05-05,16.06,16.67,16.05,16.32,707790
2009-05-06,16.4,22.6,16.32,22.2,37981780
2009-05-07,25.5,25.67,22.03,23.86,66327820
2009-05-08,23.49,23.96,22.1,22.41,8391800
2009-05-11,22.28,24.69,21.14,23.69,26307510
2009-05-12,22.6,23.78,22.4,22.62,6554820
2009-05-13,22.4,23.69,22.0,22.4,3832220
2009-05-14,21.86,22.29,21.6,21.74,1478800
2009-05-15,21.83,22.97,21.75,21.94,2015180
2009-05-18,24.0,24.9,23.6,23.94,8600
2009-05-19,24.8,25.0,21.2,23.08,3088480
2009-05-20,23.1,26.4,23.1,24.97,5809320
2009-05-21,25.5,27.2,25.0,26.38,4975270
2009-05-22,26.3,28.5,26.1,26.89,3259030
2009-05-25,27.4,28.8,26.8,28.09,2395290
2009-05-26,28.31,29.29,26.61,27.11,1555490
2009-05-27,27.3,28.0,26.6,27.34,902640
2009-05-28,27.68,27.79,26.51,26.9,851780
2009-05-29,27.2,27.85,26.95,27.18,668640
2009-06-01,27.5,28.4,27.23,27.77,1024650
2009-06-02,28.6,33.5,28.48,30.69,6313290
2009-06-03,31.39,31.65,30.06,30.69,1487320
2009-06-04,30.5,31.5,29.3,30.84,1206740
2009-06-05,31.28,31.8,28.46,29.31,1260110
2009-06-08,27.54,30.7,27.54,27.99,1236930
2009-06-09,27.7,29.49,27.0,29.16,1150780
2009-06-10,29.7,31.6,29.5,29.69,2212550
2009-06-11,29.6,30.5,29.1,29.44,752380
2009-06-12,29.11,30.5,28.5,28.85,779720
2009-06-15,28.25,28.7,23.63,27.45,587690
2009-06-16,25.8,29.31,25.8,28.54,1424300
2009-06-17,28.54,29.79,26.36,27.02,1217010
2009-06-18,27.29,28.3,26.03,26.55,795960
2009-06-19,26.7,27.67,26.1,26.53,417970
2009-06-22,26.6,27.3,26.01,26.16,481840
2009-06-23,24.2,26.38,24.2,25.99,513290
2009-06-24,26.6,26.89,25.72,26.25,537530
2009-06-25,26.25,27.69,24.8,26.55,1247620
2009-06-26,27.1,27.4,26.3,26.91,620180
2009-06-29,27.6,28.9,27.5,28.06,1143030
2009-06-30,28.44,28.44,25.33,25.9,752590
2009-07-01,25.8,26.49,25.32,26.05,619240
2009-07-02,26.38,30.5,26.15,29.98,15821090
2009-07-03,29.7,29.7,28.45,28.79,4343160
2009-07-06,28.7,29.44,27.2,27.59,1390330
2009-07-07,27.6,27.8,26.21,26.76,695950
2009-07-08,25.21,27.6,25.2,25.79,1043290
2009-07-09,25.7,26.68,25.5,26.14,809550
2009-07-10,21.56,26.6,21.56,25.66,496100
2009-07-13,25.0,25.49,24.31,25.04,529450
2009-07-14,25.21,26.4,25.21,26.15,325880
2009-07-15,26.25,27.9,26.25,27.45,701450
2009-07-16,26.26,28.26,26.26,27.62,406930
