date,open,high,low,close,volume
2009-03-05,23.83,24.07,22.98,23.2,1918264
2009-03-06,22.05,23.88,21.67,23.52,3521976
2009-03-09,22.75,23.69,22.65,22.77,2043612
2009-03-12,22.95,23.75,22.25,22.42,4917280
2009-03-13,21.77,24.38,21.77,24.05,5990144
2009-03-16,23.76,25.63,23.76,25.42,6483452
2009-03-17,25.52,26.21,24.79,25.27,4460136
2009-03-18,25.75,26.49,25.5,25.69,7707068
2009-03-19,25.5,26.29,25.4,26.14,3642492
2009-03-20,25.52,26.29,25.52,26.07,1701108
2009-03-23,25.32,26.42,25.32,25.99,5485608
2009-03-24,25.76,26.38,25.76,26.13,5627024
2009-03-25,25.5,26.29,25.5,25.96,4283216
2009-03-26,25.85,26.46,25.0,25.33,9904404
2009-03-27,24.77,26.32,24.77,26.23,5621616
2009-03-30,25.32,26.27,24.75,24.94,3680368
2009-03-31,25.0,25.85,24.52,25.51,3176000
2009-04-01,25.14,25.75,24.88,25.19,5233928
2009-04-02,25.04,27.35,25.04,26.74,12709888
2009-04-06,27.77,30.6,27.63,27.96,14416508
2009-04-08,27.8,31.38,25.77,31.08,23110468
2009-04-09,29.5,32.0,29.5,30.55,7046748
2009-04-13,31.75,32.49,30.35,32.03,5519532
2009-04-15,32.09,33.47,30.25,32.94,7545612
2009-04-16,32.63,33.6,30.27,30.54,4704744
2009-04-17,29.67,33.58,29.67,32.25,8198092
2009-04-20,32.25,35.88,32.25,34.22,16289036
2009-04-21,33.24,35.2,32.64,34.53,8430680
2009-04-22,33.38,34.42,30.95,31.26,14810136
2009-04-23,30.0,32.63,29.51,32.03,12245428
2009-04-24,33.5,33.5,31.08,31.73,6671740
2009-04-27,32.24,32.24,30.0,31.9,3246684
2009-04-28,32.92,32.92,30.17,31.51,4501948
2009-04-29,32.24,32.69,31.0,32.47,7973928
2009-05-04,32.64,40.45,32.64,38.56,13716812
2009-05-05,35.25,39.9,35.25,37.89,9286884
2009-05-06,37.67,38.85,36.42,36.88,5822228
2009-05-07,37.0,38.72,34.14,37.53,12784156
2009-05-08,36.88,38.13,36.0,37.16,5395688
2009-05-11,36.26,37.25,35.03,35.41,4020088
2009-05-12,35.38,36.75,34.63,36.22,5856856
2009-05-13,36.19,36.47,34.06,34.69,7900428
2009-05-14,34.5,35.88,33.25,35.47,5156124
2009-05-15,35.81,38.35,35.81,36.94,12511968
2009-05-18,42.0,47.7,40.25,41.5,12380
2009-05-19,41.25,43.72,35.0,39.75,10479000
