date,open,high,low,close,volume
2018-08-06,863.1,922.0,863.1,908.0,38611132
2018-08-07,909.9,917.0,877.5,885.0,7016758
2018-08-08,881.0,899.4,871.2,889.8,3356966
2018-08-09,889.8,893.5,870.0,874.5,1349690
2018-08-10,870.0,884.0,870.0,874.4,1174764
2018-08-13,869.5,870.6,852.2,852.8,1453006
2018-08-14,853.8,873.5,853.8,864.0,1141172
2018-08-16,863.4,870.5,853.5,855.2,754376
2018-08-17,859.8,865.9,857.0,857.8,640096
2018-08-20,862.4,877.9,861.1,873.6,1586128
2018-08-21,878.8,886.6,873.5,881.8,1212552
2018-08-23,890.0,924.4,885.6,917.4,4606210
2018-08-24,917.2,962.2,911.2,947.5,5400976
2018-08-27,955.0,985.0,955.0,971.0,3404892
2018-08-28,976.0,977.7,926.0,931.9,2262978
2018-08-29,932.5,932.5,903.8,910.0,2044524
2018-08-30,910.0,927.3,910.0,918.8,855636
2018-08-31,920.0,922.5,905.0,907.0,566634
2018-09-03,905.0,905.0,869.0,871.0,2059600
2018-09-04,874.5,886.0,865.9,869.2,1116832
2018-09-05,871.0,874.4,831.0,841.2,2087822
2018-09-06,845.0,857.5,840.6,842.9,1291958
2018-09-07,850.1,852.0,830.0,836.1,1437822
2018-09-10,836.4,836.4,813.0,815.6,1293424
2018-09-11,820.0,832.5,804.0,807.1,1215746
2018-09-12,810.0,817.7,796.4,815.3,1389462
2018-09-14,823.0,829.0,813.3,817.7,842082
2018-09-17,812.5,812.5,797.5,799.8,944622
2018-09-18,800.6,802.2,763.0,768.1,1662174
2018-09-19,737.5,740.0,698.2,704.4,11272176
2018-09-21,712.5,715.0,625.0,691.6,3926744
2018-09-24,695.0,707.2,662.6,667.5,1560350
2018-09-25,671.7,703.4,657.9,698.6,1926458
2018-09-26,708.5,722.0,705.0,719.5,1400668
2018-09-27,720.0,722.7,682.8,685.6,917764
2018-09-28,697.0,697.0,654.0,663.7,1270154
2018-10-01,667.4,667.4,641.0,650.7,1056068
2018-10-03,650.0,660.5,640.0,645.0,1000372
2018-10-04,639.0,654.4,632.9,646.3,1004420
2018-10-05,647.5,659.6,641.1,648.7,688898
2018-10-08,648.7,651.0,625.5,636.4,678450
2018-10-09,640.1,642.0,625.0,634.4,549878
2018-10-10,632.5,667.6,632.5,662.0,619512
2018-10-11,640.5,694.5,625.0,673.9,1119954
2018-10-12,683.5,692.4,681.0,684.7,493012
2018-10-15,688.2,706.2,677.4,692.5,519234
2018-10-16,696.8,703.5,690.5,694.6,343310
2018-10-17,700.0,705.0,675.0,676.1,320452
2018-10-19,675.2,675.2,662.5,666.0,269054
2018-10-22,670.4,682.7,666.0,674.5,359560
2018-10-23,666.8,687.7,664.0,683.7,543042
2018-10-24,687.9,689.1,676.0,686.0,601748
2018-10-25,680.0,681.9,672.1,676.8,409784
2018-10-26,672.0,682.4,663.0,675.6,391810
2018-10-29,682.5,691.0,675.0,687.4,346768
2018-10-30,687.5,701.5,677.9,685.2,771972
2018-10-31,687.0,706.9,683.8,700.2,507304
2018-11-01,705.9,720.0,700.4,711.7,535440
2018-11-02,717.5,725.5,712.8,718.4,537812
2018-11-05,717.5,717.5,706.4,712.8,305166
2018-11-06,714.5,719.0,695.8,701.4,192166
2018-11-07,707.5,710.8,703.0,710.1,95180
