date,open,high,low,close,volume
2009-03-05,42.5,42.7,39.55,40.05,48449580
2009-03-06,40.0,41.4,38.7,40.1,47417080
2009-03-09,39.95,40.75,39.1,39.95,35178920
2009-03-12,40.75,41.7,39.55,39.95,57410880
2009-03-13,40.75,41.85,40.6,41.7,91452600
2009-03-16,42.0,42.65,41.35,42.25,54510220
2009-03-17,42.2,42.95,40.45,41.4,41847020
2009-03-18,42.0,43.0,41.6,42.15,37820820
2009-03-19,42.45,43.15,40.95,41.6,48852220
2009-03-20,41.5,42.1,40.55,41.95,40572140
2009-03-23,42.7,45.0,42.1,44.25,40899460
2009-03-24,45.8,48.7,45.5,47.1,75401080
2009-03-25,47.4,48.85,46.85,48.6,35818000
2009-03-26,49.4,50.25,48.75,49.65,46312840
2009-03-27,49.05,50.65,49.05,50.05,45761560
2009-03-30,49.0,49.0,47.05,47.3,26509680
2009-03-31,47.6,49.4,45.2,48.65,74405400
2009-04-01,49.25,50.25,47.6,50.0,25893640
2009-04-02,50.55,52.6,50.55,51.8,35591320
2009-04-06,52.75,53.75,52.0,53.2,26945760
2009-04-08,53.25,53.25,49.6,52.35,53028520
2009-04-09,53.2,54.0,51.6,52.2,29772380
2009-04-13,52.0,55.75,52.0,54.9,34222020
2009-04-15,52.75,55.25,52.1,54.15,62675520
2009-04-16,54.95,55.4,52.85,53.3,39041500
2009-04-17,54.2,54.9,52.8,53.6,47042120
2009-04-20,53.5,55.0,52.4,53.35,22931780
2009-04-21,52.0,55.0,51.75,54.35,30096100
2009-04-22,54.5,55.1,53.25,54.45,24182440
2009-04-23,54.75,55.0,53.3,54.6,28823100
2009-04-24,55.0,56.15,53.85,55.5,37310260
2009-04-27,55.0,57.0,54.5,55.75,28785580
2009-04-28,55.9,56.35,53.15,53.6,29601760
2009-04-29,54.3,55.5,53.6,55.0,42856300
2009-05-04,57.5,60.35,56.0,59.95,45266140
2009-05-05,60.35,60.5,58.25,59.65,30463880
2009-05-06,59.5,59.95,58.05,58.6,24286180
2009-05-07,59.0,59.4,58.35,58.8,15457680
2009-05-08,58.0,58.75,55.75,57.2,45138660
2009-05-11,59.4,59.4,56.9,57.35,33836720
2009-05-12,57.2,60.2,56.95,59.75,34608840
2009-05-13,59.75,59.95,57.35,58.2,47519520
2009-05-14,57.6,58.45,56.05,58.2,19203300
2009-05-15,58.75,59.6,57.85,59.25,41519920
2009-05-18,63.05,77.0,63.05,68.9,271500
2009-05-19,69.6,74.95,60.3,70.6,99306960
2009-05-20,69.85,70.55,67.55,69.05,29037980
2009-05-21,68.7,70.25,66.7,68.55,38176700
2009-05-22,67.95,69.7,67.05,68.5,18276080
2009-05-25,68.75,69.5,67.3,68.2,16761340
2009-05-26,68.4,69.6,66.25,66.8,24951620
2009-05-27,68.5,70.95,68.35,70.45,53941080
2009-05-28,70.05,72.7,69.2,72.0,70308864
2009-05-29,72.25,73.0,71.05,72.2,30721400
2009-06-01,72.7,74.2,70.85,71.7,22222360
2009-06-02,71.7,72.5,68.95,69.9,19577240
2009-06-03,71.0,71.4,67.4,68.55,28659520
