date,open,high,low,close,volume
2017-11-17,310.0,369.0,307.0,344.6,168836544
2017-11-20,344.7,358.9,344.0,355.35,14650240
2017-11-21,356.4,418.9,352.5,385.3,43078192
2017-11-22,388.0,408.0,386.9,395.2,15227642
2017-11-23,390.0,392.0,371.1,374.85,12300150
2017-11-24,376.05,383.0,366.1,370.7,9463228
2017-11-27,371.0,384.5,371.0,380.35,3832223
2017-11-28,383.0,386.4,378.1,382.2,2409447
2017-11-29,382.4,384.7,376.1,377.8,1657909
2017-11-30,379.8,379.8,370.8,371.5,2536960
2017-12-01,373.7,379.55,368.0,372.75,1904781
2017-12-04,374.05,374.9,362.0,362.8,1323453
2017-12-05,361.0,365.9,357.15,362.35,1806017
2017-12-06,360.9,371.7,358.55,368.35,3331373
2017-12-07,370.05,389.9,370.05,388.3,3350792
2017-12-08,390.0,395.8,385.6,389.3,2494845
2017-12-11,387.0,392.25,379.05,380.8,1029719
2017-12-12,380.9,387.0,377.05,383.8,2564559
2017-12-13,386.45,389.25,378.5,380.8,747787
2017-12-14,382.85,386.0,377.0,384.3,1261422
2017-12-15,388.0,390.75,380.1,381.4,1698848
2017-12-18,380.0,383.3,372.25,377.45,1399027
2017-12-19,378.0,380.95,372.25,374.9,1641589
2017-12-20,377.45,377.7,371.5,375.15,2251770
2017-12-21,379.25,381.8,375.0,376.05,1448962
2017-12-22,376.25,380.4,374.2,374.55,775946
2017-12-26,376.0,378.6,373.4,376.55,1310649
2017-12-27,375.1,377.95,373.8,374.85,589597
2017-12-28,375.0,380.0,372.4,377.95,912189
2017-12-29,379.0,390.8,375.65,386.0,1611972
2018-01-01,388.5,399.8,386.55,389.65,1445743
2018-01-02,391.7,398.0,384.35,395.5,1219713
2018-01-03,398.0,398.3,384.1,385.65,2275082
2018-01-04,390.0,401.95,387.25,399.0,2974278
2018-01-05,401.0,412.0,398.0,407.0,3554479
2018-01-08,410.0,428.3,409.55,422.1,3806105
2018-01-09,424.0,447.65,422.65,435.5,6183645
2018-01-10,438.0,441.9,427.0,429.25,2374166
2018-01-11,424.0,449.8,424.0,446.7,2605294
2018-01-12,449.75,458.7,444.3,455.95,5364763
2018-01-15,460.0,488.0,457.0,474.85,5635852
2018-01-16,479.9,494.3,471.25,482.65,8288750
2018-01-17,485.4,488.2,470.0,478.4,5691140
2018-01-18,483.2,489.8,478.0,485.05,1772870
2018-01-19,489.25,491.35,477.0,481.5,3488403
2018-01-22,481.5,488.85,469.0,470.2,3825798
2018-01-23,474.25,474.25,454.5,458.55,3561221
2018-01-24,457.5,460.0,448.0,455.25,2072037
2018-01-25,455.0,460.0,447.0,448.5,1194340
2018-01-29,447.0,452.6,444.4,445.35,1113037
2018-01-30,444.0,448.1,417.0,421.85,3583717
2018-01-31,418.4,432.9,395.3,427.0,14738305
2018-02-01,429.95,452.0,423.0,448.25,4965461
2018-02-02,441.0,455.0,430.0,442.4,5311751
2018-02-05,428.2,444.0,422.35,441.7,2268830
2018-02-06,418.0,440.7,417.05,438.8,1893871
2018-02-07,443.0,449.3,431.0,433.45,1048027
2018-02-08,434.9,444.75,434.85,441.5,927897
2018-02-09,430.3,446.0,430.3,439.55,1008995
2018-02-12,442.0,451.0,435.05,441.75,1944360
2018-02-14,441.8,442.9,431.0,431.9,2159701
2018-02-15,433.0,437.0,428.0,432.0,506167
2018-02-16,434.15,435.3,426.6,431.45,522734
2018-02-19,432.0,439.4,426.8,435.9,693977
2018-02-20,439.5,442.0,432.6,434.5,781850
2018-02-21,438.9,450.5,436.15,449.6,1312613
2018-02-22,447.2,454.5,443.9,450.8,772690
2018-02-23,452.1,471.7,452.05,468.85,1849448
2018-02-26,472.8,472.8,461.35,468.3,920977
