date,open,high,low,close,volume
2009-03-05,20.1,20.6,19.85,19.9,73660
2009-03-06,19.7,20.1,19.4,19.95,104780
2009-03-09,19.45,19.95,19.25,19.8,37085
2009-03-12,19.85,21.2,19.6,19.8,473245
2009-03-13,20.35,20.5,20.0,20.25,74020
2009-03-16,20.55,20.55,19.95,20.2,56820
2009-03-17,20.3,20.3,19.8,19.9,70880
2009-03-18,20.2,20.5,20.0,20.2,258730
2009-03-19,20.5,21.2,20.1,20.2,99905
2009-03-20,19.7,20.35,19.7,20.1,98210
2009-03-23,20.4,20.45,19.9,20.0,175495
2009-03-24,20.8,20.8,19.8,19.9,220780
2009-03-25,20.1,20.1,19.8,19.95,134425
2009-03-26,20.2,20.2,19.7,19.85,203615
2009-03-27,20.0,20.3,19.9,20.0,178735
2009-03-30,20.0,20.2,19.05,19.2,219060
2009-03-31,19.55,19.6,18.8,18.9,225915
2009-04-01,19.25,20.8,19.1,19.8,336295
2009-04-02,20.5,22.0,20.2,21.2,800280
2009-04-06,22.0,23.4,21.8,22.8,753210
2009-04-08,22.4,22.4,21.85,22.1,569020
2009-04-09,22.9,22.9,21.2,21.45,866375
2009-04-13,22.0,25.0,21.6,24.55,2493025
2009-04-15,24.6,25.4,23.8,24.25,1336150
2009-04-16,24.6,26.4,23.15,23.5,2742775
2009-04-17,23.4,24.6,22.75,22.85,773870
2009-04-20,23.2,23.55,22.7,23.15,443335
2009-04-21,22.8,24.75,22.5,23.8,974360
2009-04-22,24.4,25.7,23.6,24.05,2081510
2009-04-23,23.8,25.25,23.3,24.3,1011165
2009-04-24,24.7,25.5,24.1,25.25,1161180
2009-04-27,25.2,25.6,24.1,24.45,761980
2009-04-28,24.6,24.75,23.2,23.3,384225
2009-04-29,23.7,24.25,23.6,24.05,293490
2009-05-04,25.2,25.4,24.4,24.55,630585
2009-05-05,24.6,25.4,24.5,24.8,633135
2009-05-06,25.2,27.0,24.8,25.3,2649495
2009-05-07,25.6,29.9,25.5,28.25,5866930
2009-05-08,29.0,29.8,27.3,27.55,3811145
2009-05-11,27.9,28.4,26.5,26.85,1071560
2009-05-12,26.6,27.8,25.8,27.25,906080
2009-05-13,27.3,27.9,26.5,26.85,601905
2009-05-14,25.4,27.7,25.4,26.85,637445
2009-05-15,27.0,27.4,26.6,26.85,341155
2009-05-18,28.0,30.4,28.0,29.8,13540
2009-05-19,30.0,30.7,27.0,28.5,842460
2009-05-20,28.5,32.0,28.4,31.35,1500520
2009-05-21,31.5,35.5,31.5,33.3,2089890
2009-05-22,34.0,34.4,31.45,32.0,895635
2009-05-25,32.4,34.2,32.4,33.55,1012745
2009-05-26,34.4,36.8,32.0,32.7,2492715
2009-05-27,33.6,34.6,33.5,33.85,712230
2009-05-28,34.0,36.4,33.4,34.95,1337740
2009-05-29,35.8,37.2,35.8,36.2,1104040
2009-06-01,37.0,39.55,36.6,38.9,1761865
2009-06-02,39.2,39.65,36.6,38.35,684545
2009-06-03,39.2,39.8,37.4,38.15,560495
2009-06-04,38.0,38.8,37.0,38.45,569705
2009-06-05,38.75,39.2,37.15,37.5,738595
2009-06-08,38.0,38.0,35.65,36.4,488685
2009-06-09,35.5,38.2,35.4,37.15,315175
2009-06-10,38.05,41.6,38.0,39.65,953480
2009-06-11,40.0,40.0,38.4,38.8,406465
2009-06-12,39.05,39.7,37.1,37.3,375380
2009-06-15,37.15,37.35,36.6,36.95,208690
2009-06-16,36.9,38.55,35.8,38.15,286505
2009-06-17,38.8,38.8,36.4,36.75,187435
2009-06-18,36.5,37.0,34.8,35.0,356915
2009-06-19,36.1,36.4,35.25,36.1,393560
2009-06-22,36.25,37.1,36.05,36.6,148600
2009-06-23,36.0,37.15,35.6,36.95,282040
2009-06-24,37.0,37.6,36.7,36.75,219255
2009-06-25,36.9,38.2,36.9,37.4,150035
2009-06-26,38.0,38.0,37.0,37.15,104070
2009-06-29,37.2,38.3,37.2,38.05,183560
2009-06-30,38.5,38.5,37.0,38.0,167080
2009-07-01,38.2,38.5,37.8,38.1,102610
2009-07-02,38.4,38.7,37.8,38.1,95785
2009-07-03,38.1,39.4,38.0,38.65,186340
2009-07-06,38.7,39.2,37.6,38.05,284955
2009-07-07,38.2,38.6,37.8,38.4,137795
2009-07-08,38.2,38.6,37.0,37.75,273455
2009-07-09,37.55,38.1,37.4,37.95,132955
2009-07-10,38.5,40.9,37.8,38.95,1659105
2009-07-13,38.3,38.9,37.7,38.65,224560
2009-07-14,39.6,39.7,38.25,39.2,220945
2009-07-15,39.4,42.5,39.0,42.05,598650
2009-07-16,42.5,44.9,42.2,42.75,737625
2009-07-17,43.1,44.2,42.4,43.6,327475
2009-07-20,44.2,44.4,41.8,43.1,209905
2009-07-21,43.6,46.95,42.6,45.45,631650
2009-07-22,46.2,47.25,45.2,46.6,484385
2009-07-23,47.0,49.55,46.85,48.95,370875
2009-07-24,49.8,50.95,48.8,50.35,321020
2009-07-27,42.3,51.8,42.3,51.5,285335
2009-07-28,51.95,51.95,49.8,50.2,205110
2009-07-29,49.75,50.0,46.4,48.2,177390
2009-07-30,48.25,52.2,47.45,51.35,466905
2009-07-31,52.1,53.35,51.2,52.15,373080
2009-08-03,52.6,53.4,51.6,53.05,572435
2009-08-04,53.55,54.35,53.0,53.65,356730
2009-08-05,51.2,54.4,51.2,54.15,316915
2009-08-06,54.2,56.75,53.7,54.1,406060
2009-08-07,54.0,55.2,52.65,54.2,299210
2009-08-10,54.8,55.8,53.0,53.65,301200
2009-08-11,54.0,54.35,53.4,53.5,186845
2009-08-12,53.4,53.45,51.6,52.9,174930
2009-08-13,53.6,56.4,53.6,55.15,432945
2009-08-14,55.0,55.75,53.7,54.6,178370
2009-08-17,54.0,54.6,51.8,52.85,449820
2009-08-18,52.8,53.8,52.2,52.75,807790
2009-08-19,52.2,53.4,51.4,51.9,57955
2009-08-20,52.2,53.0,50.6,51.45,106630
2009-08-21,50.6,52.2,49.25,49.75,213135
2009-08-24,50.2,52.0,49.7,50.85,151890
2009-08-25,50.85,52.4,50.3,51.8,162710
2009-08-26,52.0,54.95,52.0,53.25,525695
2009-08-27,54.65,54.75,53.2,53.45,170670
2009-08-28,54.4,54.6,53.45,53.6,118585
2009-08-31,53.4,54.4,52.45,52.9,148735
2009-09-01,53.8,54.0,51.95,52.05,116465
2009-09-02,51.8,53.0,50.9,51.3,85345
2009-09-03,51.6,52.15,50.3,50.55,229365
2009-09-04,50.8,51.55,50.3,50.6,161290
2009-09-07,51.2,52.75,51.2,52.45,174255
2009-09-08,51.55,59.55,50.6,55.85,2283780
2009-09-09,56.15,59.0,55.8,56.4,1456540
2009-09-10,57.2,57.5,54.25,54.9,276400
2009-09-11,54.95,55.2,52.45,52.75,259095
2009-09-14,52.3,53.95,52.3,52.5,122600
2009-09-15,53.6,53.8,52.85,53.35,146555
2009-09-16,53.4,54.6,53.0,53.3,158325
2009-09-17,53.9,54.0,51.7,52.15,232455
2009-09-18,52.0,53.75,51.65,52.3,146205
2009-09-22,53.0,55.3,51.5,53.5,378620
2009-09-23,53.2,53.8,52.2,52.45,104080
2009-09-24,52.0,52.6,51.7,52.2,82710
2009-09-25,52.2,53.2,52.0,52.15,103410
2009-09-29,52.4,53.8,52.3,52.55,91950
2009-09-30,52.6,53.2,51.2,51.7,111425
2009-10-01,51.7,54.4,51.2,52.35,349920
2009-10-05,51.8,52.4,51.0,51.2,128330
2009-10-06,52.3,52.3,50.6,51.45,94685
2009-10-07,51.2,52.9,51.2,51.9,105680
2009-10-08,52.0,53.0,51.45,52.75,145035
2009-10-09,53.2,53.6,51.9,52.3,178525
2009-10-12,51.8,53.2,51.8,52.8,68590
2009-10-14,52.9,54.9,52.9,53.65,293610
2009-10-15,54.3,55.0,53.0,53.5,173300
2009-10-16,53.9,54.6,52.55,53.0,104915
2009-10-17,53.9,54.0,53.3,53.85,44060
2009-10-20,53.6,54.4,53.3,53.8,88670
2009-10-21,53.6,56.75,53.0,54.5,529015
2009-10-22,55.0,56.6,54.0,54.8,521050
2009-10-23,55.8,56.75,54.25,54.85,349390
2009-10-26,55.0,56.1,54.2,55.0,183245
2009-10-27,54.4,55.0,51.4,51.7,161460
2009-10-28,51.4,52.0,49.4,50.9,66150
2009-10-29,49.1,51.2,49.1,50.15,175750
2009-10-30,50.6,53.0,50.6,51.85,140505
2009-11-03,51.0,51.8,49.0,49.95,133250
2009-11-04,50.0,51.0,48.15,49.25,142700
2009-11-05,49.2,50.0,48.8,49.5,82030
2009-11-06,49.65,51.5,49.65,50.55,64750
2009-11-09,50.55,52.4,50.55,51.6,112085
2009-11-10,52.0,52.55,51.0,51.3,93795
2009-11-11,51.8,52.8,51.2,52.3,150900
2009-11-12,52.0,54.4,51.9,52.45,104640
2009-11-13,52.05,53.7,52.05,53.2,132755
2009-11-16,52.9,53.65,52.0,52.95,188030
2009-11-17,53.0,53.2,51.6,52.9,198210
2009-11-18,53.0,53.2,52.4,52.55,54260
2009-11-19,52.3,54.0,52.2,53.0,211105
2009-11-20,53.4,53.55,52.65,53.05,78465
2009-11-23,53.2,53.45,52.4,52.95,78935
2009-11-24,53.0,58.5,52.7,56.9,957990
2009-11-25,57.0,59.2,56.5,57.15,533100
2009-11-26,56.8,61.9,56.8,59.2,1376580
2009-11-27,57.8,58.55,56.1,57.0,381255
2009-11-30,59.1,61.5,58.2,61.05,810685
2009-12-01,62.0,65.0,61.4,63.55,1880935
2009-12-02,64.2,64.4,61.0,61.35,359030
2009-12-03,61.9,64.75,61.1,63.95,434875
2009-12-04,63.0,64.5,63.0,63.25,206195
2009-12-07,63.8,65.35,63.0,63.65,475025
2009-12-08,64.0,64.6,63.0,63.2,180530
2009-12-09,63.2,65.0,62.4,63.9,304155
2009-12-10,63.3,64.0,62.05,62.55,183610
2009-12-11,63.4,63.7,61.6,62.3,161790
2009-12-14,62.3,62.8,61.0,62.05,392025
2009-12-15,62.6,71.55,61.8,69.55,6843715
2009-12-16,69.6,70.0,66.2,67.75,2009805
2009-12-17,68.4,70.35,67.6,68.95,647305
2009-12-18,68.0,78.2,68.0,73.95,7420675
2009-12-21,74.65,82.2,73.6,77.3,11654575
2009-12-22,78.35,80.6,75.05,75.7,3732285
2009-12-23,76.0,78.8,73.8,76.35,2565150
2009-12-24,76.9,77.35,74.2,74.65,1220805
2009-12-29,75.0,80.8,73.6,76.75,5170915
2009-12-30,77.1,79.35,76.4,77.55,1454775
2009-12-31,78.25,80.15,77.2,77.55,1830340
2010-01-04,78.15,80.3,77.6,78.2,2198670
2010-01-05,78.95,79.6,77.9,78.75,1089355
2010-01-06,78.9,82.45,78.65,79.7,3914100
2010-01-07,80.0,80.6,78.4,79.1,772350
2010-01-08,79.6,79.75,77.2,77.85,398760
2010-01-11,78.1,82.0,78.1,79.2,2144400
2010-01-12,79.7,80.95,76.6,77.3,434255
2010-01-13,77.3,78.6,76.3,77.4,408730
2010-01-14,78.1,79.6,77.8,78.15,368145
2010-01-15,78.6,78.9,76.3,76.65,352305
2010-01-18,76.7,78.4,75.85,76.45,480210
2010-01-19,76.6,77.0,74.4,74.7,289360
2010-01-20,75.35,76.75,72.0,72.85,699730
2010-01-21,73.4,75.3,72.0,72.95,936630
2010-01-22,71.6,72.65,69.25,70.7,385760
2010-01-25,70.8,71.6,69.25,69.7,213960
2010-01-27,70.0,70.9,66.4,68.1,362540
2010-01-28,69.0,69.4,67.4,67.9,428600
2010-01-29,67.7,68.85,66.0,68.2,400670
2010-02-01,68.2,70.0,68.0,68.25,332490
2010-02-02,68.95,70.95,66.45,66.85,358305
2010-02-03,67.7,72.1,67.4,70.9,1272175
2010-02-04,71.9,73.2,68.5,69.0,1122900
2010-02-05,68.6,69.8,66.0,68.75,476585
2010-02-06,69.7,70.7,68.6,69.05,68520
2010-02-08,69.2,69.4,67.2,67.6,155555
2010-02-09,68.2,69.0,67.45,68.45,583360
2010-02-10,69.4,69.4,67.05,67.4,121225
2010-02-11,67.8,68.75,66.95,67.55,111755
2010-02-15,68.35,68.35,67.0,67.2,85230
2010-02-16,67.95,67.95,66.0,66.15,108635
2010-02-17,67.25,69.15,66.45,67.3,355135
2010-02-18,67.2,68.75,67.1,68.05,385330
2010-02-19,67.5,71.35,65.6,66.4,3343980
2010-02-22,67.0,67.9,65.0,65.35,353550
2010-02-23,64.8,67.15,64.05,66.25,462865
2010-02-24,66.25,66.9,65.0,65.55,170905
2010-02-25,65.95,66.7,63.65,63.9,255035
2010-02-26,64.2,65.4,63.0,64.8,369660
2010-03-02,65.9,69.8,65.15,68.75,653690
2010-03-03,69.0,69.15,67.1,67.4,262675
2010-03-04,67.5,68.4,67.1,67.5,150125
2010-03-05,68.0,68.8,67.2,67.6,171055
2010-03-08,68.3,70.6,67.7,68.15,1336490
2010-03-09,68.2,68.85,66.85,67.1,224455
2010-03-10,67.2,68.2,66.1,66.55,190655
2010-03-11,66.95,67.05,65.6,65.85,169120
2010-03-12,66.35,66.75,64.65,64.75,149785
2010-03-15,64.85,65.5,63.65,64.0,155635
2010-03-16,63.8,67.0,63.8,66.1,491135
2010-03-17,66.95,67.55,65.4,65.85,200585
2010-03-18,66.4,67.6,65.6,67.25,392865
2010-03-19,67.8,68.75,67.0,67.35,329860
2010-03-22,67.0,69.2,64.2,67.8,835260
2010-03-23,68.8,69.8,67.3,67.6,790255
2010-03-25,67.6,68.35,66.8,67.2,248360
2010-03-26,67.6,68.2,66.75,66.9,239075
2010-03-29,78.0,78.0,67.0,67.55,1066930
2010-03-30,67.9,69.0,67.65,68.0,252210
2010-03-31,68.35,68.35,67.2,67.35,127540
2010-04-01,68.2,69.6,68.2,68.6,692900
2010-04-05,69.4,70.9,69.0,70.5,831265
2010-04-06,71.0,73.2,70.6,72.8,1478495
2010-04-07,73.4,77.1,72.3,76.3,1786300
2010-04-08,76.8,77.6,72.65,73.2,1090760
2010-04-09,74.0,75.5,73.2,73.6,628630
2010-04-12,74.0,75.6,72.45,73.6,426325
2010-04-13,73.8,73.8,72.0,72.15,269365
2010-04-15,72.2,73.35,70.25,71.1,205405
2010-04-16,71.25,72.4,70.65,71.1,172005
2010-04-19,70.45,71.4,69.0,70.75,219410
2010-04-20,71.0,74.35,70.8,72.15,507035
2010-04-21,72.25,74.0,72.05,72.55,258160
2010-04-22,71.8,73.4,71.8,72.55,168960
2010-04-23,73.0,73.85,72.2,72.4,203085
2010-04-26,72.8,75.55,72.8,74.1,1113180
2010-04-27,74.4,75.4,74.0,74.7,233980
2010-04-28,74.1,75.0,72.4,74.1,272410
2010-04-29,74.0,75.0,73.15,74.3,195560
2010-04-30,74.9,75.35,73.7,74.0,215490
2010-05-03,74.2,75.2,73.0,73.3,329115
2010-05-04,74.2,74.8,71.35,72.0,206720
2010-05-05,70.0,70.8,66.2,68.95,688650
2010-05-06,69.55,69.55,66.0,66.75,610500
2010-05-07,66.4,67.95,65.2,67.3,260215
2010-05-10,68.0,69.2,67.8,68.25,309155
2010-05-11,69.8,70.1,68.4,69.6,317755
2010-05-12,70.2,70.2,67.7,68.55,138820
2010-05-13,68.75,69.4,67.3,67.7,153920
2010-05-14,68.0,68.0,67.0,67.35,110755
2010-05-17,67.4,67.4,65.0,66.5,95000
2010-05-18,67.0,67.4,65.2,65.65,76320
2010-05-19,65.65,66.2,63.0,63.3,176305
2010-05-20,63.3,64.35,63.2,63.3,71570
2010-05-21,64.0,64.0,61.4,62.1,157085
2010-05-24,63.6,64.0,62.65,63.65,159685
2010-05-25,63.65,63.65,61.9,62.1,97135
2010-05-26,62.6,63.75,61.4,61.8,87925
2010-05-27,62.75,64.45,62.35,62.7,162370
2010-05-28,63.95,64.4,62.55,63.5,193640
2010-05-31,63.8,63.8,63.0,63.15,65670
2010-06-01,63.4,64.4,62.45,63.45,138330
2010-06-02,63.4,64.0,62.65,63.15,163455
2010-06-03,64.0,65.0,63.0,63.25,153470
2010-06-04,63.95,63.95,62.85,63.0,68180
2010-06-07,62.8,63.2,60.25,62.8,67385
2010-06-08,63.45,64.5,62.8,63.4,440500
2010-06-09,64.15,64.15,63.0,63.2,43520
2010-06-10,62.9,62.9,62.2,62.6,130390
2010-06-11,62.7,63.75,62.0,62.15,93265
2010-06-14,62.8,62.95,62.0,62.4,180140
2010-06-15,63.0,64.2,63.0,64.05,310780
2010-06-16,64.8,65.8,64.2,64.6,147125
2010-06-17,64.3,65.0,63.85,64.4,284065
2010-06-18,64.4,66.75,64.25,65.05,322610
2010-06-21,65.2,66.0,64.1,64.25,168615
2010-06-22,64.3,65.4,64.0,64.45,130475
2010-06-23,64.6,65.1,63.65,64.4,101380
2010-06-24,63.8,65.3,63.8,64.45,71315
2010-06-25,63.6,64.6,63.6,63.8,39935
2010-06-28,64.75,64.75,63.75,64.2,100490
2010-06-29,64.6,65.2,63.4,64.0,94960
2010-06-30,63.8,64.75,63.2,64.0,148460
2010-07-01,64.0,66.6,63.5,65.15,335480
2010-07-02,66.0,66.0,64.1,64.8,255325
2010-07-05,65.95,65.95,64.2,64.8,49930
2010-07-06,65.0,66.2,64.55,65.55,72960
2010-07-07,65.95,67.35,65.4,66.4,206640
2010-07-08,67.6,73.2,66.6,69.25,4764300
2010-07-09,70.0,71.25,69.05,69.45,1451025
2010-07-12,70.05,71.3,68.55,69.0,788720
2010-07-13,69.55,69.55,67.7,68.0,414930
2010-07-14,68.6,68.6,66.85,67.45,306195
2010-07-15,67.05,67.55,66.2,66.5,171455
2010-07-16,66.6,67.15,66.2,66.75,121770
2010-07-19,66.0,68.0,65.6,66.45,194595
2010-07-20,67.1,67.1,65.9,66.1,178930
2010-07-21,66.8,67.8,65.9,66.35,257615
2010-07-22,65.8,66.8,65.2,65.75,116710
2010-07-23,66.6,66.7,65.0,65.15,146900
2010-07-26,65.75,65.75,64.6,64.75,107645
2010-07-27,65.0,66.5,64.0,64.95,242560
2010-07-28,64.6,65.2,62.85,62.95,240620
2010-07-29,62.0,63.35,61.1,61.55,211260
2010-07-30,61.4,61.75,61.1,61.45,139560
