date,open,high,low,close,volume
2009-03-05,42.05,42.05,40.45,40.7,2259487
2009-03-06,40.3,41.1,40.2,40.4,2234013
2009-03-09,40.45,40.45,37.55,37.85,4684776
2009-03-12,38.05,39.15,37.25,37.7,6640494
2009-03-13,37.35,37.95,35.45,35.8,7795128
2009-03-16,36.3,39.1,36.3,38.75,10443309
2009-03-17,38.65,39.05,36.75,38.5,11609857
2009-03-18,38.5,38.5,36.45,36.8,9463026
2009-03-19,36.9,37.25,35.85,36.8,2997565
2009-03-20,36.3,36.3,35.0,35.25,10337380
2009-03-23,35.3,35.8,35.05,35.35,6298396
2009-03-24,35.55,38.0,35.4,37.35,9105769
2009-03-25,37.2,38.05,36.9,37.25,3280161
2009-03-26,37.2,38.5,37.1,38.1,5824776
2009-03-27,37.85,39.45,37.85,38.5,6663808
2009-03-30,38.5,39.95,38.5,39.1,2661766
2009-03-31,39.7,40.15,38.55,39.9,10493596
2009-04-01,39.75,40.45,38.9,39.05,1992511
2009-04-02,39.95,40.4,39.15,40.1,2446131
2009-04-06,39.85,40.4,37.55,38.5,10591842
2009-04-08,38.05,39.9,38.05,38.85,11009653
2009-04-09,38.95,40.15,38.3,38.85,7701756
2009-04-13,38.4,39.1,37.2,37.55,9693141
2009-04-15,37.8,38.65,37.2,37.4,8899036
2009-04-16,37.5,40.1,37.25,39.05,12817263
2009-04-17,39.55,40.4,39.15,39.6,4176339
2009-04-20,39.6,40.75,39.15,39.65,7278105
2009-04-21,40.0,40.75,39.6,39.8,2926171
2009-04-22,39.7,40.3,38.8,39.55,3262402
2009-04-23,39.55,39.7,38.6,39.5,6807468
2009-04-24,39.55,39.8,39.15,39.4,4736440
2009-04-27,39.4,39.7,38.9,39.3,6372789
2009-04-28,39.7,40.3,39.4,39.75,3267916
2009-04-29,39.8,41.6,39.7,40.8,9062218
2009-05-04,40.75,41.45,39.75,40.15,3369355
2009-05-05,39.85,40.6,38.4,38.7,6131293
2009-05-06,36.5,39.0,36.5,38.2,8753230
2009-05-07,38.5,38.5,37.25,37.45,6824923
2009-05-08,37.05,37.7,36.0,36.4,7237618
2009-05-11,36.4,37.15,35.95,36.75,2355486
2009-05-12,37.05,38.3,36.95,38.05,4836718
2009-05-13,37.95,39.5,37.65,39.2,4254031
2009-05-14,39.35,40.0,38.65,39.0,2972401
2009-05-15,39.15,39.15,37.65,38.5,5855556
2009-05-18,41.5,46.05,41.5,45.35,179205
2009-05-19,47.85,52.55,40.6,41.6,12659947
2009-05-20,41.5,42.95,40.9,41.85,6563577
2009-05-21,42.05,48.85,42.05,47.75,34460031
2009-05-22,48.1,48.15,44.7,47.55,20020195
2009-05-25,47.95,50.45,47.7,50.2,24945730
2009-05-26,51.4,52.45,48.5,49.45,11728374
2009-05-27,50.65,50.65,49.5,49.95,8042698
2009-05-28,49.95,50.3,48.6,49.6,5751687
2009-05-29,49.5,58.95,49.2,53.75,46555032
2009-06-01,54.05,56.8,52.95,53.45,12951412
2009-06-02,54.8,56.25,49.65,51.6,28353072
2009-06-03,52.6,53.2,50.55,51.2,14564724
2009-06-04,51.8,52.45,49.65,50.05,17063904
2009-06-05,51.7,54.05,49.8,51.7,31669290
2009-06-08,53.0,53.4,47.2,48.85,22503493
2009-06-09,47.55,48.45,44.75,47.8,14071393
2009-06-10,48.6,49.35,46.9,47.45,19074837
2009-06-11,47.65,48.0,44.75,45.4,14011561
2009-06-12,45.65,47.0,44.75,45.0,11070997
2009-06-15,44.6,46.95,44.6,46.55,12703066
