date,open,high,low,close,volume
2009-03-05,701.0,701.0,675.0,681.55,406
2009-03-06,675.1,688.7,666.0,687.9,232
2009-03-09,675.0,685.05,656.05,678.4,105
2009-03-12,675.0,684.0,655.0,672.7,132
2009-03-13,696.95,696.95,652.0,676.5,374
2009-03-16,675.0,688.2,665.0,676.3,294
2009-03-17,699.0,711.0,660.0,693.5,417
2009-03-18,724.8,724.8,680.0,690.8,420
2009-03-19,692.6,699.95,692.5,696.95,257
2009-03-20,709.95,711.0,690.0,702.4,75
2009-03-23,702.4,726.0,700.0,719.0,283
2009-03-24,715.0,735.0,711.45,713.75,1530
2009-03-25,713.1,733.95,690.05,705.0,45
2009-03-26,706.9,728.0,706.9,721.1,436
2009-03-27,750.0,757.0,720.1,741.9,376
2009-03-30,740.0,740.0,715.1,716.2,99
2009-03-31,716.0,799.0,705.1,750.3,364
2009-04-01,789.8,789.8,750.1,781.0,475
2009-04-02,765.05,839.85,765.05,810.35,1787
2009-04-06,829.0,850.0,800.05,834.4,621
2009-04-08,821.65,860.0,820.0,848.25,418
2009-04-09,833.05,869.0,823.65,866.15,442
2009-04-13,868.0,929.0,868.0,906.45,663
2009-04-15,870.05,925.0,866.0,907.4,694
2009-04-16,925.0,999.0,920.2,968.2,2297
2009-04-17,990.0,1020.0,980.0,984.25,1161
2009-04-20,1002.0,1089.0,1002.0,1032.7,2042
2009-04-21,1008.0,1047.0,1005.65,1010.5,326
2009-04-22,1030.0,1039.95,960.0,980.3,464
2009-04-23,961.45,1000.0,961.45,992.0,189
2009-04-24,999.0,1020.0,985.0,1004.85,170
2009-04-27,1004.0,1012.8,971.1,995.75,227
2009-04-28,1013.95,1013.95,960.0,966.55,263
2009-04-29,956.85,997.85,951.05,970.0,519
2009-05-04,1000.0,1050.0,977.0,1046.55,961
2009-05-05,1018.35,1125.0,1018.35,1098.05,1201
2009-05-06,1100.0,1150.0,1090.0,1093.8,571
2009-05-07,1129.9,1129.9,1077.15,1100.95,459
2009-05-08,1125.0,1142.0,1101.1,1103.9,175
2009-05-11,1149.0,1239.0,1095.0,1101.5,357
2009-05-12,1100.0,1105.0,1074.05,1104.4,106
2009-05-13,1090.15,1149.0,1090.15,1116.3,284
2009-05-14,1100.0,1139.0,1097.0,1118.85,364
2009-05-15,1125.0,1138.95,1102.0,1106.4,281
2009-05-19,1052.0,1195.0,1052.0,1147.85,4596
2009-05-20,1169.0,1237.0,1168.9,1207.55,3061
2009-05-21,1243.0,1290.0,1228.9,1251.0,475
2009-05-22,1230.1,1302.0,1230.1,1290.95,318
