date,open,high,low,close,volume
2009-03-05,17.25,17.35,16.5,16.65,9088564
2009-03-06,16.7,16.7,16.25,16.45,8161821
2009-03-09,16.5,16.6,15.8,15.9,4136279
2009-03-12,16.1,16.4,15.9,16.05,4994528
2009-03-13,16.45,17.1,16.3,17.0,8916091
2009-03-16,17.4,17.95,16.85,17.75,9888931
2009-03-17,17.9,18.65,17.3,17.9,16410876
2009-03-18,18.0,18.65,17.8,17.9,8160561
2009-03-19,18.05,18.3,17.6,17.8,8022154
2009-03-20,17.6,18.0,17.55,17.8,5808430
2009-03-23,18.05,18.7,17.9,18.45,9013283
2009-03-24,18.75,19.2,18.0,18.15,14250182
2009-03-25,18.5,18.6,17.9,18.5,12339932
2009-03-26,18.75,20.0,18.65,19.6,29758964
2009-03-27,19.1,20.95,19.1,20.6,28200992
2009-03-30,20.0,20.25,18.7,18.8,17047412
2009-03-31,18.95,19.9,18.75,19.3,14223150
2009-04-01,19.45,20.75,19.0,20.45,28584928
2009-04-02,20.95,21.9,20.8,21.05,26803832
2009-04-06,21.8,22.75,21.2,22.55,34312424
2009-04-08,22.05,23.3,21.35,22.95,35061712
2009-04-09,23.45,23.85,22.55,22.65,27910640
2009-04-13,23.4,24.55,22.8,23.75,34398440
2009-04-15,23.4,25.6,22.9,25.4,42444716
2009-04-16,25.8,26.65,23.65,24.1,49496232
2009-04-17,24.75,25.35,23.45,23.9,27073960
2009-04-20,24.1,25.8,23.85,24.45,34802708
2009-04-21,23.7,25.2,23.6,24.75,26232890
2009-04-22,25.25,26.6,24.3,25.15,55830332
2009-04-23,25.45,25.75,24.05,25.5,26734588
2009-04-24,25.75,27.3,25.0,27.0,49308124
2009-04-27,27.1,27.65,25.8,26.2,32816208
2009-04-28,25.7,26.2,23.65,23.95,28405832
2009-04-29,25.0,25.3,24.1,25.15,14787271
2009-05-04,26.0,26.8,25.5,26.3,25162232
2009-05-05,26.45,29.0,25.9,28.7,49842340
2009-05-06,29.0,29.35,26.0,26.55,51938996
2009-05-07,27.0,27.6,26.65,27.2,24595520
2009-05-08,27.2,27.4,25.85,26.55,21176286
2009-05-11,26.95,27.1,25.25,25.65,18457652
2009-05-12,25.6,26.45,24.9,26.25,19995548
2009-05-13,26.45,27.45,25.45,25.9,25497240
2009-05-14,25.35,26.45,24.9,26.15,26406094
2009-05-15,26.6,27.0,25.6,25.9,19072706
2009-05-18,30.6,33.65,29.3,32.7,350874
2009-05-19,34.05,39.4,32.0,38.15,95999208
2009-05-20,38.55,42.8,37.95,42.35,60218060
2009-05-21,42.75,44.45,39.8,41.6,53994572
2009-05-22,41.8,46.4,40.2,45.6,51322140
2009-05-25,46.7,49.85,45.0,48.95,52577644
2009-05-26,49.0,49.25,43.6,44.9,53164776
2009-05-27,46.9,47.9,46.25,47.3,35614832
2009-05-28,46.25,48.15,45.6,46.5,28029738
2009-05-29,47.0,48.0,46.45,46.9,26003170
2009-06-01,47.8,48.45,46.6,47.85,25564572
2009-06-02,48.2,53.5,48.15,53.0,94216432
2009-06-03,54.05,55.75,52.0,53.7,60297648
2009-06-04,54.5,57.3,52.5,56.85,52790488
2009-06-05,57.5,57.75,53.3,53.85,42192640
2009-06-08,54.0,54.6,48.55,49.25,32968256
2009-06-09,48.5,53.9,45.6,53.25,55364160
2009-06-10,54.3,55.0,51.1,52.3,37243172
2009-06-11,51.95,53.9,49.6,53.1,48572952
2009-06-12,53.7,54.95,50.8,51.35,40077300
2009-06-15,51.5,53.45,49.85,51.5,41649416
2009-06-16,50.1,56.0,50.0,55.35,68343344
2009-06-17,56.0,56.8,50.35,51.05,59988560
2009-06-18,50.75,52.2,48.15,50.0,57468948
2009-06-19,51.25,51.25,47.0,49.45,52325552
2009-06-22,50.05,53.1,49.6,51.9,69412512
2009-06-23,50.5,53.9,49.55,53.4,58914464
2009-06-24,54.0,55.2,53.2,53.85,42629924
2009-06-25,54.8,54.9,51.55,52.15,37062792
2009-06-26,53.1,55.95,52.7,55.5,75319880
2009-06-29,56.1,57.5,54.9,55.55,57738440
2009-06-30,56.2,56.75,51.85,52.35,40523644
2009-07-01,52.9,53.65,50.95,53.25,31398232
2009-07-02,53.65,54.75,52.4,53.75,32525480
2009-07-03,53.0,55.1,52.7,54.6,30281110
2009-07-06,55.25,55.9,48.1,48.9,48402904
2009-07-07,48.5,49.35,46.65,48.35,38636308
