date,open,high,low,close,volume
2009-03-05,9.8,9.99,9.7,9.8,5344030
2009-03-06,9.68,9.78,9.6,9.7,452890
2009-03-09,9.89,9.89,9.62,9.78,427260
2009-03-12,9.9,10.25,9.6,10.01,1617360
2009-03-13,10.2,10.2,9.92,10.0,259410
2009-03-16,10.2,10.49,9.97,10.02,519850
2009-03-17,10.1,10.19,9.96,10.06,281760
2009-03-18,10.1,10.19,9.9,10.04,193960
2009-03-19,10.1,10.2,10.05,10.1,126730
2009-03-20,10.24,10.24,9.96,10.1,212010
2009-03-23,10.11,10.54,10.11,10.42,1905820
2009-03-24,10.66,10.75,10.4,10.68,811920
2009-03-25,10.52,10.67,10.45,10.56,338690
2009-03-26,10.6,10.7,10.4,10.57,125160
2009-03-27,10.5,10.75,10.47,10.56,211770
2009-03-30,10.5,10.64,10.33,10.44,248420
2009-03-31,10.5,11.15,10.21,10.94,1868520
2009-04-01,10.94,11.07,10.74,10.84,188100
2009-04-02,10.87,11.1,10.8,10.84,597880
2009-04-06,11.0,11.03,10.81,10.89,506460
2009-04-08,10.9,11.06,10.72,10.99,2700510
2009-04-09,11.02,11.2,10.76,10.8,916370
2009-04-13,11.04,11.1,10.71,10.8,1271810
2009-04-15,10.75,11.25,10.7,10.96,4626900
2009-04-16,11.08,11.68,10.92,11.12,3032710
2009-04-17,11.32,11.45,11.25,11.36,1621300
2009-04-20,11.4,11.8,11.33,11.46,1216770
2009-04-21,11.3,11.48,11.2,11.26,716930
2009-04-22,11.38,12.0,11.34,11.48,1496220
2009-04-23,11.6,11.68,11.38,11.6,636920
2009-04-24,11.6,11.85,11.4,11.77,986790
2009-04-27,11.56,11.9,11.43,11.67,805570
2009-04-28,11.8,11.8,11.48,11.6,427380
2009-04-29,11.62,11.85,11.55,11.7,417890
2009-05-04,11.8,12.18,11.58,11.8,1071320
2009-05-05,11.61,12.44,11.61,12.31,1716750
2009-05-06,12.2,12.59,12.02,12.31,1163740
2009-05-07,12.4,12.6,12.08,12.42,900630
2009-05-08,12.42,12.42,11.75,11.94,1155480
2009-05-11,12.0,12.0,11.57,11.66,405350
2009-05-12,11.54,11.8,11.42,11.72,423290
2009-05-13,11.8,11.8,11.5,11.54,666720
2009-05-14,11.4,11.62,11.3,11.6,272160
2009-05-15,11.71,12.28,11.71,11.9,1505410
2009-05-18,12.6,12.88,12.6,12.88,2000
2009-05-19,12.95,12.95,12.0,12.1,6500520
2009-05-20,12.0,13.68,12.0,13.14,5949170
2009-05-21,14.2,15.08,13.6,13.96,7553780
2009-05-22,13.79,14.4,13.54,14.28,4989840
2009-05-25,14.5,14.9,14.29,14.47,2863340
2009-05-26,14.5,15.0,13.6,13.72,1869440
2009-05-27,13.82,14.59,13.61,13.7,2707500
2009-05-28,13.75,13.9,12.88,13.18,3809000
2009-05-29,13.25,14.22,13.1,13.32,9369580
2009-06-01,13.8,14.2,13.63,13.7,7545700
2009-06-02,13.9,14.16,13.35,13.48,6535070
2009-06-03,13.8,14.19,13.65,13.86,6296750
2009-06-04,13.9,14.44,13.71,14.04,9310100
2009-06-05,14.4,14.6,14.02,14.1,6076390
2009-06-08,14.3,14.54,13.45,13.53,5166270
2009-06-09,13.6,13.92,13.02,13.6,1906890
2009-06-10,13.8,14.1,13.6,13.66,2776900
2009-06-11,13.7,14.08,13.58,13.9,3340490
2009-06-12,14.05,14.98,14.02,14.78,12053080
2009-06-15,14.99,15.44,14.33,14.48,12885150
2009-06-16,14.35,15.09,13.92,14.12,7781550
2009-06-17,14.27,14.27,13.5,13.58,6584950
2009-06-18,11.3,13.75,11.3,13.02,3069920
2009-06-19,13.3,13.6,13.0,13.18,2676540
2009-06-22,13.44,13.44,12.93,13.08,970610
