date,open,high,low,close,volume
2009-03-05,44.5,44.8,40.7,41.65,882789
2009-03-06,41.5,42.5,40.2,40.95,732416
2009-03-09,40.4,41.75,40.4,41.1,363296
2009-03-12,41.75,42.5,40.55,41.05,460938
2009-03-13,41.8,45.2,41.5,44.6,1117054
2009-03-16,45.4,47.65,45.0,47.2,859054
2009-03-17,47.25,50.65,46.35,49.05,1240493
2009-03-18,50.0,54.0,49.35,50.85,1679487
2009-03-19,51.5,52.25,49.4,51.25,766385
2009-03-20,50.0,52.8,49.6,51.85,824323
2009-03-23,52.3,61.75,51.25,60.3,4761442
2009-03-24,61.0,63.25,56.1,57.35,3450667
2009-03-25,57.0,62.6,55.3,61.55,1820912
2009-03-26,62.5,65.75,58.6,60.2,2895665
2009-03-27,61.0,64.45,59.8,60.8,1805529
2009-03-30,58.05,62.45,53.15,54.5,1099220
2009-03-31,55.1,60.5,54.6,58.65,2216845
2009-04-01,59.65,63.45,56.6,62.35,2805940
2009-04-02,64.0,68.0,62.7,65.4,3827307
2009-04-06,66.95,69.1,60.05,64.5,2354545
2009-04-08,61.0,83.9,60.0,74.35,7602370
2009-04-09,74.5,80.5,69.0,72.65,8000445
2009-04-13,74.6,81.8,73.5,77.4,4905467
2009-04-15,76.0,88.5,75.1,85.3,5416216
2009-04-16,87.0,87.9,70.1,71.9,5652870
2009-04-17,73.0,79.0,71.05,74.05,4023451
2009-04-20,75.1,78.8,72.05,74.05,2272329
2009-04-21,71.5,77.5,71.1,73.95,2619311
2009-04-22,74.9,77.95,70.75,72.25,2335214
2009-04-23,74.0,76.1,68.9,75.25,2465973
2009-04-24,73.15,82.3,73.15,78.55,5260493
2009-04-27,76.4,82.65,76.0,79.8,3820890
2009-04-28,80.65,81.9,72.35,75.7,3963240
2009-04-29,77.6,77.8,70.55,76.35,4705184
2009-05-04,79.0,85.8,79.0,82.5,4330664
2009-05-05,83.0,85.1,79.15,83.05,2569537
2009-05-06,83.4,91.9,80.1,82.0,5628898
2009-05-07,84.0,89.0,83.0,87.5,2295109
2009-05-08,87.6,90.5,82.65,88.65,3379388
2009-05-11,90.3,91.6,83.05,86.1,2963769
2009-05-12,84.35,91.35,82.1,89.35,4061635
2009-05-13,90.0,93.15,84.0,85.45,4456174
2009-05-14,84.0,94.4,80.05,91.1,5245969
2009-05-15,92.5,96.0,91.0,94.25,5489507
2009-05-18,110.0,120.0,110.0,116.65,4738
2009-05-19,128.0,160.0,112.2,142.35,9537684
2009-05-20,141.1,157.8,137.0,154.65,4351749
2009-05-21,156.8,166.4,140.6,143.7,4820568
2009-05-22,144.1,146.8,134.15,137.75,6819585
2009-05-25,138.0,141.4,134.0,135.95,2922310
2009-05-26,136.9,140.5,127.5,129.3,2329344
2009-05-27,131.0,146.7,131.0,145.2,4791308
2009-05-28,147.0,148.0,137.1,141.15,3914576
2009-05-29,144.7,154.9,141.65,151.55,4781585
2009-06-01,157.0,160.0,153.5,157.85,4468989
2009-06-02,158.9,160.0,146.5,154.4,3019986
2009-06-03,156.9,168.4,152.1,157.0,6390006
2009-06-04,153.1,161.3,152.0,158.9,2768480
2009-06-05,162.0,173.5,158.25,163.7,6701101
2009-06-08,165.0,165.8,143.2,146.5,2417799
2009-06-09,145.9,156.0,141.15,153.0,2248825
2009-06-10,155.9,158.8,146.4,149.1,2189260
2009-06-11,150.1,150.7,140.15,143.25,2694217
2009-06-12,145.1,148.5,135.15,136.95,2675754
2009-06-15,134.0,135.2,120.7,123.45,3460425
2009-06-16,124.0,132.0,119.0,129.45,4665745
2009-06-17,129.0,133.8,115.5,118.15,4038834
2009-06-18,119.0,124.4,109.25,117.8,4804363
2009-06-19,120.1,123.7,112.55,120.0,4908984
2009-06-22,123.4,125.7,115.0,116.1,4593618
2009-06-23,113.7,123.1,109.45,121.3,5778449
2009-06-24,115.2,127.1,115.0,124.9,5391210
2009-06-25,123.25,128.45,121.0,122.3,4812064
2009-06-26,124.1,125.8,121.05,124.8,2713912
