date,open,high,low,close,volume
2009-03-05,34.65,35.0,34.15,34.45,746996
2009-03-06,34.05,35.45,34.05,34.9,430571
2009-03-09,34.6,35.5,34.3,34.8,494477
2009-03-12,34.9,35.3,34.05,34.55,722230
2009-03-13,34.55,35.05,34.25,34.6,426570
2009-03-16,35.0,35.25,34.75,35.0,576096
2009-03-17,35.0,35.35,34.6,35.0,1288088
2009-03-18,35.45,36.35,34.8,35.35,1710485
2009-03-19,35.35,37.4,35.35,37.1,1939441
2009-03-20,37.9,37.9,36.5,37.0,1101977
2009-03-23,37.2,37.85,36.9,37.65,667540
2009-03-24,37.75,38.4,36.1,36.95,766444
2009-03-25,36.8,39.5,36.8,38.7,1446722
2009-03-26,39.4,39.8,38.15,38.55,1654026
2009-03-27,38.6,40.0,38.2,39.15,1086785
2009-03-30,39.0,40.15,38.65,39.95,681234
2009-03-31,39.75,41.2,39.0,39.45,1218352
2009-04-01,39.95,40.7,39.25,40.0,775087
2009-04-02,40.05,43.6,40.05,42.9,2753692
2009-04-06,43.1,46.4,43.1,45.95,3387014
2009-04-08,44.0,48.5,43.6,48.05,1947009
2009-04-09,48.55,54.5,47.05,53.7,2898553
2009-04-13,54.5,55.7,50.2,51.85,1826422
2009-04-15,52.1,54.5,51.05,53.1,1628997
2009-04-16,54.0,55.25,49.7,51.05,1616558
2009-04-17,52.0,53.25,51.0,51.6,1006396
2009-04-20,51.6,52.7,50.3,51.1,776430
2009-04-21,50.2,52.0,49.8,50.5,656490
2009-04-22,50.7,52.7,49.3,49.8,397235
2009-04-23,50.8,52.4,50.8,51.5,2243066
2009-04-24,52.8,52.8,51.1,51.3,407350
2009-04-27,51.7,52.55,51.3,51.5,971999
2009-04-28,51.15,51.9,48.15,48.4,514997
2009-04-29,48.4,50.2,48.0,49.35,1698387
2009-05-04,50.6,54.25,50.05,53.95,1943690
2009-05-05,54.8,56.6,54.7,55.8,2051372
2009-05-06,57.0,58.0,55.0,57.15,2979540
2009-05-07,57.1,59.0,56.2,57.0,859285
2009-05-08,57.0,59.0,54.0,56.85,1447287
2009-05-11,57.5,58.4,54.4,55.05,594364
2009-05-12,55.0,55.0,51.75,54.1,2265242
2009-05-13,53.0,54.85,52.0,52.5,1185229
2009-05-14,52.5,52.5,49.25,50.45,1981258
2009-05-15,51.4,53.2,51.0,51.8,962201
2009-05-18,53.0,60.0,53.0,57.75,7107
2009-05-19,62.0,67.75,53.0,65.8,3377427
