date,open,high,low,close,volume
2009-03-05,104.95,104.95,97.6,98.4,276355
2009-03-06,99.95,100.5,96.2,99.6,194358
2009-03-09,100.45,100.45,96.0,96.9,339752
2009-03-12,97.5,97.5,95.1,95.65,744816
2009-03-13,96.65,103.25,95.5,101.75,1678004
2009-03-16,105.95,105.95,100.3,103.45,371444
2009-03-17,104.35,104.35,97.05,97.75,756641
2009-03-18,98.1,101.5,94.5,95.15,1393306
2009-03-19,97.0,97.0,92.0,93.95,766153
2009-03-20,93.5,95.9,92.25,94.75,509000
2009-03-23,96.0,98.85,94.5,97.95,1685745
2009-03-24,99.9,102.4,95.15,96.45,1201293
2009-03-25,96.0,103.75,95.0,102.75,2805840
2009-03-26,103.0,108.7,103.0,107.4,2864572
2009-03-27,107.95,111.35,104.6,110.3,2009713
2009-03-30,107.25,108.7,102.65,104.55,904435
2009-03-31,106.0,109.45,105.0,106.0,2730976
2009-04-01,107.85,108.8,106.0,106.55,1131584
2009-04-02,107.0,114.5,107.0,110.55,3988729
2009-04-06,114.4,116.45,107.55,110.45,758839
2009-04-08,107.6,113.0,105.0,112.2,935046
2009-04-09,114.4,117.5,110.7,115.0,2416346
2009-04-13,116.0,121.4,115.4,118.5,2317014
2009-04-15,115.8,136.9,115.8,130.2,5726197
2009-04-16,136.9,136.9,118.0,120.6,1925910
2009-04-17,121.0,128.85,117.05,121.4,1880528
2009-04-20,122.0,126.4,120.5,123.05,836648
2009-04-21,120.85,124.35,119.0,122.6,838031
2009-04-22,124.95,127.0,120.1,122.6,753999
2009-04-23,124.95,125.35,119.6,120.95,1257874
2009-04-24,122.9,125.85,120.25,124.5,1333580
2009-04-27,122.55,128.4,120.1,122.65,1854502
2009-04-28,123.95,124.5,115.0,116.25,1067164
2009-04-29,117.0,118.8,113.35,114.75,1583356
2009-05-04,117.5,119.65,116.1,118.15,986942
2009-05-05,116.0,121.1,115.25,117.0,1288438
2009-05-06,119.8,124.9,117.1,118.65,1363018
2009-05-07,124.65,124.8,120.7,122.35,1976544
2009-05-08,122.0,124.0,118.2,121.2,1019985
2009-05-11,122.5,122.5,109.1,110.45,1192881
2009-05-12,110.0,111.4,106.05,109.1,1592205
2009-05-13,110.0,114.15,109.0,110.1,2016741
2009-05-14,108.0,112.45,107.1,110.4,1768007
2009-05-15,112.9,116.0,111.25,114.9,2428699
2009-05-18,125.1,130.0,124.0,128.3,2170
2009-05-19,134.0,139.9,118.3,137.5,13738863
2009-05-20,137.1,147.9,137.1,143.5,4620574
2009-05-21,144.95,152.9,142.0,144.7,4300409
2009-05-22,145.0,150.0,138.95,147.9,1728989
2009-05-25,151.9,151.9,145.2,147.15,2481902
2009-05-26,145.7,152.65,140.1,141.5,3157106
2009-05-27,145.9,146.8,139.1,145.15,2348387
2009-05-28,146.9,147.9,142.05,142.7,3077883
2009-05-29,144.0,157.35,144.0,154.15,5223729
2009-06-01,155.6,162.9,154.5,159.3,6124719
2009-06-02,161.4,167.7,153.05,165.4,6459914
2009-06-03,168.2,168.25,158.5,165.4,4640846
2009-06-04,160.35,169.0,160.35,163.05,2685155
2009-06-05,166.0,170.85,161.15,163.85,3386947
2009-06-08,164.9,165.9,147.55,150.4,2085514
2009-06-09,150.0,161.7,150.0,160.25,3120959
2009-06-10,154.1,179.65,154.1,177.5,6300639
2009-06-11,180.0,180.0,162.55,164.55,4010652
2009-06-12,167.9,168.45,159.5,161.05,1308513
2009-06-15,161.9,163.9,147.65,159.35,805387
2009-06-16,157.0,163.25,155.1,160.5,1900606
2009-06-17,161.0,162.5,146.35,148.9,1295057
2009-06-18,148.0,150.8,135.65,139.9,2878145
2009-06-19,140.9,143.05,134.2,138.6,3875370
2009-06-22,138.0,142.9,135.55,136.95,1179896
2009-06-23,134.0,139.65,130.05,138.3,1216654
2009-06-24,139.5,141.5,137.25,140.7,1321202
2009-06-25,144.1,144.1,139.55,140.55,1652820
2009-06-26,142.1,147.2,139.55,146.15,1541221
2009-06-29,146.5,146.5,137.2,138.25,2371974
2009-06-30,140.0,143.0,129.05,131.0,1171447
2009-07-01,133.0,134.9,126.75,130.6,995934
2009-07-02,131.9,135.9,129.55,134.7,1486504
2009-07-03,133.35,139.9,131.0,137.7,1318740
2009-07-06,139.9,141.8,130.55,131.65,773610
2009-07-07,132.9,140.9,132.2,138.75,1205612
2009-07-08,138.0,147.5,132.0,140.35,3601184
2009-07-09,142.0,146.25,138.5,140.0,1560910
2009-07-10,140.0,144.25,131.6,134.5,918156
2009-07-13,133.0,134.85,122.4,129.75,1318966
2009-07-14,131.0,137.8,131.0,135.65,859195
2009-07-15,138.3,144.4,137.0,143.5,2285134
2009-07-16,145.8,147.6,140.6,141.8,1155699
2009-07-17,145.0,149.25,143.0,147.55,1416537
2009-07-20,149.1,153.8,144.65,152.5,2516893
2009-07-21,155.6,155.6,149.15,151.3,1736989
2009-07-22,154.0,154.7,137.8,138.75,4389686
2009-07-23,142.0,143.7,135.65,141.15,5636132
2009-07-24,142.5,146.25,140.9,142.25,4094022
2009-07-27,143.1,145.7,139.5,139.95,2221434
2009-07-28,141.9,141.9,137.3,138.65,3418664
2009-07-29,139.5,140.3,131.0,135.25,2134639
2009-07-30,134.1,142.0,133.2,139.7,3225995
2009-07-31,141.5,145.0,138.6,140.05,2821849
2009-08-03,140.75,144.2,137.8,143.6,2561079
2009-08-04,144.7,155.85,143.0,154.55,8001004
2009-08-05,155.8,155.8,149.1,152.05,4150114
2009-08-06,152.0,152.0,141.2,142.4,2949332
2009-08-07,139.0,147.15,138.5,140.65,4052982
2009-08-10,143.0,144.75,131.25,133.75,2865667
2009-08-11,134.0,136.7,130.55,134.45,1545938
2009-08-12,133.0,135.9,130.0,134.4,2138172
2009-08-13,135.9,138.7,135.9,137.4,1716335
2009-08-14,137.0,141.35,133.05,133.95,3003718
2009-08-17,130.05,134.2,130.05,131.35,2357456
2009-08-18,130.9,134.0,130.85,131.9,2034313
2009-08-19,133.0,133.65,126.0,126.85,1644666
2009-08-20,128.85,130.85,127.8,128.35,1210741
2009-08-21,127.0,130.45,127.0,128.7,1466832
2009-08-24,130.0,131.4,129.0,129.55,1716441
2009-08-25,129.95,131.0,127.75,128.35,1139665
2009-08-26,129.5,131.3,128.5,129.5,2058869
2009-08-27,129.0,132.5,129.0,129.55,2806121
2009-08-28,130.55,134.85,130.0,133.55,3125350
2009-08-31,132.4,135.5,131.55,134.4,2757699
2009-09-01,134.0,135.85,130.15,130.95,1150557
2009-09-02,129.9,131.8,128.5,129.2,1444867
2009-09-03,130.1,131.2,128.0,128.4,901089
2009-09-04,129.65,129.95,127.1,128.75,1460275
2009-09-07,130.5,130.9,129.1,130.05,1770347
2009-09-08,131.9,135.8,130.85,131.45,3268963
2009-09-09,134.0,134.0,130.55,131.9,2113739
2009-09-10,133.45,133.9,129.25,129.9,2392026
2009-09-11,130.4,131.2,124.7,125.2,3298552
2009-09-14,124.95,126.85,124.0,126.15,1126077
2009-09-15,127.0,127.55,125.2,125.5,1262906
2009-09-16,126.5,128.5,126.1,127.9,1241072
2009-09-17,130.05,131.8,129.15,130.1,2836180
2009-09-18,130.9,135.25,129.05,134.8,6100081
2009-09-22,135.7,137.7,133.15,133.7,4332645
2009-09-23,134.5,136.45,130.55,131.5,2497953
2009-09-24,130.0,134.9,129.5,133.75,3025148
2009-09-25,135.45,137.2,132.2,134.35,3268196
2009-09-29,136.4,136.9,132.9,135.25,2245624
2009-09-30,136.0,137.0,133.55,134.45,1426200
2009-10-01,134.95,136.9,132.4,135.2,2246575
2009-10-05,135.0,135.2,130.5,131.05,1223893
2009-10-06,132.25,132.85,125.8,128.8,1147510
2009-10-07,129.7,132.45,129.0,130.85,1579236
2009-10-08,131.9,131.9,129.4,130.6,983885
2009-10-09,131.2,131.7,129.0,129.3,526782
2009-10-12,129.05,129.3,126.5,127.25,1455033
2009-10-14,128.0,128.95,125.1,125.4,1728626
2009-10-15,127.0,127.25,123.2,123.5,2776944
2009-10-16,125.0,125.4,123.5,123.8,1381954
2009-10-17,123.8,125.0,123.8,124.75,240632
2009-10-20,125.5,125.9,123.1,124.2,1514528
2009-10-21,122.55,124.75,121.25,121.9,803603
2009-10-22,120.9,121.9,117.55,118.15,1528509
2009-10-23,119.05,120.9,117.85,118.4,1038474
2009-10-26,108.25,119.3,108.25,116.75,674338
2009-10-27,117.9,117.9,112.0,112.5,917785
2009-10-28,113.0,115.1,110.55,114.1,1497268
2009-10-29,112.1,115.85,110.5,113.15,2061999
2009-10-30,114.85,116.6,109.4,110.45,2243752
2009-11-03,108.4,110.45,96.8,98.15,2405428
2009-11-04,100.0,108.5,100.0,107.8,2410506
2009-11-05,107.5,107.5,102.65,104.55,1556903
2009-11-06,107.0,107.8,103.0,103.6,1232834
2009-11-09,103.95,104.95,102.05,104.45,1147491
2009-11-10,105.9,108.7,105.0,105.85,1905052
2009-11-11,106.4,107.5,105.35,107.05,699992
2009-11-12,107.4,109.75,105.55,106.0,1860521
2009-11-13,105.8,107.0,103.15,103.6,1399596
2009-11-16,104.5,105.45,103.7,104.15,1126644
2009-11-17,104.7,105.0,101.0,101.95,1298794
