date,open,high,low,close,volume
2019-07-04,590.0,669.0,590.0,650.97,15123226
2019-07-05,656.85,673.85,652.5,662.78,2809364
2019-07-08,656.0,684.35,649.55,673.72,925882
2019-07-09,670.0,676.85,660.85,663.8,351768
2019-07-10,664.9,668.55,660.8,662.63,126072
2019-07-11,669.0,669.0,661.72,662.53,158714
2019-07-12,662.5,670.0,622.5,651.6,390750
2019-07-15,650.0,661.5,630.0,634.5,111966
2019-07-16,637.42,637.97,625.0,626.22,109908
2019-07-17,628.4,647.63,623.17,642.05,202698
2019-07-18,637.5,637.5,631.0,632.5,70828
2019-07-19,635.97,636.45,612.5,612.97,91318
2019-07-22,614.85,614.85,595.0,603.97,56598
2019-07-23,607.5,616.47,601.95,605.25,79746
2019-07-24,605.5,614.95,605.0,608.78,60540
2019-07-25,610.0,630.5,605.5,624.83,79544
2019-07-26,622.47,642.3,602.5,611.4,34736
2019-07-29,608.5,612.47,600.0,602.83,28834
2019-07-30,605.45,620.03,594.0,612.13,71154
2019-07-31,612.0,612.0,595.5,601.85,44166
2019-08-01,630.0,637.92,600.0,608.67,591232
2019-08-02,614.5,621.0,597.03,614.75,374786
2019-08-05,612.5,612.53,592.0,595.05,94144
2019-08-06,594.0,604.25,592.75,596.65,46806
2019-08-07,603.5,603.5,596.0,599.97,202008
2019-08-08,598.5,600.97,551.47,585.03,85604
2019-08-09,587.5,599.0,577.38,585.15,43740
2019-08-13,592.0,593.5,576.03,580.13,76008
2019-08-14,587.38,587.38,553.28,566.3,37406
2019-08-16,565.0,585.0,557.4,574.95,43936
2019-08-19,575.13,590.0,573.97,588.22,54920
2019-08-20,592.0,597.47,577.6,582.75,24648
2019-08-21,586.97,586.97,570.0,573.97,13462
2019-08-22,573.97,580.0,555.0,575.15,32894
2019-08-23,575.0,580.0,565.03,576.35,14706
2019-08-26,589.95,589.95,575.0,580.15,28192
2019-08-27,588.35,592.5,580.0,587.03,57142
2019-08-28,585.0,590.0,574.05,579.65,20426
2019-08-29,581.92,603.2,572.63,593.9,82222
2019-08-30,585.63,604.92,565.15,600.03,89992
2019-09-03,599.97,605.0,580.0,600.03,30088
2019-09-04,606.95,625.0,596.55,610.17,115604
2019-09-05,617.35,624.95,608.65,618.08,247540
2019-09-06,619.97,741.67,618.5,723.6,546160
2019-09-09,731.67,857.5,725.05,805.35,1372824
2019-09-11,801.5,835.95,791.13,800.15,503716
2019-09-12,807.5,825.0,770.5,808.97,194636
2019-09-13,814.95,832.5,793.97,811.75,200578
2019-09-16,811.75,832.5,800.0,825.1,98688
2019-09-17,825.0,861.0,820.05,845.95,258008
2019-09-18,853.5,891.7,849.95,872.67,263372
2019-09-19,875.5,889.65,790.55,814.72,290860
2019-09-20,824.97,869.95,801.53,842.33,206970
2019-09-23,845.0,861.97,835.22,850.35,197646
2019-09-24,850.97,946.1,846.0,928.95,373370
2019-09-25,940.0,985.0,921.55,937.72,226862
2019-09-26,942.5,972.42,939.65,952.17,97192
2019-09-27,962.5,970.0,938.5,946.17,80704
2019-09-30,958.5,958.5,882.63,884.53,66476
2019-10-01,890.0,920.7,882.63,894.28,78184
2019-10-03,899.75,946.5,868.63,931.92,62304
2019-10-04,951.97,969.35,940.0,959.7,68910
2019-10-07,950.0,965.0,936.03,960.03,31242
2019-10-09,966.5,1152.03,966.5,1132.03,579400
2019-10-10,1124.9,1149.5,1000.5,1098.32,227866
2019-10-11,1114.95,1139.0,1072.57,1082.07,99178
2019-10-14,1100.0,1120.0,1066.82,1081.57,73326
2019-10-15,1093.0,1102.53,1012.83,1046.47,143428
2019-10-16,1049.72,1049.72,1005.5,1009.5,86014
2019-10-17,1019.5,1067.0,980.0,1008.22,266536
2019-10-18,1013.0,1039.75,1000.0,1010.2,75520
2019-10-22,1019.0,1035.5,1005.0,1016.03,110374
2019-10-23,1040.0,1049.0,980.65,997.15,176864
2019-10-24,995.0,995.0,893.58,937.65,301918
2019-10-25,937.65,964.3,900.28,912.08,113860
2019-10-27,925.0,938.47,915.0,930.6,24208
