date,open,high,low,close,volume
2015-04-10,110.48,113.0,108.38,109.9,19681144
2015-04-13,109.38,110.69,105.9,107.56,6545736
2015-04-15,107.56,116.1,105.62,109.79,18813944
2015-04-16,110.49,121.75,110.48,119.88,22448240
2015-04-17,118.85,123.6,116.58,118.48,14114064
2015-04-20,118.7,119.4,111.66,112.68,5673764
2015-04-21,113.35,114.75,109.15,110.2,4622524
2015-04-22,110.82,112.38,104.59,110.46,4711468
2015-04-23,111.25,113.95,108.52,109.09,3295096
2015-04-24,109.59,109.88,103.75,105.1,3011236
2015-04-27,105.82,107.88,100.65,104.39,4856416
2015-04-28,104.49,108.72,103.2,107.41,2672248
2015-04-29,107.25,107.29,103.25,104.36,4500840
2015-04-30,104.08,107.2,104.04,106.59,2100000
2015-05-04,106.68,109.16,105.75,108.18,1294072
2015-05-05,107.04,108.0,104.84,105.79,851684
2015-05-06,105.64,105.64,100.02,101.24,1550496
2015-05-07,100.5,103.58,100.25,101.54,1471152
2015-05-08,102.5,106.25,102.5,104.44,1429152
2015-05-11,104.5,110.6,104.5,108.65,2089820
2015-05-12,109.0,109.31,105.25,105.89,1279832
2015-05-13,107.25,114.74,107.2,113.04,4789704
2015-05-14,112.25,114.72,110.71,112.48,2533404
2015-05-15,112.7,117.92,112.59,116.78,4464056
2015-05-18,120.6,120.62,111.28,112.18,7725816
2015-05-19,111.68,114.68,111.18,114.1,1975520
2015-05-20,114.0,115.31,108.5,109.55,2095072
2015-05-21,109.75,112.12,107.49,110.38,1879968
2015-05-22,110.38,112.18,109.31,110.06,1236388
2015-05-25,110.75,111.62,108.7,109.01,684696
2015-05-26,109.28,110.25,106.1,107.29,1418256
2015-05-27,106.74,109.5,105.38,108.81,1073720
2015-05-28,109.25,110.84,108.78,109.74,1900144
2015-05-29,109.85,110.78,108.6,108.94,502164
2015-06-01,109.5,109.72,106.55,107.24,480448
2015-06-02,107.49,109.18,104.92,105.76,596884
2015-06-03,105.75,106.82,97.04,104.96,1581432
2015-06-04,104.55,105.5,102.52,104.86,1447108
2015-06-05,105.11,106.72,103.98,104.95,572088
2015-06-08,104.7,104.88,102.12,103.74,404232
2015-06-09,104.2,104.5,102.08,102.46,460632
2015-06-10,103.72,104.0,101.25,101.84,705104
2015-06-11,102.38,102.78,96.39,97.66,815284
2015-06-12,98.5,103.9,97.08,102.54,4002264
2015-06-15,102.98,105.44,100.85,103.34,1309116
2015-06-16,102.71,103.98,102.52,102.99,344488
2015-06-17,103.78,104.5,102.75,103.42,856528
2015-06-18,103.66,106.98,103.38,104.76,1494040
2015-06-19,105.75,108.35,104.0,107.19,2896212
2015-06-22,108.4,109.62,106.52,107.16,957788
2015-06-23,108.08,108.48,105.86,106.59,567920
2015-06-24,106.0,108.4,100.14,103.11,814728
2015-06-25,102.75,107.0,102.75,106.45,705860
2015-06-26,106.76,109.0,106.15,107.15,858048
2015-06-29,102.89,107.04,102.89,105.8,520232
2015-06-30,106.98,107.75,105.25,105.72,453092
2015-07-01,106.0,107.82,105.54,106.41,442508
2015-07-02,109.75,112.74,108.25,108.96,1609220
2015-07-03,108.02,113.5,108.02,110.76,1869700
2015-07-06,109.5,116.38,109.02,116.01,2132540
2015-07-07,117.1,118.08,114.65,115.71,1710756
2015-07-08,114.25,115.42,110.0,111.44,936536
2015-07-09,111.98,114.71,111.25,112.04,676900
2015-07-10,112.75,113.5,111.5,112.99,343308
2015-07-13,112.52,116.5,112.52,115.86,657584
2015-07-14,117.0,117.15,113.25,113.72,558040
2015-07-15,114.64,114.98,112.51,113.3,393584
2015-07-16,113.75,114.0,111.79,112.21,265616
2015-07-17,111.8,113.98,111.26,111.55,585916
2015-07-20,112.14,112.75,111.0,111.85,223060
2015-07-21,112.38,112.51,106.99,107.8,517208
2015-07-22,108.9,110.25,107.75,109.09,685648
2015-07-23,109.74,109.75,106.86,107.61,308808
2015-07-24,108.0,110.92,104.62,105.59,1104172
2015-07-27,105.59,110.0,105.59,109.25,1993948
2015-07-28,110.21,110.22,104.0,104.45,2629424
