date,open,high,low,close,volume
2009-03-05,4.7,4.8,4.66,4.69,629980
2009-03-06,4.45,4.64,4.45,4.56,218740
2009-03-09,4.56,4.7,4.3,4.32,388080
2009-03-12,4.4,4.54,3.95,4.09,4947500
2009-03-13,4.2,4.27,4.1,4.15,9047860
2009-03-16,4.37,4.37,4.1,4.18,1094820
2009-03-17,4.2,4.28,4.0,4.09,1145220
2009-03-18,4.13,4.55,4.13,4.26,5772480
2009-03-19,4.32,4.6,4.12,4.28,2629260
2009-03-20,4.48,4.48,3.98,4.06,4521180
2009-03-23,4.19,4.2,4.03,4.06,3059080
2009-03-24,4.15,4.41,4.05,4.08,9796520
2009-03-25,4.1,4.1,3.92,3.96,2262420
2009-03-26,4.0,4.22,3.82,4.02,5307580
2009-03-27,3.98,4.08,3.84,4.01,2713120
2009-03-30,3.95,4.1,3.9,4.0,1727440
2009-03-31,4.1,4.32,3.9,4.06,9484200
2009-04-01,4.19,4.44,4.06,4.39,4940160
2009-04-02,4.5,4.88,4.4,4.7,14344380
2009-04-06,4.9,5.0,4.64,4.7,17354400
2009-04-08,4.51,4.94,4.31,4.86,8563200
2009-04-09,5.0,5.4,4.83,5.22,84559320
2009-04-13,5.44,5.67,5.11,5.2,114267296
2009-04-15,5.15,5.68,5.13,5.6,142464976
2009-04-16,5.8,5.89,4.85,5.0,102842896
2009-04-17,5.25,5.48,5.06,5.19,65227980
2009-04-20,5.35,5.44,5.05,5.16,14073640
2009-04-21,5.1,5.34,4.9,5.19,19323400
2009-04-22,5.2,5.25,4.7,4.84,43923340
2009-04-23,4.86,5.05,4.4,4.82,21535260
2009-04-24,4.75,5.12,4.72,5.0,20147900
2009-04-27,5.05,5.2,4.74,4.84,18493320
2009-04-28,4.9,5.06,4.8,4.84,27748560
2009-04-29,4.88,4.98,4.66,4.76,36219340
2009-05-04,4.9,5.05,4.86,4.9,14484620
2009-05-05,4.94,5.11,4.86,4.94,15322620
2009-05-06,4.98,5.32,4.92,5.06,67200976
2009-05-07,5.14,5.28,5.08,5.14,30875580
2009-05-08,5.15,5.3,5.0,5.14,32741240
2009-05-11,5.24,5.28,4.83,5.04,12102280
2009-05-12,4.95,5.05,4.91,5.0,13120080
2009-05-13,5.05,5.48,5.0,5.17,103411056
2009-05-14,5.07,5.64,4.98,5.49,102092320
2009-05-15,5.5,5.82,5.36,5.5,70873200
2009-05-18,5.98,6.6,5.98,6.38,1029040
2009-05-19,6.5,6.99,5.55,6.36,106782360
2009-05-20,6.3,6.85,6.3,6.62,46189440
2009-05-21,6.8,7.1,6.56,6.68,73005000
2009-05-22,6.7,7.0,6.66,6.8,47034580
2009-05-25,6.78,7.25,6.63,7.1,37513260
2009-05-26,7.24,7.42,6.68,6.74,32805740
2009-05-27,6.9,7.12,6.9,6.99,19302180
2009-05-28,7.07,7.15,6.91,6.98,39601540
2009-05-29,7.05,7.22,6.9,7.07,48163000
2009-06-01,7.25,7.6,7.15,7.5,76334176
2009-06-02,7.64,7.64,6.95,7.16,45039020
2009-06-03,7.25,7.42,7.0,7.17,23560740
2009-06-04,7.07,7.84,6.9,7.76,91040480
2009-06-05,7.85,8.07,7.33,7.53,76849920
2009-06-08,7.56,7.72,6.26,6.62,37352000
2009-06-09,6.34,7.1,6.06,7.02,32196580
2009-06-10,7.15,7.41,6.83,7.22,49352060
2009-06-11,7.18,7.59,7.12,7.34,36984180
2009-06-12,7.49,7.49,6.92,7.02,20727740
2009-06-15,6.95,7.05,6.61,6.68,13166140
2009-06-16,6.48,6.87,6.36,6.82,20563060
2009-06-17,6.85,7.27,6.55,6.73,56725040
2009-06-18,6.8,6.96,6.28,6.56,17462780
2009-06-19,6.71,7.15,6.56,6.78,43427680
2009-06-22,7.26,7.26,6.75,7.0,25140420
2009-06-23,6.85,7.47,6.78,7.41,66910080
2009-06-24,7.5,7.92,7.4,7.69,74137560
2009-06-25,7.75,8.1,7.35,7.55,111576384
2009-06-26,7.68,7.8,7.5,7.74,53744500
2009-06-29,7.82,7.92,7.6,7.68,26645920
2009-06-30,7.75,8.02,7.65,7.73,48474940
2009-07-01,7.76,8.36,7.63,8.16,65227120
2009-07-02,8.18,8.95,8.1,8.66,116167616
2009-07-03,8.54,9.12,8.52,8.78,80002096
2009-07-06,8.9,9.29,7.76,8.06,102437664
2009-07-07,7.78,8.84,7.78,8.72,91122896
2009-07-08,8.75,8.75,8.22,8.26,57621260
2009-07-09,8.3,8.46,8.01,8.26,29393320
2009-07-10,8.36,8.44,7.96,8.1,19955940
2009-07-13,8.0,8.3,7.66,7.88,20780860
2009-07-14,8.0,8.45,8.0,8.34,23837980
2009-07-15,8.45,8.75,8.4,8.6,33078660
2009-07-16,8.74,8.84,8.43,8.62,25690600
2009-07-17,8.7,8.74,8.52,8.67,12623440
2009-07-20,8.74,9.12,8.58,9.0,26079100
2009-07-21,9.0,9.5,8.81,9.1,43396080
2009-07-22,7.52,9.37,7.52,9.07,29152240
2009-07-23,9.14,9.25,9.05,9.1,14826260
2009-07-24,9.5,9.5,9.14,9.35,22847220
2009-07-27,7.52,9.96,7.52,9.72,28977560
2009-07-28,9.82,9.99,9.52,9.63,17562680
2009-07-29,9.6,9.74,9.0,9.38,20293780
2009-07-30,9.32,9.4,8.9,9.1,15954460
2009-07-31,9.15,9.44,9.02,9.1,12544180
2009-08-03,9.15,9.25,8.88,9.18,13272820
2009-08-04,9.3,10.12,9.24,9.49,76520320
2009-08-05,9.5,9.72,9.42,9.56,23455360
2009-08-06,9.58,10.02,9.4,9.5,40657180
2009-08-07,9.35,9.5,8.75,8.8,24021760
2009-08-10,9.03,9.14,8.54,8.7,16465440
2009-08-11,8.7,9.15,8.62,8.94,21037060
2009-08-12,8.85,9.05,8.6,8.96,13019960
2009-08-13,9.0,9.25,8.8,9.2,11348160
2009-08-14,9.24,9.6,9.15,9.36,20537880
2009-08-17,8.5,9.25,8.5,8.76,15503520
2009-08-18,8.7,9.4,8.7,9.29,17664400
2009-08-19,9.4,9.6,9.25,9.32,17793440
2009-08-20,9.5,9.6,9.28,9.38,9261040
2009-08-21,9.45,9.45,9.09,9.35,13160100
2009-08-24,9.5,9.74,9.44,9.54,24475520
