date,open,high,low,close,volume
2009-03-05,14.75,15.0,13.75,13.95,51282
2009-03-06,13.95,14.0,13.4,13.6,86091
2009-03-09,13.9,13.95,13.25,13.35,33267
2009-03-12,13.7,14.65,13.7,13.8,45828
2009-03-13,14.1,14.4,13.7,13.85,42448
2009-03-16,14.45,14.5,13.85,14.1,35921
2009-03-17,14.1,15.0,14.0,14.2,100117
2009-03-18,14.3,14.9,14.1,14.4,39293
2009-03-19,14.2,14.75,14.0,14.3,89818
2009-03-20,14.5,15.2,14.15,14.35,118801
2009-03-23,14.65,16.95,14.45,15.95,498934
2009-03-24,16.1,16.7,14.8,15.1,214994
2009-03-25,15.05,16.5,14.65,16.05,225097
2009-03-26,16.35,18.2,15.85,16.75,830807
2009-03-27,17.85,20.0,16.6,16.8,175269
2009-03-30,15.95,17.05,15.95,16.25,105122
2009-03-31,16.25,16.6,16.1,16.2,66871
2009-04-01,16.3,17.2,15.45,16.7,166776
2009-04-02,17.85,17.85,16.7,16.95,156304
2009-04-06,18.0,19.3,17.1,18.5,326738
2009-04-08,18.3,20.7,18.0,20.15,534260
2009-04-09,20.55,21.5,19.5,20.1,511888
2009-04-13,22.0,24.15,22.0,24.15,536179
2009-04-15,26.6,26.6,25.1,26.6,400569
2009-04-16,28.8,28.95,23.95,23.95,274113
2009-04-17,23.4,25.3,21.55,22.2,1004330
2009-04-20,22.8,23.4,22.0,22.25,214044
2009-04-21,21.0,22.15,21.0,21.5,148202
2009-04-22,22.0,22.45,20.5,20.7,164459
2009-04-23,20.15,21.3,20.05,20.95,94315
2009-04-24,21.25,21.65,20.5,20.75,143269
2009-04-27,20.75,21.4,19.1,20.7,115317
2009-04-28,21.0,21.0,19.2,19.4,75280
2009-04-29,19.2,20.0,19.2,19.55,63599
2009-05-04,20.2,20.65,19.8,20.25,122563
2009-05-05,20.6,21.0,20.2,20.5,85027
2009-05-06,20.65,21.7,20.1,20.6,212822
2009-05-07,21.2,22.7,21.2,22.7,454231
2009-05-08,23.0,23.9,21.8,22.6,489386
2009-05-11,22.8,23.0,21.0,21.4,113913
2009-05-12,21.5,21.9,20.55,21.6,97033
2009-05-13,21.6,24.25,21.35,22.6,352960
2009-05-14,22.4,23.25,21.4,22.3,225442
2009-05-15,22.7,26.6,22.35,24.65,2138788
2009-05-18,29.6,29.6,29.6,29.6,13980
2009-05-19,35.55,35.55,31.9,33.15,2219328
2009-05-20,33.3,35.3,32.55,34.8,847626
2009-05-21,35.8,37.4,34.1,35.0,686470
2009-05-22,35.75,36.4,34.0,35.5,399789
2009-05-25,36.05,39.05,35.95,39.05,665894
2009-05-26,40.55,40.9,36.5,37.15,910670
2009-05-27,37.6,40.9,37.6,40.9,1457508
2009-05-28,42.8,43.9,41.25,41.55,1223049
2009-05-29,43.0,43.65,42.95,43.4,240762
2009-06-01,44.5,45.0,41.25,43.65,299749
2009-06-02,44.0,44.3,41.5,41.75,185318
2009-06-03,41.95,43.0,40.0,41.15,151864
2009-06-04,43.25,43.25,43.25,43.25,63480
2009-06-05,45.45,45.45,45.45,45.45,96056
2009-06-08,47.75,47.75,43.2,44.2,515218
2009-06-09,44.0,45.85,42.15,44.55,265166
2009-06-10,45.0,45.05,42.35,42.35,135876
2009-06-11,41.0,43.0,40.25,41.85,134205
2009-06-12,42.1,42.25,39.8,39.8,73253
2009-06-15,40.45,41.0,37.85,37.85,63919
2009-06-16,37.0,39.4,36.0,38.9,134930
2009-06-17,39.0,39.6,36.95,37.0,63552
2009-06-18,37.55,38.85,35.15,37.45,119119
2009-06-19,39.35,39.35,36.9,38.45,139484
2009-06-22,38.45,38.6,36.55,36.65,53765
2009-06-23,35.9,37.9,34.85,37.0,53847
2009-06-24,37.3,38.6,37.05,37.8,80216
2009-06-25,38.45,38.5,36.5,37.3,57955
2009-06-26,37.05,39.15,36.0,38.15,94796
2009-06-29,38.5,38.9,37.2,37.65,34837
2009-06-30,37.1,38.95,35.8,36.05,50058
2009-07-01,37.85,37.85,37.85,37.85,24324
2009-07-02,39.75,39.75,39.75,39.75,32417
2009-07-03,41.75,41.75,41.75,41.75,175137
2009-07-06,43.6,43.85,39.7,39.7,512825
2009-07-07,40.25,41.55,37.75,38.0,169635
2009-07-08,39.5,39.9,36.1,39.3,168769
2009-07-09,39.0,40.5,38.0,39.8,149715
2009-07-10,40.05,40.05,37.85,37.95,48243
2009-07-13,36.05,37.0,36.05,36.05,16243
2009-07-14,37.0,37.2,34.6,36.25,72558
2009-07-15,36.25,38.1,36.25,38.1,94286
2009-07-16,39.7,40.0,36.5,37.5,85650
2009-07-17,37.25,38.95,36.8,37.4,88463
2009-07-20,39.25,39.25,36.85,37.95,64583
2009-07-21,37.0,39.85,36.8,39.85,115459
2009-07-22,41.65,41.7,38.1,38.7,160118
2009-07-23,38.15,39.75,38.1,38.75,35478
2009-07-24,39.75,40.0,38.3,38.75,36818
2009-07-27,39.0,39.0,37.5,38.4,52901
2009-07-28,38.95,39.0,37.8,38.75,51465
2009-07-29,38.1,39.4,36.85,38.25,61281
2009-07-30,37.5,39.0,37.0,37.65,59000
2009-07-31,38.0,39.4,37.15,37.5,47145
2009-08-03,36.5,38.0,36.5,37.35,35544
2009-08-04,37.5,38.2,37.0,37.3,25833
2009-08-05,38.2,39.2,37.0,39.2,300583
2009-08-06,40.25,40.25,37.5,37.65,91619
2009-08-07,37.25,37.8,36.45,36.85,48235
2009-08-10,37.0,38.0,35.05,35.55,68959
2009-08-11,35.0,36.2,34.0,34.85,40954
2009-08-12,34.6,35.3,33.75,35.05,65141
2009-08-13,36.0,36.8,34.9,36.8,69754
2009-08-14,38.45,38.65,36.75,37.9,110756
2009-08-17,36.25,37.0,36.0,36.0,49500
2009-08-18,35.5,36.5,35.15,36.2,45510
2009-08-19,36.5,36.9,35.2,35.75,32440
2009-08-20,36.0,37.55,35.5,37.55,58574
2009-08-21,37.5,38.4,36.8,37.45,90884
2009-08-24,38.0,38.15,37.0,37.2,83292
2009-08-25,37.9,38.0,36.55,37.1,78362
2009-08-26,37.3,38.9,37.25,37.7,135663
2009-08-27,37.0,38.0,37.0,37.4,58905
2009-08-28,37.0,38.0,37.0,37.35,103438
2009-08-31,36.5,39.25,36.5,39.2,689127
2009-09-01,39.9,41.2,38.5,38.8,680084
2009-09-02,37.7,38.9,37.6,37.85,104759
2009-09-03,38.5,38.75,38.0,38.15,91702
2009-09-04,38.15,38.4,37.35,37.95,81240
2009-09-07,38.75,40.25,38.15,39.2,194680
2009-09-08,40.25,43.15,39.5,40.15,542161
2009-09-09,40.3,40.95,38.9,39.3,175759
2009-09-10,40.0,40.1,38.05,38.3,121769
2009-09-11,39.0,39.25,38.05,38.25,68454
2009-09-14,42.1,42.1,40.6,42.1,1565239
2009-09-15,43.45,44.4,41.1,41.3,562915
2009-09-16,41.1,43.6,39.7,41.2,1015263
2009-09-17,41.9,42.15,40.2,40.5,225817
2009-09-18,39.9,42.3,39.1,40.4,334908
2009-09-22,40.9,42.1,40.55,41.1,277428
2009-09-23,41.6,42.4,40.2,41.0,364818
2009-09-24,40.55,41.8,40.35,40.85,157034
2009-09-25,40.9,42.0,40.3,41.3,242897
2009-09-29,42.0,42.9,41.1,41.35,475435
2009-09-30,41.9,45.5,41.65,45.35,3067997
2009-10-01,46.1,46.2,43.0,43.65,908582
2009-10-05,40.0,43.0,40.0,41.7,263244
2009-10-06,42.2,42.2,39.4,40.65,266723
2009-10-07,41.4,41.9,40.0,40.3,152520
2009-10-08,40.4,42.4,40.15,40.95,282148
2009-10-09,41.2,42.45,41.1,41.75,284428
2009-10-12,41.0,42.0,40.65,40.85,125067
2009-10-14,41.6,42.0,40.6,41.25,237126
2009-10-15,41.8,41.8,40.6,40.7,112627
2009-10-16,40.9,43.0,40.65,41.45,400134
2009-10-17,42.0,42.4,41.45,42.05,84447
2009-10-20,40.5,42.4,40.5,41.45,133987
2009-10-21,41.25,44.1,41.25,42.8,513620
2009-10-22,43.0,44.3,41.6,41.85,421957
2009-10-23,42.55,42.7,41.6,41.8,137377
2009-10-26,42.0,42.0,40.2,40.55,104547
2009-10-27,39.75,40.9,38.2,38.65,100674
2009-10-28,39.0,39.2,38.0,38.15,130805
2009-10-29,37.95,38.8,37.45,38.05,76340
2009-10-30,40.0,41.9,38.5,38.9,431708
2009-11-03,39.4,39.4,36.8,37.05,135165
2009-11-04,37.8,38.7,37.15,37.65,70491
2009-11-05,38.0,39.1,37.35,38.8,129448
2009-11-06,40.35,42.7,40.35,42.7,866127
2009-11-09,44.25,44.4,42.0,42.5,782631
2009-11-10,43.9,50.7,41.9,49.05,4746236
2009-11-11,50.2,51.8,49.25,49.55,5551042
2009-11-12,48.7,49.4,46.1,47.3,1737091
2009-11-13,45.5,48.75,44.25,45.8,3498269
2009-11-16,46.05,47.1,45.1,45.55,468400
2009-11-17,45.6,47.8,44.3,45.05,1119243
2009-11-18,45.5,46.7,44.7,44.9,444167
2009-11-19,45.5,48.75,45.0,46.1,1922016
2009-11-20,45.0,45.6,44.35,44.8,589090
2009-11-23,45.7,46.6,45.0,45.45,452701
2009-11-24,45.7,46.0,44.1,44.4,176270
2009-11-25,44.35,45.6,43.9,44.05,202900
