date,open,high,low,close,volume
2009-03-05,22.79,23.38,21.91,22.27,246610
2009-03-06,21.41,22.35,21.3,21.51,361890
2009-03-09,21.51,21.6,21.01,21.19,141930
2009-03-12,22.5,22.5,21.34,21.61,59670
2009-03-13,22.27,24.0,21.45,22.06,96030
2009-03-16,22.2,22.89,22.13,22.73,99380
2009-03-17,22.77,23.5,22.51,22.64,92280
2009-03-18,22.81,23.4,22.01,22.36,262240
2009-03-19,22.4,23.11,22.24,22.89,132170
2009-03-20,22.89,22.89,22.2,22.36,114880
2009-03-23,23.09,23.2,22.5,23.1,85500
2009-03-24,23.52,25.29,23.5,24.51,557460
2009-03-25,24.8,24.8,23.41,24.09,164570
2009-03-26,24.79,25.15,24.24,24.74,158060
2009-03-27,24.7,29.69,24.7,29.29,474320
2009-03-30,28.2,31.98,25.51,30.22,1136820
2009-03-31,30.9,32.44,28.3,31.48,843350
2009-04-01,31.7,33.26,31.48,32.81,456340
2009-04-02,33.99,35.0,33.15,33.7,356080
2009-04-06,34.8,35.5,33.7,35.3,222330
2009-04-08,34.11,34.7,32.59,34.03,304600
2009-04-09,35.4,35.9,34.5,34.72,252960
2009-04-13,34.72,35.9,34.72,35.26,77620
2009-04-15,34.4,35.0,34.01,34.49,336280
2009-04-16,35.53,37.0,33.0,33.63,262330
2009-04-17,34.01,34.35,31.15,32.09,423760
2009-04-20,32.1,33.59,31.85,32.22,319510
2009-04-21,32.0,32.0,29.6,29.9,443870
2009-04-22,30.94,30.95,29.65,29.96,1045780
2009-04-23,29.81,30.59,29.8,30.38,151350
2009-04-24,30.36,32.0,30.36,31.55,410470
2009-04-27,31.6,32.6,31.2,31.93,136290
2009-04-28,31.5,31.9,30.4,30.98,2011500
2009-04-29,31.4,32.9,30.54,31.89,566560
2009-05-04,32.5,35.0,32.24,32.99,612890
2009-05-05,33.2,34.87,33.2,34.03,332110
2009-05-06,34.2,35.1,32.9,33.34,215920
2009-05-07,34.75,38.44,33.63,36.38,1279660
2009-05-08,37.0,37.0,35.3,35.68,151300
2009-05-11,36.39,36.39,33.86,34.2,94770
2009-05-12,34.15,35.69,34.15,35.42,158340
2009-05-13,35.85,36.3,34.2,34.52,154680
2009-05-14,33.5,35.15,33.5,34.76,97340
2009-05-15,35.89,36.49,34.75,35.7,275320
2009-05-19,40.0,42.84,39.3,42.84,996750
2009-05-20,43.8,51.4,43.7,48.11,383170
2009-05-21,49.8,49.8,46.05,46.96,343630
2009-05-22,47.9,48.1,45.9,46.45,197880
2009-05-25,47.19,48.0,46.05,47.53,802050
2009-05-26,46.35,47.8,45.31,46.05,128320
2009-05-27,47.0,47.7,45.7,46.86,141120
2009-05-28,47.3,48.89,47.0,47.73,2153050
2009-05-29,48.2,50.7,48.2,49.06,282880
2009-06-01,51.87,51.87,47.1,50.43,487500
2009-06-02,51.2,51.84,49.51,50.38,550710
2009-06-03,51.78,51.78,49.51,50.53,207750
2009-06-04,51.5,53.27,50.6,51.16,193830
2009-06-05,52.1,52.5,50.5,50.97,74600
2009-06-08,51.0,51.02,50.03,50.26,163530
2009-06-09,50.01,51.0,50.0,50.59,64450
2009-06-10,51.4,51.5,50.5,50.99,81060
2009-06-11,48.1,51.5,48.1,50.45,176200
2009-06-12,59.99,59.99,50.2,50.34,57830
2009-06-15,50.94,51.0,50.2,50.49,65430
2009-06-16,50.1,51.4,49.0,50.56,107640
2009-06-17,51.24,51.39,50.5,50.92,648820
2009-06-18,50.06,50.5,48.3,48.74,153220
2009-06-19,49.99,50.7,49.2,50.19,82050
2009-06-22,50.89,50.89,49.2,49.51,44900
2009-06-23,49.3,49.5,47.26,48.56,32420
2009-06-24,48.71,49.1,47.62,48.08,84240
2009-06-25,48.21,49.1,46.2,47.14,710420
2009-06-26,47.4,48.6,45.22,48.09,262750
2009-06-29,48.01,49.2,47.5,48.7,192100
2009-06-30,49.3,52.0,49.0,49.97,317910
2009-07-01,50.7,51.2,47.7,47.95,191060
2009-07-02,49.8,49.8,48.2,48.42,46290
2009-07-03,48.4,49.2,47.81,48.8,38270
2009-07-06,49.49,49.5,46.1,46.56,67510
2009-07-07,48.7,48.7,45.1,46.03,39430
2009-07-08,45.5,45.59,44.51,45.05,64100
2009-07-09,44.21,45.6,43.7,45.01,31660
2009-07-10,44.6,44.96,43.6,44.01,32100
2009-07-13,44.01,44.13,42.35,43.51,67230
2009-07-14,44.5,46.8,44.0,44.59,502860
2009-07-15,46.49,46.99,43.51,43.92,558500
