date,open,high,low,close,volume
2009-03-05,0.95,0.95,0.95,0.95,5000
2009-03-09,1.0,1.0,1.0,1.0,1000
2009-03-12,1.05,1.05,1.05,1.05,9360
2009-03-13,1.05,1.05,1.05,1.05,5520
2009-03-16,1.0,1.1,1.0,1.1,120
2009-03-18,1.05,1.05,1.05,1.05,10140
2009-03-19,1.05,1.05,1.05,1.05,1000
2009-03-20,1.0,1.0,1.0,1.0,4020
2009-03-23,1.05,1.05,1.05,1.05,20
2009-03-24,1.05,1.05,1.05,1.05,3220
2009-03-25,1.05,1.05,1.05,1.05,42500
2009-03-26,1.0,1.0,1.0,1.0,980
2009-03-27,1.0,1.0,1.0,1.0,9660
2009-04-01,1.05,1.05,1.05,1.05,5000
2009-04-02,1.1,1.1,1.05,1.05,2400
2009-04-06,1.05,1.1,1.05,1.1,420
2009-04-15,1.05,1.15,1.05,1.15,1500
2009-04-17,1.15,1.2,1.1,1.2,70800
2009-04-20,1.3,1.3,1.3,1.3,26040
2009-04-21,1.35,1.35,1.35,1.35,12000
2009-04-22,1.4,1.4,1.3,1.3,8220
2009-04-24,1.35,1.35,1.25,1.35,1800
2009-04-27,1.3,1.3,1.3,1.3,1000
2009-04-28,1.25,1.35,1.25,1.25,4060
2009-04-29,1.2,1.3,1.2,1.3,1500
2009-05-04,1.25,1.25,1.25,1.25,1420
2009-05-05,1.25,1.25,1.2,1.25,16000
2009-05-06,1.3,1.3,1.3,1.3,2680
2009-05-07,1.25,1.25,1.25,1.25,2500
2009-05-11,1.2,1.2,1.2,1.2,1340
2009-05-12,1.25,1.25,1.2,1.25,7640
2009-05-13,1.25,1.25,1.25,1.25,3000
2009-05-15,1.3,1.3,1.2,1.25,2040
2009-05-20,1.3,1.3,1.3,1.3,2400
2009-05-21,1.35,1.35,1.35,1.35,62600
2009-05-22,1.35,1.35,1.3,1.35,64800
2009-05-25,1.4,1.4,1.3,1.4,10500
2009-05-26,1.45,1.45,1.45,1.45,47440
2009-05-27,1.4,1.55,1.4,1.5,23100
2009-05-28,1.5,1.55,1.5,1.5,121560
2009-05-29,1.6,1.6,1.55,1.55,45400
2009-06-01,1.55,1.6,1.5,1.6,339300
2009-06-02,1.65,1.65,1.55,1.55,50240
2009-06-03,1.55,1.6,1.5,1.5,91100
2009-06-04,1.5,1.55,1.5,1.5,47800
2009-06-05,1.55,1.55,1.5,1.5,26260
2009-06-08,1.55,1.55,1.45,1.5,38260
2009-06-09,1.45,1.55,1.45,1.55,33900
2009-06-10,1.55,1.55,1.55,1.55,15000
2009-06-11,1.55,1.55,1.5,1.5,4300
2009-06-12,1.45,1.45,1.45,1.45,6740
2009-06-15,1.45,1.5,1.45,1.5,149540
2009-06-16,1.55,1.6,1.55,1.6,101980
2009-06-17,1.65,1.65,1.55,1.6,77780
2009-06-18,1.6,1.6,1.55,1.55,27000
2009-06-19,1.55,1.6,1.5,1.5,28200
2009-06-22,1.45,1.55,1.45,1.55,4520
2009-06-23,1.5,1.5,1.45,1.45,18400
2009-06-24,1.55,1.55,1.5,1.5,41500
2009-06-25,1.45,1.55,1.45,1.45,12600
2009-06-26,1.45,1.5,1.45,1.5,15560
2009-06-29,1.6,1.6,1.5,1.6,21680
2009-06-30,1.6,1.6,1.55,1.55,47820
2009-07-01,1.55,1.65,1.55,1.6,10800
2009-07-03,1.5,1.65,1.5,1.6,18580
2009-07-06,1.5,1.55,1.5,1.55,5000
2009-07-07,1.5,1.6,1.5,1.6,2240
2009-07-08,1.55,1.6,1.5,1.6,32780
2009-07-09,1.5,1.55,1.5,1.5,57420
2009-07-10,1.55,1.55,1.5,1.5,41500
2009-07-14,1.45,1.5,1.45,1.5,22040
2009-07-15,1.55,1.55,1.5,1.55,35000
2009-07-16,1.45,1.6,1.45,1.55,2400
2009-07-17,1.55,1.65,1.55,1.65,2420
2009-07-20,1.65,1.7,1.55,1.55,28780
2009-07-21,1.55,1.55,1.55,1.55,6000
2009-07-22,1.5,1.6,1.45,1.6,17560
2009-07-23,1.65,1.65,1.65,1.65,3000
2009-07-24,1.65,1.65,1.6,1.6,31460
2009-07-27,1.6,1.65,1.6,1.6,32540
2009-07-28,1.6,1.7,1.6,1.7,11580
2009-07-29,1.6,1.65,1.6,1.6,12180
2009-07-30,1.55,1.75,1.55,1.75,81560
2009-07-31,1.8,1.85,1.7,1.7,56800
2009-08-03,1.8,1.85,1.8,1.85,220460
2009-08-04,1.9,2.05,1.9,1.95,642580
