date,open,high,low,close,volume
2009-03-05,14.5,14.5,14.1,14.18,689740
2009-03-06,14.1,14.17,13.8,13.88,477610
2009-03-09,13.7,14.4,13.55,13.68,639790
2009-03-12,14.2,14.2,13.6,13.76,300100
2009-03-13,13.85,14.99,13.77,14.56,648710
2009-03-16,14.77,16.24,14.32,15.52,465550
2009-03-17,15.63,16.5,14.94,15.07,3269600
2009-03-18,15.34,15.9,15.2,15.59,605550
2009-03-19,15.8,16.29,15.3,15.54,346840
2009-03-20,15.54,16.19,15.4,15.64,366340
2009-03-23,15.9,17.5,15.9,17.36,1628290
2009-03-24,17.6,18.65,17.45,17.62,968630
2009-03-25,17.9,18.48,17.41,18.28,958140
2009-03-26,18.28,18.94,17.3,17.56,1234740
2009-03-27,17.8,19.36,17.56,18.34,2364990
2009-03-30,18.1,18.39,16.62,16.79,4637880
2009-03-31,16.8,18.38,16.6,17.68,4611550
2009-04-01,17.8,18.4,17.71,17.92,3964990
2009-04-02,18.7,19.0,18.02,18.22,7591360
2009-04-06,18.87,19.7,18.55,19.18,4765810
2009-04-08,18.8,21.4,18.7,21.04,6720750
2009-04-09,21.79,22.87,21.05,22.07,7836770
2009-04-13,22.8,23.5,22.22,22.56,3496960
2009-04-15,22.3,24.2,21.71,23.92,2808230
2009-04-16,24.25,24.78,20.62,21.04,2836960
2009-04-17,21.89,22.38,20.31,20.78,1939440
2009-04-20,21.0,22.2,20.6,21.0,2687910
2009-04-21,20.8,21.5,20.52,21.24,2056740
2009-04-22,21.67,22.05,20.72,21.0,1707950
2009-04-23,21.12,21.89,20.65,21.7,1368650
2009-04-24,21.8,22.29,21.61,21.9,1664380
2009-04-27,21.9,22.4,21.0,21.36,1015750
2009-04-28,21.44,21.79,20.52,20.72,1473070
2009-04-29,21.04,21.38,20.71,21.02,4205270
2009-05-04,21.8,23.5,21.7,22.66,2897510
2009-05-05,22.89,24.99,22.08,24.76,4682970
2009-05-06,25.4,25.7,22.6,23.59,3789430
2009-05-07,24.98,27.66,24.2,26.55,10244330
2009-05-08,26.5,28.8,25.21,26.2,8702470
2009-05-11,26.59,28.24,26.2,27.7,9599080
2009-05-12,27.0,32.8,26.65,31.49,24941380
2009-05-13,31.99,33.44,30.0,30.8,17404980
2009-05-14,29.4,31.8,29.16,30.5,7677880
2009-05-15,31.1,31.47,30.4,30.69,3740230
2009-05-18,35.13,35.5,33.0,34.62,34040
2009-05-19,36.52,38.72,28.5,35.05,8177220
2009-05-20,35.1,38.8,34.22,35.05,5585830
2009-05-21,35.4,37.1,34.8,35.74,3223480
2009-05-22,36.2,36.77,34.91,36.24,2796640
2009-05-25,36.0,38.2,36.0,37.74,2817800
2009-05-26,38.52,38.82,34.03,35.68,4117700
2009-05-27,36.55,37.3,36.1,36.78,1783140
2009-05-28,37.29,38.1,35.82,36.34,4407590
2009-05-29,37.09,37.6,36.32,36.62,1983520
2009-06-01,37.01,40.4,36.93,39.96,6007220
2009-06-02,41.5,42.48,39.54,41.44,7945250
2009-06-03,42.94,46.11,41.72,45.0,8076550
2009-06-04,44.98,46.0,43.01,44.72,3033620
2009-06-05,46.0,46.0,43.31,43.79,1699270
2009-06-08,44.3,44.37,39.5,40.8,1568110
2009-06-09,40.0,41.97,38.43,41.54,2294540
2009-06-10,42.0,43.18,40.5,40.76,1911140
2009-06-11,41.4,42.3,40.11,41.23,1737050
2009-06-12,41.8,43.18,40.42,41.0,2993280
2009-06-15,41.2,41.82,39.0,39.38,1870850
2009-06-16,39.0,40.2,38.5,39.43,1701150
2009-06-17,39.79,41.0,37.52,38.16,1661630
2009-06-18,38.3,38.48,34.1,35.28,2627600
2009-06-19,35.8,36.98,34.3,36.38,1403060
2009-06-22,37.4,40.8,36.1,38.3,5845590
2009-06-23,37.7,39.6,37.0,39.36,3621290
2009-06-24,39.8,41.1,39.51,40.1,3586370
2009-06-25,40.7,41.84,39.36,39.92,3551570
2009-06-26,40.3,41.0,39.6,40.53,1449510
2009-06-29,40.54,41.95,40.21,40.65,1665520
2009-06-30,41.0,41.32,38.21,38.81,1060480
2009-07-01,38.7,39.39,37.51,38.72,887030
2009-07-02,39.9,39.9,38.4,38.68,779900
2009-07-03,38.6,39.15,37.6,38.98,868290
2009-07-06,39.31,40.28,36.14,37.78,1339970
2009-07-07,38.0,38.5,36.69,37.42,472850
2009-07-08,36.98,37.0,35.02,35.44,686160
2009-07-09,35.0,35.5,33.82,34.3,1493780
2009-07-10,34.69,36.78,34.24,34.82,1693080
2009-07-13,34.82,34.82,31.8,33.7,1298510
2009-07-14,34.7,35.9,34.4,35.34,1027330
2009-07-15,36.0,38.28,30.0,37.57,2623830
2009-07-16,38.19,40.2,36.56,37.06,3917220
2009-07-17,36.1,39.28,36.1,38.43,2482960
2009-07-20,39.0,39.54,38.2,38.66,1467900
2009-07-21,38.9,41.14,38.31,40.18,3313080
2009-07-22,40.98,41.5,39.1,39.52,2796480
2009-07-23,40.22,41.35,39.7,41.04,1627170
2009-07-24,41.72,44.0,40.9,43.4,3637630
2009-07-27,43.0,47.84,43.0,45.88,16285270
2009-07-28,46.24,48.6,46.1,47.28,7826920
2009-07-29,47.0,48.97,44.55,47.36,6552660
2009-07-30,47.5,53.0,46.52,48.29,3042640
2009-07-31,48.6,49.57,47.3,48.69,4097880
2009-08-03,49.29,51.2,48.51,50.94,4528770
2009-08-04,51.2,54.39,50.74,52.04,8983380
2009-08-05,52.66,53.46,51.66,52.44,2541240
2009-08-06,52.6,53.4,50.0,50.44,3802960
2009-08-07,50.0,50.98,49.0,50.25,2870120
2009-08-10,50.81,51.27,48.06,48.78,1833220
2009-08-11,48.99,51.4,48.22,50.66,2111950
2009-08-12,50.0,52.3,49.41,51.62,4082790
2009-08-13,52.19,57.45,52.12,56.64,5989310
2009-08-14,56.5,59.19,55.81,56.24,5518020
2009-08-17,55.5,58.0,52.5,52.92,4593330
2009-08-18,53.1,55.65,52.5,54.65,4406890
2009-08-19,54.8,55.49,52.63,53.47,2343100
2009-08-20,54.28,56.55,54.28,55.01,4476300
2009-08-21,54.9,57.17,54.5,56.56,3793270
2009-08-24,57.27,58.5,57.24,57.88,2867250
2009-08-25,57.3,59.16,57.22,57.4,3775270
2009-08-26,57.8,58.44,56.55,56.87,1589530
2009-08-27,56.8,57.47,55.62,55.96,2807340
2009-08-28,56.97,56.97,54.63,55.19,2093700
2009-08-31,54.5,56.9,54.2,54.76,2377350
2009-09-01,55.19,56.2,53.05,53.4,1890690
2009-09-02,52.52,53.85,52.01,52.46,2347840
2009-09-03,52.7,54.7,52.7,53.85,2463310
2009-09-04,54.5,55.8,53.82,55.42,2912570
2009-09-07,56.0,57.27,55.75,56.91,3458250
2009-09-08,57.5,58.48,56.3,56.76,3330160
2009-09-09,56.99,64.2,55.98,63.44,26017330
2009-09-10,64.77,69.9,63.52,68.0,42627460
2009-09-11,68.26,68.82,65.16,66.06,10818220
2009-09-14,66.1,67.94,65.11,66.12,7403880
2009-09-15,66.35,70.83,66.15,69.58,17154960
2009-09-16,69.9,70.9,68.25,68.95,8686450
2009-09-17,69.4,76.2,68.8,74.25,28747470
2009-09-18,73.9,74.92,72.8,73.32,9108100
2009-09-22,73.6,74.4,71.1,73.26,5522930
2009-09-23,73.8,75.12,72.5,73.02,7869610
2009-09-24,72.1,73.74,71.5,72.82,7690220
2009-09-25,72.2,73.52,70.8,71.73,3689870
2009-09-29,72.5,72.99,71.21,71.57,1688220
2009-09-30,71.5,76.0,71.5,75.44,6854390
2009-10-01,76.54,77.94,75.6,76.65,9288050
2009-10-05,75.5,76.38,71.63,72.08,6564290
2009-10-06,72.59,73.4,67.7,70.19,10917630
2009-10-07,70.82,73.4,70.69,71.67,14522210
2009-10-08,72.25,72.38,70.8,71.3,6394620
2009-10-09,71.74,72.15,68.62,69.12,3976340
2009-10-12,69.2,70.9,69.01,70.58,4744770
2009-10-14,71.2,74.98,71.06,74.4,10133230
2009-10-15,75.2,76.67,73.21,74.18,14283220
2009-10-16,74.0,79.5,70.65,78.92,18396770
2009-10-17,79.2,80.38,78.0,79.77,4130060
2009-10-20,80.51,83.6,80.0,82.26,14169850
2009-10-21,80.62,83.8,80.62,81.67,6352720
2009-10-22,81.51,82.27,77.5,78.64,10812830
2009-10-23,80.82,81.58,79.51,80.16,5939520
2009-10-26,80.5,81.84,77.7,78.18,3815390
2009-10-27,78.0,78.68,72.3,72.87,6643000
2009-10-28,71.86,73.14,69.2,70.78,6663070
2009-10-29,68.02,71.9,68.02,69.94,7697810
2009-10-30,71.5,73.18,68.7,69.49,6287790
2009-11-03,68.5,69.98,64.6,65.36,4306470
2009-11-04,66.5,69.99,64.6,69.28,7124130
2009-11-05,69.0,73.2,68.15,72.69,8347970
2009-11-06,73.69,76.02,73.5,75.02,7205090
2009-11-09,76.44,77.8,74.52,77.33,5483430
2009-11-10,78.48,80.08,76.89,78.76,8883560
2009-11-11,79.38,79.96,77.92,79.55,4806730
2009-11-12,77.22,79.75,76.41,76.88,3426890
2009-11-13,76.0,79.0,75.5,78.52,6140490
2009-11-16,79.2,81.5,78.82,80.61,11209550
2009-11-17,80.93,82.48,79.62,82.17,9089880
2009-11-18,82.44,85.58,81.56,83.86,13121390
2009-11-19,81.56,85.9,81.04,81.65,12808390
2009-11-20,81.15,87.88,80.81,87.24,16891660
2009-11-23,87.8,91.44,87.16,90.53,17102700
2009-11-24,90.5,91.49,88.0,89.08,12165950
2009-11-25,90.4,91.4,89.01,89.56,10051870
2009-11-26,89.72,91.4,89.15,90.01,11145380
2009-11-27,88.8,89.47,81.63,87.34,12677300
2009-11-30,88.52,93.6,88.52,92.88,15939670
2009-12-01,94.4,97.58,93.4,95.95,21907810
2009-12-02,96.97,97.1,94.55,95.35,11346720
2009-12-03,96.36,98.2,95.52,97.28,10006730
2009-12-04,96.98,98.73,96.55,97.67,8131620
2009-12-07,97.7,98.4,91.5,93.6,7850640
2009-12-08,92.7,98.95,92.1,98.3,13342830
2009-12-09,97.99,99.36,95.9,96.46,10031620
2009-12-10,97.5,97.78,94.1,95.85,3453200
2009-12-11,97.5,97.5,93.4,94.48,2885456
2009-12-14,93.58,95.42,90.5,91.08,2208446
2009-12-15,91.72,91.72,87.58,88.3,2684648
2009-12-16,87.28,92.68,86.9,91.85,4957720
2009-12-17,92.0,92.25,89.58,90.1,2420254
2009-12-18,89.12,91.18,88.38,88.9,1994054
2009-12-21,88.5,91.9,88.05,89.3,3935152
2009-12-22,90.6,92.15,90.02,91.58,3081996
2009-12-23,92.25,93.95,92.1,93.22,5290510
2009-12-24,94.05,94.6,92.88,93.88,3457000
2009-12-29,94.38,94.38,92.12,92.68,1044388
