date,open,high,low,close,volume
2009-03-05,170.5,174.5,165.54,167.03,5449955
2009-03-06,165.0,168.28,163.17,166.81,4125407
2009-03-09,166.17,171.5,165.02,167.36,4772483
2009-03-12,169.5,171.57,165.38,169.77,5196233
2009-03-13,171.67,179.15,171.25,178.31,3984479
2009-03-16,176.67,182.8,175.26,181.03,5062919
2009-03-17,181.0,190.83,178.5,183.69,6051527
2009-03-18,185.0,194.67,185.0,190.14,6390431
2009-03-19,192.99,194.33,186.88,191.66,3035363
2009-03-20,191.5,192.0,184.17,190.2,2630771
2009-03-23,193.3,199.83,191.83,197.53,3831791
2009-03-24,199.5,204.17,193.37,195.29,3857249
2009-03-25,197.33,204.17,194.17,202.08,4443455
2009-03-26,204.0,209.17,204.0,205.48,4224959
2009-03-27,207.5,212.97,203.52,206.07,4253009
2009-03-30,205.0,205.0,193.17,196.99,3562001
2009-03-31,198.12,205.82,188.72,200.93,8315465
2009-04-01,202.33,202.51,191.68,193.57,4758263
2009-04-02,197.49,213.15,197.49,204.11,4648469
2009-04-06,205.01,218.0,205.01,213.48,4404365
2009-04-08,208.33,221.67,205.17,218.34,4658141
2009-04-09,219.33,241.65,218.83,227.68,7093295
2009-04-13,231.0,244.67,230.41,237.25,4207703
2009-04-15,233.68,248.0,232.2,246.19,3031397
2009-04-16,246.67,251.38,221.87,224.44,5283059
2009-04-17,223.33,241.17,223.33,236.68,4673543
2009-04-20,240.33,266.33,237.68,255.41,10317167
2009-04-21,250.0,259.83,245.72,251.35,6927083
2009-04-22,250.33,257.37,246.38,249.96,5651285
2009-04-23,251.87,263.17,247.88,261.28,4630745
2009-04-24,262.33,272.95,258.33,270.09,4877897
2009-04-27,268.33,275.5,265.83,270.7,3478019
2009-04-28,271.17,279.67,260.0,262.42,3741533
2009-04-29,266.28,275.0,261.09,271.65,4113515
2009-05-04,280.0,285.67,274.67,276.39,2710115
2009-05-05,282.22,285.0,271.73,281.39,3542315
2009-05-06,283.17,285.0,270.87,275.43,2592161
2009-05-07,279.17,282.33,271.0,278.88,3272195
2009-05-08,281.67,282.83,263.67,266.28,3862271
2009-05-11,268.33,270.17,256.23,260.67,3775607
2009-05-12,258.33,273.32,253.52,271.6,4620635
2009-05-13,272.5,276.32,264.35,266.73,3378785
2009-05-14,263.33,271.33,258.39,266.85,4261475
2009-05-15,271.26,272.82,264.5,267.35,2984051
2009-05-18,283.33,334.17,283.33,324.14,141053
2009-05-19,316.67,354.17,309.03,335.81,7001645
2009-05-20,317.0,361.25,317.0,347.94,6824621
2009-05-21,350.0,360.0,341.77,353.04,6633341
2009-05-22,351.67,366.5,348.17,364.33,2901815
2009-05-25,370.8,370.8,345.33,345.95,4492781
2009-05-26,348.65,354.17,336.83,340.11,4735739
2009-05-27,341.67,356.5,338.78,346.27,3682877
2009-05-28,350.0,362.6,341.24,345.88,6205601
2009-05-29,348.53,356.5,345.83,348.4,4405763
2009-06-01,358.33,394.15,351.67,379.0,7109645
2009-06-02,383.33,383.33,362.63,372.36,3601361
2009-06-03,374.73,385.67,371.98,379.77,2871425
2009-06-04,376.17,384.15,370.33,376.48,2412407
2009-06-05,381.08,387.5,375.89,379.68,3753527
2009-06-08,380.02,387.33,366.67,370.94,2856779
2009-06-09,368.5,386.67,365.01,380.88,2460383
2009-06-10,383.33,407.5,383.33,403.38,3910301
2009-06-11,395.83,406.63,390.83,399.05,3124271
2009-06-12,400.0,438.17,400.0,420.02,6551357
2009-06-15,413.33,441.57,400.21,419.78,6341405
2009-06-16,408.33,451.65,389.2,437.68,9781919
2009-06-17,445.8,445.8,415.0,417.27,8398217
2009-06-18,420.0,421.67,392.0,396.18,4497941
2009-06-19,412.45,414.08,397.02,411.48,3983795
2009-06-22,413.33,420.83,395.83,399.78,3132353
2009-06-23,390.67,394.17,381.83,389.44,3771785
2009-06-24,397.03,400.36,375.07,389.13,4925969
2009-06-25,393.33,397.0,380.02,385.03,4727261
2009-06-26,388.17,411.67,380.67,407.43,3843161
2009-06-29,408.33,438.0,390.02,431.53,6022961
2009-06-30,433.9,440.0,408.4,415.13,3447947
2009-07-01,417.56,428.14,408.52,418.46,3690851
2009-07-02,422.5,441.66,414.2,434.2,5320103
2009-07-03,430.0,443.3,426.21,438.37,3313787
2009-07-06,438.35,445.0,401.93,416.32,5336495
2009-07-07,416.67,420.0,404.17,415.09,2682647
2009-07-08,408.33,415.0,396.31,404.94,5023265
2009-07-09,405.33,430.67,401.02,423.57,4157921
2009-07-10,425.0,437.5,416.17,423.33,3801281
2009-07-13,416.48,419.83,390.22,395.26,4421171
2009-07-14,403.0,417.3,400.83,415.56,3327545
2009-07-15,418.87,426.65,413.58,421.38,3040895
2009-07-16,427.12,440.0,423.17,431.33,5206085
2009-07-17,436.82,446.5,433.85,437.07,3898625
2009-07-20,441.67,445.83,437.76,443.69,3401813
2009-07-21,443.67,470.83,440.33,466.57,9872207
2009-07-22,470.83,482.5,460.39,464.68,6509243
2009-07-23,468.33,491.67,468.33,486.93,4968035
2009-07-24,493.33,506.17,486.68,500.52,5053817
2009-07-27,503.33,520.61,502.67,514.62,3715211
2009-07-28,516.5,519.78,500.2,503.15,3925937
2009-07-29,500.0,539.67,478.33,519.77,15366377
2009-07-30,521.65,531.65,499.37,504.72,8945003
2009-07-31,513.0,516.3,479.52,489.77,7183601
2009-08-03,492.17,498.0,484.23,494.09,4752311
2009-08-04,496.17,503.25,488.33,492.76,4783763
2009-08-05,494.17,495.56,475.0,481.16,6024149
2009-08-06,481.08,487.17,468.38,470.62,4734977
2009-08-07,467.0,474.08,449.77,453.74,4292831
2009-08-10,466.45,466.45,443.28,449.98,4366289
2009-08-11,451.67,478.67,450.05,475.28,4950551
2009-08-12,492.67,499.67,468.5,494.38,6248153
2009-08-13,508.33,526.17,500.17,522.89,7827125
2009-08-14,521.67,525.83,512.09,520.02,4277645
2009-08-17,501.92,513.33,481.18,486.35,5958953
2009-08-18,483.33,505.0,479.43,499.43,5279663
2009-08-19,501.67,507.2,486.1,493.23,4645367
2009-08-20,496.5,507.0,496.5,500.77,3068561
2009-08-21,502.5,517.83,495.55,514.96,5896271
2009-08-24,518.36,543.67,518.36,535.76,6957827
2009-08-25,531.67,548.0,529.33,544.35,5169491
2009-08-26,548.33,551.62,525.5,529.18,4737383
2009-08-27,528.08,539.98,524.05,534.74,4085981
2009-08-28,534.18,539.42,527.94,535.98,3184037
2009-08-31,532.5,532.5,517.25,522.04,3861947
2009-09-01,531.58,531.58,507.67,510.58,3610865
2009-09-02,516.25,534.15,501.84,528.58,4689311
2009-09-03,533.33,536.83,524.67,528.48,3007277
2009-09-04,531.5,548.33,530.67,546.93,3993383
2009-09-07,554.0,588.13,553.5,584.46,7637177
2009-09-08,589.82,603.67,577.71,595.56,8328461
2009-09-09,596.67,599.67,572.59,575.98,6123635
2009-09-10,583.33,588.33,568.33,579.16,5207609
2009-09-11,570.83,587.48,558.67,561.89,5895107
2009-09-14,590.0,590.0,500.5,575.0,3982242
2009-09-15,576.05,629.95,576.05,616.8,11227177
2009-09-16,635.0,645.95,620.35,632.0,6910662
2009-09-17,645.0,648.8,614.0,626.95,4993379
2009-09-18,625.0,644.8,620.0,633.95,3721902
2009-09-22,634.0,641.6,625.1,627.3,2848070
2009-09-23,630.0,634.1,615.0,617.15,2756790
2009-09-24,605.2,615.0,601.0,609.05,3571435
2009-09-25,605.7,613.8,592.4,597.25,3341112
2009-09-29,609.0,609.55,581.0,583.95,4298369
2009-09-30,582.9,595.5,577.8,587.0,5407381
2009-10-01,590.0,601.7,583.0,593.25,3422640
2009-10-05,588.2,606.9,585.0,597.15,3741025
2009-10-06,605.95,605.95,590.1,598.7,4788634
2009-10-07,601.95,609.0,596.0,598.8,4700790
2009-10-08,602.0,605.0,593.5,596.45,2960127
2009-10-09,601.0,612.0,596.0,600.65,3470690
2009-10-12,600.1,622.5,600.0,619.15,3497938
2009-10-14,627.0,675.1,623.3,669.7,9199007
2009-10-15,674.5,713.75,674.5,705.7,9923643
2009-10-16,704.95,710.8,685.5,698.35,4490788
2009-10-17,699.0,705.0,692.9,700.25,933404
2009-10-20,706.0,713.9,695.15,699.85,3166360
2009-10-21,690.05,734.4,690.05,715.15,5764291
2009-10-22,715.0,738.0,692.0,701.85,6540165
2009-10-23,714.0,728.0,701.0,709.1,4289706
2009-10-26,722.0,724.0,685.65,694.9,3130628
2009-10-27,690.0,690.0,662.6,678.15,4342222
2009-10-28,680.0,704.0,664.0,698.1,4774897
2009-10-29,680.0,691.0,663.5,667.7,5316190
2009-10-30,686.0,694.9,632.6,641.5,5116200
2009-11-03,632.2,638.9,600.0,617.6,6849269
2009-11-04,628.0,649.0,602.0,646.2,6513130
2009-11-05,625.25,662.0,624.0,658.7,5692595
2009-11-06,675.0,684.7,652.8,656.8,3619652
2009-11-09,675.0,678.6,655.55,674.15,4033869
2009-11-10,680.0,689.0,666.5,675.0,4735001
2009-11-11,681.0,701.9,670.1,699.4,3796424
2009-11-12,700.85,701.6,675.0,680.25,3115243
2009-11-13,680.1,702.0,675.0,697.0,3376397
2009-11-16,703.0,721.4,703.0,708.85,3810625
2009-11-17,725.0,725.0,695.65,707.3,3408353
2009-11-18,708.0,738.0,707.0,729.15,4868014
2009-11-19,726.4,743.3,705.0,708.7,4753327
2009-11-20,701.1,726.55,695.05,723.6,3268559
2009-11-23,729.0,732.0,716.9,721.05,2628848
2009-11-24,728.45,728.45,698.8,703.9,4557650
2009-11-25,705.0,714.0,689.25,692.8,4040815
2009-11-26,675.0,696.2,670.0,673.95,3676417
2009-11-27,668.5,679.85,632.0,675.85,5244818
2009-11-30,687.55,697.0,678.15,688.25,3456846
2009-12-01,699.95,712.0,691.0,706.8,4451671
2009-12-02,723.4,723.4,706.65,710.7,2961622
2009-12-03,713.0,717.5,704.2,709.15,1838485
2009-12-04,705.0,730.9,702.5,724.2,4545029
2009-12-07,730.0,731.4,702.0,705.9,2651596
2009-12-08,714.85,730.0,701.0,725.9,3784897
2009-12-09,716.05,737.0,716.05,724.9,3404241
2009-12-10,725.0,735.0,720.0,729.4,2669284
2009-12-11,740.0,749.85,731.25,744.85,5471657
2009-12-14,746.0,746.0,719.15,723.55,2815846
2009-12-15,727.35,734.2,709.1,713.35,2644720
2009-12-16,705.0,720.65,705.0,714.25,2337228
2009-12-17,713.3,722.0,709.1,714.35,1522218
2009-12-18,714.0,719.0,705.0,707.65,1449051
2009-12-21,709.0,710.45,694.6,696.85,1536516
2009-12-22,704.8,715.4,700.4,713.5,1678515
2009-12-23,718.8,729.5,714.0,726.95,2283915
2009-12-24,729.9,733.45,718.5,726.2,1910980
2009-12-29,729.9,732.75,723.0,727.95,1864633
2009-12-30,730.0,733.0,711.0,711.9,2866787
2009-12-31,714.0,720.45,701.1,703.3,4728714
2010-01-04,710.55,714.75,698.5,712.3,2054651
2010-01-05,718.0,733.25,715.35,727.45,4020799
2010-01-06,732.0,736.5,721.1,724.4,3035406
2010-01-07,725.5,729.8,716.0,720.8,1827314
2010-01-08,722.0,724.95,709.0,711.6,1892096
2010-01-11,714.7,718.85,705.4,713.75,2540318
2010-01-12,712.0,719.35,704.1,708.15,2511399
2010-01-13,700.0,705.35,690.0,701.8,3058049
2010-01-14,705.1,708.85,692.6,695.3,2074615
2010-01-15,698.35,698.35,675.0,678.7,3247252
