date,open,high,low,close,volume
2009-03-05,36.0,36.4,35.4,35.85,61290
2009-03-06,37.95,37.95,35.25,35.8,285514
2009-03-09,36.0,36.0,31.25,35.4,105423
2009-03-12,35.15,35.95,34.75,34.95,32276
2009-03-13,35.1,36.0,35.1,35.4,55909
2009-03-16,35.9,36.2,35.6,35.85,44846
2009-03-17,36.4,36.9,35.5,35.95,55101
2009-03-18,36.3,38.1,36.2,36.55,63610
2009-03-19,37.5,37.7,36.6,37.3,33700
2009-03-20,37.05,38.0,37.0,37.9,31851
2009-03-23,38.0,38.65,37.2,38.4,29088
2009-03-24,38.4,39.25,38.1,38.35,181645
2009-03-25,39.0,39.0,36.3,37.0,248176
2009-03-26,38.5,39.3,37.25,38.7,52035
2009-03-27,38.75,40.1,38.75,39.9,113250
2009-03-30,41.1,41.1,38.6,39.1,31215
2009-03-31,38.9,40.9,38.9,39.7,79352
2009-04-01,40.0,41.0,39.5,40.85,81365
2009-04-02,41.95,45.0,41.3,44.4,136818
2009-04-06,51.15,53.05,48.1,48.8,264096
2009-04-08,46.5,50.75,46.15,50.15,143692
2009-04-09,51.0,51.0,47.0,48.85,129238
2009-04-13,50.0,52.6,50.0,51.6,182808
2009-04-15,52.0,57.95,50.15,56.2,245950
2009-04-16,57.95,60.3,53.0,54.0,276115
2009-04-17,55.0,56.9,53.0,53.95,78051
2009-04-20,55.65,55.85,50.25,53.6,433958
2009-04-21,53.25,55.1,53.0,54.0,117745
2009-04-22,55.0,57.0,54.5,54.95,227818
2009-04-23,56.9,59.0,55.1,56.2,407474
2009-04-24,56.45,59.4,56.0,58.75,187123
2009-04-27,58.15,60.8,57.95,59.0,106166
2009-04-28,59.6,60.0,55.15,55.8,71417
2009-04-29,55.2,60.0,54.4,59.15,230094
2009-05-04,60.0,62.5,60.0,61.85,189729
2009-05-05,62.5,63.1,61.2,62.15,74109
2009-05-06,62.4,64.1,61.0,62.45,190932
2009-05-07,62.5,64.7,62.5,64.25,129650
2009-05-08,64.45,66.0,61.3,62.85,141845
2009-05-11,63.0,63.95,60.65,61.05,68101
2009-05-12,60.0,61.9,59.8,60.95,39034
2009-05-13,63.0,67.0,62.1,62.9,119716
2009-05-14,64.5,69.95,63.1,68.0,443446
2009-05-15,70.8,71.9,67.0,68.8,304833
2009-05-18,74.8,74.8,74.8,74.8,500
2009-05-19,76.1,79.4,71.05,73.2,243592
2009-05-20,73.3,79.4,70.0,78.7,199726
2009-05-21,81.0,86.9,80.0,81.2,173803
2009-05-22,81.0,85.05,81.0,83.05,207335
2009-05-25,83.25,86.0,81.15,84.95,208393
2009-05-26,86.9,90.0,82.0,83.2,164074
2009-05-27,85.6,87.0,83.35,84.6,253861
2009-05-28,85.9,87.2,84.1,84.9,159742
2009-05-29,84.95,93.5,84.95,89.8,551311
2009-06-01,94.8,106.9,92.0,104.45,603450
2009-06-02,109.1,114.9,108.25,114.9,991792
2009-06-03,116.0,119.8,106.75,108.55,568830
2009-06-04,110.0,111.0,105.8,107.45,334327
