date,open,high,low,close,volume
2009-03-05,6.06,6.29,5.91,6.09,70865
2009-03-06,6.0,6.5,5.81,6.16,118835
2009-03-09,6.28,6.28,6.08,6.14,14495
2009-03-12,5.12,6.4,5.12,6.17,150895
2009-03-13,6.13,6.38,6.13,6.34,30010
2009-03-16,6.25,6.57,6.12,6.34,19460
2009-03-17,6.26,6.49,6.26,6.42,5025
2009-03-18,6.3,6.88,6.21,6.37,72085
2009-03-19,6.47,6.7,6.31,6.6,53285
2009-03-20,6.61,7.3,6.45,7.05,73540
2009-03-23,6.96,7.14,6.74,7.0,116435
2009-03-24,7.02,7.28,7.0,7.21,35125
2009-03-25,6.95,7.2,6.52,6.83,33390
2009-03-26,6.79,6.99,6.7,6.8,18680
2009-03-27,6.7,7.09,6.63,6.83,147760
2009-03-30,6.99,7.2,6.8,6.92,39040
2009-03-31,6.92,7.17,6.92,7.06,31010
2009-04-01,7.06,7.54,7.06,7.46,53390
2009-04-02,7.41,7.82,7.36,7.73,76170
2009-04-06,7.73,8.09,7.61,8.01,61735
2009-04-08,6.83,9.0,6.83,8.34,131850
2009-04-09,8.54,9.74,8.13,8.43,38135
2009-04-13,9.7,9.7,8.9,9.28,342335
2009-04-15,9.3,10.38,9.3,9.94,289405
2009-04-16,10.58,11.8,8.8,8.92,313375
2009-04-17,9.4,9.67,8.91,9.42,136385
2009-04-20,9.3,9.4,9.11,9.2,87865
2009-04-21,9.0,9.1,8.8,8.94,10815
2009-04-22,8.83,9.17,8.81,8.9,18855
2009-04-23,8.82,8.96,8.8,8.82,15915
2009-04-24,9.5,10.25,9.31,9.55,454260
2009-04-27,9.6,10.1,9.5,9.68,66880
2009-04-28,9.3,9.67,9.03,9.1,44350
2009-04-29,9.3,10.86,9.08,10.49,698070
2009-05-04,11.6,12.4,11.26,11.4,1601505
2009-05-05,11.6,11.6,10.9,11.15,238385
2009-05-06,11.4,11.7,10.4,11.11,371525
2009-05-07,11.7,11.7,10.84,11.15,95690
2009-05-08,11.3,11.39,11.01,11.21,85710
2009-05-11,10.91,11.3,10.83,10.86,70255
2009-05-12,10.86,10.99,10.62,10.88,25975
2009-05-13,11.2,11.96,10.9,11.1,350880
2009-05-14,10.78,11.08,10.52,10.89,76620
2009-05-15,11.16,11.2,10.72,10.85,50040
2009-05-18,11.6,13.02,11.6,12.87,12200
2009-05-19,13.24,13.24,11.0,11.51,227680
2009-05-20,11.6,12.45,11.6,12.33,187230
2009-05-21,12.0,14.8,11.31,14.65,1334255
2009-05-22,14.4,15.2,13.8,14.52,385565
2009-05-25,14.62,15.2,14.32,14.45,479630
2009-05-26,14.8,15.04,13.92,14.21,286105
2009-05-27,14.28,14.99,13.8,14.37,208870
2009-05-28,14.5,14.77,14.05,14.17,83715
2009-05-29,14.13,14.62,14.0,14.07,110965
2009-06-01,14.54,14.78,14.0,14.51,201790
2009-06-02,14.6,14.94,13.8,14.03,230710
2009-06-03,14.36,14.78,14.03,14.19,120580
2009-06-04,14.2,15.22,13.82,15.0,466365
2009-06-05,15.2,15.5,14.9,15.04,278940
2009-06-08,15.49,15.49,14.05,14.23,104620
2009-06-09,13.76,14.3,13.72,14.19,59260
2009-06-10,14.61,14.8,14.26,14.6,564055
2009-06-11,14.7,15.3,14.2,14.89,399540
2009-06-12,15.19,15.3,14.05,14.34,184125
2009-06-15,13.22,14.3,13.22,13.71,75835
2009-06-16,12.82,14.5,12.81,14.35,117435
2009-06-17,14.78,14.95,13.41,13.77,205250
2009-06-18,13.22,13.76,12.74,13.14,77150
2009-06-19,13.0,14.0,13.0,13.59,82520
2009-06-22,13.5,13.98,13.5,13.62,33380
2009-06-23,13.42,13.5,13.01,13.17,24445
2009-06-24,13.4,13.9,13.12,13.68,82045
2009-06-25,13.7,13.98,13.61,13.76,22840
2009-06-26,13.6,14.57,13.6,14.42,129845
2009-06-29,14.2,14.92,14.1,14.39,115785
2009-06-30,14.21,14.67,13.64,13.87,27955
2009-07-01,13.73,14.55,13.46,14.32,63555
2009-07-02,14.33,14.7,14.1,14.41,101935
2009-07-03,14.2,14.8,14.03,14.66,110435
2009-07-06,15.0,15.0,13.7,14.03,103745
2009-07-07,13.8,14.65,13.8,14.57,88760
2009-07-08,14.41,14.45,13.83,13.92,96110
2009-07-09,14.1,14.8,14.0,14.38,132975
2009-07-10,14.56,16.49,14.26,14.93,1069085
2009-07-13,14.9,15.4,14.6,14.73,120485
2009-07-14,14.9,15.98,14.8,15.38,197985
2009-07-15,15.4,17.88,15.26,17.21,2236130
2009-07-16,17.6,17.88,16.05,16.16,500405
2009-07-17,17.07,18.86,17.07,18.06,3229235
2009-07-20,18.34,18.34,17.08,17.19,594810
2009-07-21,17.2,18.54,17.2,18.26,723725
2009-07-22,18.01,18.78,17.14,17.55,929090
2009-07-23,17.8,18.1,17.06,17.74,750015
2009-07-24,17.03,18.4,16.9,18.14,91675
2009-07-27,17.44,18.4,17.44,17.8,87855
2009-07-28,17.6,18.42,17.02,18.38,277185
2009-07-29,17.5,18.45,17.5,18.36,217390
2009-07-30,17.64,18.4,17.64,17.9,69745
2009-07-31,18.02,18.02,17.5,17.58,117870
2009-08-03,17.9,18.0,17.43,17.88,120095
2009-08-04,18.0,18.78,17.82,18.78,245850
