date,open,high,low,close,volume
2009-03-05,21.75,21.75,20.4,20.4,25381
2009-03-06,19.0,20.5,18.75,20.0,539019
2009-03-09,20.0,20.5,19.65,20.0,18802
2009-03-12,20.4,20.7,19.5,20.0,15275
2009-03-13,20.1,21.0,20.0,20.0,7835
2009-03-16,20.0,21.25,19.3,21.15,12539
2009-03-17,20.65,21.0,20.0,20.0,30728
2009-03-18,20.55,21.45,20.1,20.2,26166
2009-03-19,20.2,20.75,20.0,20.05,28974
2009-03-20,20.5,22.1,20.5,22.1,79559
2009-03-23,23.25,23.3,20.75,21.35,62371
2009-03-24,22.45,22.45,21.0,21.15,21847
2009-03-25,21.05,21.5,20.5,21.05,40147
2009-03-26,21.25,21.95,20.1,20.55,43089
2009-03-27,20.95,21.5,20.5,20.65,33660
2009-03-30,21.2,21.2,19.65,19.85,23207
2009-03-31,19.75,20.85,19.75,20.55,35694
2009-04-01,22.0,22.0,20.45,20.8,21727
2009-04-02,21.5,22.9,21.2,22.9,259936
2009-04-06,24.8,24.8,21.6,23.25,127215
2009-04-08,23.25,24.7,21.1,24.0,114944
2009-04-09,24.9,25.2,23.25,24.4,97727
2009-04-13,25.0,25.75,24.4,25.2,81268
2009-04-15,24.4,27.75,23.2,27.75,179262
2009-04-16,28.0,29.9,25.05,25.5,217849
2009-04-17,25.95,27.5,25.5,26.8,106438
2009-04-20,28.0,28.05,25.5,25.95,78121
2009-04-21,24.5,26.95,24.5,26.45,58313
2009-04-22,26.6,27.35,25.0,25.3,50593
2009-04-23,25.0,25.75,24.0,25.05,35367
2009-04-24,25.1,26.5,25.0,25.3,142277
2009-04-27,25.8,25.8,24.15,24.55,70054
2009-04-28,25.0,25.0,22.8,23.05,72984
2009-04-29,23.05,23.9,22.25,22.45,62089
2009-05-04,23.05,24.45,22.75,24.0,81610
2009-05-05,23.1,24.7,23.1,24.0,76129
2009-05-06,24.9,24.9,23.5,23.7,55629
2009-05-07,23.8,24.1,23.2,23.45,106304
2009-05-08,24.2,24.2,23.0,23.25,66718
2009-05-11,24.5,24.5,22.65,22.9,44359
2009-05-12,22.4,27.5,22.4,27.5,569507
2009-05-13,28.3,31.4,26.05,27.15,660163
2009-05-14,26.0,28.5,25.7,27.15,144886
2009-05-15,27.6,29.45,26.8,28.0,205091
2009-05-18,30.0,30.0,30.0,30.0,4411
2009-05-19,32.0,36.0,28.0,36.0,625212
2009-05-20,39.4,43.2,38.0,42.9,963605
2009-05-21,43.95,45.9,43.0,45.05,710724
2009-05-22,44.5,47.0,42.1,45.65,329786
2009-05-25,47.0,50.25,45.75,49.5,377613
2009-05-26,51.45,53.0,46.0,46.6,330561
2009-05-27,49.1,51.3,47.15,51.3,6653051
2009-05-28,53.9,54.8,49.3,50.65,568596
2009-05-29,53.0,53.0,49.1,49.9,278562
2009-06-01,51.5,53.0,49.15,49.8,243059
2009-06-02,50.5,51.0,45.4,46.8,261787
2009-06-03,47.4,51.5,47.35,51.45,639714
2009-06-04,50.0,56.6,50.0,56.6,541614
2009-06-05,62.3,62.3,57.9,62.1,521281
2009-06-08,63.95,65.25,59.0,59.0,577379
2009-06-09,58.0,59.95,56.05,57.85,298287
2009-06-10,59.7,60.75,55.0,55.0,347326
2009-06-11,54.5,55.0,52.25,52.25,177703
2009-06-12,54.0,54.0,49.65,49.65,129213
2009-06-15,48.0,48.35,47.2,47.2,77285
2009-06-16,44.85,49.6,44.85,49.6,138608
2009-06-17,52.1,52.1,47.15,47.6,269099
2009-06-18,50.0,50.0,45.25,45.65,123689
2009-06-19,47.4,47.4,43.5,45.4,90147
2009-06-22,45.05,46.85,43.5,44.0,90420
2009-06-23,42.05,43.1,41.8,42.4,93327
2009-06-24,44.0,44.55,42.5,44.55,57701
2009-06-25,46.7,46.8,44.05,44.4,93422
2009-06-26,46.3,46.65,44.15,46.35,98781
2009-06-29,46.5,48.5,46.0,47.1,146261
2009-06-30,47.1,47.1,44.75,44.75,49253
2009-07-01,44.5,44.5,42.55,42.55,58780
2009-07-02,42.45,42.5,40.45,40.45,104346
2009-07-03,38.55,41.6,38.5,39.8,94758
2009-07-06,40.1,40.45,37.85,37.85,89300
2009-07-07,37.85,37.85,36.0,36.45,94848
2009-07-08,36.0,36.0,34.65,34.65,24274
2009-07-09,33.0,36.0,32.95,34.45,93115
2009-07-10,35.5,36.2,34.0,34.35,139181
2009-07-13,33.5,33.9,32.65,33.35,96754
2009-07-14,35.0,35.05,33.2,35.05,56134
2009-07-15,35.8,36.8,35.3,36.8,73931
2009-07-16,38.0,38.65,37.05,38.15,111447
2009-07-17,38.85,39.5,37.55,38.9,126083
2009-07-20,40.8,40.8,38.6,39.6,56014
2009-07-21,39.9,40.5,38.8,39.6,70220
2009-07-22,39.9,40.7,38.35,38.65,103294
2009-07-23,39.95,40.0,38.45,39.15,68526
2009-07-24,39.5,40.0,38.75,39.15,85631
2009-07-27,39.55,40.6,38.55,39.75,161845
2009-07-28,40.35,40.5,39.0,39.25,110292
2009-07-29,38.05,40.4,37.35,38.85,104016
2009-07-30,39.5,40.25,38.6,39.4,185343
2009-07-31,39.05,41.25,39.05,40.2,340082
2009-08-03,41.0,42.25,39.8,42.0,366285
2009-08-04,43.5,44.1,42.5,44.1,218962
2009-08-05,45.45,45.9,41.95,42.35,361607
2009-08-06,42.7,43.0,40.25,40.5,259688
2009-08-07,39.85,40.95,38.5,38.55,137510
2009-08-10,39.8,39.8,36.65,37.05,125577
2009-08-11,37.45,38.75,36.9,37.95,66405
2009-08-12,37.1,38.0,36.05,37.15,100368
2009-08-13,38.0,39.05,38.0,39.05,56390
2009-08-14,39.8,40.2,38.3,39.05,134466
2009-08-17,38.0,38.55,37.1,37.2,56743
2009-08-18,37.0,38.35,36.15,37.85,78109
2009-08-19,38.0,39.75,37.5,39.65,476959
2009-08-20,40.8,40.95,38.75,39.3,174702
2009-08-21,39.1,39.1,37.65,38.1,111504
2009-08-24,39.5,40.05,38.75,40.05,150421
2009-08-25,40.1,40.8,38.6,39.2,192073
2009-08-26,39.2,41.2,39.2,41.1,661348
2009-08-27,41.9,43.2,40.95,43.2,8720910
2009-08-28,45.4,45.4,42.4,45.4,612678
2009-08-31,44.7,47.7,43.25,45.35,880983
2009-09-01,46.6,47.0,42.9,43.1,346763
2009-09-02,41.4,43.25,40.95,41.05,272301
2009-09-03,41.45,43.1,41.35,43.1,165404
2009-09-04,45.3,45.3,44.25,45.3,245548
2009-09-07,49.85,49.85,45.0,49.85,1588215
2009-09-08,52.25,53.3,46.55,47.25,591813
2009-09-09,46.5,48.8,46.0,46.7,188785
2009-09-10,47.1,48.0,45.0,45.7,161405
2009-09-11,46.8,46.8,44.05,44.5,136996
2009-09-14,44.05,46.3,44.05,45.5,167411
2009-09-15,46.0,47.25,45.75,46.2,133583
2009-09-16,46.3,47.5,45.0,45.25,194434
2009-09-17,46.45,46.45,44.0,44.4,399645
2009-09-18,43.7,45.45,43.2,43.55,185422
2009-09-22,43.8,44.9,42.5,42.7,224796
2009-09-23,43.1,44.3,40.9,41.6,226654
2009-09-24,40.3,42.2,40.3,41.85,239316
2009-09-25,41.2,46.05,41.2,46.05,395236
2009-09-29,48.8,50.7,47.6,48.45,1074737
2009-09-30,49.0,49.5,46.6,47.15,245116
2009-10-01,47.3,47.9,46.0,46.15,193923
2009-10-05,45.0,46.95,44.15,44.65,161556
2009-10-06,45.65,45.65,42.55,43.9,161935
2009-10-07,44.1,45.6,43.6,44.05,134966
2009-10-08,45.0,45.0,42.95,43.35,82558
2009-10-09,44.0,44.3,43.05,43.35,106256
2009-10-12,43.45,45.0,43.35,43.65,104250
2009-10-14,44.3,48.05,43.75,48.05,1179889
2009-10-15,50.0,52.75,49.1,49.7,1720558
2009-10-16,49.9,49.9,46.85,47.5,345890
2009-10-17,48.0,48.45,47.1,47.8,71891
2009-10-20,47.95,50.8,46.1,48.55,554460
2009-10-21,46.3,50.25,46.1,48.2,319877
2009-10-22,47.15,49.5,46.5,46.7,223205
2009-10-23,47.5,48.8,45.05,46.45,162654
2009-10-26,46.2,47.5,45.3,45.6,168495
2009-10-27,45.0,45.75,42.8,43.25,206761
2009-10-28,43.0,43.8,41.15,42.85,156180
2009-10-29,40.7,46.4,40.5,43.85,434967
2009-10-30,45.0,45.95,41.5,42.05,258859
2009-11-03,43.55,43.55,39.0,39.55,209931
2009-11-04,41.0,41.8,37.75,40.5,241603
2009-11-05,40.6,41.5,40.0,41.2,129761
2009-11-06,42.7,42.9,41.5,41.8,124708
2009-11-09,42.0,43.9,42.0,42.95,157856
2009-11-10,50.85,50.85,41.5,41.8,183288
2009-11-11,42.0,43.95,41.85,43.2,129806
2009-11-12,42.8,44.0,42.1,42.35,110846
2009-11-13,42.05,42.6,41.0,41.55,141292
2009-11-16,42.0,43.0,42.0,42.3,120110
2009-11-17,42.2,43.4,41.9,42.3,90249
2009-11-18,42.0,42.8,42.0,42.25,66789
2009-11-19,42.1,43.5,41.1,41.35,148739
2009-11-20,41.0,42.45,40.3,41.65,114083
2009-11-23,41.15,42.5,40.6,40.8,97465
2009-11-24,40.8,41.5,40.1,40.6,61237
2009-11-25,40.5,41.5,39.85,40.15,99083
2009-11-26,40.0,40.7,39.45,39.85,74116
2009-11-27,38.9,39.4,37.7,39.2,93009
2009-11-30,39.65,40.7,39.5,39.95,42597
2009-12-01,40.0,41.0,39.8,40.75,47546
2009-12-02,41.3,42.5,40.75,41.15,118952
2009-12-03,41.3,43.15,41.0,41.8,224454
2009-12-04,42.4,44.5,41.25,43.5,449913
2009-12-07,44.5,45.5,43.15,43.35,296800
2009-12-08,42.05,43.8,42.05,43.1,90039
2009-12-09,42.55,43.7,42.5,42.6,78612
2009-12-10,42.9,43.5,42.3,42.95,97842
2009-12-11,44.1,45.95,42.05,42.3,141338
2009-12-14,42.05,42.9,41.15,41.55,76600
2009-12-15,41.25,41.8,40.15,40.3,66713
2009-12-16,40.0,41.25,39.7,40.4,58718
2009-12-17,42.0,43.0,40.3,40.75,195474
2009-12-18,40.6,41.2,39.8,40.0,94548
2009-12-21,40.25,40.8,39.55,39.75,42028
2009-12-22,40.65,40.65,39.75,39.85,41840
2009-12-23,40.0,41.35,40.0,40.85,87188
2009-12-24,41.25,41.5,40.55,40.9,70980
2009-12-29,41.4,41.85,40.6,40.95,131974
2009-12-30,40.35,44.75,40.3,44.25,594653
2009-12-31,45.0,47.7,43.1,47.0,684647
2010-01-04,47.0,48.5,45.55,45.9,255325
2010-01-05,46.9,47.8,46.2,46.65,284341
2010-01-06,47.2,47.5,46.1,46.5,144674
2010-01-07,46.45,46.9,45.15,45.5,115683
2010-01-08,45.4,46.5,45.0,45.1,100420
2010-01-11,45.9,48.1,45.0,46.8,1045244
2010-01-12,47.25,47.3,44.6,44.95,298813
2010-01-13,44.0,45.85,44.0,45.25,129680
2010-01-14,46.4,46.45,45.3,45.5,99242
2010-01-15,45.6,47.8,44.4,46.15,487478
2010-01-18,46.8,46.8,45.5,45.65,175279
2010-01-19,46.2,46.65,44.5,44.85,152933
2010-01-20,45.1,46.7,45.0,45.55,245386
2010-01-21,45.5,47.65,45.0,45.55,572654
2010-01-22,44.0,45.5,43.25,44.3,233970
2010-01-25,44.0,44.5,42.0,42.45,132922
2010-01-27,43.0,43.8,39.0,39.75,208893
2010-01-28,44.0,44.95,41.2,42.0,1033385
2010-01-29,42.0,42.0,39.65,40.4,373692
2010-02-01,41.0,41.9,40.0,40.85,244487
2010-02-02,41.6,41.9,40.1,40.4,149223
2010-02-03,40.9,41.3,40.3,40.75,110960
2010-02-04,40.5,41.0,39.25,39.6,123738
2010-02-05,37.55,38.7,37.5,37.8,156276
2010-02-06,40.0,40.0,38.05,38.3,21375
2010-02-08,38.75,39.25,38.0,38.45,91153
2010-02-09,38.35,38.85,38.05,38.35,45818
2010-02-10,39.0,39.0,38.0,38.15,103172
2010-02-11,38.45,38.75,38.1,38.15,70607
2010-02-15,38.05,38.55,37.75,37.85,71797
2010-02-16,37.85,38.2,36.5,36.9,84256
2010-02-17,37.9,38.4,37.15,37.3,111322
2010-02-18,37.7,43.5,29.85,38.45,2075077
2010-02-19,38.95,41.45,38.55,38.85,681475
2010-02-22,39.35,40.0,37.5,37.8,277812
2010-02-23,38.35,38.35,36.3,36.85,160311
2010-02-24,36.25,37.4,35.9,36.15,152163
2010-02-25,37.1,37.5,36.0,36.25,131890
2010-02-26,35.7,39.0,35.7,37.45,679820
2010-03-02,39.0,39.5,38.15,38.75,212295
2010-03-03,39.3,39.7,38.6,39.0,153020
2010-03-04,39.6,40.5,38.65,39.25,166423
2010-03-05,39.75,39.8,38.75,38.85,149171
2010-03-08,39.95,39.95,38.35,38.45,172361
2010-03-09,38.7,39.05,37.8,38.05,87623
2010-03-10,38.25,38.95,37.25,37.85,139483
2010-03-11,37.3,38.1,36.55,36.8,159899
2010-03-12,37.85,37.85,36.45,36.7,115748
2010-03-15,36.6,36.95,36.0,36.15,121358
2010-03-16,36.3,36.95,36.0,36.2,170837
2010-03-17,36.75,38.0,36.5,37.15,303364
2010-03-18,37.9,38.8,37.3,38.05,287161
2010-03-19,38.1,38.4,37.1,37.25,111175
2010-03-22,36.95,37.75,36.2,36.65,112610
2010-03-23,36.8,37.9,36.5,36.8,73625
2010-03-25,36.45,37.3,36.1,36.85,145239
