date,open,high,low,close,volume
2009-03-05,18.0,18.4,17.57,17.73,9876890
2009-03-06,17.57,17.7,17.01,17.44,6321750
2009-03-09,17.4,17.4,16.12,16.33,10318990
2009-03-12,16.51,16.89,16.01,16.56,4172150
2009-03-13,17.0,18.29,16.82,18.14,8238630
2009-03-16,18.4,18.95,17.73,18.54,9758040
2009-03-17,18.66,19.08,18.35,18.48,8622820
2009-03-18,18.8,19.27,18.07,18.26,18454770
2009-03-19,18.6,18.79,18.01,18.26,6993440
2009-03-20,18.01,18.89,18.01,18.72,9278020
2009-03-23,19.0,20.3,18.9,20.1,13853170
2009-03-24,20.37,20.69,19.0,19.23,15187310
2009-03-25,19.49,19.59,18.65,19.44,13329270
2009-03-26,19.6,20.49,19.6,20.3,13832070
2009-03-27,20.4,24.1,20.4,23.05,43689168
2009-03-30,22.8,23.54,21.05,21.38,33002270
2009-03-31,21.69,23.84,21.69,23.29,33379830
2009-04-01,23.42,25.5,23.2,25.11,31941290
2009-04-02,25.5,31.17,25.4,30.51,76851160
2009-04-06,34.8,34.8,30.55,31.11,69862912
2009-04-08,28.66,30.99,28.07,30.56,68065568
2009-04-09,31.07,36.18,30.2,34.76,75097120
2009-04-13,35.0,38.23,34.9,35.85,57107140
2009-04-15,35.5,37.39,33.37,36.76,31926330
2009-04-16,37.01,38.77,32.12,33.09,49383560
2009-04-17,32.3,35.2,30.86,31.57,39288392
2009-04-20,32.0,34.27,31.45,32.56,37269780
2009-04-21,31.5,32.49,30.79,31.6,29840310
2009-04-22,31.9,32.68,30.61,31.36,20061370
2009-04-23,31.6,34.7,30.82,34.24,38751728
2009-04-24,35.01,35.17,33.16,34.1,31933710
2009-04-27,33.88,34.66,32.42,33.39,21759410
2009-04-28,33.48,34.14,31.31,31.55,18215150
2009-04-29,32.0,35.26,31.13,34.25,37700248
2009-05-04,35.06,36.98,34.62,36.26,36017848
2009-05-05,36.5,40.1,36.34,39.92,53840600
2009-05-06,39.89,40.73,37.8,38.39,39135340
2009-05-07,38.7,44.77,37.36,42.94,101361088
2009-05-08,43.5,44.53,39.86,40.95,85273080
2009-05-11,41.51,43.29,39.8,42.45,91357512
2009-05-12,41.0,42.2,39.3,41.77,77044552
2009-05-13,40.63,42.74,40.63,41.2,39685060
2009-05-14,38.0,41.31,38.0,40.92,35644420
2009-05-15,40.15,42.35,40.15,41.86,27217560
