date,open,high,low,close,volume
2009-03-05,100.75,100.75,98.0,98.85,44103
2009-03-06,98.15,98.15,95.0,95.4,11127
2009-03-09,95.5,95.5,86.3,89.9,53484
2009-03-12,92.9,104.0,84.0,85.5,78077
2009-03-13,89.0,91.7,86.5,89.0,30643
2009-03-16,91.25,91.25,88.1,88.5,21867
2009-03-17,88.5,90.05,86.5,87.4,35536
2009-03-18,90.9,90.9,86.5,87.35,57815
2009-03-19,89.7,90.7,86.8,88.3,39992
2009-03-20,87.15,105.0,87.15,91.35,215207
2009-03-23,93.0,98.0,90.05,91.9,100594
2009-03-24,93.2,95.3,90.0,91.3,130669
2009-03-25,92.9,92.9,88.35,89.6,1094109
2009-03-26,91.0,97.0,91.0,92.8,66241
2009-03-27,93.1,96.0,91.25,95.05,22796
2009-03-30,93.0,94.9,90.25,92.5,35184
2009-03-31,91.65,98.0,88.0,95.55,82522
2009-04-01,97.8,102.65,93.15,98.6,107360
2009-04-02,100.0,103.0,98.65,99.95,110772
2009-04-06,100.95,104.95,100.25,103.1,65725
2009-04-08,100.0,112.5,95.0,109.9,130483
2009-04-09,114.0,114.75,106.0,107.5,62343
2009-04-13,113.0,116.75,106.0,113.65,82333
2009-04-15,113.95,121.5,112.25,119.7,362166
2009-04-16,132.0,142.4,117.0,119.5,348521
2009-04-17,122.65,125.8,117.0,118.9,76564
2009-04-20,122.8,124.9,120.9,123.9,116182
2009-04-21,120.0,126.9,118.5,125.75,81662
2009-04-22,126.6,128.0,119.0,120.25,1091323
2009-04-23,124.9,124.9,119.2,120.7,44233
2009-04-24,120.0,123.85,120.0,121.95,29986
2009-04-27,123.85,124.0,119.3,120.1,32818
2009-04-28,122.4,122.45,109.0,110.65,95980
2009-04-29,110.1,116.0,107.75,115.0,106293
2009-05-04,120.0,122.9,113.4,118.25,316139
2009-05-05,121.6,135.45,118.4,133.85,546815
2009-05-06,137.45,141.75,128.0,131.25,335638
2009-05-07,134.4,142.0,134.0,140.15,200541
2009-05-08,141.0,149.5,141.0,143.4,204514
2009-05-11,147.6,147.6,137.0,140.25,63825
2009-05-12,140.6,140.6,137.0,138.3,26962
2009-05-13,140.0,142.85,137.3,138.55,114029
2009-05-14,136.75,139.5,135.5,136.25,25160
2009-05-15,136.25,143.9,136.25,142.9,43693
2009-05-18,154.05,156.0,154.05,155.5,381
2009-05-19,178.9,178.9,142.0,157.55,106827
2009-05-20,158.0,162.0,152.05,154.6,59444
2009-05-21,154.6,172.9,154.6,166.95,90689
2009-05-22,172.95,179.4,165.0,176.2,64562
2009-05-25,176.0,190.0,176.0,184.55,54837
2009-05-26,188.0,194.95,162.75,173.25,49366
2009-05-27,193.0,193.0,176.0,178.8,54331
2009-05-28,180.0,184.0,176.45,178.8,24360
2009-05-29,180.0,183.0,170.0,171.95,71840
2009-06-01,176.1,183.0,170.05,172.95,81154
2009-06-02,176.7,179.0,170.0,171.2,42296
2009-06-03,172.5,184.7,170.15,179.85,109395
2009-06-04,177.3,183.6,177.3,179.05,55246
2009-06-05,180.0,197.9,171.5,173.95,64711
2009-06-08,175.0,184.9,166.0,168.15,77748
2009-06-09,161.95,174.0,161.95,171.6,28745
2009-06-10,176.0,178.0,169.0,170.7,24825
2009-06-11,174.5,175.0,168.5,170.15,20570
2009-06-12,181.7,185.0,172.0,172.75,61262
2009-06-15,174.3,175.7,166.25,169.7,25728
2009-06-16,190.0,197.7,166.6,168.55,396204
2009-06-17,171.35,174.0,164.5,166.65,73898
2009-06-18,166.65,170.7,161.0,162.75,48827
2009-06-19,167.95,172.0,163.0,165.65,35672
2009-06-22,171.9,176.5,167.05,172.7,70396
2009-06-23,172.0,172.0,165.4,167.25,27793
2009-06-24,171.85,171.85,167.1,169.3,36480
2009-06-25,170.1,172.95,166.0,167.3,29400
2009-06-26,169.0,171.0,166.05,167.25,41102
2009-06-29,169.85,171.95,167.15,168.4,28167
2009-06-30,168.0,172.0,165.0,165.4,25621
2009-07-01,168.0,168.0,163.1,163.85,16711
2009-07-02,163.15,171.0,161.05,167.85,49894
2009-07-03,166.85,169.0,164.05,166.0,10154
2009-07-06,168.7,168.8,160.0,160.7,16798
2009-07-07,160.7,171.7,160.7,169.8,63638
2009-07-08,167.0,169.7,162.1,166.9,20551
2009-07-09,165.35,171.25,164.0,166.2,22476
2009-07-10,165.0,170.7,164.4,165.5,19885
2009-07-13,164.0,166.8,155.0,156.6,22214
2009-07-14,168.3,172.7,159.0,167.85,511316
2009-07-15,168.9,170.8,162.2,163.85,535937
2009-07-16,166.75,168.35,160.1,160.9,112231
2009-07-17,162.9,165.5,161.2,163.75,139358
2009-07-20,166.0,177.7,164.05,170.45,322062
2009-07-21,170.95,171.9,167.7,169.05,48068
2009-07-22,170.0,171.75,166.5,167.5,60237
2009-07-23,165.0,170.1,165.0,167.95,109429
2009-07-24,170.0,172.0,167.1,168.0,127419
2009-07-27,168.5,178.9,168.5,177.15,159278
2009-07-28,170.7,184.8,170.7,182.8,210557
2009-07-29,175.7,196.45,175.7,193.75,390186
2009-07-30,192.6,198.8,182.95,196.55,111504
2009-07-31,195.05,210.0,195.05,204.5,174881
2009-08-03,201.0,225.8,201.0,222.45,279781
2009-08-04,209.75,230.0,209.75,214.55,138123
2009-08-05,217.4,220.7,212.4,214.6,77207
2009-08-06,215.0,217.9,198.3,203.8,73399
2009-08-07,198.3,202.0,194.55,198.25,70073
2009-08-10,204.7,204.7,193.25,195.5,27681
2009-08-11,194.2,208.6,183.95,203.8,113809
2009-08-12,200.8,202.0,193.0,200.45,44769
2009-08-13,206.95,214.0,202.45,206.8,59848
2009-08-14,207.0,225.9,207.0,223.5,215342
2009-08-17,218.1,230.0,207.5,210.75,168063
2009-08-18,212.0,220.0,210.4,216.7,77751
2009-08-19,220.0,223.9,214.0,217.3,97427
2009-08-20,218.5,222.65,214.1,217.5,38348
2009-08-21,217.0,224.95,217.0,221.65,118822
2009-08-24,224.0,226.0,219.4,221.25,148905
2009-08-25,220.0,256.0,217.0,248.65,467050
2009-08-26,259.8,264.5,238.25,242.25,429732
2009-08-27,241.8,247.95,239.0,240.45,102993
2009-08-28,245.0,245.0,235.1,237.4,59139
2009-08-31,235.0,242.5,234.2,235.3,61676
2009-09-01,240.0,247.0,237.0,238.35,120858
2009-09-02,237.05,243.0,233.1,236.55,44672
2009-09-03,237.1,241.9,230.55,231.25,71341
2009-09-04,232.25,235.0,225.1,229.65,53339
2009-09-07,233.0,242.8,232.0,240.9,78843
2009-09-08,240.0,246.0,235.0,237.15,75088
2009-09-09,236.0,243.0,236.0,238.35,126583
2009-09-10,241.0,254.95,241.0,251.75,273495
