date,open,high,low,close,volume
2009-03-05,14.16,14.5,13.84,13.94,11724
2009-03-06,13.27,14.34,13.27,13.77,26596
2009-03-09,13.75,13.85,13.43,13.75,24336
2009-03-12,13.75,14.0,13.51,13.68,5304
2009-03-13,13.75,13.75,12.5,13.48,41000
2009-03-16,13.95,14.21,13.34,13.69,11292
2009-03-17,13.81,14.18,13.39,14.01,29800
2009-03-18,14.0,15.98,14.0,14.7,21304
2009-03-19,15.4,15.75,14.5,15.64,32704
2009-03-20,14.61,15.38,14.61,15.04,10824
2009-03-23,14.68,15.35,14.51,14.66,11416
2009-03-24,14.98,15.23,14.39,14.68,9724
2009-03-25,14.9,14.9,14.0,14.24,7568
2009-03-26,14.32,14.5,14.0,14.07,68688
2009-03-27,14.0,14.25,13.5,13.8,39808
2009-03-30,14.74,14.74,13.52,14.34,11084
2009-03-31,14.25,14.71,13.77,14.32,17316
2009-04-01,14.0,15.2,14.0,15.0,18312
2009-04-02,14.57,16.5,14.57,15.98,70452
2009-04-06,16.27,19.15,16.27,18.11,131052
2009-04-08,18.13,18.25,17.08,18.02,46108
2009-04-09,18.57,18.57,17.27,17.85,1046924
2009-04-13,17.57,21.25,17.25,19.17,283700
2009-04-15,20.0,20.0,19.25,19.36,83756
2009-04-16,20.0,20.0,17.0,17.63,42120
2009-04-17,17.63,19.75,17.14,17.45,170740
2009-04-20,17.58,18.75,17.25,17.48,36696
2009-04-21,17.77,18.49,16.19,16.24,193664
2009-04-22,16.85,17.5,16.38,16.57,38512
2009-04-23,17.2,17.2,16.33,16.85,14164
2009-04-24,17.49,17.49,16.57,17.15,42288
2009-04-27,17.38,17.38,15.81,16.08,45088
2009-04-28,16.13,18.0,15.82,16.3,31616
2009-04-29,15.6,16.75,15.6,16.4,20772
2009-05-04,16.42,17.04,16.42,16.83,34380
2009-05-05,16.64,17.23,16.64,16.96,26672
2009-05-06,16.76,17.3,16.5,17.04,41552
2009-05-07,16.71,17.23,16.71,17.08,19220
2009-05-08,16.83,17.21,16.75,16.89,12404
2009-05-11,17.0,17.11,16.05,16.17,31312
2009-05-12,16.25,16.25,15.75,16.04,12424
2009-05-13,15.51,16.25,15.5,16.04,17252
2009-05-14,15.88,16.35,15.38,15.5,45588
2009-05-15,16.25,16.98,16.0,16.38,1235824
2009-05-18,17.0,18.0,17.0,17.67,600
2009-05-19,18.0,18.75,16.38,17.38,94328
2009-05-20,16.64,19.65,16.64,18.77,151204
2009-05-21,19.0,21.25,18.99,19.57,164456
2009-05-22,20.48,20.48,19.0,19.8,124668
2009-05-25,20.0,20.0,19.29,19.42,93684
2009-05-26,19.5,21.63,18.63,19.21,274560
2009-05-27,20.0,20.75,19.27,19.45,69268
2009-05-28,19.5,20.38,19.01,19.94,75876
2009-05-29,20.5,21.08,19.75,20.77,297764
2009-06-01,21.25,21.5,20.46,21.05,269272
2009-06-02,21.5,21.74,20.42,20.88,138840
2009-06-03,22.75,25.0,20.92,21.9,379912
2009-06-04,22.5,24.1,21.94,23.64,355892
2009-06-05,24.45,26.0,23.25,23.67,563220
2009-06-08,24.54,25.73,23.0,23.77,1090512
2009-06-09,22.96,23.75,22.5,23.35,185800
2009-06-10,24.5,26.96,23.5,24.82,1093708
2009-06-11,25.5,26.73,24.75,25.51,486300
2009-06-12,26.25,29.23,26.25,26.67,1148672
2009-06-15,27.0,29.92,26.04,29.1,2076600
2009-06-16,29.42,30.6,28.5,29.2,1684056
2009-06-17,29.25,29.88,26.67,27.23,386832
2009-06-18,27.52,27.89,25.63,26.92,379484
2009-06-19,27.26,28.35,26.67,27.76,430784
2009-06-22,28.3,28.5,26.25,26.38,263688
2009-06-23,25.5,26.75,25.0,26.17,194188
2009-06-24,26.7,27.13,25.86,26.51,136052
2009-06-25,26.99,27.2,24.51,24.73,619268
2009-06-26,25.0,25.9,24.75,25.17,188928
2009-06-29,25.5,25.6,24.88,25.08,94564
2009-06-30,25.0,25.25,24.02,24.17,165772
2009-07-01,24.46,24.46,22.75,22.94,104152
2009-07-02,23.0,24.25,22.33,23.17,112308
2009-07-03,22.52,23.5,22.52,23.14,55904
2009-07-06,23.55,23.67,22.07,22.48,125364
2009-07-07,23.38,23.38,21.5,22.71,85916
2009-07-08,22.63,22.83,21.75,22.57,121436
2009-07-09,22.75,23.0,22.02,22.38,40636
2009-07-10,21.9,22.63,21.9,22.29,48580
2009-07-13,22.0,22.38,21.27,21.67,51600
2009-07-14,22.02,23.32,22.0,23.2,57196
2009-07-15,23.24,24.5,23.24,24.14,53524
2009-07-16,25.0,25.15,24.32,24.77,93884
2009-07-17,24.75,25.25,24.75,25.08,83076
2009-07-20,25.5,26.38,24.73,25.82,151504
2009-07-21,25.75,26.27,24.17,25.08,128596
2009-07-22,26.0,26.0,24.77,25.64,103436
2009-07-23,25.5,26.02,25.0,25.17,80488
2009-07-24,25.74,25.98,24.77,25.17,33580
2009-07-27,25.27,25.75,25.26,25.63,39176
2009-07-28,25.6,26.73,25.25,26.07,97824
2009-07-29,26.13,27.36,25.5,25.89,83108
2009-07-30,25.54,26.65,25.54,26.02,80504
2009-07-31,26.13,26.73,25.0,26.0,137248
2009-08-03,25.8,26.75,25.54,26.48,73328
2009-08-04,26.7,28.63,26.7,27.74,359112
2009-08-05,27.42,28.75,27.25,28.52,112880
2009-08-06,28.5,29.0,27.92,28.17,175864
2009-08-07,26.75,28.98,26.75,28.58,195216
2009-08-10,27.5,29.96,27.5,28.5,239196
2009-08-11,28.13,28.95,28.13,28.42,76492
2009-08-12,28.5,28.5,27.02,28.42,36604
2009-08-13,28.07,30.0,28.07,29.67,113576
2009-08-14,30.38,30.38,29.44,29.76,43468
2009-08-17,29.5,32.36,28.27,30.55,778480
2009-08-18,30.55,31.24,30.3,30.46,152968
2009-08-19,30.5,31.5,30.29,30.75,104152
2009-08-20,31.24,31.5,29.75,30.71,137524
2009-08-21,31.49,31.75,30.67,31.02,87732
2009-08-24,31.13,31.75,30.95,31.24,80956
2009-08-25,31.25,34.17,30.96,32.78,528200
2009-08-26,33.2,33.2,31.4,32.06,152476
2009-08-27,32.51,36.13,32.51,34.28,512040
2009-08-28,33.75,36.67,31.75,32.05,807312
2009-08-31,32.05,32.72,31.0,31.92,157088
2009-09-01,32.38,33.38,31.75,31.89,204756
2009-09-02,31.25,32.69,31.25,32.16,113552
2009-09-03,32.28,32.69,31.67,31.9,95660
2009-09-04,31.65,32.24,31.65,32.01,36644
2009-09-07,33.25,33.25,32.01,32.66,248540
2009-09-08,33.22,33.38,32.08,32.42,80600
2009-09-09,32.0,32.75,31.8,31.92,108544
2009-09-10,32.5,32.69,31.01,31.48,308928
2009-09-11,32.22,33.72,31.51,32.47,487464
2009-09-14,32.25,33.94,32.13,33.28,328296
2009-09-15,34.22,34.25,33.08,33.53,1046432
2009-09-16,33.75,34.42,32.63,33.97,328876
2009-09-17,34.22,34.55,32.53,32.85,118936
2009-09-18,32.55,33.13,32.05,32.24,230128
2009-09-22,32.06,34.0,32.06,33.0,281440
2009-09-23,33.25,33.7,31.83,32.33,130624
2009-09-24,32.75,32.97,32.03,32.4,71848
2009-09-25,31.75,33.6,31.75,32.34,120284
2009-09-29,32.26,35.95,32.25,32.78,2547264
2009-09-30,33.45,34.5,33.06,33.99,464744
2009-10-01,34.0,34.41,33.25,33.58,241136
2009-10-05,33.0,33.58,32.0,32.89,284608
2009-10-06,33.63,33.7,32.53,33.3,239012
2009-10-07,33.74,34.0,33.0,33.38,170332
2009-10-08,33.95,33.97,32.88,33.1,57352
2009-10-09,33.38,34.22,33.05,33.5,110380
2009-10-12,33.25,33.44,32.75,33.08,72300
2009-10-14,33.22,35.25,33.15,34.76,339472
2009-10-15,34.76,35.63,33.81,34.03,151524
2009-10-16,33.38,36.35,33.38,34.99,901204
2009-10-17,35.11,35.72,34.56,35.15,55852
2009-10-20,35.25,35.25,34.38,34.53,86728
2009-10-21,34.26,34.97,34.25,34.53,87404
