date,open,high,low,close,volume
2009-03-05,12.5,12.98,12.0,12.45,46024
2009-03-06,12.05,12.88,12.05,12.55,21304
2009-03-09,12.55,12.55,12.18,12.48,7414
2009-03-12,12.2,12.73,12.07,12.3,25484
2009-03-13,12.73,13.05,12.4,12.55,97142
2009-03-16,12.5,12.5,11.9,12.25,37128
2009-03-17,12.35,12.57,11.85,12.2,19382
2009-03-18,12.57,13.0,12.13,12.52,97622
2009-03-19,12.35,12.5,11.75,11.95,173010
2009-03-20,11.75,12.2,11.7,12.0,56172
2009-03-23,12.35,12.8,11.6,12.73,168034
2009-03-24,13.45,13.45,12.7,12.98,67414
2009-03-25,13.0,13.48,12.7,13.27,84864
2009-03-26,13.48,13.5,12.6,13.35,103912
2009-03-27,13.85,14.9,13.0,13.73,96874
2009-03-30,13.1,13.77,13.1,13.4,33568
2009-03-31,14.75,15.5,13.45,13.88,167118
2009-04-01,13.75,13.8,13.25,13.38,1476
2009-04-02,13.88,13.9,13.2,13.63,67490
2009-04-06,13.88,13.9,13.55,13.75,13184
2009-04-08,13.55,13.9,13.4,13.68,39482
2009-04-09,13.95,13.95,13.27,13.68,61198
2009-04-13,13.88,14.0,13.38,13.73,149076
2009-04-15,14.0,14.6,13.63,14.35,103014
2009-04-16,14.5,15.0,13.3,13.52,132196
2009-04-17,13.82,14.35,13.4,13.5,22538
2009-04-20,13.5,13.75,13.0,13.2,55406
2009-04-21,13.4,14.0,13.0,13.77,100114
2009-04-22,13.9,13.9,13.27,13.68,41118
2009-04-23,13.8,14.35,13.55,14.0,166484
2009-04-24,14.05,14.1,13.77,13.82,6372
2009-04-27,13.65,13.8,13.0,13.07,33056
2009-04-28,13.38,13.68,13.0,13.5,159424
2009-04-29,13.73,13.75,13.32,13.52,133110
2009-05-04,13.88,14.63,13.5,14.5,215934
2009-05-05,14.5,14.55,13.65,13.88,138140
2009-05-06,14.0,14.23,13.5,13.7,120758
2009-05-07,14.3,14.35,13.65,13.9,32474
2009-05-08,13.6,14.2,13.52,14.0,89966
2009-05-11,14.4,14.63,13.63,14.15,69358
2009-05-12,14.0,14.3,13.82,14.13,77554
2009-05-13,14.18,14.38,13.68,14.25,42124
2009-05-14,14.1,14.98,13.77,14.3,552738
2009-05-15,13.88,14.5,13.88,14.3,47734
2009-05-19,16.25,16.25,14.63,15.13,112232
2009-05-20,15.93,15.93,15.0,15.4,63362
2009-05-21,15.25,16.17,15.07,15.2,90170
2009-05-22,15.32,18.25,15.0,18.25,752696
2009-05-25,18.98,21.73,17.8,20.4,963916
2009-05-26,22.45,22.45,20.0,20.1,1992322
