date,open,high,low,close,volume
2009-03-05,20.25,21.3,20.25,20.45,115479
2009-03-06,20.25,20.85,19.95,20.6,120080
2009-03-09,20.55,20.55,19.9,20.1,98992
2009-03-12,20.4,20.45,20.05,20.3,88828
2009-03-13,20.35,20.75,20.2,20.45,1072302
2009-03-16,20.7,21.2,20.6,20.8,2788830
2009-03-17,21.0,21.3,20.6,20.7,59353
2009-03-18,20.7,20.95,20.15,20.7,99198
2009-03-19,20.7,20.95,20.6,20.75,59070
2009-03-20,20.5,20.85,20.45,20.7,40682
2009-03-23,20.8,21.2,20.6,21.15,167943
2009-03-24,21.1,21.8,21.05,21.2,172609
2009-03-25,21.25,21.3,20.95,21.2,90993
2009-03-26,21.45,22.1,21.15,21.8,123492
2009-03-27,22.1,22.25,21.85,22.0,90676
2009-03-30,21.6,22.05,21.15,21.3,71425
2009-03-31,21.65,21.95,21.2,21.65,76956
2009-04-01,21.65,21.95,21.65,21.85,45004
2009-04-02,22.1,22.5,21.8,22.35,144342
2009-04-06,22.95,23.15,22.5,22.6,98340
2009-04-08,21.9,22.25,21.7,22.2,207332
2009-04-09,22.55,23.8,22.35,23.05,200144
2009-04-13,22.95,23.6,22.8,23.4,329498
2009-04-15,23.2,23.45,22.95,23.35,494227
2009-04-16,23.7,24.1,22.8,23.05,245718
2009-04-17,23.25,23.4,22.75,22.9,410882
2009-04-20,23.05,25.3,22.75,24.2,1229876
2009-04-21,24.55,29.0,24.05,27.95,7459188
2009-04-22,28.05,28.45,25.8,26.35,2762852
2009-04-23,26.95,26.95,25.2,25.35,507579
2009-04-24,24.9,26.3,24.9,25.8,1100344
2009-04-27,25.85,26.9,25.35,25.55,980113
2009-04-28,25.5,25.9,24.35,24.65,555580
2009-04-29,24.7,26.2,24.45,25.95,1316686
2009-05-04,25.7,26.75,25.7,25.95,1483078
2009-05-05,25.55,26.2,25.55,26.0,1319749
2009-05-06,26.15,27.0,25.65,25.8,492412
2009-05-07,26.3,26.5,25.45,25.9,337134
2009-05-08,25.95,27.05,25.65,26.55,603636
2009-05-11,26.85,26.85,25.75,26.1,231924
2009-05-12,25.85,26.45,25.55,26.05,489316
2009-05-13,26.4,27.0,25.85,26.5,522211
2009-05-14,25.75,27.05,25.75,26.9,576972
2009-05-15,26.5,27.6,26.5,27.15,1122204
2009-05-18,28.25,28.25,28.25,28.25,92
2009-05-19,29.75,31.4,27.75,30.75,2330539
2009-05-20,30.85,33.25,30.85,32.2,941232
2009-05-21,32.35,33.45,31.95,32.2,1785570
2009-05-22,31.95,33.0,31.0,32.05,350130
2009-05-25,32.15,32.9,32.15,32.4,269484
2009-05-26,32.45,33.2,30.85,31.5,408638
2009-05-27,32.05,32.95,31.8,32.3,2151724
2009-05-28,32.45,34.1,32.4,33.2,877351
2009-05-29,33.35,35.05,33.25,34.2,2721925
2009-06-01,35.15,36.15,34.85,35.75,1810314
2009-06-02,36.05,36.7,34.55,35.05,279753
2009-06-03,35.5,35.6,32.9,33.55,623884
2009-06-04,33.45,34.35,33.15,33.95,326436
2009-06-05,34.0,34.85,34.0,34.25,2620536
2009-06-08,33.65,34.6,32.45,32.75,244213
2009-06-09,32.45,32.9,31.95,32.6,175124
2009-06-10,33.5,34.5,32.6,33.65,353694
2009-06-11,33.65,34.4,33.35,33.95,281754
2009-06-12,34.1,34.4,33.55,33.6,335332
2009-06-15,33.25,34.2,33.25,33.8,182284
2009-06-16,33.25,34.15,32.8,33.1,575446
2009-06-17,33.3,33.4,32.0,32.2,415159
2009-06-18,32.6,32.6,30.95,31.3,369626
2009-06-19,31.8,32.05,31.05,31.35,227950
2009-06-22,31.55,31.8,30.95,31.25,158749
2009-06-23,30.55,32.25,30.55,31.4,201735
2009-06-24,32.05,32.05,31.2,31.3,242424
2009-06-25,31.4,32.05,31.2,31.3,171850
2009-06-26,31.8,32.35,30.7,30.8,1172938
2009-06-29,31.4,31.4,30.75,31.0,902516
2009-06-30,31.2,31.45,30.3,30.5,356070
2009-07-01,30.9,31.15,30.45,30.75,475609
2009-07-02,30.95,30.95,30.65,30.85,435051
2009-07-03,31.15,31.15,30.45,30.55,420354
2009-07-06,31.05,31.15,29.65,29.8,351522
2009-07-07,30.2,30.85,29.55,29.7,481760
2009-07-08,30.1,30.3,29.1,29.35,592666
2009-07-09,29.45,30.35,29.05,30.2,8163777
2009-07-10,30.85,32.1,30.55,31.2,1100880
2009-07-13,30.85,31.35,30.0,30.7,674473
2009-07-14,30.0,30.1,29.35,29.65,575612
2009-07-15,29.65,30.2,29.4,30.0,468309
2009-07-16,30.05,30.5,29.75,29.9,320865
2009-07-17,30.0,30.6,29.75,30.3,295923
2009-07-20,30.4,31.15,30.3,31.05,330039
2009-07-21,30.95,31.85,30.4,31.65,408321
2009-07-22,31.9,32.45,31.5,32.15,524304
2009-07-23,32.35,34.1,32.05,33.45,711789
2009-07-24,33.9,34.2,32.65,32.9,538692
2009-07-27,33.75,33.75,32.8,33.05,220677
2009-07-28,33.25,35.05,32.8,34.75,2502482
2009-07-29,34.4,35.6,33.55,33.9,441130
2009-07-30,33.35,35.05,33.1,34.45,401721
2009-07-31,35.05,35.2,34.05,34.75,631533
2009-08-03,34.95,34.95,33.65,33.95,612414
2009-08-04,34.3,35.2,34.1,34.8,451380
2009-08-05,34.75,35.2,34.3,34.55,206606
2009-08-06,34.6,34.8,34.0,34.15,417001
2009-08-07,34.1,34.15,33.05,33.2,203794
2009-08-10,34.05,34.05,33.0,33.4,333854
2009-08-11,33.0,33.55,33.0,33.15,107289
2009-08-12,33.25,33.45,32.75,33.15,123294
2009-08-13,33.5,33.9,33.15,33.3,271986
2009-08-14,33.9,34.05,33.25,33.3,191498
2009-08-17,31.95,33.35,31.95,32.45,296564
2009-08-18,32.6,32.7,31.95,32.2,266851
2009-08-19,32.45,32.45,31.95,32.1,110080
2009-08-20,32.45,32.95,32.15,32.7,104055
2009-08-21,32.45,32.7,32.15,32.35,63366
2009-08-24,33.0,33.1,32.5,32.65,121215
2009-08-25,32.7,32.95,32.6,32.8,111579
2009-08-26,32.65,33.15,32.65,32.8,236668
2009-08-27,32.95,33.1,32.15,32.4,147642
2009-08-28,32.45,32.7,32.1,32.45,349879
2009-08-31,32.35,36.0,32.35,34.85,1870809
2009-09-01,34.85,35.65,34.0,34.15,1013172
2009-09-02,34.1,34.85,33.55,33.9,653617
2009-09-03,34.65,34.95,33.05,33.35,626702
2009-09-04,33.75,34.2,33.4,33.85,169322
2009-09-07,33.95,34.3,33.25,33.55,636781
2009-09-08,33.65,36.35,33.65,35.0,1636172
2009-09-09,35.05,35.45,34.25,34.75,477964
2009-09-10,34.75,35.6,34.75,35.15,570675
2009-09-11,35.5,35.6,34.2,34.4,720660
2009-09-14,34.3,34.65,33.55,33.75,528494
2009-09-15,34.65,35.4,34.1,34.45,1734076
2009-09-16,34.65,35.5,34.65,34.8,728864
2009-09-17,35.0,35.25,34.45,34.6,411826
2009-09-18,34.5,34.85,34.3,34.5,458752
2009-09-22,35.15,35.15,34.5,34.6,536599
2009-09-23,34.6,34.85,34.0,34.35,261999
2009-09-24,33.75,35.7,33.75,35.15,4202661
2009-09-25,34.55,36.55,34.2,35.65,1218445
2009-09-29,35.95,36.65,35.6,35.95,579684
2009-09-30,36.4,38.3,36.25,38.05,3789303
2009-10-01,38.75,39.2,37.35,37.6,1563302
2009-10-05,37.35,38.75,36.7,37.9,1600288
2009-10-06,38.55,39.5,37.35,39.45,3535969
2009-10-07,39.95,40.9,39.3,39.65,2205264
2009-10-08,39.75,40.25,39.7,40.05,732349
2009-10-09,39.5,40.45,39.1,39.2,499976
2009-10-12,39.5,40.05,39.0,39.8,351469
2009-10-14,40.05,41.35,40.05,41.0,1264869
2009-10-15,42.1,42.1,40.6,40.9,684776
2009-10-16,40.9,41.35,39.15,40.3,759534
2009-10-17,41.1,41.15,40.2,41.0,179684
2009-10-20,41.0,43.75,40.75,42.95,2964667
2009-10-21,43.6,44.4,41.7,42.2,2785318
2009-10-22,42.2,42.65,40.9,41.45,892610
2009-10-23,42.1,42.85,41.65,42.05,1259002
2009-10-26,42.85,43.85,41.2,41.35,746347
2009-10-27,41.15,41.15,39.2,39.7,610605
2009-10-28,38.95,41.45,38.2,41.15,1036179
2009-10-29,40.6,40.9,39.75,40.6,577183
2009-10-30,42.1,42.7,41.15,42.1,1900496
2009-11-03,41.75,43.2,38.75,39.85,1747514
2009-11-04,40.0,40.4,39.2,40.25,398580
2009-11-05,40.05,40.8,39.7,40.6,294584
2009-11-06,41.15,41.55,40.8,41.0,436648
2009-11-09,40.75,41.65,40.75,41.45,264462
2009-11-10,41.55,41.9,41.0,41.1,273853
2009-11-11,41.15,41.3,40.85,41.1,255069
2009-11-12,41.5,41.5,40.95,41.15,116938
2009-11-13,41.15,41.45,40.95,41.2,158722
2009-11-16,41.0,41.65,40.95,41.15,188548
2009-11-17,41.3,41.45,41.05,41.3,164900
2009-11-18,41.55,41.8,41.15,41.25,242444
2009-11-19,41.65,41.75,40.7,41.0,284922
2009-11-20,40.8,41.2,40.5,41.1,243625
2009-11-23,41.25,41.55,40.3,41.1,319934
2009-11-24,41.15,41.15,40.5,40.55,173791
2009-11-25,40.7,41.25,40.5,40.6,192448
2009-11-26,40.05,41.0,40.05,40.4,170550
2009-11-27,40.05,40.25,37.65,39.5,741034
2009-11-30,39.5,41.15,39.5,40.65,374740
2009-12-01,40.6,40.6,40.1,40.35,262356
2009-12-02,40.5,42.6,40.45,41.85,2995033
2009-12-03,42.2,42.5,41.55,41.7,400533
2009-12-04,41.65,41.7,40.8,41.05,277575
2009-12-07,41.65,41.85,41.25,41.45,580839
2009-12-08,41.55,42.0,41.15,41.55,466897
2009-12-09,41.65,41.65,41.2,41.3,178992
2009-12-10,41.0,41.65,41.0,41.45,438121
2009-12-11,41.8,42.0,41.4,41.6,181434
2009-12-14,41.25,41.8,40.4,40.55,494200
2009-12-15,40.7,40.8,39.55,39.8,182820
2009-12-16,39.7,39.7,38.55,39.05,321861
2009-12-17,38.55,40.6,38.55,40.3,341814
2009-12-18,40.25,40.9,39.8,40.0,178701
2009-12-21,40.4,40.4,39.5,39.85,151813
2009-12-22,40.35,40.35,39.45,39.6,312159
2009-12-23,40.0,40.25,39.75,39.95,184462
2009-12-24,40.5,40.5,39.85,40.15,192033
2009-12-29,40.15,40.5,39.6,39.85,282631
2009-12-30,39.7,41.65,39.7,41.35,801108
2009-12-31,41.75,44.05,41.5,42.9,1452422
2010-01-04,42.95,44.15,42.95,43.2,587709
2010-01-05,43.6,44.05,42.55,42.7,299342
2010-01-06,43.1,43.2,41.8,42.1,346605
2010-01-07,42.3,42.55,41.7,42.05,247783
2010-01-08,41.9,42.45,41.85,41.95,130495
2010-01-11,42.1,42.75,42.0,42.5,209701
2010-01-12,42.65,42.65,41.9,42.2,182318
2010-01-13,41.35,43.2,41.35,42.5,398640
2010-01-14,42.35,42.95,42.35,42.75,105064
2010-01-15,42.8,44.9,42.55,44.15,1259972
2010-01-18,43.85,45.3,43.65,44.85,736896
2010-01-19,44.45,45.75,44.45,45.45,714099
2010-01-20,45.7,46.45,44.9,45.3,625118
2010-01-21,45.45,46.0,44.05,45.45,3229868
2010-01-22,44.5,45.15,42.8,44.55,560089
2010-01-25,44.25,44.8,44.05,44.55,209226
2010-01-27,44.25,44.8,43.05,43.25,342651
2010-01-28,43.5,44.15,43.3,43.5,310879
2010-01-29,43.4,44.05,42.35,43.3,632306
2010-02-01,43.3,44.4,43.05,43.4,331729
2010-02-02,43.8,43.85,42.55,42.75,199412
2010-02-03,42.95,43.5,42.95,43.15,157033
2010-02-04,43.3,43.6,41.7,42.0,238867
2010-02-05,42.0,42.0,40.6,41.5,227119
2010-02-06,42.95,42.95,40.65,41.65,34306
2010-02-08,41.65,42.1,41.4,41.7,145371
2010-02-09,41.85,42.3,41.35,41.75,225858
2010-02-10,41.55,42.45,41.35,41.55,141754
2010-02-11,41.9,43.15,41.7,42.85,227026
2010-02-15,43.05,43.25,42.0,42.3,115486
2010-02-16,42.85,42.85,42.05,42.3,130218
2010-02-17,42.75,42.85,42.0,42.1,100603
2010-02-18,42.25,42.55,41.85,41.95,87258
2010-02-19,42.2,42.3,41.55,42.0,98821
2010-02-22,42.3,42.3,41.65,41.8,737305
2010-02-23,42.0,42.0,41.45,41.65,106305
2010-02-24,41.55,41.95,41.15,41.4,110054
2010-02-25,41.65,41.9,41.15,41.55,780238
2010-02-26,41.6,42.95,41.45,42.4,247090
2010-03-02,42.65,43.8,42.65,43.3,436642
2010-03-03,43.3,43.8,42.95,43.4,278908
2010-03-04,43.2,45.25,43.2,44.65,542968
2010-03-05,44.95,45.55,44.05,45.1,455716
2010-03-08,45.8,45.8,44.95,45.15,603496
2010-03-09,44.9,46.0,44.6,45.85,1467225
2010-03-10,45.55,46.3,45.45,46.25,768358
2010-03-11,46.05,47.1,46.0,46.8,509322
2010-03-12,46.65,47.6,46.55,47.4,718000
2010-03-15,47.9,47.9,46.55,47.05,481436
2010-03-16,47.1,49.05,47.1,48.2,2690886
2010-03-17,48.6,48.8,47.75,48.35,2392051
2010-03-18,48.15,48.6,47.85,48.25,2795298
2010-03-19,48.25,48.4,47.3,47.7,2324863
2010-03-22,47.6,47.6,46.75,47.0,1832852
2010-03-23,47.4,48.6,47.0,48.4,3103114
2010-03-25,48.25,49.0,48.05,48.65,3269910
2010-03-26,49.05,49.05,48.5,48.55,3519529
2010-03-29,49.8,49.8,48.8,49.2,3893768
2010-03-30,49.55,50.2,48.55,49.9,2792776
2010-03-31,50.3,50.65,49.55,49.8,386324
2010-04-01,50.1,50.65,50.0,50.4,446965
2010-04-05,50.75,51.0,50.35,50.85,438312
2010-04-06,50.9,51.7,50.9,51.45,600078
2010-04-07,51.4,52.3,51.4,51.85,327999
2010-04-08,52.15,52.15,50.0,50.5,412888
2010-04-09,49.8,51.65,49.8,50.6,272844
2010-04-12,51.4,51.4,50.35,50.75,165501
2010-04-13,51.4,51.4,50.45,50.8,200494
2010-04-15,50.85,51.2,50.65,50.95,183736
2010-04-16,50.5,50.85,50.4,50.45,132435
2010-04-19,50.45,50.45,49.25,49.95,145371
2010-04-20,49.95,50.65,49.95,50.05,97561
2010-04-21,49.9,50.45,49.6,49.8,159528
2010-04-22,49.9,50.0,49.45,49.65,218624
2010-04-23,49.7,49.8,49.15,49.3,257070
2010-04-26,50.2,51.15,49.05,49.8,262936
2010-04-27,49.8,50.2,49.4,49.55,423330
2010-04-28,49.35,49.45,48.5,48.95,2703603
2010-04-29,49.05,49.35,48.5,49.1,1330077
2010-04-30,49.4,54.75,49.3,52.6,2130618
2010-05-03,52.8,54.0,52.7,53.15,500530
2010-05-04,53.8,54.55,52.75,53.0,483093
2010-05-05,52.6,53.35,51.65,52.45,388495
2010-05-06,52.3,56.3,52.3,56.0,4035338
2010-05-07,54.15,55.5,53.7,54.2,639849
2010-05-10,55.25,56.7,54.15,55.6,811792
2010-05-11,55.65,56.5,55.1,55.25,308338
2010-05-12,56.05,56.05,54.45,55.1,326356
2010-05-13,55.4,55.7,54.35,54.85,228115
2010-05-14,54.4,55.75,54.4,54.65,1080908
2010-05-17,54.3,55.2,53.7,54.85,332917
2010-05-18,55.15,55.75,55.1,55.2,329346
2010-05-19,55.4,56.7,54.55,54.95,565567
2010-05-20,54.9,56.8,53.9,54.1,1482030
2010-05-21,53.7,53.7,51.95,52.8,452172
2010-05-24,53.45,54.1,52.85,53.1,349905
2010-05-25,52.05,53.45,51.2,51.55,385248
2010-05-26,51.95,52.7,51.2,51.45,272176
2010-05-27,51.75,52.15,50.95,51.9,158479
2010-05-28,52.15,53.8,51.95,53.1,416914
2010-05-31,53.8,54.9,52.7,54.45,464989
2010-06-01,54.75,55.05,53.65,54.05,305157
2010-06-02,54.65,54.65,53.7,53.95,131010
2010-06-03,54.55,55.55,54.55,55.0,321558
2010-06-04,54.9,55.5,54.3,55.05,302061
2010-06-07,53.55,54.2,53.2,54.0,246780
2010-06-08,54.1,55.1,53.9,54.05,155245
2010-06-09,54.8,56.05,53.55,55.8,743020
2010-06-10,55.65,56.45,55.2,55.85,578100
2010-06-11,56.6,56.6,55.75,55.95,174992
2010-06-14,56.45,56.45,55.55,55.9,126805
2010-06-15,56.15,59.25,55.75,57.35,982515
2010-06-16,57.8,58.65,57.7,57.8,409272
2010-06-17,57.6,58.1,54.9,56.85,620788
2010-06-18,56.5,57.15,56.5,56.7,171296
2010-06-21,56.8,57.45,55.7,55.95,354333
2010-06-22,56.4,57.35,55.65,56.55,2543289
2010-06-23,56.6,57.35,55.75,55.9,537108
2010-06-24,56.3,56.5,55.95,56.2,166207
2010-06-25,56.3,56.55,55.7,55.9,267590
2010-06-28,55.95,56.5,55.95,56.25,171520
2010-06-29,56.95,57.05,56.0,56.3,452264
2010-06-30,55.75,56.8,55.55,56.55,206361
2010-07-01,56.15,56.95,56.15,56.8,167804
2010-07-02,57.05,59.0,56.6,58.55,1401800
2010-07-05,58.45,64.7,58.4,63.25,4148158
2010-07-06,64.05,64.95,63.0,63.35,1659622
2010-07-07,63.35,64.7,62.25,64.1,989907
2010-07-08,64.7,65.25,64.05,64.95,843380
2010-07-09,65.6,67.05,65.05,66.0,2225526
2010-07-12,67.55,67.55,65.5,66.4,881126
2010-07-13,70.2,70.2,66.8,67.4,1257220
2010-07-14,66.9,67.1,65.15,65.4,643149
2010-07-15,65.8,66.0,64.0,64.65,431936
2010-07-16,64.6,66.95,63.95,65.2,870915
2010-07-19,63.85,66.25,63.85,65.0,448998
2010-07-20,65.5,65.85,64.4,64.75,452311
2010-07-21,65.15,65.9,63.2,63.7,1971591
2010-07-22,63.3,64.5,63.2,63.4,482571
2010-07-23,64.3,66.2,62.85,65.2,1849088
2010-07-26,66.05,66.05,63.85,64.25,395992
