date,open,high,low,close,volume
2009-03-05,46.0,50.78,45.6,46.35,216725
2009-03-06,45.62,46.48,44.2,45.49,64095
2009-03-09,44.4,49.4,44.03,47.24,363150
2009-03-12,48.59,49.27,46.2,46.7,111035
2009-03-13,46.1,47.8,46.1,47.02,44815
2009-03-16,47.99,48.98,47.23,48.2,53825
2009-03-17,49.0,51.6,47.4,50.06,118945
2009-03-18,53.6,59.6,51.0,55.86,391735
2009-03-19,57.0,63.46,54.92,59.18,689545
2009-03-20,58.4,60.98,56.24,58.71,238335
2009-03-23,58.4,61.4,58.4,59.76,237315
2009-03-24,61.8,64.3,61.0,62.39,441705
2009-03-25,62.2,64.0,59.0,61.9,163965
2009-03-26,62.6,68.8,62.4,66.78,423800
2009-03-27,68.4,69.39,64.44,65.64,106650
2009-03-30,65.86,68.9,62.8,63.5,154065
2009-03-31,64.4,68.38,63.03,65.21,547930
2009-04-01,65.76,68.2,65.2,65.87,340780
2009-04-02,67.16,70.94,66.6,69.09,837915
2009-04-06,71.03,76.79,69.43,74.68,433710
2009-04-08,72.8,81.04,71.8,77.16,346070
2009-04-09,78.05,81.0,76.0,77.35,240280
2009-04-13,78.0,81.0,77.0,79.44,187640
2009-04-15,77.4,82.93,77.4,79.97,389830
2009-04-16,82.5,83.8,72.56,75.28,256410
2009-04-17,79.36,80.8,73.8,75.27,139725
2009-04-20,77.01,80.8,76.46,78.54,235285
2009-04-21,77.78,78.98,75.4,76.37,71180
2009-04-22,77.13,78.0,74.2,76.35,117555
2009-04-23,78.0,78.0,75.2,76.11,90165
2009-04-24,77.19,83.6,76.61,81.07,440285
2009-04-27,81.0,85.79,81.0,81.63,493450
2009-04-28,82.95,82.95,76.8,77.71,132970
2009-04-29,78.49,79.79,76.7,78.31,221025
2009-05-04,80.8,83.79,79.8,81.77,138305
2009-05-05,82.0,82.97,80.0,80.9,95645
2009-05-06,81.6,82.8,77.26,79.07,117460
2009-05-07,80.76,85.94,80.0,83.66,237095
2009-05-08,85.7,96.94,84.6,88.56,947505
2009-05-11,91.54,94.96,86.03,88.26,244685
2009-05-12,88.0,94.39,86.66,92.27,350400
2009-05-13,93.78,110.73,91.21,104.04,1477145
2009-05-14,99.0,106.8,96.2,102.51,807025
2009-05-15,102.9,106.8,101.0,102.33,271790
2009-05-18,112.0,112.0,110.02,111.39,1845
2009-05-19,114.2,124.6,103.2,120.44,324885
2009-05-20,121.6,143.6,119.0,137.72,330885
2009-05-21,141.0,151.5,139.98,148.71,817090
2009-05-22,146.8,149.98,138.0,140.5,355470
2009-05-25,153.64,153.64,138.2,140.85,640115
2009-05-26,142.0,145.98,136.28,137.99,785785
2009-05-27,139.6,145.08,139.6,141.0,621440
2009-05-28,141.2,144.38,129.01,141.33,44415
2009-05-29,141.6,145.6,141.4,144.51,145660
2009-06-01,145.0,158.0,141.0,154.99,269060
2009-06-02,154.0,159.7,146.4,150.49,86560
2009-06-03,151.02,158.56,151.0,153.99,325750
2009-06-04,155.4,168.3,151.23,165.89,154805
2009-06-05,168.0,170.2,164.0,165.79,978405
2009-06-08,169.99,169.99,154.0,154.56,87465
2009-06-09,149.77,161.0,146.04,158.28,56900
2009-06-10,159.58,163.6,152.0,152.66,69600
2009-06-11,150.0,156.8,145.99,147.47,68560
2009-06-12,149.0,154.0,144.25,146.38,46355
2009-06-15,144.5,147.8,141.4,142.16,30535
2009-06-16,142.0,147.0,136.05,142.83,421190
2009-06-17,144.78,154.94,140.42,144.85,124030
2009-06-18,145.2,145.2,130.37,135.49,519405
2009-06-19,135.6,147.7,135.6,145.42,232845
2009-06-22,147.01,147.79,142.4,145.01,54645
2009-06-23,140.2,144.8,136.1,143.86,33335
2009-06-24,144.0,152.0,143.2,149.44,233130
2009-06-25,148.21,158.8,148.21,150.15,661780
2009-06-26,150.4,158.0,147.45,157.56,103285
2009-06-29,164.0,164.96,151.0,155.28,58805
2009-06-30,156.6,159.0,154.45,156.16,113435
2009-07-01,157.8,157.8,148.02,149.82,67040
2009-07-02,152.2,158.0,147.02,155.81,50245
2009-07-03,157.0,167.58,152.2,157.35,510805
2009-07-06,158.0,160.02,151.0,156.47,541355
2009-07-07,153.0,156.4,146.2,149.92,38785
2009-07-08,149.0,149.0,140.22,145.65,38180
2009-07-09,144.2,148.0,138.02,139.78,65485
2009-07-10,140.02,143.97,138.61,140.66,79230
2009-07-13,136.8,138.38,127.27,132.01,266200
2009-07-14,133.0,141.94,133.0,137.94,64740
2009-07-15,142.8,142.8,138.4,140.13,159155
2009-07-16,143.8,146.79,141.0,142.35,100670
2009-07-17,144.59,153.0,143.7,146.95,104305
2009-07-20,149.98,149.98,147.2,148.16,165610
2009-07-21,149.72,149.98,147.0,148.36,110190
2009-07-22,174.56,174.56,143.4,145.02,68185
2009-07-23,147.0,147.2,144.07,145.66,47385
2009-07-24,146.84,147.58,143.4,146.91,75265
2009-07-27,146.0,149.8,144.8,146.58,94060
2009-07-28,146.01,146.91,143.2,145.57,105625
2009-07-29,144.0,144.76,137.6,139.34,95120
2009-07-30,139.4,139.4,135.01,136.77,104010
2009-07-31,137.99,139.19,134.0,135.66,586820
2009-08-03,136.4,137.6,134.45,136.21,75890
2009-08-04,136.21,142.0,136.21,139.99,116785
2009-08-05,141.0,145.6,140.2,144.66,100205
2009-08-06,144.0,148.76,141.22,144.14,92405
2009-08-07,144.4,147.58,140.25,142.4,38005
2009-08-10,143.21,144.95,140.2,141.32,19355
2009-08-11,140.2,144.2,136.0,142.09,99105
2009-08-12,143.38,147.6,139.2,146.68,99685
2009-08-13,150.39,159.04,148.0,157.35,291525
2009-08-14,159.79,162.0,156.04,157.97,356905
2009-08-17,158.0,160.2,151.82,154.97,139385
2009-08-18,176.66,176.66,153.4,157.29,40625
2009-08-19,160.0,160.0,154.43,157.94,33935
2009-08-20,162.84,164.0,157.01,158.57,138805
2009-08-21,161.89,161.89,156.6,158.68,36100
2009-08-24,159.8,162.0,158.0,158.7,45210
2009-08-25,158.0,166.4,156.0,163.3,106750
2009-08-26,154.34,174.4,154.34,167.9,313725
2009-08-27,168.4,172.0,163.1,165.92,86685
2009-08-28,165.6,175.8,164.0,170.56,127090
2009-08-31,166.2,171.78,165.04,166.91,54940
2009-09-01,167.02,179.19,167.0,167.88,975450
2009-09-02,169.0,173.0,167.0,169.2,166055
2009-09-03,171.01,172.0,166.62,167.97,56990
2009-09-04,169.95,170.16,165.08,166.23,62255
2009-09-07,169.2,169.2,160.7,167.55,83695
2009-09-08,168.0,172.6,166.42,168.74,103845
2009-09-09,169.0,170.4,166.4,168.07,65230
2009-09-10,172.0,172.0,163.01,164.39,63405
2009-09-11,155.34,166.91,155.34,161.45,66215
2009-09-14,161.45,174.0,159.98,165.25,741320
2009-09-15,165.8,168.0,162.85,166.48,134030
2009-09-16,166.48,168.8,164.2,166.07,222300
2009-09-17,167.0,169.2,165.0,166.06,662770
2009-09-18,166.2,168.8,164.27,165.7,248920
2009-09-22,167.19,167.9,164.8,166.05,173350
2009-09-23,165.8,166.94,161.32,162.47,36645
2009-09-24,160.0,166.8,152.05,164.22,44180
2009-09-25,162.2,167.99,162.2,167.06,98415
2009-09-29,167.0,171.99,162.0,167.39,762445
2009-09-30,168.6,171.0,166.14,170.08,130685
2009-10-01,169.6,172.98,168.01,169.97,347400
2009-10-05,166.2,169.58,166.2,168.26,53165
2009-10-06,168.6,171.2,164.0,165.7,90210
2009-10-07,168.0,170.0,166.04,166.49,63010
2009-10-08,166.68,168.98,165.4,167.23,237260
2009-10-09,165.0,168.3,164.22,166.7,30680
2009-10-12,168.55,174.64,168.0,170.92,169070
2009-10-14,174.8,174.8,167.0,172.76,479000
2009-10-15,174.0,175.8,171.0,173.72,142145
2009-10-16,174.76,183.2,174.6,180.99,270380
2009-10-17,184.0,204.0,183.96,200.32,420870
2009-10-20,201.0,208.8,191.24,192.68,351175
2009-10-21,190.88,197.6,189.2,192.76,147890
2009-10-22,193.8,197.4,184.93,186.39,100230
2009-10-23,191.68,192.87,184.26,185.38,94555
2009-10-26,187.74,187.74,182.46,184.46,165100
2009-10-27,185.0,191.4,182.05,184.71,197705
2009-10-28,184.0,191.19,184.0,189.19,637580
2009-10-29,185.0,191.0,185.0,187.43,91465
2009-10-30,191.8,191.8,184.01,187.95,567125
2009-11-03,186.02,193.76,186.0,190.86,505665
2009-11-04,193.99,193.99,184.03,184.78,44730
2009-11-05,186.96,187.0,182.04,183.4,19000
2009-11-06,185.1,187.96,182.0,182.59,31610
2009-11-09,183.8,185.8,181.6,183.06,34755
2009-11-10,185.1,194.8,184.8,185.54,25465
2009-11-11,182.11,186.4,181.0,182.26,82775
2009-11-12,182.0,185.4,181.82,183.77,39255
2009-11-13,182.51,184.98,176.24,178.45,182995
2009-11-16,183.98,187.93,178.81,186.99,176190
2009-11-17,188.0,190.0,185.0,187.95,150345
2009-11-18,187.59,189.8,186.5,187.67,47070
2009-11-19,184.62,187.6,180.6,182.92,31295
2009-11-20,182.4,186.2,181.03,183.12,11305
2009-11-23,186.0,187.0,183.52,184.41,15105
2009-11-24,186.36,186.36,182.86,183.56,10410
2009-11-25,183.4,185.57,181.21,182.09,19155
2009-11-26,183.0,185.0,178.64,180.89,34145
2009-11-27,179.0,179.01,174.0,177.5,30590
2009-11-30,178.0,181.6,178.0,179.98,24635
2009-12-01,183.0,185.0,179.0,183.51,136445
2009-12-02,186.99,198.8,183.6,195.23,594950
2009-12-03,195.4,198.8,188.0,191.54,95595
2009-12-04,190.6,192.6,187.0,187.79,25490
2009-12-07,188.4,199.0,187.21,194.49,612580
2009-12-08,192.8,205.8,192.8,204.81,418155
2009-12-09,205.6,205.6,197.4,203.6,214695
2009-12-10,201.62,208.59,201.62,206.54,210565
2009-12-11,208.0,211.8,206.01,207.95,395645
2009-12-14,208.02,211.6,207.0,208.49,60620
2009-12-15,208.0,208.6,204.0,204.61,45435
2009-12-16,204.0,208.99,203.53,204.12,51350
2009-12-17,205.0,209.0,204.21,206.39,295725
2009-12-18,206.0,215.15,206.0,212.36,365410
2009-12-21,216.0,221.7,214.0,217.83,613395
2009-12-22,219.0,229.37,218.24,225.39,185075
2009-12-23,227.38,227.38,219.0,220.7,329620
2009-12-24,219.0,223.6,212.0,215.51,380565
2009-12-29,211.24,219.39,207.5,210.39,249450
2009-12-30,210.0,217.39,209.8,215.09,304300
2009-12-31,216.0,220.4,215.0,218.36,126465
2010-01-04,218.8,225.8,218.8,223.88,41705
2010-01-05,226.0,229.78,224.99,225.11,212585
2010-01-06,227.99,228.0,224.5,226.96,35250
2010-01-07,225.0,237.8,225.0,233.79,171655
2010-01-08,236.0,243.28,229.8,230.43,280515
2010-01-11,233.0,239.79,230.78,233.09,48880
2010-01-12,222.2,240.8,222.2,235.27,436410
2010-01-13,237.37,238.0,229.67,236.36,87630
2010-01-14,237.0,243.72,236.88,239.06,119450
2010-01-15,240.0,244.4,238.8,239.04,73625
2010-01-18,232.52,246.6,232.52,239.8,140755
2010-01-19,240.0,242.8,239.05,241.28,107685
2010-01-20,244.4,247.76,241.0,244.81,209110
2010-01-21,247.0,247.38,239.0,239.49,104160
2010-01-22,230.92,239.39,224.0,235.24,42970
2010-01-25,232.0,246.0,227.21,231.89,36950
2010-01-27,232.0,234.41,218.2,219.9,61530
2010-01-28,219.0,227.0,203.2,206.67,75990
2010-01-29,200.22,211.96,198.2,208.53,46755
2010-02-01,208.0,235.2,208.0,230.82,165380
2010-02-02,238.0,238.0,222.8,226.34,53905
2010-02-03,226.8,233.0,226.0,228.52,30205
2010-02-04,232.0,232.0,220.4,225.41,21255
2010-02-05,221.58,223.0,210.0,214.36,57630
2010-02-06,226.8,226.8,216.2,217.37,3430
2010-02-08,218.6,220.0,211.0,211.58,37460
2010-02-09,212.0,217.6,208.44,212.3,33155
2010-02-10,214.0,219.77,210.73,214.86,26500
2010-02-11,220.0,220.0,214.07,215.57,8585
2010-02-15,219.78,219.78,212.5,215.86,19920
2010-02-16,212.63,216.56,212.63,213.64,12715
2010-02-17,217.0,219.8,215.4,217.24,19010
2010-02-18,214.02,216.84,211.4,213.9,54615
2010-02-19,211.67,215.8,210.0,211.1,94305
2010-02-22,213.99,216.8,205.26,208.55,47160
2010-02-23,210.2,214.0,205.6,207.97,11795
2010-02-24,205.8,210.8,202.02,208.41,460200
2010-02-25,208.07,209.77,205.2,205.81,44920
2010-02-26,204.05,207.2,199.0,199.4,567755
2010-03-02,209.98,223.8,198.22,214.05,719160
2010-03-03,215.98,216.0,208.0,211.43,223280
2010-03-04,211.43,213.0,209.23,210.3,24830
2010-03-05,214.98,215.0,209.6,211.42,23285
2010-03-08,213.8,215.0,211.4,212.88,25265
2010-03-09,215.8,216.0,209.23,210.05,80520
2010-03-10,210.05,212.39,210.0,210.34,22310
2010-03-11,212.79,212.79,207.0,208.96,18375
2010-03-12,208.02,208.82,205.4,206.24,78530
2010-03-15,208.0,209.2,200.2,205.02,82575
2010-03-16,206.0,206.76,202.0,203.94,56930
2010-03-17,207.0,207.99,199.4,200.76,92855
2010-03-18,204.0,209.76,202.8,204.34,89385
2010-03-19,207.4,208.6,206.0,207.11,49010
2010-03-22,201.8,206.99,201.03,202.53,35245
2010-03-23,206.8,207.0,203.01,203.46,20700
2010-03-25,205.8,207.0,203.21,204.87,39135
2010-03-26,207.0,211.2,203.9,209.44,60855
2010-03-29,212.94,212.94,205.0,205.69,43220
2010-03-30,204.2,209.0,202.63,206.66,47635
2010-03-31,209.7,213.0,206.0,207.04,54230
2010-04-01,209.0,210.0,206.0,206.27,120950
2010-04-05,208.8,212.8,207.16,208.41,162690
2010-04-06,209.6,219.18,208.04,211.63,295430
2010-04-07,215.6,217.76,212.4,214.28,93235
2010-04-08,215.8,216.99,212.6,214.45,157885
2010-04-09,214.4,217.6,213.0,213.18,55195
2010-04-12,216.58,216.58,208.8,209.66,22420
2010-04-13,210.6,215.6,207.21,209.21,53960
2010-04-15,210.78,213.2,207.01,210.59,161855
2010-04-16,212.58,213.4,208.36,210.45,90750
2010-04-19,219.56,219.56,204.0,210.09,48335
2010-04-20,208.2,213.4,207.8,213.12,152095
2010-04-21,213.6,214.98,213.45,214.32,193825
2010-04-22,210.4,224.97,208.52,220.04,303970
2010-04-23,220.99,221.0,214.0,215.77,223865
2010-04-26,218.36,219.8,214.0,215.25,165830
2010-04-27,215.25,217.96,214.0,216.68,128345
2010-04-28,215.0,216.03,208.7,214.9,258200
2010-04-29,215.4,219.76,214.7,217.64,110665
2010-04-30,219.78,221.0,217.6,219.03,135185
2010-05-03,218.99,219.0,213.98,215.59,111810
2010-05-04,216.0,217.8,209.41,214.62,36700
2010-05-05,212.0,215.0,206.24,213.7,115525
2010-05-06,212.76,215.0,211.4,212.58,22055
2010-05-07,210.0,212.0,208.0,209.85,80885
2010-05-10,210.78,214.38,210.78,211.95,20825
2010-05-11,213.98,213.98,210.0,211.42,12780
2010-05-12,211.4,212.8,208.2,211.12,20595
2010-05-13,213.8,214.2,211.42,212.12,55735
2010-05-14,210.2,212.4,208.2,209.48,70695
2010-05-17,209.48,214.8,203.02,211.54,116870
2010-05-18,211.68,215.0,211.2,214.09,24415
2010-05-19,212.0,213.75,207.05,208.8,20050
2010-05-20,203.6,210.76,203.6,206.81,32375
2010-05-21,196.54,207.36,188.23,205.94,39425
2010-05-24,210.0,210.0,205.2,207.69,135670
2010-05-25,206.2,208.62,192.8,202.91,87135
2010-05-26,203.94,205.02,198.02,200.29,370000
2010-05-27,201.78,203.58,199.0,199.98,35495
2010-05-28,203.4,205.0,200.2,201.9,67905
2010-05-31,203.58,210.0,203.01,204.07,44150
2010-06-01,203.6,204.75,200.2,200.94,11520
2010-06-02,200.7,201.42,187.28,196.14,96370
2010-06-03,199.0,203.78,198.0,200.97,40510
2010-06-04,202.0,202.68,200.22,200.88,19950
2010-06-07,198.0,202.63,198.0,201.8,32400
2010-06-08,202.5,205.38,201.02,202.86,20390
2010-06-09,201.8,207.0,200.2,201.69,45385
2010-06-10,201.6,203.58,201.01,201.56,8840
2010-06-11,201.8,206.0,201.78,204.0,228775
2010-06-14,204.0,206.6,201.86,204.23,151950
2010-06-15,205.2,209.8,203.02,208.98,28635
2010-06-16,208.96,208.96,205.0,207.28,30210
2010-06-17,210.0,210.0,205.6,206.51,22665
2010-06-18,207.45,207.72,205.0,206.55,146090
2010-06-21,207.36,207.36,204.0,204.45,144875
2010-06-22,205.38,206.75,203.0,203.22,14840
2010-06-23,203.58,205.98,202.04,205.01,206770
2010-06-24,203.0,205.0,202.32,204.87,23825
2010-06-25,204.99,206.8,202.8,205.09,14160
2010-06-28,205.0,207.0,203.0,204.33,38000
2010-06-29,205.38,208.96,203.21,206.73,80495
2010-06-30,204.24,214.96,204.24,211.81,89235
2010-07-01,210.8,215.98,208.52,209.23,23530
2010-07-02,209.7,211.31,208.41,209.99,16800
