date,open,high,low,close,volume
2009-03-05,2.18,2.27,2.1,2.17,7330
2009-03-06,2.0,2.27,1.9,2.08,10880
2009-03-09,2.1,2.29,2.08,2.25,18160
2009-03-12,2.3,2.3,2.1,2.26,4030
2009-03-13,2.27,2.47,2.27,2.4,21170
2009-03-16,2.37,2.37,2.22,2.25,21300
2009-03-17,2.25,2.3,2.25,2.28,33620
2009-03-18,2.3,2.3,2.2,2.26,194720
2009-03-19,2.2,2.3,2.17,2.2,66630
2009-03-20,2.22,2.3,2.22,2.3,8870
2009-03-23,2.3,2.59,2.2,2.33,13760
2009-03-24,2.32,2.32,2.22,2.22,50100
2009-03-25,2.25,2.3,2.05,2.11,70350
2009-03-26,2.2,2.29,2.11,2.25,227960
2009-03-27,2.15,2.29,2.05,2.11,77760
2009-03-30,2.11,2.14,2.05,2.07,96490
2009-03-31,2.1,2.19,2.05,2.07,60130
2009-04-01,2.1,2.15,2.07,2.1,98260
2009-04-02,2.16,2.26,2.1,2.2,242650
2009-04-06,2.33,2.41,2.28,2.4,104860
2009-04-08,2.4,2.8,2.3,2.65,156480
2009-04-09,2.68,2.8,2.45,2.71,43170
2009-04-13,2.73,2.9,2.59,2.81,108980
2009-04-15,2.89,3.38,2.8,3.24,94130
2009-04-16,3.13,3.2,3.03,3.04,143820
2009-04-17,3.01,3.15,2.95,2.96,27300
2009-04-20,3.0,3.2,2.9,2.95,33530
2009-04-21,2.81,3.09,2.81,2.99,17900
2009-04-22,3.1,3.2,2.86,2.9,67440
2009-04-23,2.81,3.05,2.81,2.96,10520
2009-04-24,2.95,3.13,2.9,3.03,12590
2009-04-27,3.0,3.33,3.0,3.33,78530
2009-04-28,3.33,3.66,3.13,3.23,54060
2009-04-29,3.3,3.3,3.1,3.2,12210
2009-05-04,3.2,3.4,3.2,3.32,29340
2009-05-05,3.4,3.55,3.15,3.42,42410
2009-05-06,3.4,3.68,3.4,3.42,14340
2009-05-07,3.33,3.77,3.33,3.75,47170
2009-05-08,3.77,3.93,3.7,3.73,26100
2009-05-11,3.8,3.89,3.6,3.84,17930
2009-05-12,3.6,4.18,3.6,4.14,55110
2009-05-13,4.0,4.08,3.9,3.96,22520
