date,open,high,low,close,volume
2009-03-05,20.0,20.5,19.65,20.0,46790
2009-03-06,21.0,23.9,20.0,20.95,15200
2009-03-09,21.0,21.45,20.7,20.9,6620
2009-03-12,21.1,21.4,19.6,21.2,15230
2009-03-13,20.9,21.5,20.05,21.15,26780
2009-03-16,21.9,22.5,21.5,21.9,27970
2009-03-17,21.8,22.5,21.7,22.3,12270
2009-03-18,26.0,26.0,22.5,23.45,49420
2009-03-19,24.05,24.05,22.85,23.7,18030
2009-03-20,23.3,24.0,23.3,23.9,15810
2009-03-23,24.5,24.5,22.5,24.05,10480
2009-03-24,23.2,24.8,23.2,24.5,8830
2009-03-25,24.5,24.95,23.65,24.1,14430
2009-03-26,25.0,25.0,23.85,24.15,5130
2009-03-27,24.0,25.6,23.85,25.4,16810
2009-03-30,25.0,26.2,24.4,25.9,7150
2009-03-31,25.8,27.45,25.1,27.0,12510
2009-04-01,27.0,27.0,25.6,26.0,86890
2009-04-02,27.7,27.9,25.0,25.35,14910
2009-04-06,25.6,26.7,25.55,25.85,8060
2009-04-08,27.2,27.2,24.5,25.65,4070
2009-04-09,26.0,26.0,25.55,25.7,4610
2009-04-13,27.3,27.3,25.0,26.25,10300
2009-04-15,23.8,30.0,23.8,27.85,282010
2009-04-16,28.0,28.0,27.0,27.55,41690
2009-04-17,28.95,28.95,26.3,26.95,32990
2009-04-20,27.0,27.0,24.5,25.4,93410
2009-04-21,24.5,24.8,23.7,24.3,124940
2009-04-22,24.8,25.3,23.8,24.5,21270
2009-04-23,24.8,26.1,23.65,25.35,85780
2009-04-24,25.1,25.85,24.45,24.75,87560
2009-04-27,24.7,24.7,24.1,24.3,11240
2009-04-28,24.3,24.4,23.05,23.5,9300
2009-04-29,23.1,24.35,23.0,23.45,10950
2009-05-04,24.0,25.0,23.3,24.65,45700
2009-05-05,25.0,25.0,23.9,24.0,12420
2009-05-06,24.1,24.8,24.0,24.15,6370
2009-05-07,24.15,24.5,24.1,24.25,6310
2009-05-08,24.2,24.5,24.2,24.2,25610
2009-05-11,24.3,24.5,23.6,23.8,10020
2009-05-12,24.5,24.5,23.75,24.15,12840
2009-05-13,24.1,24.3,23.6,24.15,9250
2009-05-14,23.7,25.0,23.7,24.95,29380
2009-05-15,25.1,25.1,24.05,24.3,11060
2009-05-18,26.3,26.3,26.3,26.3,500
2009-05-19,24.2,28.3,24.2,27.25,61240
2009-05-20,27.8,31.4,27.5,30.5,101780
2009-05-21,31.4,35.0,30.1,32.9,230680
2009-05-22,32.9,34.5,32.05,33.8,138090
2009-05-25,34.4,34.6,33.05,34.4,30120
2009-05-26,34.0,35.9,34.0,35.0,123990
2009-05-27,35.9,38.5,35.9,38.15,79280
2009-05-28,38.5,40.5,38.5,39.4,95150
2009-05-29,40.0,43.35,39.1,42.85,124520
2009-06-01,44.05,46.9,40.4,40.6,91330
2009-06-02,41.0,42.0,38.0,40.1,48880
2009-06-03,40.3,41.0,38.85,40.45,32320
2009-06-04,41.0,42.6,40.05,41.75,56700
2009-06-05,41.0,43.0,41.0,42.45,22250
2009-06-08,40.6,42.0,39.1,39.4,10690
2009-06-09,39.2,40.3,37.65,39.65,12990
2009-06-10,39.6,39.7,38.0,38.35,37800
2009-06-11,39.0,39.1,37.5,38.5,5440
2009-06-12,38.5,38.95,36.8,38.3,9840
2009-06-15,38.2,39.0,36.55,38.15,36990
2009-06-16,37.3,39.8,37.3,39.35,11930
2009-06-17,38.7,39.0,37.8,38.1,14960
2009-06-18,39.4,39.4,34.9,36.7,91990
2009-06-19,37.05,38.45,36.0,37.0,21720
2009-06-22,37.4,38.2,37.2,38.0,2760
2009-06-23,37.1,37.5,36.1,37.05,2760
2009-06-24,36.95,38.5,36.9,37.6,6290
2009-06-25,37.5,37.9,36.5,36.9,3690
2009-06-26,38.0,38.0,36.1,36.35,13410
2009-06-29,36.1,37.75,35.1,35.3,81510
2009-06-30,36.6,37.8,35.6,36.5,14830
2009-07-01,36.8,37.0,36.05,36.35,6350
2009-07-02,36.0,36.95,36.0,36.6,4810
2009-07-03,35.9,37.5,35.9,36.6,8800
2009-07-06,36.8,37.6,36.6,36.6,13440
2009-07-07,36.7,36.7,35.6,36.15,6680
2009-07-08,34.1,37.5,34.1,35.8,4950
2009-07-09,35.6,37.0,34.95,36.65,9860
2009-07-10,37.5,37.5,35.75,36.1,3560
2009-07-13,37.1,37.1,34.8,35.55,2110
2009-07-14,36.3,37.1,35.8,36.55,7840
2009-07-15,37.8,39.5,36.4,36.85,8580
2009-07-16,37.0,37.5,36.4,37.0,11830
2009-07-17,36.4,36.5,35.8,36.45,12720
2009-07-20,36.2,38.0,36.15,37.25,541990
2009-07-21,38.4,38.5,37.6,37.65,13040
2009-07-22,37.3,38.5,37.3,37.5,509370
2009-07-23,38.8,38.8,37.1,37.5,2900
2009-07-24,37.5,38.0,37.2,37.25,21370
2009-07-27,37.5,38.9,36.6,37.15,194910
2009-07-28,37.5,38.8,37.2,38.5,12680
2009-07-29,38.1,38.7,37.0,37.2,179600
2009-07-30,37.25,39.7,37.25,38.5,192500
2009-07-31,39.3,39.6,38.1,38.5,101180
2009-08-03,39.3,40.9,38.0,40.1,111570
2009-08-04,40.0,40.95,39.2,40.2,42600
2009-08-05,40.0,40.5,39.5,39.65,3770
2009-08-06,40.0,41.5,39.0,40.3,565060
2009-08-07,40.6,41.2,39.0,39.3,84900
2009-08-10,39.5,40.1,37.0,37.95,20480
2009-08-11,37.8,38.35,37.2,38.25,13960
2009-08-12,36.7,38.0,36.7,37.05,12960
2009-08-13,37.0,40.3,37.0,39.05,159070
2009-08-14,38.25,39.5,38.05,38.55,10810
2009-08-17,38.2,38.6,37.7,38.4,12170
2009-08-18,39.5,39.5,38.2,38.65,3350
2009-08-19,38.2,38.6,38.0,38.05,15570
2009-08-20,37.85,38.3,37.6,37.75,2830
2009-08-21,37.7,38.35,37.65,37.65,1580
2009-08-24,37.7,39.5,37.5,38.4,15720
2009-08-25,38.3,38.6,38.05,38.5,13940
2009-08-26,39.35,42.95,38.6,42.35,586480
2009-08-27,42.95,43.6,41.8,42.15,177200
2009-08-28,42.5,44.45,40.0,43.35,118150
2009-08-31,41.8,43.5,41.8,42.4,23490
2009-09-01,43.5,43.5,40.5,41.55,29310
2009-09-02,40.2,41.5,39.65,40.25,32370
2009-09-03,39.1,41.0,39.1,39.6,28120
2009-09-04,39.2,41.0,39.2,40.05,17790
2009-09-07,40.05,41.7,40.05,40.4,18240
2009-09-08,40.2,40.8,39.0,39.2,36210
2009-09-09,39.0,39.7,39.0,39.55,21100
2009-09-10,40.2,40.2,38.8,38.95,43760
2009-09-11,38.6,39.2,38.5,39.0,20840
