date,open,high,low,close,volume
2009-03-05,38.9,39.56,36.4,36.91,6729860
2009-03-06,36.05,37.74,35.61,37.04,3007645
2009-03-09,37.38,38.36,36.8,37.67,2552675
2009-03-12,38.02,39.0,38.02,38.25,1348930
2009-03-13,38.81,40.9,38.81,40.72,3292575
2009-03-16,41.02,41.98,40.45,41.34,1969865
2009-03-17,41.6,42.2,39.42,40.16,3087015
2009-03-18,40.2,41.98,40.2,40.61,1975875
2009-03-19,40.4,41.58,40.01,40.88,1273220
2009-03-20,40.3,41.4,39.9,40.97,1555420
2009-03-23,40.8,44.58,40.8,44.31,3731075
2009-03-24,44.7,46.36,44.7,45.48,4297320
2009-03-25,45.0,46.34,44.3,45.86,1944475
2009-03-26,46.4,48.7,46.23,47.2,2862235
2009-03-27,47.43,47.74,45.46,45.96,1765085
2009-03-30,45.2,45.58,43.15,43.43,1962215
2009-03-31,43.88,45.38,43.02,44.88,1386815
2009-04-01,45.0,46.96,45.0,46.3,1761650
2009-04-02,47.0,48.6,47.0,47.36,2090290
2009-04-06,47.6,50.39,47.6,49.92,2692050
2009-04-08,48.8,50.72,47.01,50.13,3352685
2009-04-09,50.2,58.48,50.02,56.5,7864130
2009-04-13,57.6,59.75,57.0,57.75,4032270
2009-04-15,56.8,57.6,54.4,56.84,3056035
2009-04-16,58.0,60.22,53.0,54.42,4207140
2009-04-17,53.8,58.0,53.07,55.67,3458895
2009-04-20,56.4,58.36,55.02,57.18,2795465
2009-04-21,56.56,57.4,55.02,55.45,2258800
2009-04-22,55.4,60.54,55.4,60.02,9004420
2009-04-23,61.0,64.0,59.01,63.56,13287030
2009-04-24,64.0,69.96,63.65,68.99,10536550
2009-04-27,67.0,69.94,66.22,68.48,6580785
2009-04-28,68.42,71.8,64.2,65.46,8980635
2009-04-29,66.0,74.6,65.8,73.12,12864975
2009-05-04,74.31,75.8,71.68,72.41,6030450
2009-05-05,73.0,75.54,73.0,74.71,5505270
2009-05-06,66.47,78.77,66.47,75.84,7572240
2009-05-07,79.64,79.64,74.32,75.16,5491790
2009-05-08,78.8,78.8,74.0,74.92,2549695
2009-05-11,75.2,77.33,73.2,75.68,3105770
2009-05-12,75.6,81.34,73.63,79.95,5441960
2009-05-13,80.06,81.98,76.2,77.28,4835395
2009-05-14,75.8,76.77,74.2,75.34,4820135
2009-05-15,78.0,78.0,73.04,73.73,3541240
2009-05-18,78.88,83.2,77.0,81.21,9880
2009-05-19,84.21,89.6,76.02,86.17,7805855
2009-05-20,82.0,90.66,74.06,88.87,5764475
2009-05-21,88.8,90.54,85.05,87.09,2573850
2009-05-22,86.8,90.26,83.3,83.93,5676640
2009-05-25,84.8,87.1,83.93,85.79,1908515
2009-05-26,86.1,90.96,85.04,89.54,5163760
2009-05-27,91.0,96.84,90.7,95.96,11402915
2009-05-28,93.27,104.4,93.27,101.96,12290775
2009-05-29,103.57,107.98,102.6,105.5,8527805
2009-06-01,106.0,109.94,104.62,105.99,6303885
2009-06-02,106.01,107.0,101.01,105.87,6307675
2009-06-03,105.4,107.2,102.8,104.73,4565105
2009-06-04,104.0,109.49,103.0,108.43,5153295
2009-06-05,108.4,111.36,107.0,108.19,4626840
2009-06-08,108.5,111.58,102.43,104.42,5777700
2009-06-09,103.4,108.56,97.82,106.69,7325235
2009-06-10,106.0,121.58,106.0,117.63,11582190
2009-06-11,120.2,123.34,115.01,119.26,12192495
2009-06-12,120.0,120.6,112.61,113.98,4205990
2009-06-15,113.96,117.0,109.4,110.71,5117080
2009-06-16,109.8,124.2,108.66,121.7,9082570
2009-06-17,120.0,123.2,112.8,114.48,7700170
2009-06-18,114.63,120.8,111.02,115.18,8969645
2009-06-19,115.6,118.98,111.11,116.05,5170655
2009-06-22,117.8,117.94,112.64,113.44,3097810
2009-06-23,111.0,121.4,108.22,119.7,10440895
2009-06-24,120.8,130.0,118.42,127.39,22837264
2009-06-25,128.56,130.0,124.44,126.06,14295045
2009-06-26,125.8,129.33,125.02,127.1,5358875
2009-06-29,128.98,131.34,124.98,127.76,8893175
2009-06-30,128.0,129.8,122.3,123.66,7794220
2009-07-01,124.0,127.26,121.7,126.08,4840980
2009-07-02,127.58,127.8,123.64,125.7,3336830
2009-07-03,125.8,132.2,123.65,130.74,9020015
2009-07-06,132.0,136.38,116.84,119.09,12550480
2009-07-07,117.76,124.54,117.01,122.65,9464460
2009-07-08,121.8,122.0,116.34,118.28,6815305
2009-07-09,120.0,122.16,117.6,120.4,5618090
2009-07-10,120.4,121.2,115.04,117.21,4058955
2009-07-13,113.6,116.4,112.13,114.93,4052370
2009-07-14,116.96,121.56,116.6,120.91,4059470
2009-07-15,122.0,126.78,121.11,125.63,4974215
2009-07-16,128.37,129.3,121.0,121.99,4391265
2009-07-17,123.34,125.6,122.64,124.46,3270615
2009-07-20,125.4,130.8,125.03,128.83,4971570
2009-07-21,130.33,131.36,125.0,126.62,7245765
2009-07-22,128.51,129.8,117.6,118.45,12819350
2009-07-23,119.6,120.8,115.02,118.06,10459610
2009-07-24,119.0,120.6,115.3,116.8,5296475
2009-07-27,116.22,119.9,114.02,117.88,4579145
2009-07-28,118.4,123.4,103.77,122.04,8933010
2009-07-29,121.0,122.6,116.62,120.44,4252590
2009-07-30,120.8,121.6,118.04,120.46,4130450
2009-07-31,122.08,125.4,121.28,123.15,5530015
2009-08-03,123.4,126.74,123.0,126.16,3988605
2009-08-04,127.0,127.36,122.0,122.87,2369535
2009-08-05,122.82,129.76,121.64,128.73,5966615
2009-08-06,128.48,129.76,122.2,123.71,5406065
2009-08-07,123.0,127.3,121.34,124.86,8627845
2009-08-10,127.18,127.6,118.01,120.45,2945530
2009-08-11,120.45,122.22,118.0,119.07,4430065
2009-08-12,118.0,119.4,116.0,117.15,4029250
