date,open,high,low,close,volume
2009-03-05,2.82,2.9,2.82,2.85,345430
2009-03-06,2.85,2.85,2.8,2.85,10410
2009-03-09,2.78,2.8,2.72,2.72,189170
2009-03-12,2.69,2.79,2.69,2.74,67270
2009-03-13,2.55,2.85,2.55,2.75,24530
2009-03-16,2.67,2.8,2.67,2.75,121570
2009-03-17,2.74,2.84,2.7,2.71,232030
2009-03-18,2.95,2.95,2.75,2.8,211370
2009-03-19,2.82,2.92,2.71,2.83,306380
2009-03-20,2.81,2.88,2.81,2.85,232900
2009-03-23,2.85,2.88,2.78,2.84,182620
2009-03-24,2.76,2.88,2.76,2.84,300430
2009-03-25,2.81,2.88,2.8,2.87,73950
2009-03-26,2.85,2.9,2.85,2.88,129270
2009-03-27,2.95,3.16,2.82,3.05,464660
2009-03-30,2.98,3.0,2.85,2.87,706570
2009-03-31,2.95,2.99,2.81,2.89,196760
2009-04-01,2.88,2.96,2.85,2.91,46140
2009-04-02,2.95,3.3,2.93,3.03,506350
2009-04-06,2.96,3.13,2.96,3.11,323620
2009-04-08,2.96,3.25,2.96,3.19,155200
2009-04-09,3.28,3.28,3.0,3.04,343820
2009-04-13,3.15,3.17,3.08,3.15,277010
2009-04-15,3.16,3.45,3.16,3.32,802540
2009-04-16,3.4,3.43,2.94,3.04,408650
2009-04-17,2.95,3.19,2.91,3.07,748560
2009-04-20,3.09,3.14,3.06,3.1,389310
2009-04-21,3.13,3.32,3.04,3.09,4742890
2009-04-22,3.18,3.18,3.03,3.12,1055950
2009-04-23,3.08,3.39,3.07,3.25,2791630
2009-04-24,3.36,3.38,3.14,3.25,1544610
2009-04-27,3.37,3.37,3.11,3.15,267610
2009-04-28,3.13,3.16,3.05,3.07,219420
2009-04-29,3.06,3.13,3.06,3.11,106580
2009-05-04,3.2,3.33,3.11,3.15,306500
2009-05-05,3.15,3.2,3.11,3.15,210680
2009-05-06,3.12,3.25,3.12,3.18,578700
2009-05-07,3.3,3.35,3.23,3.28,484400
2009-05-08,3.23,3.33,3.2,3.23,326910
2009-05-11,3.23,3.27,3.2,3.23,288280
2009-05-12,3.13,3.25,3.13,3.23,42890
2009-05-13,3.22,3.27,3.2,3.24,153320
2009-05-14,3.17,3.28,3.16,3.25,82880
2009-05-15,3.25,3.28,3.17,3.2,74660
2009-05-19,3.35,3.5,3.21,3.33,509140
2009-05-20,3.2,3.9,3.2,3.8,552700
2009-05-21,3.96,4.15,3.76,3.83,813290
2009-05-22,3.92,3.96,3.7,3.75,335910
2009-05-25,3.9,4.35,3.9,4.1,640150
2009-05-26,4.1,4.2,3.75,3.83,402420
2009-05-27,4.0,4.0,3.87,3.92,192160
2009-05-28,3.98,4.03,3.75,3.82,192310
2009-05-29,3.95,4.1,3.86,3.88,691620
2009-06-01,3.97,4.67,3.92,4.67,2919060
2009-06-02,4.84,4.88,4.37,4.58,2721470
2009-06-03,4.7,4.8,4.56,4.63,853730
2009-06-04,4.66,4.71,4.3,4.62,434750
2009-06-05,4.7,4.91,4.52,4.62,1113330
2009-06-08,4.51,4.63,4.05,4.13,458960
2009-06-09,4.0,4.39,3.95,4.27,721410
2009-06-10,4.39,4.39,4.15,4.21,182590
2009-06-11,4.2,4.25,4.07,4.09,131880
2009-06-12,4.18,4.22,3.96,4.0,243100
2009-06-15,3.9,4.05,3.87,3.99,173980
2009-06-16,4.0,4.52,3.93,4.47,1163670
2009-06-17,4.5,4.72,4.28,4.33,908370
2009-06-18,4.38,4.4,3.92,4.0,445840
2009-06-19,4.19,4.2,4.0,4.14,212460
2009-06-22,4.15,4.15,4.01,4.03,140330
2009-06-23,3.95,4.03,3.9,3.95,145250
2009-06-24,4.0,4.3,3.97,4.16,275770
2009-06-25,4.22,4.3,4.13,4.17,158760
2009-06-26,4.13,4.2,4.05,4.12,110710
2009-06-29,4.07,4.22,4.07,4.14,140450
2009-06-30,4.15,4.19,4.0,4.02,99520
2009-07-01,3.95,4.26,3.95,4.01,613240
2009-07-02,4.03,4.09,4.0,4.05,124770
2009-07-03,4.0,4.06,3.92,3.95,187930
2009-07-06,4.06,4.1,3.62,3.71,199970
2009-07-07,3.78,3.8,3.65,3.71,81790
2009-07-08,3.67,3.69,3.55,3.6,77920
2009-07-09,3.6,3.85,3.55,3.68,216200
2009-07-10,3.66,3.7,3.53,3.53,176500
2009-07-13,3.52,3.55,3.42,3.5,73790
2009-07-14,3.46,3.64,3.46,3.61,81600
2009-07-15,3.65,3.75,3.62,3.73,115640
2009-07-16,3.83,3.83,3.65,3.67,114450
2009-07-17,3.7,3.8,3.68,3.73,32830
2009-07-20,3.75,3.88,3.73,3.82,143670
2009-07-21,3.7,3.93,3.7,3.87,181580
2009-07-22,3.9,3.99,3.83,3.85,109080
2009-07-23,3.9,4.15,3.83,4.05,776250
2009-07-24,3.97,4.13,3.96,4.01,96640
2009-07-27,4.0,4.15,3.92,4.12,274440
2009-07-28,4.15,4.35,4.11,4.2,335230
2009-07-29,4.4,4.4,4.16,4.2,546850
2009-07-30,4.3,4.39,4.2,4.28,224790
2009-07-31,4.48,4.9,4.48,4.6,1611420
2009-08-03,4.7,4.77,4.55,4.66,467900
2009-08-04,4.7,4.74,4.59,4.65,264520
2009-08-05,4.64,4.7,4.5,4.63,268300
2009-08-06,4.58,4.9,4.27,4.55,760740
2009-08-07,4.34,4.68,4.34,4.38,291110
2009-08-10,4.41,4.7,4.34,4.46,574190
2009-08-11,4.4,4.65,4.4,4.57,614030
2009-08-12,4.5,5.48,4.5,5.48,7485670
2009-08-13,5.83,6.44,5.72,6.2,13243890
2009-08-14,6.28,6.3,5.71,5.77,4279220
2009-08-17,5.53,5.57,5.2,5.27,1389510
2009-08-18,5.2,5.77,5.13,5.58,3468090
2009-08-19,5.63,6.68,5.51,5.66,1664090
2009-08-20,5.76,5.95,5.52,5.56,1135060
2009-08-21,5.63,5.63,5.3,5.41,610930
2009-08-24,5.31,5.67,5.2,5.6,725730
2009-08-25,5.5,5.95,5.5,5.83,974200
2009-08-26,5.75,6.35,5.75,6.05,4407040
2009-08-27,6.03,6.29,6.0,6.03,1935780
2009-08-28,6.0,6.24,6.0,6.07,1327400
2009-08-31,6.22,6.24,6.0,6.05,840470
2009-09-01,6.1,6.32,5.87,5.97,2557000
2009-09-02,5.8,6.05,5.78,5.83,617240
2009-09-03,5.83,6.22,5.82,6.03,2425210
2009-09-04,6.15,7.24,6.05,7.22,22579920
2009-09-07,7.5,7.57,6.73,6.97,15107710
2009-09-08,7.03,7.03,6.68,6.72,1764680
2009-09-09,6.66,6.78,6.51,6.61,1140510
2009-09-10,6.67,6.72,6.33,6.38,763220
