date,open,high,low,close,volume
2016-07-21,667.0,710.0,666.0,697.6,11824029
2016-07-22,700.0,708.7,696.2,700.0,820402
2016-07-25,701.0,701.0,692.0,693.05,260240
2016-07-26,694.9,701.5,690.0,692.15,312995
2016-07-27,692.1,697.65,687.05,689.9,168708
2016-07-28,691.6,697.0,677.85,679.9,375033
2016-07-29,690.0,700.0,685.0,691.8,726870
2016-08-01,694.85,696.35,682.6,686.9,347573
2016-08-02,685.05,690.0,682.5,683.65,268056
2016-08-03,685.0,688.0,677.7,680.0,116318
2016-08-04,682.05,684.0,679.1,681.05,134769
2016-08-05,681.95,715.0,681.5,697.65,593783
2016-08-08,700.0,708.0,696.3,700.9,347844
2016-08-09,703.2,711.0,696.3,698.3,341932
2016-08-10,699.9,700.95,690.0,690.25,84904
2016-08-11,691.0,697.0,682.5,684.05,96842
2016-08-12,686.65,691.1,683.0,685.2,74615
2016-08-16,685.2,688.0,681.3,681.95,64845
2016-08-17,682.1,691.5,677.2,678.95,90769
2016-08-18,679.8,681.85,674.0,674.95,152898
2016-08-19,675.0,679.9,662.65,664.6,222490
2016-08-22,665.95,667.0,655.0,656.05,132422
2016-08-23,655.1,661.9,644.0,645.95,221090
2016-08-24,646.0,649.45,638.35,639.85,188676
2016-08-25,640.05,664.8,640.05,653.9,283053
2016-08-26,655.05,659.9,646.6,647.8,86564
2016-08-29,644.5,647.45,639.8,640.9,66739
2016-08-30,644.0,659.85,641.5,651.75,141778
2016-08-31,648.55,660.0,648.55,652.9,182760
2016-09-01,654.0,655.0,644.05,645.6,75558
2016-09-02,647.0,652.1,640.05,643.95,90488
2016-09-06,645.95,663.0,645.0,651.55,186480
2016-09-07,653.9,664.0,652.1,655.2,142947
2016-09-08,657.0,657.0,645.0,650.3,112310
2016-09-09,650.3,651.95,640.8,643.05,148925
2016-09-12,638.6,651.0,638.6,639.75,122512
2016-09-14,641.0,648.7,635.0,636.95,135473
2016-09-15,637.0,641.95,635.0,635.65,69618
2016-09-16,637.95,639.95,634.0,635.0,76717
2016-09-19,637.85,648.0,635.0,640.3,96094
2016-09-20,641.9,646.3,637.4,639.0,69882
2016-09-21,641.8,642.0,638.05,639.35,41634
2016-09-22,632.55,646.8,632.55,638.5,102008
2016-09-23,640.0,648.5,637.0,638.55,136350
2016-09-26,638.5,640.0,636.0,638.2,44285
2016-09-27,639.95,640.1,635.0,637.75,40845
