date,open,high,low,close,volume
2016-09-23,920.0,931.45,860.1,869.0,8014800
2016-09-26,860.0,877.75,855.15,870.65,881599
2016-09-27,872.3,874.85,860.0,861.65,166160
2016-09-28,863.0,868.7,859.0,863.5,190573
2016-09-29,863.75,867.5,833.55,845.9,367348
2016-09-30,844.95,854.95,837.5,847.15,95427
2016-10-03,847.5,852.05,840.1,846.65,66731
2016-10-04,844.95,847.5,830.15,833.5,82996
2016-10-05,833.0,836.7,823.75,826.85,56541
2016-10-06,827.5,844.0,827.5,840.6,88139
2016-10-07,842.5,846.6,830.1,832.6,38794
2016-10-10,834.2,854.9,830.2,849.3,77295
2016-10-13,848.95,849.3,841.7,846.3,44221
2016-10-14,846.75,854.8,840.05,851.65,39648
2016-10-17,849.95,855.3,842.55,853.0,27319
2016-10-18,853.9,855.0,850.05,853.45,21776
2016-10-19,855.7,864.95,853.05,855.2,77476
2016-10-20,857.5,862.0,852.5,860.25,52574
2016-10-21,861.95,861.95,850.0,852.65,113473
2016-10-24,854.85,854.85,846.9,850.65,49610
2016-10-25,850.05,852.0,845.0,846.35,111286
2016-10-26,847.5,847.5,840.05,843.6,36760
2016-10-27,840.05,850.0,832.05,838.8,31682
2016-10-28,834.95,835.1,823.0,828.1,51421
2016-10-30,827.5,836.0,827.5,834.3,3902
2016-11-01,830.05,834.65,816.0,821.2,69602
2016-11-02,819.5,819.95,801.0,808.15,125959
2016-11-03,808.2,812.05,782.5,789.2,219258
2016-11-04,789.0,794.85,761.55,766.4,71958
2016-11-07,765.0,780.65,763.05,772.55,56201
2016-11-08,770.0,785.0,770.0,784.05,34352
2016-11-09,760.0,785.0,751.0,784.35,88918
2016-11-10,787.5,807.9,786.0,789.8,33017
2016-11-11,792.0,794.95,771.0,784.5,102981
2016-11-15,784.0,784.0,751.0,753.0,41828
2016-11-16,760.0,766.95,750.0,755.2,89026
2016-11-17,764.9,768.25,754.5,755.25,34335
2016-11-18,755.2,824.45,755.2,815.8,98898
2016-11-21,810.0,813.0,770.0,791.8,24715
2016-11-22,806.0,816.5,780.05,813.0,20675
2016-11-23,819.2,820.95,805.0,811.7,63635
2016-11-24,809.4,833.0,799.8,830.1,34354
2016-11-25,820.0,855.0,820.0,850.4,55400
2016-11-28,853.0,854.9,842.45,847.85,22496
2016-11-29,854.95,857.5,848.15,854.0,98194
2016-11-30,853.3,867.0,845.05,860.6,27306
2016-12-01,860.0,861.95,844.0,859.15,125086
2016-12-02,859.5,859.5,841.0,845.15,37092
2016-12-05,856.0,856.0,843.95,849.55,17350
2016-12-06,847.5,852.5,840.05,845.8,113804
2016-12-07,839.1,851.45,839.1,847.95,12658
2016-12-08,850.0,852.15,840.05,844.6,21888
2016-12-09,842.0,851.2,840.05,849.7,47462
2016-12-12,850.0,850.0,835.0,836.35,15969
2016-12-13,839.05,839.85,781.0,798.05,280525
2016-12-14,798.0,802.0,781.55,790.2,22506
2016-12-15,797.9,804.0,788.05,796.4,12368
2016-12-16,796.1,804.95,793.95,800.4,17562
2016-12-19,800.0,814.95,785.35,794.75,15898
2016-12-20,805.55,805.55,785.35,790.15,11880
2016-12-21,792.25,800.0,784.0,786.55,10013
2016-12-22,799.7,799.95,782.0,788.75,13786
2016-12-23,792.2,796.0,782.3,794.15,16413
2016-12-26,790.0,795.55,774.2,779.75,37566
2016-12-27,785.0,790.0,773.0,782.15,23154
2016-12-28,785.0,788.3,777.9,782.25,12119
2016-12-29,788.0,792.9,779.0,784.65,14413
2016-12-30,787.0,800.0,779.95,787.9,13003
