date,open,high,low,close,volume
2009-03-05,126.0,126.39,116.4,118.26,1922375
2009-03-06,117.6,118.2,113.0,117.39,227795
2009-03-09,114.73,120.19,114.73,118.71,311505
2009-03-12,118.8,121.18,117.01,118.54,279170
2009-03-13,119.76,120.6,116.0,116.9,2716915
2009-03-16,117.0,120.2,116.6,119.03,1437635
2009-03-17,120.2,123.78,119.2,123.16,599925
2009-03-18,123.6,129.0,123.6,127.79,630605
2009-03-19,129.94,129.94,124.2,125.38,371600
2009-03-20,125.4,125.5,118.08,119.76,632360
2009-03-23,121.0,125.0,120.03,123.23,1443000
2009-03-24,124.0,128.39,123.32,126.84,434595
2009-03-25,126.0,126.2,122.02,123.17,78800
2009-03-26,122.4,127.4,122.4,126.57,186385
2009-03-27,123.2,129.98,121.01,128.96,153515
2009-03-30,130.2,136.98,126.22,132.27,314690
2009-03-31,133.2,138.0,130.62,136.91,602690
2009-04-01,136.98,138.0,132.0,132.64,231245
2009-04-02,135.8,136.7,133.07,134.54,352920
2009-04-06,136.02,139.0,127.4,128.11,1806340
2009-04-08,124.21,131.98,124.21,130.76,270195
2009-04-09,131.0,135.2,128.6,129.99,130515
2009-04-13,130.2,134.8,130.2,133.69,1764120
2009-04-15,134.8,138.4,132.44,135.24,594970
2009-04-16,137.98,144.94,134.0,139.27,639940
2009-04-17,138.97,144.82,133.2,136.35,512590
2009-04-20,137.0,142.0,136.6,139.3,245715
2009-04-21,139.98,142.2,137.8,141.83,498520
2009-04-22,141.0,145.0,137.03,137.46,536045
2009-04-23,137.0,141.2,135.63,138.2,170075
2009-04-24,141.78,143.0,138.6,141.4,181735
2009-04-27,138.23,148.98,138.23,147.05,705325
2009-04-28,147.6,149.6,142.0,143.47,404245
2009-04-29,145.05,148.8,140.42,143.71,1100455
2009-05-04,146.0,147.74,143.0,146.13,470000
2009-05-05,144.0,147.46,144.0,145.61,151880
2009-05-06,145.61,147.8,145.05,146.47,1400020
2009-05-07,146.0,154.35,146.0,152.62,1034060
2009-05-08,154.0,164.42,152.6,158.37,1194280
2009-05-11,157.0,162.4,153.4,155.15,455805
2009-05-12,155.6,158.73,153.33,155.63,469350
2009-05-13,157.0,159.8,155.0,156.66,379165
2009-05-14,158.0,159.2,144.91,149.97,3931215
2009-05-15,151.0,158.2,150.41,156.31,1771125
2009-05-18,160.45,165.0,160.45,162.93,275
2009-05-19,164.0,171.0,150.62,164.07,2667460
2009-05-20,167.0,181.2,162.93,173.07,1008610
2009-05-21,175.0,179.6,173.82,175.42,399175
2009-05-22,175.0,178.0,170.0,171.6,332865
2009-05-25,175.43,177.79,171.8,173.0,425770
2009-05-26,173.0,178.0,170.0,173.24,164445
2009-05-27,174.2,178.0,167.0,170.95,1098480
2009-05-28,174.58,174.58,167.0,168.17,910020
2009-05-29,169.75,171.1,165.13,167.23,865285
2009-06-01,166.0,171.79,160.8,161.64,462650
2009-06-02,161.7,167.78,158.43,163.07,714125
2009-06-03,165.98,170.4,164.82,167.45,440220
2009-06-04,166.0,170.4,166.0,168.8,464720
2009-06-05,166.0,174.0,166.0,170.98,909065
2009-06-08,171.6,173.8,163.82,165.47,274055
2009-06-09,165.6,169.78,163.8,168.74,287815
2009-06-10,170.0,178.27,169.2,175.7,837890
2009-06-11,176.96,179.78,170.42,174.36,630145
2009-06-12,175.72,179.28,166.02,167.87,407045
2009-06-15,168.8,175.6,166.0,171.97,549295
2009-06-16,167.2,174.38,166.56,167.53,499455
2009-06-17,167.0,173.56,166.8,170.29,623320
2009-06-18,170.0,172.0,163.02,164.93,457990
2009-06-19,168.95,168.95,161.96,163.27,320175
2009-06-22,166.21,167.6,162.2,166.13,278740
2009-06-23,164.2,170.2,163.0,169.48,238645
2009-06-24,169.7,174.78,169.5,173.56,278120
2009-06-25,175.6,181.0,170.45,178.95,1557245
2009-06-26,180.0,180.0,167.6,168.79,1802510
2009-06-29,171.0,171.58,162.21,164.79,794730
2009-06-30,166.6,167.6,162.2,163.24,572225
2009-07-01,164.2,166.79,164.01,165.5,175540
2009-07-02,166.6,168.2,164.8,166.71,252240
2009-07-03,168.0,170.78,166.03,169.74,586240
2009-07-06,172.0,172.2,163.6,166.08,226650
2009-07-07,167.2,168.98,165.44,167.76,69655
2009-07-08,167.96,169.6,156.67,161.93,839545
2009-07-09,156.5,162.0,153.58,160.0,1159390
2009-07-10,155.23,162.05,155.23,158.75,1078515
2009-07-13,156.0,160.98,154.01,159.75,254815
2009-07-14,161.99,166.6,160.6,164.81,380375
2009-07-15,163.0,174.2,163.0,172.37,1094325
2009-07-16,170.0,180.0,170.0,178.11,513180
2009-07-17,178.77,188.0,178.6,180.49,1505795
2009-07-20,181.0,188.9,179.4,181.83,1427775
2009-07-21,180.0,183.2,177.21,179.73,372500
2009-07-22,181.59,189.6,180.2,186.85,1419245
2009-07-23,188.6,195.28,187.0,193.03,1711495
2009-07-24,190.2,197.99,187.2,189.1,822340
2009-07-27,186.0,193.0,185.0,190.78,372485
2009-07-28,191.8,193.9,187.6,189.74,224785
2009-07-29,193.8,193.8,184.21,188.64,1119005
2009-07-30,188.0,194.0,180.0,183.07,1586685
2009-07-31,183.0,192.0,183.0,190.08,1115555
2009-08-03,192.23,193.59,187.4,187.91,162065
2009-08-04,188.0,191.19,184.0,185.25,835865
2009-08-05,187.0,189.16,184.3,187.87,663890
2009-08-06,187.4,195.0,185.0,187.29,1191825
2009-08-07,188.0,196.97,188.0,194.58,2317500
2009-08-10,197.0,202.0,195.12,196.1,1132265
2009-08-11,199.0,200.58,196.0,198.92,1300870
2009-08-12,196.0,201.98,196.0,199.75,845885
2009-08-13,199.6,203.8,199.6,200.67,918290
2009-08-14,202.01,202.01,195.02,196.02,523935
2009-08-17,192.2,199.2,192.02,195.22,878220
2009-08-18,197.6,198.84,192.62,194.77,603435
2009-08-19,196.93,198.0,188.25,193.76,503025
2009-08-20,193.76,201.0,192.2,197.86,563935
2009-08-21,198.0,201.56,197.2,198.03,971880
2009-08-24,196.8,203.8,196.8,200.04,1202070
2009-08-25,198.0,209.8,196.0,207.6,1632895
2009-08-26,209.0,211.8,206.2,207.48,996680
2009-08-27,209.47,209.47,204.1,207.98,286170
2009-08-28,207.93,209.78,204.22,207.73,374000
2009-08-31,180.61,208.9,180.61,203.03,286275
2009-09-01,205.59,205.98,193.2,195.08,543810
2009-09-02,191.0,198.8,191.0,193.04,666465
2009-09-03,195.9,197.74,190.2,193.3,810745
2009-09-04,198.0,198.0,194.56,196.58,265785
2009-09-07,197.0,206.0,196.8,202.69,560695
2009-09-08,203.98,205.15,200.51,202.83,508065
2009-09-09,187.08,209.98,187.08,208.63,1012260
2009-09-10,215.2,215.38,208.8,212.62,689125
2009-09-11,213.78,215.0,208.0,208.83,238785
2009-09-14,206.8,210.4,205.0,209.28,134625
2009-09-15,210.4,217.6,210.08,216.09,805405
2009-09-16,218.4,222.8,216.46,220.51,946490
2009-09-17,223.0,223.0,213.12,215.92,653115
2009-09-18,215.8,221.0,215.8,217.83,687120
2009-09-22,216.0,221.0,213.08,214.02,611545
2009-09-23,215.0,217.4,210.02,212.19,903810
2009-09-24,195.2,227.98,195.2,225.21,1252780
2009-09-25,225.0,237.4,224.8,226.65,1261270
2009-09-29,232.0,237.68,226.8,228.52,1677095
2009-09-30,233.98,233.98,224.86,227.0,1967435
2009-10-01,227.0,229.99,225.8,226.96,942565
2009-10-05,225.99,235.94,225.94,234.67,2886295
2009-10-06,236.7,247.8,235.8,242.39,3630005
2009-10-07,244.0,257.56,244.0,254.97,2060075
2009-10-08,256.2,258.98,251.0,252.46,1060880
2009-10-09,254.92,259.6,244.41,246.68,721470
2009-10-12,246.6,261.99,246.0,260.19,1323440
2009-10-14,261.0,261.04,249.32,252.03,932220
2009-10-15,254.0,258.58,251.01,253.65,469935
2009-10-16,254.0,258.0,250.6,255.9,395000
2009-10-17,259.0,260.6,255.0,258.88,151055
2009-10-20,259.96,261.38,254.8,256.63,1053110
2009-10-21,256.6,256.99,246.25,249.14,702555
2009-10-22,246.22,250.0,236.41,239.54,801615
2009-10-23,244.0,257.74,242.44,250.43,1157165
2009-10-26,256.49,261.79,244.22,247.47,1812905
2009-10-27,255.54,255.54,244.05,250.79,1321835
2009-10-28,250.0,252.74,231.44,233.78,1610200
2009-10-29,233.8,251.0,225.8,245.95,7606235
2009-10-30,252.4,257.0,236.35,245.99,1229245
2009-11-03,246.0,253.6,243.21,245.63,1150640
2009-11-04,248.0,253.99,239.2,251.75,811185
2009-11-05,251.6,268.96,250.2,263.86,1919155
2009-11-06,265.02,270.4,256.0,264.01,666605
2009-11-09,264.4,272.42,263.0,270.05,1575235
2009-11-10,261.1,275.6,261.1,265.97,695130
2009-11-11,266.0,271.97,265.0,268.4,553685
2009-11-12,268.4,270.94,263.4,264.32,278980
2009-11-13,265.0,268.2,263.62,264.33,302575
2009-11-16,266.97,274.78,265.0,270.86,1143670
2009-11-17,278.0,278.0,269.0,270.65,692530
2009-11-18,270.2,273.6,264.23,270.74,999445
2009-11-19,271.2,272.0,265.6,268.13,623700
2009-11-20,266.6,269.6,264.23,266.09,430555
2009-11-23,266.58,269.6,263.4,265.92,350360
2009-11-24,265.5,274.48,265.0,267.39,566270
2009-11-25,267.39,270.6,265.0,266.04,449060
2009-11-26,273.0,278.9,266.6,275.32,2672055
2009-11-27,277.6,280.44,268.81,272.23,1522230
2009-11-30,275.0,280.0,274.03,275.06,689020
2009-12-01,275.06,282.6,274.4,280.07,1685345
2009-12-02,281.0,284.78,274.2,276.47,1386245
2009-12-03,284.78,284.78,274.31,281.03,2252720
2009-12-04,279.98,290.37,277.36,287.73,1361590
2009-12-07,289.6,290.38,279.0,281.11,1040850
2009-12-08,282.6,284.8,278.8,282.89,630055
2009-12-09,282.88,286.0,279.03,281.46,718310
2009-12-10,283.8,288.4,282.4,287.55,1291990
2009-12-11,290.0,293.0,288.12,289.46,1570930
2009-12-14,290.0,290.4,275.0,289.22,551840
2009-12-15,290.0,290.39,284.6,287.93,488150
2009-12-16,287.96,289.95,285.42,286.59,260965
2009-12-17,287.7,292.82,287.0,291.17,711050
