date,open,high,low,close,volume
2009-03-05,22.92,23.75,22.07,22.35,59800
2009-03-06,22.56,22.67,21.48,22.3,57332
2009-03-09,22.9,25.23,22.8,23.94,92431
2009-03-12,24.51,25.0,23.92,24.56,102813
2009-03-13,24.51,25.61,24.03,25.13,67944
2009-03-16,25.36,25.36,23.78,24.8,66549
2009-03-17,25.0,25.49,23.92,24.88,74840
2009-03-18,25.0,27.68,24.52,26.34,41767
2009-03-19,26.34,27.44,25.74,26.68,49746
2009-03-20,26.83,26.83,24.63,26.63,50812
2009-03-23,26.83,27.44,25.85,26.61,76210
2009-03-24,26.35,26.4,24.75,25.23,51681
2009-03-25,24.71,24.91,24.27,24.78,50410
2009-03-26,24.75,24.81,23.9,24.46,75562
2009-03-27,23.32,25.24,23.32,25.03,40208
2009-03-30,25.0,25.85,24.42,25.5,28178
2009-03-31,24.87,26.22,24.74,25.49,34812
2009-04-01,24.8,25.17,24.75,24.94,27530
2009-04-02,25.75,25.75,25.0,25.15,16648
2009-04-06,25.74,28.27,24.51,24.61,41135
2009-04-08,24.63,28.06,24.42,27.16,261039
2009-04-09,26.7,30.48,26.1,29.34,251149
2009-04-13,32.8,32.8,27.63,28.55,185666
2009-04-15,28.52,28.52,26.89,27.56,124750
2009-04-16,25.73,28.26,25.73,26.65,89282
2009-04-17,26.83,26.83,25.36,25.75,151378
2009-04-20,25.79,25.79,24.86,25.23,68665
2009-04-21,25.27,25.61,24.39,25.24,59735
2009-04-22,25.6,25.85,25.03,25.46,50238
2009-04-23,25.73,28.05,24.66,25.23,375113
2009-04-24,25.61,26.1,25.44,25.66,65811
2009-04-27,25.66,26.22,25.49,25.79,45432
2009-04-28,25.44,25.53,24.14,24.8,66197
2009-04-29,25.49,25.49,24.41,24.82,19666
2009-05-04,25.45,26.22,25.0,25.53,61563
2009-05-05,26.09,26.09,25.36,25.85,38683
2009-05-06,26.2,26.2,24.64,24.81,48746
2009-05-07,25.0,27.68,24.88,26.18,262983
2009-05-08,25.78,26.34,25.49,25.7,40660
2009-05-11,25.37,25.66,24.66,24.77,39856
2009-05-12,25.24,25.24,24.53,24.86,372521
2009-05-13,24.64,25.24,24.41,24.99,947938
2009-05-14,25.0,25.45,24.02,24.36,104224
2009-05-15,24.63,25.11,24.05,24.36,68485
2009-05-18,27.31,27.31,27.31,27.31,410
2009-05-19,28.05,28.53,25.06,26.81,107742
2009-05-20,26.52,27.56,26.28,27.2,461344
2009-05-21,27.36,30.24,27.36,28.29,290185
2009-05-22,28.52,28.64,27.32,27.54,84558
2009-05-25,27.92,28.05,27.31,27.55,104281
2009-05-26,27.56,30.47,27.56,28.09,1212684
2009-05-27,28.11,29.67,27.44,29.23,3257192
2009-05-28,29.27,30.73,28.31,29.91,171372
2009-05-29,30.47,32.92,30.03,32.14,673966
2009-06-01,33.73,34.02,31.47,32.17,206963
2009-06-02,31.85,32.68,29.91,30.48,109595
2009-06-03,32.67,32.68,30.73,31.36,158784
2009-06-04,31.36,32.06,31.34,31.8,63671
2009-06-05,31.84,33.17,31.58,32.05,1103294
2009-06-08,32.08,33.28,30.73,32.31,188799
2009-06-09,32.06,33.41,31.61,33.01,98475
2009-06-10,33.73,35.94,33.29,34.06,197738
2009-06-11,34.51,36.22,32.07,35.01,41784172
2009-06-12,36.31,36.31,33.0,34.36,1174141
2009-06-15,35.11,35.11,32.45,32.66,227146
2009-06-16,32.56,33.04,32.07,32.32,119617
2009-06-17,32.56,33.05,30.48,30.78,291850
2009-06-18,31.57,31.58,28.66,29.7,83747
2009-06-19,30.36,30.97,28.41,30.16,500511
2009-06-22,31.09,31.09,29.3,29.72,82336
2009-06-23,29.51,30.24,28.78,29.38,107996
2009-06-24,29.27,30.22,28.42,28.94,236166
2009-06-25,28.95,29.75,28.45,29.18,215804
2009-06-26,29.04,30.24,29.04,29.85,165230
2009-06-29,29.86,32.31,29.86,31.59,719472
2009-06-30,32.13,33.67,31.25,33.03,1125100
2009-07-01,32.56,33.5,31.46,32.19,275998
2009-07-02,32.25,32.66,31.73,32.31,91742
2009-07-03,32.34,33.17,32.09,32.62,177801
2009-07-06,32.93,33.4,30.85,31.45,150255
2009-07-07,31.22,33.95,30.61,32.98,1553108
2009-07-08,32.8,32.8,30.48,30.57,79745
2009-07-09,30.84,30.84,29.88,30.09,22954
2009-07-10,31.55,31.55,29.89,30.52,69789
2009-07-13,29.45,30.22,28.78,28.91,33180
2009-07-14,29.08,30.48,29.08,30.11,27940
2009-07-15,30.97,31.7,29.54,31.09,77760
2009-07-16,31.87,32.78,30.91,31.17,47105
2009-07-17,32.68,32.68,30.98,31.89,184731
2009-07-20,32.55,32.55,31.35,31.5,25488
2009-07-21,31.11,31.61,31.09,31.44,26735
2009-07-22,31.7,32.31,31.46,31.64,54839
2009-07-23,31.7,32.07,31.48,31.67,500306
2009-07-24,31.61,31.83,31.34,31.59,46933
2009-07-27,31.83,32.31,31.11,31.55,87593
2009-07-28,31.83,32.17,30.75,30.98,96204
2009-07-29,30.85,30.97,29.78,29.98,57914
2009-07-30,30.48,30.48,29.66,29.86,71249
2009-07-31,30.58,30.73,29.51,29.61,86092
2009-08-03,30.0,30.47,29.64,29.96,87076
2009-08-04,30.44,30.44,29.75,29.88,54347
2009-08-05,30.22,30.35,29.56,30.13,11752
2009-08-06,30.13,30.36,29.54,29.7,59882
2009-08-07,29.83,29.83,28.72,28.89,45834
2009-08-10,28.9,29.6,28.41,28.61,20018
2009-08-11,28.66,29.01,27.94,28.06,23585
2009-08-12,26.83,27.56,26.72,27.03,299411
2009-08-13,27.62,27.79,27.08,27.42,96745
2009-08-14,27.68,27.68,26.96,27.14,124832
2009-08-17,26.95,27.44,26.89,27.06,49935
2009-08-18,26.86,27.55,26.72,26.88,62490
2009-08-19,27.19,27.19,26.41,26.64,94703
2009-08-20,26.95,26.95,26.38,26.62,74430
2009-08-21,27.25,28.29,26.58,27.8,572579
2009-08-24,28.2,28.41,27.44,27.59,222504
2009-08-25,27.8,27.8,27.2,27.37,92964
2009-08-26,27.44,27.44,26.84,27.06,340612
2009-08-27,26.95,27.07,26.63,26.75,370003
2009-08-28,26.81,26.83,26.45,26.57,185002
2009-08-31,26.57,26.57,25.85,26.0,520652
2009-09-01,26.2,28.03,25.61,26.21,1005655
2009-09-02,26.1,27.44,26.1,26.44,2858371
2009-09-03,26.58,27.19,26.22,26.27,524359
2009-09-04,26.58,27.25,26.24,26.91,2574443
2009-09-07,27.31,28.58,26.83,28.0,1667796
2009-09-08,27.92,28.06,26.97,27.05,518594
2009-09-09,26.96,27.5,26.96,27.27,203462
2009-09-10,27.56,27.8,26.84,27.11,260228
2009-09-11,27.31,27.43,26.83,27.25,156447
2009-09-14,26.95,27.3,26.88,27.17,90775
2009-09-15,27.19,27.89,27.07,27.49,234141
2009-09-16,27.56,27.92,27.47,27.62,173127
2009-09-17,28.05,28.05,27.31,27.54,174677
2009-09-18,27.43,29.24,27.33,28.15,688161
2009-09-22,29.27,30.78,28.29,28.49,540695
2009-09-23,28.66,28.89,27.37,27.56,311819
2009-09-24,28.03,28.03,26.97,27.06,548043
2009-09-25,27.19,27.46,27.02,27.11,214771
2009-09-29,27.55,28.64,27.09,27.42,479689
2009-09-30,27.77,28.53,26.96,28.09,2955796
2009-10-01,27.8,29.25,27.69,28.53,849766
2009-10-05,28.53,29.51,27.24,28.06,478762
2009-10-06,28.53,28.53,27.09,27.42,571472
2009-10-07,28.01,28.02,27.16,27.68,811231
2009-10-08,27.79,27.91,27.28,27.41,565978
2009-10-09,27.8,27.8,26.7,26.88,424071
2009-10-12,27.25,30.91,27.19,30.28,8928730
2009-10-14,30.96,32.9,30.0,32.0,12297584
2009-10-15,32.22,32.4,30.61,30.82,1218228
2009-10-16,31.09,31.52,30.26,30.88,615224
2009-10-17,31.22,31.95,30.85,31.62,343835
2009-10-20,31.7,33.23,31.7,32.09,1604477
2009-10-21,32.17,33.13,31.7,32.4,1001087
2009-10-22,32.67,32.79,31.83,31.94,613715
2009-10-23,32.19,33.64,32.19,32.62,2500357
2009-10-26,32.86,32.86,31.23,31.48,399362
2009-10-27,31.34,33.12,31.22,31.64,975583
2009-10-28,31.58,32.33,31.34,32.11,335043
2009-10-29,31.7,32.06,31.41,31.64,188790
2009-10-30,31.95,32.67,30.61,30.79,336323
2009-11-03,31.02,31.02,29.02,29.19,216895
2009-11-04,29.73,30.24,28.33,29.67,175964
2009-11-05,29.39,31.06,29.39,30.61,377122
2009-11-06,31.22,31.7,30.61,31.0,164040
2009-11-09,31.58,32.05,31.23,31.84,363959
2009-11-10,31.7,32.66,31.7,31.87,335659
2009-11-11,32.07,32.53,31.84,31.91,142866
2009-11-12,32.18,33.9,31.95,32.56,64235332
2009-11-13,33.05,33.66,32.56,32.97,4514152
2009-11-16,33.53,33.53,32.81,33.03,348321
2009-11-17,33.03,33.41,32.68,33.05,243260
2009-11-18,32.92,35.47,32.92,34.27,1590987
2009-11-19,34.37,35.36,33.67,33.92,548830
2009-11-20,33.9,34.87,33.79,34.67,317051
2009-11-23,34.64,34.8,33.9,34.58,204397
2009-11-24,34.87,36.58,34.76,35.0,1152179
2009-11-25,34.87,37.97,34.75,36.26,5356603
2009-11-26,36.51,37.31,35.42,35.7,1064553
2009-11-27,35.7,35.97,32.31,35.26,719037
2009-11-30,35.48,36.58,35.48,35.95,491982
2009-12-01,35.85,37.17,35.73,36.86,697732
2009-12-02,37.19,38.41,36.67,38.06,1088803
2009-12-03,38.05,39.14,37.22,37.56,666364
2009-12-04,37.79,38.29,37.08,37.34,288840
