date,open,high,low,close,volume
2009-03-05,20.4,21.9,19.8,19.9,226580
2009-03-06,19.75,20.15,19.25,19.85,209843
2009-03-09,19.85,20.0,18.8,18.9,248530
2009-03-12,19.35,19.8,19.25,19.35,187951
2009-03-13,19.75,19.95,19.35,19.4,324225
2009-03-16,19.65,20.05,19.55,19.7,254808
2009-03-17,20.05,20.5,19.5,19.85,294241
2009-03-18,19.75,20.85,19.75,20.3,296989
2009-03-19,20.4,20.9,20.15,20.5,179852
2009-03-20,20.5,20.55,19.85,20.05,221201
2009-03-23,20.5,20.5,19.9,20.05,755643
2009-03-24,20.4,21.15,20.2,20.35,632611
2009-03-25,20.3,20.7,20.25,20.6,269603
2009-03-26,20.9,21.2,20.6,20.85,344753
2009-03-27,20.9,21.65,20.5,21.25,546469
2009-03-30,21.0,21.6,20.7,20.8,255743
2009-03-31,20.75,21.0,20.45,20.7,213523
2009-04-01,22.8,24.8,21.6,21.9,2836121
2009-04-02,22.5,22.95,22.2,22.45,918601
2009-04-06,22.85,23.3,22.45,22.6,774020
2009-04-08,22.35,22.95,21.5,22.75,1169721
2009-04-09,23.2,23.5,22.8,23.15,1453366
2009-04-13,23.2,25.2,23.2,24.2,4066722
2009-04-15,24.5,25.8,24.0,25.05,2982110
2009-04-16,25.5,25.9,23.7,23.9,1499529
2009-04-17,25.0,25.75,24.4,24.7,3051689
2009-04-20,25.0,25.65,24.55,24.7,1163513
2009-04-21,24.05,24.7,24.0,24.4,880395
2009-04-22,24.7,24.85,23.9,24.05,656845
2009-04-23,24.05,24.25,23.5,24.05,521381
2009-04-24,24.1,24.3,23.8,23.95,1221651
2009-04-27,24.0,24.75,23.85,24.4,725590
2009-04-28,24.4,24.5,23.45,23.55,642638
2009-04-29,23.65,24.05,22.95,23.1,1156218
2009-05-04,23.6,24.0,23.3,23.8,752566
2009-05-05,24.0,24.3,23.55,23.7,1171048
2009-05-06,23.75,24.25,23.4,23.55,1048624
2009-05-07,23.95,24.1,23.5,24.0,940739
2009-05-08,24.2,24.2,23.75,24.0,699730
2009-05-11,24.4,24.5,23.75,23.9,678299
2009-05-12,24.0,24.2,23.6,23.95,523314
2009-05-13,24.2,24.5,24.05,24.2,984590
2009-05-14,24.4,25.0,23.8,24.75,1256300
2009-05-15,25.5,26.2,25.3,25.7,3275995
2009-05-18,28.9,30.8,28.5,29.9,39320
2009-05-19,30.0,32.0,28.0,30.9,4517023
2009-05-20,30.5,33.8,30.4,33.5,2361390
2009-05-21,33.9,38.2,33.7,36.4,3406382
2009-05-22,36.0,36.5,34.5,36.3,1829173
2009-05-25,36.5,37.5,36.05,36.7,925686
2009-05-26,36.5,37.8,34.0,34.5,1232287
2009-05-27,35.45,36.2,35.05,35.85,1392652
2009-05-28,36.1,37.9,35.8,37.15,1724958
2009-05-29,38.1,39.0,37.2,38.25,2093444
2009-06-01,39.5,41.1,38.9,40.5,2158684
2009-06-02,41.0,44.55,39.1,43.05,4447942
2009-06-03,44.0,44.25,41.55,41.95,1773649
2009-06-04,42.1,43.5,41.0,42.7,2006228
2009-06-05,44.85,44.85,43.9,44.35,2088004
2009-06-08,45.0,46.6,44.1,45.8,3219037
2009-06-09,45.0,45.9,43.55,44.05,1318987
2009-06-10,45.0,45.2,42.1,42.8,1126015
2009-06-11,43.5,43.95,41.0,41.25,680661
2009-06-12,42.1,42.25,40.0,40.15,741472
2009-06-15,40.5,40.5,38.55,38.9,647027
2009-06-16,38.75,40.0,37.9,39.9,710720
2009-06-17,40.5,41.3,38.55,38.95,768474
2009-06-18,39.5,39.5,37.5,37.75,549765
2009-06-19,38.55,39.5,37.8,39.2,603255
2009-06-22,40.0,40.0,38.5,38.9,665112
2009-06-23,38.0,40.85,37.55,40.6,821347
2009-06-24,42.0,42.15,40.65,40.9,939256
2009-06-25,41.5,41.8,39.9,40.1,358817
2009-06-26,40.7,41.25,39.5,40.5,645806
2009-06-29,40.9,41.25,40.15,40.6,570811
2009-06-30,41.0,41.1,39.95,40.05,490704
2009-07-01,40.2,40.6,39.9,40.45,714740
2009-07-02,39.7,40.2,39.2,40.0,780444
2009-07-03,39.3,40.35,39.3,40.15,761813
2009-07-06,41.0,41.9,38.5,39.5,1539301
2009-07-07,40.0,40.1,37.65,39.0,443076
2009-07-08,38.0,38.75,36.35,38.0,934908
2009-07-09,37.8,38.25,37.1,38.05,458792
2009-07-10,38.0,39.3,37.3,38.35,1217209
2009-07-13,37.0,37.3,35.55,36.25,398916
2009-07-14,37.0,37.6,36.5,37.4,329037
2009-07-15,38.0,38.6,37.5,38.2,550295
2009-07-16,39.0,39.45,38.15,39.0,528782
2009-07-17,39.0,40.1,38.3,39.7,685146
2009-07-20,40.25,40.25,38.85,39.9,688266
2009-07-21,39.6,40.85,39.5,39.8,1001022
2009-07-22,40.1,41.0,39.9,40.05,688088
2009-07-23,40.75,42.75,40.2,42.45,1377797
2009-07-24,43.75,44.0,42.55,42.95,1939975
2009-07-27,43.5,43.8,42.25,42.8,470806
2009-07-28,42.95,43.0,41.4,41.65,498801
2009-07-29,41.35,41.7,40.0,41.25,665177
2009-07-30,41.5,43.6,40.65,41.75,934866
2009-07-31,42.5,42.9,41.9,42.05,596310
2009-08-03,42.2,42.35,41.45,42.0,384337
2009-08-04,42.25,42.35,41.4,41.85,397490
2009-08-05,42.0,42.35,41.15,41.3,418547
2009-08-06,41.3,41.85,40.5,40.95,1082963
2009-08-07,40.5,41.2,40.1,40.5,440846
2009-08-10,41.1,41.1,39.85,40.1,354431
2009-08-11,40.75,40.75,39.6,40.05,277034
2009-08-12,39.6,40.05,38.85,39.3,564242
2009-08-13,40.0,40.95,40.0,40.65,316440
2009-08-14,41.0,41.3,40.4,40.8,216426
2009-08-17,40.5,40.5,39.85,40.0,261724
2009-08-18,39.75,40.9,39.55,40.3,250059
2009-08-19,40.5,40.9,39.7,39.9,209163
2009-08-20,40.0,41.25,39.9,40.35,423067
2009-08-21,40.3,41.1,40.05,41.05,511859
2009-08-24,41.3,41.75,40.6,40.8,232058
2009-08-25,40.8,40.95,40.25,40.3,219539
2009-08-26,40.65,40.65,40.0,40.1,332309
2009-08-27,40.1,40.65,39.8,40.25,188152
2009-08-28,40.5,40.9,40.25,40.6,361228
2009-08-31,40.65,40.7,40.1,40.35,224389
2009-09-01,40.35,42.0,40.05,40.35,544727
2009-09-02,40.0,40.65,40.0,40.05,181820
2009-09-03,40.1,40.6,40.0,40.05,214686
2009-09-04,40.4,40.65,40.0,40.4,273450
2009-09-07,40.45,42.1,40.4,41.2,817771
2009-09-08,41.9,41.9,40.6,40.7,478617
2009-09-09,41.25,41.25,40.35,40.55,242836
2009-09-10,41.0,41.4,40.5,40.6,377568
2009-09-11,40.85,42.95,40.25,42.25,1983549
2009-09-14,42.3,43.85,42.3,42.8,2072558
2009-09-15,42.9,44.25,42.9,43.9,1780480
2009-09-16,44.55,45.3,43.9,44.1,1649124
2009-09-17,44.65,44.7,42.75,43.45,1294667
2009-09-18,43.45,43.7,42.05,42.4,760803
2009-09-22,42.4,43.0,41.1,42.5,553394
2009-09-23,42.85,44.45,42.55,42.95,1349203
2009-09-24,42.95,47.7,42.6,47.1,4882935
