date,open,high,low,close,volume
2009-03-05,71.75,71.75,66.1,66.4,744
2009-03-06,69.0,69.0,64.8,65.5,650
2009-03-09,57.5,69.95,57.5,64.6,1693
2009-03-12,64.6,67.95,64.0,64.1,494
2009-03-13,64.3,65.0,64.0,64.15,643
2009-03-16,65.0,68.8,65.0,65.7,805
2009-03-18,66.0,75.5,66.0,70.95,916
2009-03-19,73.95,73.95,70.0,70.0,331
2009-03-20,69.0,69.0,67.5,67.6,301
2009-03-23,65.5,80.9,65.5,77.0,8703
2009-03-24,75.5,78.8,75.0,78.1,2813
2009-03-25,75.0,78.2,75.0,78.2,485
2009-03-26,78.25,93.0,78.25,78.25,837
2009-03-27,76.1,80.0,76.1,76.65,3005
2009-03-30,79.5,88.0,78.0,78.6,2432
2009-03-31,76.05,80.5,76.05,79.3,941
2009-04-01,81.05,88.0,81.0,81.4,5805
2009-04-02,92.15,92.15,78.0,78.8,1349
2009-04-06,80.0,81.0,79.0,81.0,795
2009-04-08,70.0,87.95,70.0,78.2,411
2009-04-09,88.0,88.0,80.0,80.0,878
2009-04-13,81.0,83.0,80.0,81.65,986
2009-04-15,80.05,89.9,80.05,88.5,2347
2009-04-16,95.0,95.0,83.2,84.2,2422
2009-04-17,88.7,88.7,84.0,84.85,1402
2009-04-20,85.0,88.0,85.0,87.3,1851
2009-04-21,87.0,88.0,85.5,87.85,276
2009-04-22,89.8,90.0,82.1,83.1,2079
2009-04-23,96.0,96.0,82.6,85.05,416
2009-04-24,81.15,87.25,81.15,87.2,252
2009-04-27,86.0,86.0,86.0,86.0,25
2009-04-28,85.05,86.55,85.05,86.1,73
2009-04-29,85.9,85.9,82.0,82.3,802
2009-05-04,89.95,89.95,82.1,83.15,203
2009-05-05,87.7,87.7,84.0,84.0,440
2009-05-06,83.5,86.0,81.5,84.15,4795
2009-05-07,82.15,88.0,82.15,87.65,3862
2009-05-08,86.0,87.0,86.0,87.0,675
2009-05-11,93.9,93.9,86.0,86.85,1743
2009-05-12,87.05,87.2,87.0,87.0,663
2009-05-13,89.0,90.15,85.35,90.0,2082
2009-05-14,93.0,93.0,88.0,88.55,1550
2009-05-15,88.0,88.0,87.05,87.2,1040
2009-05-19,91.0,103.5,91.0,98.9,4648
2009-05-20,98.9,115.0,98.9,114.45,3354
2009-05-21,114.45,134.95,114.0,129.7,17726
