date,open,high,low,close,volume
2009-03-05,29.98,29.98,29.08,29.5,687740
2009-03-06,29.5,30.1,29.05,29.58,955764
2009-03-09,29.63,30.67,29.5,30.4,318196
2009-03-12,30.5,30.98,29.75,30.48,284128
2009-03-13,30.48,30.88,30.13,30.42,138772
2009-03-16,30.42,31.0,30.25,30.9,104628
2009-03-17,31.0,31.23,28.8,29.98,1527452
2009-03-18,30.25,31.0,29.85,30.73,263528
2009-03-19,30.95,31.0,29.3,29.5,2890152
2009-03-20,29.2,29.92,28.77,29.1,1701068
2009-03-23,28.77,29.8,25.42,29.52,175420
2009-03-24,29.52,30.6,29.1,29.2,2435846
2009-03-25,29.38,29.7,28.77,28.98,189308
2009-03-26,29.45,29.92,29.13,29.52,965962
2009-03-27,29.25,29.75,29.17,29.6,280254
2009-03-30,29.5,30.6,29.5,30.25,455850
2009-03-31,29.65,30.85,29.63,30.15,1130018
2009-04-01,30.3,30.85,29.9,30.15,292762
2009-04-02,30.48,30.67,29.48,29.52,474694
2009-04-06,30.2,30.5,29.13,29.17,247820
2009-04-08,29.0,34.35,29.0,30.67,675980
2009-04-09,32.5,33.17,30.05,30.25,457028
2009-04-13,31.55,32.0,30.4,30.48,606724
2009-04-15,30.5,31.5,30.25,31.08,1307314
2009-04-16,31.38,32.3,29.77,31.35,1129250
2009-04-17,31.75,32.13,31.27,31.6,918906
2009-04-20,31.27,32.72,31.27,31.92,485180
2009-04-21,31.5,32.5,31.5,32.03,586248
2009-04-22,32.38,34.45,31.77,33.65,2830632
2009-04-23,34.13,34.5,32.75,34.28,3695324
2009-04-24,34.5,34.72,33.08,33.4,221148
2009-04-27,33.38,34.47,32.5,34.0,1616856
2009-04-28,33.05,34.2,33.0,33.15,175210
2009-04-29,33.03,34.6,32.5,34.17,523110
2009-05-04,34.17,34.4,33.75,34.0,511920
2009-05-05,34.03,35.15,33.6,34.13,443316
2009-05-06,34.13,34.6,33.05,33.25,108618
2009-05-07,33.25,33.7,33.05,33.4,394214
2009-05-08,27.58,34.22,27.58,33.28,1842306
2009-05-11,33.5,33.7,32.75,33.0,4419634
2009-05-12,33.08,33.22,32.5,32.67,134584
2009-05-13,32.95,33.0,32.1,32.25,4208876
2009-05-14,32.0,32.0,31.05,31.23,273666
2009-05-15,31.73,32.25,31.5,31.75,1845446
2009-05-18,32.45,32.45,32.45,32.45,200
2009-05-19,33.33,33.95,32.45,32.65,545834
2009-05-20,32.5,33.97,32.5,33.0,883244
