date,open,high,low,close,volume
2016-07-01,540.0,548.95,518.0,520.3,20001438
2016-07-04,523.5,533.9,521.3,531.05,3591938
2016-07-05,530.0,532.5,516.25,517.5,1611597
2016-07-07,518.75,520.6,504.55,506.2,1050990
2016-07-08,506.4,510.75,498.55,502.5,1306333
2016-07-11,508.0,511.75,502.0,503.4,963350
2016-07-12,505.4,506.0,495.1,496.75,790935
2016-07-13,497.5,504.25,492.65,500.25,835625
2016-07-14,500.9,509.95,498.0,506.55,676085
2016-07-15,507.45,513.9,502.05,506.8,801549
2016-07-18,507.8,511.8,503.1,509.9,500134
2016-07-19,510.1,514.2,508.0,509.45,306063
2016-07-20,510.1,512.75,509.0,510.1,436612
2016-07-21,510.05,513.75,502.45,503.9,376728
2016-07-22,504.8,509.75,504.0,508.1,246857
2016-07-25,508.45,509.45,503.15,504.55,209098
2016-07-26,506.0,507.25,497.7,499.4,203104
2016-07-27,498.4,503.95,496.6,498.0,208083
2016-07-28,499.7,511.25,496.0,506.35,653293
2016-07-29,507.0,515.6,506.2,508.8,544200
2016-08-01,509.0,515.0,504.0,512.35,1819762
2016-08-02,514.85,521.95,514.0,519.4,1016034
2016-08-03,519.0,523.95,509.1,511.35,461560
2016-08-04,513.5,518.5,509.95,517.0,369454
2016-08-05,517.95,522.0,514.05,519.55,417478
2016-08-08,522.0,532.4,521.0,530.3,657734
2016-08-09,530.25,547.3,527.55,540.3,1274819
2016-08-10,542.0,542.0,532.0,535.1,399445
2016-08-11,534.6,538.45,529.6,532.5,209485
2016-08-12,534.7,539.7,533.0,536.85,219502
2016-08-16,536.9,540.0,534.15,537.1,351340
2016-08-17,537.25,551.1,537.1,549.35,881986
2016-08-18,551.0,573.4,550.95,570.9,1206667
2016-08-19,573.4,582.0,563.55,577.35,749894
2016-08-22,580.7,594.8,575.0,591.55,1282012
2016-08-23,593.95,603.0,565.1,580.45,1419004
2016-08-24,580.0,598.0,579.95,595.9,416093
2016-08-25,598.0,598.0,585.0,586.75,273017
2016-08-26,590.0,598.0,589.95,596.3,292354
2016-08-29,598.0,615.0,596.3,613.9,640981
2016-08-30,616.6,650.0,616.0,641.85,940134
2016-08-31,645.0,661.4,640.0,652.25,872126
2016-09-01,654.5,658.0,631.55,636.15,849646
2016-09-02,635.4,649.95,612.0,635.3,1048848
2016-09-06,640.0,654.7,635.5,651.85,398256
2016-09-07,655.9,656.0,640.55,647.0,284368
2016-09-08,650.0,653.0,645.5,649.35,146259
2016-09-09,648.0,653.9,641.3,643.7,210462
2016-09-12,635.0,635.0,617.25,619.95,275224
2016-09-14,622.5,638.85,622.5,631.35,264287
2016-09-15,621.0,622.9,606.5,609.95,226065
2016-09-16,612.25,619.0,601.2,605.65,174090
2016-09-19,609.8,615.0,606.15,607.9,100918
2016-09-20,609.4,609.4,598.0,602.7,111000
2016-09-21,604.7,606.7,601.45,602.95,81843
2016-09-22,612.0,621.15,607.0,613.8,232404
2016-09-23,618.0,627.8,616.1,619.9,362475
2016-09-26,622.4,624.3,617.55,622.05,171555
2016-09-27,625.0,636.95,622.15,634.8,231825
2016-09-28,637.0,664.95,635.5,661.6,963282
2016-09-29,667.7,679.95,639.1,647.2,970935
2016-09-30,654.6,666.5,650.35,660.15,364893
2016-10-03,668.1,674.9,666.7,669.5,308161
2016-10-04,673.8,731.9,664.3,722.05,1339659
2016-10-05,722.0,722.0,695.05,698.45,494612
2016-10-06,703.0,708.75,691.55,698.7,685208
2016-10-07,702.6,705.7,697.0,703.2,178621
2016-10-10,706.1,725.0,703.2,716.9,454819
2016-10-13,718.0,718.0,689.3,691.35,384721
2016-10-14,696.95,729.9,694.0,725.15,562782
2016-10-17,729.9,774.0,729.1,758.85,720761
2016-10-18,763.4,766.25,747.0,755.5,333380
2016-10-19,759.8,767.0,751.0,760.3,252187
2016-10-20,763.0,765.8,753.4,759.1,222318
2016-10-21,762.4,803.25,756.45,789.5,472430
2016-10-24,793.3,797.5,786.0,791.15,306697
2016-10-25,790.0,794.6,766.1,769.1,305433
2016-10-26,765.25,785.0,762.05,764.7,212184
2016-10-27,764.7,768.9,748.0,752.85,204834
2016-10-28,757.7,774.35,754.4,759.8,425564
2016-10-30,766.9,770.0,763.0,767.65,35099
2016-11-01,773.5,780.0,767.35,774.5,148947
2016-11-02,752.0,765.15,752.0,758.2,90938
2016-11-03,758.0,767.45,751.2,755.6,73935
2016-11-04,752.1,758.9,712.05,719.35,251873
2016-11-07,733.5,737.8,704.05,708.85,162941
2016-11-08,713.0,722.45,699.0,715.4,186133
2016-11-09,635.1,740.0,635.1,728.4,270403
2016-11-10,742.0,758.9,740.0,747.5,137893
2016-11-11,755.0,767.15,742.0,747.3,236564
2016-11-15,747.3,753.45,730.25,744.35,106195
2016-11-16,753.6,769.95,724.75,733.6,184775
2016-11-17,735.55,777.95,735.55,770.4,263875
2016-11-18,774.9,781.0,743.0,748.9,301226
2016-11-21,758.95,764.0,735.0,741.0,133055
2016-11-22,745.25,756.1,730.6,736.75,94191
2016-11-23,743.85,746.65,728.0,730.9,97277
2016-11-24,731.4,742.0,724.75,735.7,104570
2016-11-25,747.95,771.9,740.0,770.55,188861
2016-11-28,774.95,794.9,761.25,771.1,256254
2016-11-29,805.0,828.0,771.0,778.25,1291736
2016-11-30,780.2,783.7,764.2,769.15,483822
2016-12-01,771.0,775.5,742.5,746.55,264603
2016-12-02,746.0,748.05,730.1,734.25,228108
2016-12-05,742.4,748.9,736.0,743.6,134351
2016-12-06,764.85,769.7,750.0,751.2,232711
2016-12-07,752.85,754.85,742.55,745.95,70823
2016-12-08,753.05,756.8,748.1,750.05,66343
2016-12-09,752.9,767.0,746.05,754.25,217063
2016-12-12,751.4,754.7,744.0,746.95,113477
2016-12-13,745.0,764.4,741.0,760.4,183665
2016-12-14,758.5,764.7,747.0,751.25,133973
2016-12-15,747.7,766.9,745.0,763.25,180210
2016-12-16,767.0,797.0,764.25,784.2,519978
2016-12-19,784.8,795.0,778.0,782.65,244212
2016-12-20,783.8,788.75,780.4,784.75,90395
2016-12-21,789.65,789.9,770.15,777.1,106355
2016-12-22,771.1,774.15,760.15,769.55,61069
2016-12-23,768.0,770.0,761.0,763.85,49162
2016-12-26,762.0,780.0,750.0,776.75,106687
2016-12-27,779.0,787.0,770.0,773.4,88748
2016-12-28,771.05,782.0,767.7,775.95,66834
2016-12-29,779.7,786.8,776.0,783.2,54357
2016-12-30,783.0,789.85,776.5,787.85,164106
2017-01-02,788.65,813.15,788.65,803.95,160701
2017-01-03,805.15,833.0,804.15,822.7,335970
2017-01-04,829.0,861.5,825.5,840.25,556945
2017-01-05,847.95,854.9,840.25,851.6,170926
2017-01-06,857.0,857.0,836.8,840.85,86941
2017-01-09,845.0,850.0,840.5,848.2,58480
2017-01-10,849.8,851.0,842.0,842.85,66646
2017-01-11,843.6,851.3,841.4,844.05,83668
2017-01-12,845.0,847.95,838.0,840.8,66987
2017-01-13,840.3,844.95,834.45,842.5,48967
