date,open,high,low,close,volume
2012-03-19,7.5,7.5,7.5,7.5,100
2012-06-13,4.5,4.5,4.5,4.5,10
2012-07-09,4.73,4.73,4.73,4.73,5250
2012-07-12,4.96,4.96,4.96,4.96,1000
2012-07-13,5.2,5.2,5.2,5.2,4000
2012-07-25,5.47,5.47,5.47,5.47,500
2012-08-16,5.73,5.73,5.73,5.73,1000
2012-08-29,6.02,6.02,6.02,6.02,1000
2012-09-21,6.0,6.0,6.0,6.0,500
2012-09-28,6.0,6.0,6.0,6.0,5250
2012-10-18,6.3,6.3,6.3,6.3,300
2012-11-27,6.62,6.62,6.62,6.62,10
2012-11-29,6.94,6.94,6.94,6.94,10
2012-11-30,7.29,7.29,7.29,7.29,10
2012-12-03,7.65,7.65,7.65,7.65,10
2012-12-04,8.03,8.03,8.03,8.03,10
2012-12-05,8.43,8.43,8.43,8.43,10
2012-12-06,8.85,8.85,8.85,8.85,10
2012-12-07,9.29,9.29,9.29,9.29,10
2012-12-10,9.75,9.75,9.75,9.75,10
2012-12-11,10.23,10.23,10.23,10.23,10
2012-12-12,10.74,10.74,10.74,10.74,10
2012-12-13,11.28,11.28,11.28,11.28,10
2012-12-14,11.84,11.84,11.84,11.84,10
2012-12-17,12.43,12.43,12.43,12.43,10
2012-12-18,13.05,13.05,13.05,13.05,10
2012-12-19,13.7,13.7,13.7,13.7,10
2012-12-20,14.39,14.39,14.39,14.39,10
2012-12-24,15.1,15.1,15.1,15.1,10
2012-12-27,15.86,15.86,15.86,15.86,20
2013-01-01,16.64,16.64,16.64,16.64,10
2013-01-02,17.48,17.48,17.48,17.48,10
2013-01-03,18.34,18.34,18.34,18.34,10
2013-01-04,19.26,19.26,19.26,19.26,30
2013-01-07,20.22,20.22,20.22,20.22,20
2013-01-08,21.23,21.23,21.23,21.23,20
2013-01-09,22.28,22.29,22.28,22.29,40
2013-01-10,23.4,23.4,23.4,23.4,130
2013-01-11,24.57,24.57,24.57,24.57,90
2013-01-14,25.8,25.8,25.8,25.8,100
2013-01-15,27.08,27.08,27.08,27.08,160
2013-01-16,28.42,28.42,28.42,28.42,150
2013-01-17,29.0,29.8,27.0,29.8,200
2013-01-18,29.8,31.1,29.8,31.1,190
2013-01-21,32.49,32.49,32.49,32.49,60
2013-01-22,34.0,34.0,30.9,31.05,290
2013-01-23,32.55,32.55,31.0,31.0,1100
2013-01-29,31.0,31.0,31.0,31.0,20
2013-02-01,29.45,29.5,29.45,29.5,30
2013-02-04,30.8,30.8,30.8,30.8,10
2013-02-05,31.35,31.35,31.35,31.35,10
2013-02-06,32.0,32.0,32.0,32.0,20
2013-02-07,33.0,33.0,31.3,31.3,60
2013-02-08,31.3,31.3,30.0,30.0,170
2013-02-11,31.49,31.49,31.49,31.49,30
2013-02-12,33.06,33.06,33.06,33.06,20
2013-02-14,34.0,34.0,33.0,33.47,140
2013-02-19,33.94,33.94,33.94,33.94,10
2013-02-21,32.5,32.5,32.5,32.5,80
2013-02-27,32.5,32.5,32.49,32.49,30
2013-03-01,30.87,30.87,30.87,30.87,30
2013-03-04,29.33,29.33,29.33,29.33,10
2013-03-05,30.0,30.0,30.0,30.0,110
2013-03-25,28.9,28.9,28.9,28.9,10
2013-04-01,30.2,30.3,30.2,30.3,1030
2013-04-05,30.3,30.3,29.5,29.5,300
2013-05-10,29.0,29.0,29.0,29.0,100
2013-05-13,30.4,30.4,30.4,30.4,10
2013-05-14,30.4,30.4,30.4,30.4,10
2013-05-20,31.0,31.0,30.9,30.9,20
2013-05-21,29.5,29.5,29.5,29.5,10
2013-06-24,29.0,29.0,29.0,29.0,90
2013-08-29,29.0,29.0,29.0,29.0,50
2013-09-17,27.55,27.55,27.55,27.55,20
2013-10-07,26.2,26.2,26.2,26.2,10
2013-10-08,27.45,27.45,27.45,27.45,10
2013-10-18,26.16,26.16,26.16,26.16,50
2013-10-22,25.5,25.5,25.5,25.5,20
2013-10-24,24.26,24.26,24.26,24.26,100
2013-10-31,24.0,24.0,24.0,24.0,50
2013-11-08,22.8,22.8,22.8,22.8,60
2013-11-11,22.8,22.8,22.0,22.0,30
2013-11-13,21.1,21.1,21.1,21.1,80
2013-11-14,21.2,21.2,21.2,21.2,10
2013-11-20,20.16,20.16,20.16,20.16,50
2013-11-21,20.0,20.0,19.16,19.2,80
2014-01-24,20.14,20.16,20.14,20.16,200
2014-02-21,20.5,20.5,19.16,19.58,200
2014-02-24,20.0,20.0,19.99,19.99,300
2014-02-25,20.0,20.0,20.0,20.0,100
2014-02-26,20.0,20.0,20.0,20.0,500
2014-03-03,19.01,19.01,19.01,19.01,150
2014-03-04,19.8,19.96,19.8,19.8,1750
2014-03-05,18.86,20.5,18.81,20.5,2710
2014-03-06,20.0,20.0,19.5,19.5,130
2014-03-07,19.5,19.99,18.56,19.99,600
2014-03-10,19.01,19.01,19.0,19.0,310
2014-03-12,19.48,19.48,19.48,19.48,190
2014-03-13,19.8,19.8,19.8,19.8,20
2014-03-14,18.81,18.81,18.81,18.81,200
2014-03-18,18.2,18.2,18.0,18.0,340
2014-03-19,17.51,17.51,17.1,17.2,2660
2014-03-20,16.36,17.49,16.36,16.41,800
2014-03-21,17.13,17.13,17.13,17.13,250
2014-03-22,17.89,17.89,17.89,17.89,10
2014-03-24,18.54,18.54,18.54,18.54,10
2014-03-25,17.73,19.46,17.73,19.46,210
2014-03-26,19.0,20.42,19.0,20.42,310
2014-03-28,19.4,21.38,19.4,21.38,350
2014-03-31,20.31,21.9,20.31,21.9,510
2014-04-02,20.9,20.9,20.9,20.9,500
2014-04-03,20.4,20.5,20.4,20.5,1200
2014-04-04,20.0,20.0,20.0,20.0,250
2014-04-09,19.1,20.49,19.1,19.1,540
2014-04-11,18.5,18.5,18.2,18.2,510
2014-04-15,18.2,18.9,17.3,18.9,3360
2014-04-16,19.83,19.83,19.83,19.83,10
2014-04-17,18.84,18.85,18.84,18.84,2100
2014-04-21,18.84,19.74,18.84,19.0,1880
2014-04-22,19.0,19.94,19.0,19.94,520
2014-04-23,20.9,20.9,20.9,20.9,10
2014-04-25,19.86,20.9,19.86,20.9,410
2014-04-29,19.86,19.86,19.86,19.86,1000
2014-04-30,18.88,20.0,18.88,20.0,1010
2014-05-02,20.74,20.74,20.74,20.74,10
2014-05-05,19.71,20.74,19.71,20.74,1010
2014-05-06,19.73,20.69,19.73,20.69,50
2014-05-07,19.68,20.69,19.68,20.69,540
2014-05-09,19.66,21.5,19.66,21.47,4970
2014-05-12,20.46,21.49,20.46,21.06,990
2014-05-13,21.49,21.49,21.49,21.49,20
2014-05-14,20.43,20.49,20.43,20.43,2170
2014-05-15,19.41,19.41,19.41,19.41,2340
2014-05-16,20.2,20.2,18.44,20.0,2830
2014-05-19,20.5,20.5,20.5,20.5,20
2014-05-20,19.5,20.94,19.5,20.94,3050
2014-05-22,20.01,21.0,19.91,19.91,10500
2014-05-23,19.85,20.6,19.0,20.6,2050
2014-05-26,20.6,20.9,20.0,20.18,350
2014-05-28,20.7,21.19,20.7,21.18,15340
2014-05-29,21.84,21.84,21.84,21.84,50
2014-05-30,20.8,22.26,20.76,22.26,2020
2014-06-02,22.2,23.3,22.2,23.3,4020
2014-06-03,24.2,24.44,22.6,24.0,1150
2014-06-04,25.18,25.18,25.18,25.18,10
2014-06-05,25.56,25.56,25.56,25.56,20
2014-06-06,25.8,25.8,25.11,25.11,40
2014-06-09,26.3,26.3,26.3,26.3,10
2014-06-10,24.99,27.0,24.99,27.0,510
2014-06-11,27.0,27.0,25.7,25.7,6640
2014-06-12,25.7,26.0,24.7,24.86,3140
2014-06-13,25.0,25.0,23.63,24.41,4040
2014-06-16,25.4,25.4,25.4,25.4,10
2014-06-17,25.4,25.4,24.15,24.61,1150
2014-06-18,24.4,24.4,24.0,24.0,400
2014-06-19,24.0,24.0,22.9,22.9,1510
2014-06-20,23.9,23.9,23.9,23.9,100
2014-06-23,24.3,24.3,23.4,23.4,300
2014-06-25,22.5,24.1,22.5,23.61,910
2014-06-26,23.8,24.2,23.01,23.6,2920
2014-06-27,23.1,24.2,22.5,24.2,820
2014-06-30,24.7,24.7,23.61,23.64,1150
2014-07-01,24.4,24.81,24.4,24.81,4070
2014-07-02,26.0,26.05,25.99,26.0,1890
2014-07-03,27.18,27.3,27.18,27.3,650
2014-07-04,28.65,28.65,28.65,28.65,1000
2014-07-07,30.05,30.08,30.05,30.05,350
2014-07-08,31.5,31.55,31.5,31.55,200
2014-07-09,29.98,32.4,29.98,30.19,7350
2014-07-10,30.0,30.02,30.0,30.0,600
2014-07-14,31.4,31.4,29.0,29.0,430
2014-07-15,29.9,30.0,29.9,29.98,50
