date,open,high,low,close,volume
2009-03-05,13.5,15.0,10.9,14.15,622696
2009-03-06,13.05,14.8,12.75,14.6,155604
2009-03-09,14.3,14.95,13.4,13.55,31968
2009-03-12,13.65,14.75,12.9,14.5,130548
2009-03-13,14.35,15.7,14.3,15.1,199152
2009-03-16,14.5,16.45,14.0,16.15,139076
2009-03-17,15.3,16.9,15.2,16.75,112092
2009-03-18,16.4,17.5,15.1,16.45,71712
2009-03-19,16.5,17.5,16.0,17.25,104088
2009-03-20,16.5,17.5,16.1,17.2,120656
2009-03-23,15.9,18.3,15.8,17.8,203304
2009-03-24,17.85,18.9,17.15,18.4,285272
2009-03-25,18.5,19.6,17.4,19.2,237064
2009-03-26,18.75,21.0,18.75,20.25,197152
2009-03-27,19.15,20.7,19.15,19.75,143496
2009-03-30,19.0,19.95,18.3,19.5,93180
2009-03-31,19.0,20.0,19.0,19.2,210832
2009-04-01,19.75,21.0,19.05,20.45,99820
2009-04-02,20.85,22.0,19.55,20.45,141356
2009-04-06,20.75,20.95,20.15,20.5,141712
2009-04-08,20.1,23.4,19.45,22.0,247844
2009-04-09,21.5,22.6,19.2,20.15,344328
2009-04-13,20.5,21.95,20.15,20.7,274632
2009-04-15,21.0,23.2,20.55,22.1,385544
2009-04-16,22.5,25.7,20.9,21.1,645020
2009-04-17,22.2,23.25,21.3,21.6,250620
2009-04-20,21.75,22.95,21.5,21.8,79728
2009-04-21,22.5,22.5,21.25,21.55,47760
2009-04-22,22.0,22.5,20.75,21.2,81100
2009-04-23,21.5,21.5,20.6,21.2,71716
2009-04-24,21.5,23.7,21.5,22.65,231932
2009-04-27,23.1,24.7,22.15,23.55,417940
2009-04-28,23.25,24.1,21.5,21.7,118692
2009-04-29,22.0,23.15,21.5,22.6,170576
2009-05-04,22.35,23.3,22.35,22.7,127512
2009-05-05,23.0,23.7,22.25,23.1,215336
2009-05-06,22.55,24.4,22.5,23.8,330580
2009-05-07,24.25,25.0,23.9,24.75,185892
2009-05-08,24.65,27.0,24.45,25.8,333764
2009-05-11,27.0,27.0,23.75,24.4,273872
2009-05-12,25.0,29.25,23.5,28.9,1058628
2009-05-13,29.6,30.2,28.1,29.25,720128
2009-05-14,27.5,31.0,26.8,29.5,2850020
2009-05-15,29.55,30.4,28.0,28.8,184136
2009-05-18,31.7,34.6,31.7,34.0,4868
2009-05-19,35.5,39.5,30.35,38.35,1810668
2009-05-20,38.75,42.2,37.9,42.2,650256
2009-05-21,44.0,44.6,40.0,40.6,478232
2009-05-22,40.7,41.2,37.55,38.8,226600
2009-05-25,38.75,41.2,36.75,39.75,108468
2009-05-26,39.9,41.0,37.0,37.6,119364
2009-05-27,38.45,39.75,38.0,39.15,146340
2009-05-28,40.6,41.4,38.5,39.1,231752
2009-05-29,39.1,41.0,38.55,40.05,246636
2009-06-01,40.5,43.9,40.5,43.35,716320
2009-06-02,43.8,44.5,41.3,42.7,2651096
2009-06-03,42.7,46.5,41.7,45.35,1951692
2009-06-04,45.25,46.35,44.4,44.7,384096
2009-06-05,45.8,47.7,45.0,45.5,703976
2009-06-08,46.0,46.0,40.95,41.2,230012
2009-06-09,40.5,41.0,37.8,40.6,380772
2009-06-10,41.25,44.25,40.0,40.45,201240
2009-06-11,39.3,41.5,39.0,39.95,126580
2009-06-12,40.7,40.7,36.75,37.5,136732
2009-06-15,37.0,37.95,34.15,34.55,213764
2009-06-16,32.75,36.6,32.0,35.5,197816
2009-06-17,34.5,36.25,32.9,33.3,147008
2009-06-18,33.25,33.4,30.6,31.4,186584
2009-06-19,32.5,34.55,31.25,33.95,1728832
2009-06-22,35.25,36.0,33.8,33.95,450220
2009-06-23,33.5,35.25,32.5,34.4,188608
2009-06-24,34.6,35.95,34.25,34.8,192420
2009-06-25,35.0,35.7,33.25,33.8,92392
2009-06-26,34.5,36.45,33.8,35.65,208840
2009-06-29,35.25,36.75,35.25,36.3,116164
2009-06-30,37.1,37.5,35.0,35.5,159824
2009-07-01,34.55,39.1,34.55,38.7,560364
2009-07-02,39.0,39.0,36.3,37.9,290288
2009-07-03,37.25,38.2,35.9,37.7,128632
2009-07-06,35.3,39.25,34.75,36.0,228428
2009-07-07,36.25,37.45,35.05,36.4,92704
