date,open,high,low,close,volume
2009-03-05,1619.0,1620.05,1535.0,1541.75,1470
2009-03-06,1525.0,1549.95,1470.0,1535.8,978
2009-03-09,1550.0,1550.0,1525.0,1535.95,744
2009-03-12,1525.0,1549.95,1525.0,1529.7,474
2009-03-13,1549.0,1550.0,1500.0,1536.45,1172
2009-03-16,1561.95,1565.0,1533.0,1552.75,603
2009-03-17,1574.95,1624.9,1555.0,1595.85,1146
2009-03-18,1600.0,1645.85,1579.85,1616.9,1159
2009-03-19,1600.7,1695.0,1600.7,1632.75,1072
2009-03-20,1630.0,1631.5,1595.3,1603.85,284
2009-03-23,1620.0,1712.0,1607.5,1678.75,1177
2009-03-24,1700.0,1738.5,1626.0,1641.8,2528
2009-03-25,1650.0,1665.0,1615.0,1637.85,933
2009-03-26,1655.0,1685.0,1650.0,1678.75,707
2009-03-27,1693.0,1708.0,1658.0,1685.0,1495
2009-03-30,1695.0,1695.0,1650.5,1661.2,478
2009-03-31,1698.0,1789.0,1650.0,1738.75,1736
2009-04-01,1795.95,1850.0,1701.0,1820.75,2584
2009-04-02,1850.0,1950.0,1850.0,1926.0,2642
2009-04-06,1930.05,2050.0,1910.0,1990.95,2610
2009-04-08,1940.0,2089.0,1900.0,2051.0,2818
2009-04-09,2092.0,2092.0,2035.0,2046.85,1805
2009-04-13,2097.95,2350.0,2071.0,2240.85,10757
2009-04-15,2240.0,2285.0,2200.0,2222.15,3235
2009-04-16,2280.0,2280.0,2050.0,2093.45,2659
2009-04-17,1990.0,2196.0,1990.0,2057.5,16280
2009-04-20,2134.75,2250.0,2030.0,2167.6,4359
2009-04-21,2120.0,2350.0,2120.0,2264.2,5606
2009-04-22,2285.0,2360.0,2211.15,2244.4,5049
2009-04-23,2202.0,2250.0,2160.0,2229.4,2891
2009-04-24,2285.9,2303.0,2210.0,2252.05,1875
2009-04-27,2256.0,2315.0,2177.05,2241.95,3063
2009-04-28,2220.0,2298.95,2180.0,2195.3,1182
2009-04-29,2200.0,2315.0,2152.6,2234.0,4061
2009-05-04,2216.2,2357.75,2216.2,2301.25,4541
2009-05-05,2256.15,2320.0,2256.15,2279.75,1755
2009-05-06,2255.0,2379.7,2210.0,2263.0,4871
2009-05-07,2290.0,2379.8,2290.0,2350.45,2401
2009-05-08,2301.1,2379.8,2301.1,2326.25,1514
2009-05-11,2306.0,2366.95,2263.1,2275.5,1021
2009-05-12,2276.1,2290.0,2205.25,2276.8,1719
2009-05-13,2310.0,2350.0,2281.65,2298.3,3049
2009-05-14,2216.0,2395.0,2216.0,2359.6,2216
2009-05-15,2360.0,2425.0,2345.05,2357.05,1640
2009-05-18,2589.95,2589.95,2589.95,2589.95,1
2009-05-19,2600.0,2750.0,2411.0,2488.15,5775
2009-05-20,2360.0,2550.0,2360.0,2536.55,1941
2009-05-21,2545.2,2790.0,2532.05,2701.3,5655
2009-05-22,2600.0,2850.0,2600.0,2738.35,3455
2009-05-25,2850.0,3497.0,2850.0,3280.75,24814
2009-05-26,3380.0,3500.0,3050.0,3105.8,17111
2009-05-27,3340.0,3340.0,3154.0,3182.95,4647
2009-05-28,3199.0,3245.0,3120.0,3139.55,3411
2009-05-29,3200.0,3240.0,3100.0,3161.9,4067
2009-06-01,3240.0,3410.0,3140.0,3370.2,7446
2009-06-02,3385.0,3445.0,3175.5,3225.5,6626
2009-06-03,3300.0,3499.0,3225.0,3412.75,8510
2009-06-04,3400.0,3475.0,3381.05,3432.3,4149
2009-06-05,3390.0,3471.0,3350.0,3381.2,2076
2009-06-08,3550.0,3675.0,3410.0,3465.7,9592
2009-06-09,3450.0,3574.0,3400.0,3513.05,5749
2009-06-10,3535.0,3660.0,3455.0,3484.4,6287
2009-06-11,3598.5,3598.5,3441.05,3495.9,5177
2009-06-12,3480.05,3547.95,3380.0,3408.35,3499
2009-06-15,3441.15,3460.0,3301.0,3307.55,1432
2009-06-16,3251.0,3460.5,3250.0,3409.85,6339
2009-06-17,3601.0,3900.0,3400.0,3453.75,36864
2009-06-18,3375.0,3647.95,3261.0,3369.95,8349
2009-06-19,3496.0,3550.0,3325.0,3386.05,7442
2009-06-22,3395.0,3449.0,3300.0,3319.35,2883
2009-06-23,3250.0,3282.0,3205.0,3230.0,2555
2009-06-24,3270.0,3600.0,3225.0,3402.5,5394
2009-06-25,3500.0,3699.9,3277.0,3306.65,3059
2009-06-26,3305.0,3400.0,3300.0,3364.15,2342
2009-06-29,3351.0,3394.7,3325.0,3349.1,1308
2009-06-30,3355.0,3407.7,3309.5,3387.9,3144
2009-07-01,3417.9,3744.9,3312.0,3648.7,8698
2009-07-02,3801.0,4374.0,3588.0,3678.65,42126
2009-07-03,3569.45,3677.0,3569.45,3601.05,5561
2009-07-06,3640.0,3669.0,3330.15,3379.8,5480
2009-07-07,3433.0,3433.0,3311.0,3346.0,2721
2009-07-08,3233.0,3317.0,3209.7,3236.7,2560
2009-07-09,3220.0,3350.0,3215.0,3299.25,3156
2009-07-10,3380.0,3450.0,3230.0,3275.35,5138
2009-07-13,3200.0,3247.0,3100.05,3121.2,2028
2009-07-14,3199.95,3249.95,3150.05,3198.7,2763
2009-07-15,3225.0,3325.0,3216.35,3270.45,5477
2009-07-16,3384.0,3384.0,3220.0,3245.45,3180
2009-07-17,3300.0,3490.0,3241.05,3395.8,6585
2009-07-20,3444.0,3444.0,3364.0,3379.3,3900
2009-07-21,3350.0,3439.0,3323.5,3381.6,2438
2009-07-22,3425.0,3487.0,3378.05,3395.4,4173
2009-07-23,3405.0,3585.0,3400.0,3520.15,7781
2009-07-24,3638.0,3857.0,3547.0,3819.8,19734
2009-07-27,3850.0,4583.8,3700.05,4461.6,74573
2009-07-28,4500.0,4950.0,4480.0,4648.6,42655
2009-07-29,4595.0,4650.0,4351.0,4558.35,19534
2009-07-30,4725.0,4958.0,4693.0,4721.85,17940
2009-07-31,4840.0,4889.95,4610.0,4640.8,8379
2009-08-03,4450.0,4790.0,4450.0,4624.6,4408
2009-08-04,4640.0,4895.0,4580.05,4662.9,12469
2009-08-05,4760.0,4760.0,4617.0,4649.65,3795
2009-08-06,4633.05,4855.0,4615.0,4628.7,11140
2009-08-07,4595.0,4641.0,4412.0,4455.95,5736
2009-08-10,4500.0,4649.4,4300.0,4323.35,5346
2009-08-11,4300.0,4370.0,4126.0,4264.95,5290
2009-08-12,4200.0,4315.0,4180.0,4224.4,5462
2009-08-13,4329.0,4370.0,4260.0,4312.6,4486
2009-08-14,4343.0,4346.0,4230.0,4256.05,2828
2009-08-17,4250.0,4345.0,4205.0,4234.1,5625
2009-08-18,4260.0,4294.0,4201.9,4223.8,3020
2009-08-19,4230.0,4265.0,4165.1,4180.2,2872
2009-08-20,4210.0,4450.0,4181.0,4302.85,8567
2009-08-21,4300.0,4369.0,4210.0,4286.2,4404
2009-08-24,4350.0,4460.6,4290.0,4342.55,6543
2009-08-25,4240.0,4360.0,4240.0,4307.5,2022
2009-08-26,4358.0,4358.0,4285.0,4312.2,2660
2009-08-27,4307.7,4349.0,4279.5,4292.2,2798
2009-08-28,4275.0,4340.0,4230.0,4265.75,4433
2009-08-31,4220.05,4395.0,4220.05,4287.8,5262
2009-09-01,4292.0,4319.0,4141.0,4191.15,3777
2009-09-02,4230.0,4275.0,4151.55,4240.85,3144
2009-09-03,4250.0,4280.0,4130.0,4150.8,4514
2009-09-04,4210.0,4480.0,4155.0,4380.95,20315
2009-09-07,4450.0,4480.0,4282.0,4312.85,11438
2009-09-08,4370.0,4480.0,4331.1,4450.25,12981
2009-09-09,4500.0,5170.0,4425.0,4948.2,54156
2009-09-10,5225.65,5415.0,5082.0,5147.4,46673
2009-09-11,5200.0,5360.0,4900.05,5279.05,27153
2009-09-14,5256.0,5525.0,5125.0,5347.2,24543
