date,open,high,low,close,volume
2009-03-05,38.05,38.5,36.8,37.5,173170
2009-03-06,37.1,37.45,36.25,37.05,176155
2009-03-09,36.5,37.85,35.5,37.0,203067
2009-03-12,37.5,37.75,36.8,37.3,223326
2009-03-13,37.5,38.2,37.4,37.8,228625
2009-03-16,39.1,39.4,37.8,38.65,321892
2009-03-17,38.65,39.95,38.25,38.4,286041
2009-03-18,38.7,40.9,38.65,39.4,474802
2009-03-19,39.95,40.3,39.3,39.4,148290
2009-03-20,39.4,41.05,39.0,40.5,669424
2009-03-23,41.5,41.5,40.5,40.75,431617
2009-03-24,41.0,42.5,40.6,40.8,676146
2009-03-25,41.0,42.15,40.75,41.1,517547
2009-03-26,41.5,42.5,40.55,42.05,662211
2009-03-27,42.2,43.4,42.05,42.65,681036
2009-03-30,42.0,42.15,40.6,41.3,428451
2009-03-31,40.9,41.55,40.75,41.0,267128
2009-04-01,41.4,42.0,40.95,41.65,245753
2009-04-02,42.75,44.65,41.9,43.9,1146413
2009-04-06,45.2,53.2,44.15,52.35,6009721
2009-04-08,50.0,53.3,49.3,51.2,4324789
2009-04-09,52.0,53.85,50.3,50.8,2591269
2009-04-13,52.7,53.0,50.85,51.7,1538193
2009-04-15,51.45,57.25,50.2,54.6,4907109
2009-04-16,55.5,56.0,47.8,49.1,2098465
2009-04-17,49.05,51.6,46.1,49.3,1761897
2009-04-20,49.8,51.9,49.0,49.65,1168523
2009-04-21,49.45,50.8,48.0,49.95,994238
2009-04-22,49.95,51.5,47.6,48.65,842151
2009-04-23,48.9,49.2,47.05,48.85,534747
2009-04-24,49.7,52.0,48.6,51.15,1250075
2009-04-27,52.0,52.45,49.05,49.35,896703
2009-04-28,49.05,50.6,47.7,48.1,745569
2009-04-29,48.5,49.5,47.7,49.15,962213
2009-05-04,50.0,51.95,50.0,50.7,930493
2009-05-05,52.0,53.1,50.5,52.6,1467882
2009-05-06,52.9,54.5,50.5,51.15,1349680
2009-05-07,52.0,53.4,51.5,53.0,1027250
2009-05-08,53.0,54.75,51.5,52.8,1228898
2009-05-11,54.5,56.3,53.25,54.3,3426044
2009-05-12,54.3,54.3,52.6,53.65,1008609
2009-05-13,54.0,55.2,52.0,52.6,1146648
2009-05-14,51.9,52.25,51.1,51.45,585066
2009-05-15,52.0,53.25,51.05,51.25,639146
2009-05-18,54.5,60.0,53.45,57.6,8718
2009-05-19,58.4,62.0,53.0,56.3,2259979
2009-05-20,56.0,60.5,55.45,59.4,2246740
2009-05-21,59.85,65.85,59.85,62.25,4365430
2009-05-22,62.0,64.0,60.7,62.55,1694223
2009-05-25,62.5,70.5,62.5,69.7,4369297
2009-05-26,71.0,71.95,65.0,65.75,3085327
2009-05-27,67.5,76.75,67.15,75.95,13219594
2009-05-28,77.2,77.2,72.05,72.6,6779079
2009-05-29,74.7,79.3,73.4,75.7,9442940
2009-06-01,75.0,77.8,74.5,76.45,3053860
2009-06-02,77.0,77.45,73.7,74.75,1673358
2009-06-03,75.5,77.35,73.1,74.4,2161988
2009-06-04,73.4,77.0,72.8,75.75,2099160
2009-06-05,77.0,95.45,76.1,93.55,35853016
2009-06-08,95.8,102.45,89.0,92.3,40174056
2009-06-09,92.5,97.2,90.6,95.05,19119388
2009-06-10,96.6,98.4,91.1,92.3,10971265
2009-06-11,92.5,94.7,90.25,91.2,5834379
2009-06-12,91.8,93.8,85.05,86.2,4684656
2009-06-15,84.6,87.6,82.45,83.5,4060609
2009-06-16,83.75,97.2,80.25,95.2,17838512
2009-06-17,97.0,97.0,85.35,86.6,10185379
2009-06-18,86.25,87.45,78.8,80.25,6765179
2009-06-19,82.3,86.4,80.1,83.7,7786374
2009-06-22,83.55,90.5,81.4,87.1,18782252
2009-06-23,88.0,88.0,83.15,85.2,6838472
2009-06-24,85.7,87.95,84.55,86.05,5457495
2009-06-25,86.9,90.0,84.2,85.1,6690685
2009-06-26,86.7,87.8,85.25,86.3,3897746
2009-06-29,86.7,88.9,85.8,86.75,4026468
2009-06-30,87.6,88.8,81.25,82.2,3428725
2009-07-01,83.0,85.3,79.6,83.65,3651819
2009-07-02,84.8,87.5,83.25,84.15,4995557
2009-07-03,83.4,84.5,82.3,83.3,2280966
2009-07-06,84.7,84.9,78.1,78.6,2688956
