date,open,high,low,close,volume
2009-03-05,9.3,9.3,8.96,9.1,65050
2009-03-06,9.0,9.13,8.76,8.81,24765
2009-03-09,8.7,8.98,8.4,8.43,13070
2009-03-12,8.52,8.58,8.23,8.31,71535
2009-03-13,8.36,8.69,8.32,8.64,466640
2009-03-16,8.61,9.06,8.5,8.72,123115
2009-03-17,8.9,9.2,8.64,8.68,88015
2009-03-18,8.8,9.14,8.8,8.95,81720
2009-03-19,8.62,9.26,8.62,9.09,54875
2009-03-20,8.84,9.09,8.74,8.84,35200
2009-03-23,8.96,10.55,8.96,9.03,65060
2009-03-24,9.2,9.4,8.85,8.98,292385
2009-03-25,8.94,9.2,8.91,9.16,289375
2009-03-26,9.2,9.35,8.94,9.0,386510
2009-03-27,8.9,9.57,8.9,9.2,92460
2009-03-30,9.05,9.36,8.8,9.18,120485
2009-03-31,9.79,9.79,9.11,9.47,56850
2009-04-01,9.4,9.8,9.4,9.7,56060
2009-04-02,10.36,10.36,9.8,9.91,64785
2009-04-06,9.02,10.25,9.02,10.07,82595
2009-04-08,10.0,10.5,9.7,10.27,82080
2009-04-09,10.45,12.1,10.41,11.8,436390
2009-04-13,12.8,13.58,12.62,13.11,474185
2009-04-15,13.0,15.14,12.72,14.59,638660
2009-04-16,15.2,16.0,13.6,13.98,945590
2009-04-17,14.6,14.96,13.46,13.72,260615
2009-04-20,13.79,14.2,13.1,13.29,118050
2009-04-21,13.0,13.2,12.4,13.02,222190
2009-04-22,12.06,13.4,12.06,12.9,107140
2009-04-23,13.38,13.38,12.33,12.6,81200
2009-04-24,12.98,13.34,12.8,13.14,64425
2009-04-27,13.2,13.41,12.46,12.53,88935
2009-04-28,12.75,12.75,11.34,11.45,147795
2009-04-29,11.82,12.6,11.8,12.6,229160
2009-05-04,13.38,13.86,13.35,13.52,402570
2009-05-05,13.6,13.98,13.36,13.45,107830
2009-05-06,13.5,13.56,13.11,13.2,87640
2009-05-07,13.56,13.8,12.91,13.68,119800
2009-05-08,13.45,13.92,12.61,13.4,130285
2009-05-11,13.4,13.67,12.7,12.93,116140
2009-05-12,13.02,13.79,12.7,13.57,78750
2009-05-13,13.76,13.76,13.07,13.21,65750
2009-05-14,13.25,13.4,12.77,13.29,82605
2009-05-15,13.7,14.07,13.3,13.93,204840
2009-05-19,15.33,15.33,13.22,14.84,309680
2009-05-20,14.41,15.76,14.41,15.34,219135
2009-05-21,15.4,16.4,15.32,15.57,206260
2009-05-22,15.6,15.88,15.24,15.59,104785
2009-05-25,15.98,17.15,14.23,17.14,458365
2009-05-26,17.7,17.7,15.6,15.93,223870
2009-05-27,15.86,17.53,15.45,17.39,302110
2009-05-28,17.0,19.13,15.71,17.61,541055
2009-05-29,17.4,17.98,17.0,17.14,241280
2009-06-01,17.21,17.64,16.86,17.4,167185
2009-06-02,17.6,18.56,17.35,18.12,334975
2009-06-03,18.01,18.18,17.7,17.95,147290
2009-06-04,17.71,18.05,17.4,17.9,86180
2009-06-05,18.0,18.36,16.98,17.3,125165
2009-06-08,17.0,17.4,16.01,16.98,234835
2009-06-09,16.8,16.8,16.31,16.62,194715
2009-06-10,16.6,17.37,16.51,16.84,138275
2009-06-11,16.66,16.78,16.52,16.74,99490
2009-06-12,17.4,18.37,17.16,17.38,584450
2009-06-15,17.6,18.16,16.9,17.1,238705
2009-06-16,16.8,17.28,16.72,17.12,73540
2009-06-17,17.13,17.18,16.4,16.47,139480
2009-06-18,16.2,16.6,15.4,15.88,71210
2009-06-19,15.75,16.58,15.6,15.89,55915
2009-06-22,16.4,16.4,15.5,15.62,75050
2009-06-23,15.32,16.0,15.14,15.65,26835
2009-06-24,15.6,16.4,15.6,16.28,73655
2009-06-25,16.38,17.84,16.2,17.52,484795
2009-06-26,17.82,18.19,16.8,16.98,524125
2009-06-29,16.8,17.5,16.8,17.17,120345
2009-06-30,17.16,17.16,16.36,16.41,60495
2009-07-01,16.56,16.94,15.62,15.96,98125
2009-07-02,16.2,16.8,15.71,16.41,96360
2009-07-03,16.0,16.4,15.83,16.0,102225
2009-07-06,16.26,16.4,15.08,15.37,141670
2009-07-07,15.62,16.2,15.2,15.94,100570
2009-07-08,15.27,15.96,15.08,15.7,93105
2009-07-09,15.4,15.8,15.2,15.32,59565
2009-07-10,15.28,15.67,15.25,15.49,73815
2009-07-13,14.93,15.7,14.93,15.44,100275
2009-07-14,15.28,15.83,15.28,15.58,63005
2009-07-15,15.61,16.08,15.61,15.86,128615
2009-07-16,16.18,16.8,16.0,16.36,138025
2009-07-17,16.08,16.76,16.08,16.41,87445
2009-07-20,13.14,16.2,13.14,15.98,2173125
2009-07-21,16.0,16.19,15.41,15.53,178280
2009-07-22,16.0,16.1,15.2,15.28,143805
2009-07-23,14.81,16.0,14.8,15.63,113775
2009-07-24,15.63,15.93,15.44,15.56,189530
2009-07-27,15.6,15.99,15.47,15.85,94960
2009-07-28,16.0,16.02,15.65,15.72,116065
2009-07-29,15.8,16.4,15.66,16.08,211430
2009-07-30,16.35,16.94,16.03,16.32,263135
2009-07-31,16.4,16.48,15.47,15.63,186240
2009-08-03,15.87,15.89,15.47,15.8,81150
2009-08-04,15.88,16.01,15.49,15.55,65120
2009-08-05,15.6,16.04,15.45,15.94,126535
2009-08-06,15.9,16.74,15.62,15.82,206530
2009-08-07,15.65,16.05,15.45,15.53,81670
2009-08-10,15.8,17.07,15.46,16.01,635575
2009-08-11,17.0,19.22,16.56,18.95,8461260
2009-08-12,18.89,22.74,18.83,22.65,24272104
2009-08-13,23.6,24.92,23.1,23.8,14986600
2009-08-14,23.94,24.0,21.42,21.49,5116955
2009-08-17,20.4,22.27,19.67,20.32,5837245
2009-08-18,20.34,21.48,20.05,20.36,2197885
2009-08-19,20.42,20.92,19.24,19.57,1237760
2009-08-20,19.95,20.16,18.54,18.71,951540
2009-08-21,18.51,19.4,18.12,19.13,1881965
2009-08-24,19.25,20.17,19.0,19.47,830175
2009-08-25,19.64,20.19,19.54,19.65,1501435
2009-08-26,19.88,20.2,19.68,19.84,894115
2009-08-27,19.85,20.2,19.44,19.52,575525
2009-08-28,19.76,21.48,19.4,21.48,3199390
2009-08-31,21.94,22.5,20.91,21.09,2379360
2009-09-01,21.38,21.5,19.98,20.31,903595
2009-09-02,20.0,21.28,19.84,20.34,1221365
2009-09-03,20.79,20.79,19.79,19.96,469435
2009-09-04,20.4,20.4,19.83,19.98,312700
2009-09-07,20.2,21.21,20.05,20.57,1323385
2009-09-08,20.92,20.95,20.0,20.09,454955
2009-09-09,20.26,20.53,19.81,19.9,272260
2009-09-10,20.32,20.32,19.42,19.6,305905
2009-09-11,19.9,20.88,19.44,20.06,1370485
2009-09-14,20.0,21.12,19.84,20.66,1837130
2009-09-15,21.2,24.8,21.2,24.77,22856570
2009-09-16,25.2,26.48,24.44,24.74,15364245
2009-09-17,25.14,25.38,23.51,23.75,2972475
2009-09-18,24.0,25.48,22.83,25.1,8311365
2009-09-22,25.48,29.06,25.19,27.77,23107550
2009-09-23,27.78,28.74,26.27,27.44,12616250
2009-09-24,27.0,27.68,26.37,27.09,4222985
2009-09-25,26.88,27.7,26.51,27.04,2944375
2009-09-29,27.39,28.58,27.23,27.81,4096810
2009-09-30,27.95,27.95,26.98,27.11,1919800
2009-10-01,27.48,27.48,26.22,26.35,1317935
